,,,,,,,,,,,,,,,,,,,,,-1.037,-0.7166,-0.2807,-1.203,-1.403,-0.9432,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.03232,-0.8479,0.07542,-0.02808,-0.3199,-1.037,0.3522,-1.609,-1.089,-0.1083,-0.08358,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.4888,-0.6705,0.08237,-0.1794,-0.2353,0.3708,0.1832,-1.096,-0.9789,-0.1646,0.2428,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.9286,-0.4516,-0.7543,-0.614,0.08816,0.5308,0.0247,0.3122,-0.2457,-0.3113,-0.9181,0.3689,-0.2691,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.176,-0.5621,-0.2821,-0.6211,-0.1891,-0.2804,-0.2299,0.6103,0.3235,-0.1221,-0.5495,0.5436,-0.209,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.398,-0.8619,-0.8302,-0.7321,-0.397,-0.3326,0.2916,0.5016,0.7489,0.05233,-0.4351,0.8322,0.6466,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1584,-0.1361,-1.163,-0.9863,-0.6198,-0.8175,0.02256,-0.4906,1.224,0.7116,0.6142,0.09531,0.159,0.9428,0.4551,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.09731,0.7259,-1.058,-0.8323,-0.3288,-0.5773,0.1392,0.06795,1.908,1.572,0.4084,0.2043,-0.0701,1.053,0.7531,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2422,-0.3475,0.6983,0.8634,-0.4424,-0.7406,-0.4418,0.2544,0.7009,0.6396,1.181,1.176,0.1555,0.06316,-0.1243,-0.08456,-0.02184,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.03273,-0.6042,0.7293,0.3046,-0.2447,-0.5057,-0.35,0.1587,0.8584,0.6036,0.8029,0.6265,0.7562,0.6269,-0.4022,0.5416,-0.1152,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4845,-0.3228,-0.6009,-0.5017,0.4428,-0.4433,-0.6775,-0.8442,0.1776,0.1559,0.9845,0.4554,0.5704,0.9939,0.6496,0.7848,-0.9781,-0.8351,-0.7304,,,,,,,,,,,,,,,,
,,,,,,,,-0.01157,-0.2705,-0.4524,-0.4032,-0.7362,0.07089,-0.04509,-0.3143,-0.2315,0.5439,0.7604,1.199,1.476,1.071,0.8604,0.8267,0.8538,-0.888,-0.9727,-0.5038,,,,,,,,,,,,,,,,
,,,,,,,-0.00357,-0.8928,0.1173,-0.8194,-0.5313,-0.7913,-0.4974,-0.1543,-0.2095,-0.4293,0.4631,0.6611,1.986,2.523,1.419,0.2561,1.355,0.7697,-0.529,-0.276,-0.5053,,,,,,,,,,,,,,,,
,,,,,,0.1879,-0.3052,-0.7744,0.3252,-0.9408,-0.413,-0.6117,0.2105,-0.2268,-0.1718,-0.5969,0.8175,0.9623,1.957,2.365,0.9285,0.3053,1.188,1.344,0.5633,1.234,,,,,,,,,,,,,,,,,
,,,,,,0.4012,-0.6933,-0.1442,-0.02849,-0.7725,-0.1172,-0.0437,0.4335,-0.07953,-0.1321,-0.3501,0.6923,1.58,1.489,1.846,0.7249,0.913,1.258,1.107,0.9192,1.578,,,,,,,,,,,,,,,,,
,,,,,-0.03357,-0.5681,-0.8027,-0.02712,0.05376,-1.003,-0.2195,-0.1633,-0.06822,0.3349,0.3847,0.185,0.7465,1.86,1.172,1.494,0.836,1.488,1.47,2.652,1.402,2.315,,,,,,,,,,,,,,,,,
,,,,-0.5318,-0.2789,-1.126,-1.048,-0.1807,0.9019,-0.2473,-0.4538,-0.5672,-0.09147,-0.4211,0.1702,0.481,1.465,2.615,1.441,0.7288,0.9678,1.103,1.574,3.08,2.498,3.596,,,,,,,,,,,,,,,,,
,,,,-0.4325,-0.2253,-1.057,-1.163,0.2921,0.5323,-0.2784,0.1838,-0.2601,-0.1047,-0.00889,0.8317,1.102,1.127,1.874,1.215,0.1021,0.9264,1.072,2.441,3.029,2.463,3.511,,-1.098,,,,,,,,,,,,,,,
,,,,-0.0842,-0.5065,-0.6701,-0.7198,0.4757,-0.3731,-0.3665,-0.3338,-0.2843,0.3508,0.09144,1.095,1.101,1.058,1.479,1.718,1.007,0.5646,0.7601,1.542,3.293,2.358,3.51,0.389,-0.4263,,,,,,,,,,,,,,,
,,,-0.7212,0.1104,-0.3513,-0.6053,-0.1165,0.1879,-0.2563,-0.6088,-0.2961,-0.307,0.6936,0.6492,0.8321,0.9943,1.035,1.234,2.992,1.743,1.21,1.887,1.665,2.412,1.868,2.814,0.3289,-0.3636,,,,,,,,,,,,,,,
,,,-0.503,-0.4219,-0.1125,-0.6031,0.1123,0.4037,0.1103,-0.6351,-0.611,-0.4011,0.5806,0.5502,0.6316,0.6289,1.54,1.342,3.504,2.497,1.558,3.278,1.839,1.828,2.553,1.875,0.3726,-0.394,,,,,,,,,,,,,,,
,,-0.4981,-0.3352,0.3955,0.03718,-0.4009,0.3353,-0.02133,-0.1535,-0.6592,-0.5425,-0.4937,0.6727,0.4685,0.7113,0.7845,1.667,2.398,2.426,2.219,1.366,2.311,1.406,1.611,0.8497,1.376,0.1292,-1.248,,,,,,,,,,,,,,,
,,-0.3623,-0.6718,0.1747,0.02779,-0.2516,0.4609,0.9899,0.1677,-1.068,-0.3715,-0.471,0.3061,0.6398,1.582,1.793,0.9606,1.886,0.5744,1.796,1.069,2.123,0.6265,1.567,0.4313,1.248,0.3378,-1.628,,,,,,,,,,,,,,,
,,-0.5216,-0.4544,-0.1502,0.5229,0.2505,0.7001,1.168,0.4964,-0.66,-0.6557,-0.3828,0.5338,1.202,1.55,2.045,0.51,1.747,1.211,1.557,1.015,1.907,0.6609,0.9173,0.7469,0.8153,0.8634,-2.008,,,,,,,,,,,,,,,
,-0.04057,-0.6657,-0.4325,-0.1513,0.5667,0.3666,1.166,0.5258,0.2336,-0.6386,-0.7034,-0.5469,0.7393,0.8412,0.8587,1.025,0.4893,1.932,1.58,1.189,0.8734,1.421,0.1139,1.163,0.3155,0.09886,-1.11,-2.051,-1.476,,,,,,,,,,,,,,
,0.08004,-0.6137,-0.8261,0.6044,0.8494,0.1361,0.1507,0.7797,0.113,-0.6152,-0.1164,-0.5757,0.1609,0.4825,0.4823,0.522,0.7351,1.351,0.6349,0.9898,1.021,1.465,-0.1428,1.593,0.2407,-0.9485,-0.1051,-2.161,-1.469,,,,,,,,,,,,,,
,-0.1709,-0.7167,-0.3699,0.7415,0.5898,0.8721,0.3968,0.6209,0.1083,-0.4096,0.117,-0.1732,0.5245,0.5659,0.1051,0.3172,0.4487,0.6962,0.08855,0.7448,1.383,1.006,0.04385,0.9039,-0.6842,-0.9179,-0.5834,-1.725,-2.146,,,,,,,,,,,,,,
