,,,,,,,,,,,,,,,,,,,,,-1.587,-0.4142,-0.1256,-1.5074,-1.2663,,-2.5391,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2558,-0.0611,-0.2629,-0.2803,-0.8304,-0.3909,-0.3172,-1.7841,-1.3653,,-3.2834,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6403,-0.2294,-0.5827,-0.3366,-0.6593,-0.6688,-0.4447,-1.5747,-1.286,,-2.4853,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.0432,0.3613,-0.6538,-0.1792,-0.7734,-0.5158,0.1796,-0.6594,-0.3466,-1.2311,-1.5714,,-2.1636,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4627,-0.2676,-0.5931,-0.7186,-0.645,-1.1258,0.0853,-0.2828,-0.5501,-0.8244,-1.328,-1.8024,-1.6345,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2089,0.1057,-1.3208,-0.2887,-1.1609,-0.7758,-0.6151,-0.1963,0.2791,-0.2573,-0.3598,-1.3855,-1.9228,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.9182,-0.3826,-0.7849,-1.1257,-1.1338,-0.3716,-1.2944,-0.6005,-0.2586,-0.2754,0.2439,-0.3165,-0.8186,-0.8714,-1.6508,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.1104,-1.1443,-0.8235,-1.2973,-1.0888,-0.8514,-0.3322,-1.6456,-0.5264,-0.183,-0.1984,0.2445,-0.7661,-1.4933,-1.1631,-2.069,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5278,-0.9057,-0.6873,-0.3175,-1.0176,-1.0939,-0.7221,-0.2944,-1.0696,-0.8424,-0.4966,0.3261,-0.2106,-0.0344,-0.6828,0.1329,-1.2986,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.8594,-1.3631,0.0565,-0.1393,-1.2633,-0.7232,-0.6723,-0.5686,-1.2306,-1.1987,-0.2816,0.443,-0.5137,-0.0075,-0.0688,0.2277,-1.928,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4803,-1.624,-1.0854,-1.742,-0.1929,-0.3282,-0.7641,-0.4396,-0.1886,-0.0844,-1.0876,-0.9461,0.1697,0.3843,0.1178,-0.45,0.4035,0.0081,-0.8773,-1.8164,,,,,,,,,,,,,,,
,,,,,,,,0.0047,-0.422,-1.7193,-1.0348,-1.1902,-0.6596,-0.2658,-0.8003,-0.4832,-0.2429,-0.0836,-0.471,-0.0903,0.5199,0.5531,0.6469,0.2195,0.1246,0.3195,-0.4703,-1.1807,,,,,,,,,,,,,,,
,,,,,,,-2.2936,-0.3301,0.5129,-1.2855,-0.9681,-1.5169,0.2608,-0.326,-0.5358,-0.7363,-0.1398,0.2487,-0.3546,-0.0403,0.7752,0.3089,0.2927,0.3347,0.2014,0.453,-0.6657,-1.5447,,,,,,,,,,,,,,,
,,,,,,-0.6005,-1.8091,-0.1185,-0.3315,-1.5186,-1.0961,-0.9173,0.2152,-0.774,-0.2777,-0.4455,0.3414,0.4321,0.1808,0.4363,1.1568,0.8393,0.3577,0.4801,0.309,0.1865,-0.4229,-1.958,,,,,,,,,,,,,,,
,,,,,-0.9193,-1.1948,-1.2726,-0.8063,0.282,-1.3733,-0.7963,-0.4075,-0.1187,-0.1768,0.2719,-0.0876,0.5171,0.5728,0.108,0.7851,0.9347,0.6268,0.4433,1.1612,0.2297,0.0884,-0.654,-1.2679,,,,,,,,,,,,,,,
,,,,,-0.0493,-0.9763,-1.1391,-0.7112,-0.0243,-0.9781,-0.5533,-0.1699,-0.0683,-0.1395,0.1096,0.0707,0.6816,0.9671,0.1367,0.7795,0.7032,0.6733,0.6667,0.7886,0.631,0.2188,-1.1487,-0.7681,,,,,,,,,,,,,,,
,,,,-0.0834,-0.9336,-1.2583,-1.1263,-0.4626,0.1189,-0.5234,-0.5603,-0.6945,0.0331,-0.0921,0.4915,0.0975,0.7943,1.9759,0.9685,0.855,0.4978,1.0061,0.6376,0.6132,0.2308,0.3897,-0.7168,-1.0169,-1.136,,,,,,,,,,,,,,
,,,,-0.1997,-0.4693,-1.194,-0.4271,-0.9097,0.294,-0.2505,-0.7573,-0.6965,-0.3113,-0.4922,0.1959,0.0293,1.0014,2.3807,1.3316,0.531,0.7386,1.032,0.9514,1.0726,-0.1578,0.3526,-0.715,-0.598,-0.0393,,,,,,,,,,,,,,
,,,,-0.2669,-0.3296,-1.9851,-1.0466,-1.1569,0.0706,-0.4317,-0.873,-0.5992,-0.0915,-0.4353,0.8799,0.4386,1.719,2.1324,1.1434,0.564,0.9314,0.7278,0.6898,1.0242,0.6728,0.3447,-0.0642,0.1602,0.0978,,,,,,,,,,,,,,
,,,-0.6977,-0.4801,-0.4429,-0.9147,-1.1885,-1.2146,-0.0447,-0.4944,-1.0102,-0.9203,0.0528,-0.1488,0.3308,0.3229,0.9459,1.3488,1.2926,0.1643,0.7648,0.4905,0.1389,1.1117,0.8233,0.4997,-0.0836,0.2676,-0.5961,,,,,,,,,,,,,,
,,,-0.5382,-0.4778,-0.5393,-1.0174,-0.5126,-0.6012,-0.8274,-0.9064,-0.6618,-0.5985,-0.2586,0.079,0.3207,0.6348,0.6229,0.4549,1.0546,0.0191,0.7935,0.6609,0.7996,1.4634,0.8076,1.0229,-0.0228,0.434,-0.5566,,,,,,,,,,,,,,
,,-1.4346,-0.2607,-0.6434,-0.2953,-0.497,-0.3046,-0.6059,-0.3625,-0.9103,-0.123,-0.1949,0.5741,0.3924,0.982,0.7565,0.4137,0.3403,0.8115,0.3129,0.9736,1.1837,0.7337,1.0029,0.7785,0.2211,-0.4246,0.1269,-0.5076,,,,,,,,,,,,,,
,,-1.4768,-0.3736,-0.2868,0.4837,-0.0516,-0.7389,0.0816,-0.3793,-0.9226,-0.2735,-0.3512,1.1377,0.4583,0.89,0.9516,0.5007,0.7953,0.3385,0.3791,0.6363,1.1348,1.0212,0.9567,0.4801,0.7323,-0.5936,0.0725,0.0732,,,,,,,,,,,,,,
,,-0.4826,-0.5536,-0.3364,0.5694,-0.2385,-1.2803,0.1255,-0.5585,-1.3076,0.1459,0.3241,1.1729,0.711,0.8924,1.6301,0.7457,0.9732,0.171,0.1716,0.9101,0.3823,1.5398,1.0472,0.6398,0.2004,-0.1314,0.2629,0.4933,,,,,,,,,,,,,,
,-1.464,-0.9624,-0.5453,0.4198,0.5847,0.5927,-0.5686,0.6933,-0.2087,-0.7168,0.3595,0.7842,0.8612,0.7748,0.8229,0.7958,0.6418,0.2106,0.199,0.34,0.8186,0.474,0.9985,0.9082,1.2538,0.5069,-0.0836,0.9592,-0.1175,,,,,,,,,,,,,,
,-1.8475,-0.7036,0.0134,0.6495,-0.0825,0.5489,-0.35,1.4773,-0.111,-0.2731,1.1904,1.235,0.7853,0.5236,0.9932,0.4211,0.4819,0.2609,0.7704,0.7993,0.8055,0.5586,1.1433,1.0462,1.1017,0.4145,0.1629,0.5792,-0.6332,,,,,,,,,,,,,,
,-1.5195,-0.8544,0.0649,0.5119,0.4856,1.013,0.2389,2.2445,0.1002,0.2202,1.2931,1.3109,0.8584,0.2704,0.7429,0.5105,0.4908,0.836,0.7534,0.8333,0.5254,0.3296,0.2744,1.0768,1.1976,0.2056,0.1071,0.4188,,,,,,,,,,,,,,,
