,,,,,,,,,,,,,,,,,,,,,0.29,0.23,0.27,0.37,-0.3,-1.3,-1.0,-1.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.5,2.11,0.93,1.07,0.61,-0.3,0.01,-0.2,0.13,-1.2,-0.9,-2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.69,1.99,0.62,0.92,0.19,0.4,0.3,-0.3,0.09,-0.5,-0.4,-1.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.21,2.27,1.37,1.2,0.51,0.82,0.52,0.46,0.83,0.07,0.0,-0.2,-1.1,-1.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.71,2.04,1.0,0.78,0.44,0.77,0.38,0.81,0.57,0.23,0.19,-0.2,-0.7,-1.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.58,1.73,1.07,0.79,0.4,0.93,0.35,0.6,0.72,0.21,0.3,0.12,-0.8,-1.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.32,1.66,1.32,1.39,0.86,0.72,0.65,1.0,0.43,0.63,0.61,0.1,0.03,0.41,-0.4,-0.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.86,1.86,2.11,1.36,0.83,0.76,0.66,1.24,0.19,0.79,0.58,0.0,0.12,0.25,-0.5,-0.6,,,,,,,,,,,,,,,
,,,,,,,,,,,0.34,0.71,1.85,2.3,1.47,1.34,1.32,1.12,0.82,0.94,0.86,1.14,0.68,0.14,0.1,0.31,-0.5,-1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4,0.77,1.54,2.22,1.4,1.48,1.44,1.37,1.02,0.84,1.01,1.04,0.2,-0.3,0.02,0.04,-0.6,-0.6,,,,,,,,,,,,,,,
,,,,,,,,,0.6,0.32,0.65,1.19,1.55,1.63,1.34,1.57,1.39,1.31,0.99,1.05,0.86,0.56,0.08,-0.4,-0.1,0.07,-0.3,-0.4,,,,,,,,,,,,,,,
,,,,,,,,0.11,0.96,0.42,1.87,1.93,1.43,1.75,1.45,1.38,1.46,1.22,1.31,1.35,1.07,0.62,0.2,-0.3,-0.1,-0.2,-0.5,-0.8,,,,,,,,,,,,,,,
,,,,,,,0.55,0.48,1.16,0.69,1.31,1.59,1.88,1.42,1.35,1.57,1.0,0.83,1.05,1.19,0.98,0.43,0.0,-0.1,-0.1,0.2,-1.3,-1.2,,,,,,,,,,,,,,,
,,,,,,-0.3,0.22,0.59,1.09,0.91,1.6,2.13,1.5,1.44,0.88,1.47,0.59,0.75,0.59,0.99,0.77,0.33,0.04,0.0,-0.3,-0.2,-1.1,-1.1,,,,,,,,,,,,,,,
