,,,,,,,,,,,,,,,,,,,,,-1.4286,-0.6227,-1.2229,-1.1538,-0.7426,0.0034,0.1162,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2056,-0.9526,-0.1766,-0.8618,0.16,-0.3637,-0.7973,-0.5428,-0.306,0.6223,-0.1574,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6447,-0.8689,0.2634,-0.158,-0.2291,-1.1906,-0.6215,0.6412,-0.1223,-0.0061,-1.0752,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.3502,-0.1566,-0.0254,-0.1527,0.4961,0.0655,-0.0474,-1.3546,-0.5992,0.1858,0.2876,0.5494,0.8109,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1921,-0.4248,0.2638,0.1872,0.4376,-0.5663,-0.0496,-0.4748,-0.167,0.2991,0.7214,1.2349,0.5896,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3993,-0.5508,-0.5682,-0.6665,0.3191,0.0993,-0.4568,-0.5401,0.5668,0.9163,0.8136,0.8632,0.7781,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0398,-0.0279,-0.2686,0.3588,-0.294,-0.3765,0.7038,0.0379,-0.348,0.029,0.9961,1.1903,0.7529,0.4561,1.2992,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4439,-0.1993,-0.0242,0.1894,-0.0425,-0.4158,0.8261,0.1819,0.0137,0.4329,0.9627,1.3568,1.519,0.9663,0.8069,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2171,-0.6031,0.021,0.1189,0.4605,0.5529,0.0253,-0.0106,1.2222,0.8681,0.3815,0.0584,0.5476,1.2219,1.3088,0.6624,1.3605,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.4918,-0.618,-0.0126,0.3508,0.814,0.7845,0.5361,0.6078,1.447,1.6311,0.306,0.1564,0.9335,1.1196,1.2706,0.6915,0.8826,,,,,,,,,,,,,,,,
,,,,,,,,,-0.8461,-0.1597,-0.7529,-0.7385,-0.4156,0.0534,1.0922,1.0222,1.1081,0.3654,1.6493,1.8267,0.7762,-0.1064,0.7249,1.3766,0.8826,0.6425,0.5627,-1.5006,,,,,,,,,,,,,,,
,,,,,,,,-1.037,-0.3126,-0.4517,-0.0603,-0.2182,-0.0038,0.3281,0.8394,1.4,1.3024,0.8699,1.6942,1.5886,0.9045,0.4147,0.6639,1.0948,0.5095,0.4336,-0.721,-2.4788,,,,,,,,,,,,,,,
,,,,,,,-0.8334,-0.5353,-0.6743,-0.5149,-0.1009,-0.0115,0.2136,0.8271,0.737,2.0498,0.9266,0.7976,1.0635,0.7452,0.9205,0.7506,0.3611,1.131,0.8284,0.3561,-1.0785,-3.7408,,,,,,,,,,,,,,,
,,,,,,-0.0268,-0.626,-0.6022,-0.551,-0.6282,-0.2765,-0.2483,-0.1312,0.4729,0.8373,1.5737,0.5561,0.5544,0.9277,0.3042,0.5196,0.5214,1.8237,2.5217,1.5703,0.9218,0.6226,-3.3784,,,,,,,,,,,,,,,
,,,,,,-0.3163,-1.1546,-0.6697,-1.0519,-1.088,-0.6434,-0.8663,-0.5485,0.1706,1.1058,1.2188,0.9458,0.4014,0.8883,1.6036,0.2964,1.6424,2.0956,2.5714,1.4905,0.6669,0.3509,-3.0365,,,,,,,,,,,,,,,
,,,,,-0.2803,-0.9626,-1.2188,-0.4112,-1.568,-0.8172,-0.4755,-0.2205,-0.3271,0.5328,0.8112,0.893,0.9101,0.7104,0.8669,1.3157,0.2944,1.3,2.0619,2.2873,2.3837,1.9522,0.2878,,,,,,,,,,,,,,,,
,,,,0.067,-1.1036,-1.1394,-1.1146,-0.637,-0.999,-0.7663,-0.3735,-0.1674,-0.0051,1.083,0.6582,0.3164,0.9607,0.157,0.7396,1.1154,0.8075,1.3245,2.1957,1.7,2.212,2.0291,-1.3271,,,,,,,,,,,,,,,,
,,,,0.1386,-1.4715,-1.0654,-0.9526,-0.5999,-0.5458,-0.8884,-0.6321,-0.5125,-0.2655,0.6781,0.3853,0.8719,0.4997,0.7876,0.6828,0.5659,0.9967,0.7008,2.119,1.39,2.1167,0.8776,0.8033,,,,,,,,,,,,,,,,
,,,,-0.2386,-1.1601,-0.8255,-0.8171,-0.3089,-0.4079,-0.7527,-0.2245,-0.3544,0.4473,0.5462,0.737,0.8069,0.5716,0.1634,0.4672,0.8946,1.0251,0.8011,1.1581,2.5431,2.0626,0.579,0.2316,,,,,,,,,,,,,,,,
,,,0.8423,-0.6101,-0.9523,-0.8921,-0.7588,-0.5312,-0.6812,-0.5036,-0.196,0.0058,-0.087,-0.0735,0.6823,0.5593,0.6463,0.1917,0.3581,1.2158,1.7243,0.937,0.6952,1.9312,1.904,1.5381,1.0523,-1.0307,,,,,,,,,,,,,,,
,,,0.887,-0.6643,-1.0586,-1.0118,-0.9021,-1.0716,-0.771,-0.7876,0.405,0.14,-0.1135,0.0165,0.4902,0.416,0.1764,0.1359,-0.0602,1.201,1.0271,1.2178,0.5548,0.9141,1.9601,1.3093,,-1.4604,,,,,,,,,,,,,,,
,,0.8872,0.6104,-0.8228,-1.2652,-1.2526,-0.6998,-1.0762,-0.7818,-0.1934,-0.0055,-0.1365,-0.1355,-0.1077,0.0142,-0.0055,0.005,-0.1361,0.2529,1.497,0.6959,0.8718,0.9641,1.0681,1.4825,1.2458,,-1.2393,,,,,,,,,,,,,,,
,,1.5036,0.5441,-0.7038,-1.4107,-1.0431,-0.5575,-0.777,-0.6783,-0.5179,-0.7674,-0.338,-0.3966,-0.5176,-0.015,-0.5316,0.2796,-0.0951,0.4722,1.8439,1.8833,1.7465,0.3,0.9433,1.3452,0.9697,-0.5836,-0.6986,,,,,,,,,,,,,,,
,,0.9288,0.0278,-0.4698,-1.0723,-1.0259,-1.0014,-0.9542,-0.4214,-0.357,-0.8112,-0.9809,-0.4468,-0.4315,-0.2793,-0.3218,0.2141,-0.2438,0.4623,0.924,1.2279,0.9927,0.1023,1.2246,0.4214,0.2838,-0.488,,,,,,,,,,,,,,,,
,0.8606,0.2662,-0.136,-0.0882,-0.7744,-0.9138,-1.1062,-0.8378,-0.6994,-0.6948,-0.8067,-0.7358,-0.7636,-0.2006,-0.089,-0.0776,0.2755,-0.5399,1.2038,1.1963,1.9884,0.4915,-0.0274,0.4243,-0.3543,-0.4179,-0.1844,,,,,,,,,,,,,,,,
,0.5822,-0.4726,-0.5203,-0.1247,-0.5974,-1.1506,-0.8722,-1.1139,-0.8146,-0.9679,-1.082,-1.0218,-0.9079,-0.4076,0.0656,-0.0945,-0.4152,-0.2584,0.225,0.7678,0.9783,0.3146,0.1453,-0.1634,-1.3803,-0.8446,-1.3535,,,,,,,,,,,,,,,,
,-0.2088,-0.3325,-0.7451,-0.4996,-0.6846,-1.1463,-0.9186,-1.3586,-1.1738,-1.2902,-1.0756,-1.1644,-1.0588,-0.3369,0.0713,0.1446,-0.0791,-0.3937,-0.0767,0.4499,1.7175,0.3481,-0.1687,-0.0614,-1.3576,-0.82,-1.5819,,,,,,,,,,,,,,,,
,-0.1438,-0.3878,-0.4277,-0.983,-0.9408,-0.8933,-0.7901,-1.2676,-1.2732,-1.4489,-1.6933,-1.2105,-0.8253,-0.6576,0.2376,0.5383,-0.2691,-0.7952,0.0274,0.6867,1.3459,0.5431,-0.5908,-0.833,-2.1037,-0.03,-0.6346,,,,,,,,,,,,,,,,
,-0.2196,-0.7217,-0.3452,-0.9076,-1.1175,-1.238,-1.0267,-1.0846,-1.112,-1.4623,-1.6862,-1.1671,-0.5546,-0.2166,-0.3822,0.2785,-0.3727,-0.6319,0.0071,0.7346,1.0656,-0.3036,-0.6426,-0.2841,-1.202,0.0294,-0.6559,-0.3574,,,,,,,,,,,,,,,
0.1902,-0.653,-0.7048,-0.5796,-1.0814,-1.1301,-1.3199,-1.0314,-1.3017,-1.0704,-1.3612,-0.8866,-0.9771,-0.7138,-0.113,-0.4184,0.0908,-0.6134,-0.2958,0.245,0.3666,1.0539,-0.2319,-0.8341,-1.9447,-1.0207,,,-2.1819,,,,,,,,,,,,,,,
-0.1417,-0.9654,-0.8215,-0.8334,-1.0937,-1.1159,-1.5135,-1.0972,-1.2463,-1.077,-1.1503,-0.9416,-1.1813,-0.465,0.0115,0.202,-0.3271,-0.2819,-0.2463,0.1878,0.5548,0.9092,0.1966,-0.3067,-2.2549,,,,-2.3571,,,,,,,,,,,,,,,
-0.6951,-1.3217,-0.7574,-0.8612,-1.1877,-1.4542,-1.1527,-1.0835,-1.1922,-1.1979,-1.5217,-0.8566,-1.0418,-1.0256,-0.4665,0.3028,-0.6984,0.0267,-0.3403,-0.3683,0.1921,1.0366,-0.2859,-0.219,-0.2369,-1.0236,-0.1337,,,,,,,,,,,,,,,,,
-0.964,-1.3511,-0.6896,-0.7178,-1.0386,-1.4166,-1.4238,-1.082,-1.2446,-1.1962,-1.4691,-0.8273,-0.6977,-0.6137,-0.4954,0.4144,-0.7859,-0.3185,-0.3576,-0.3213,-0.0817,0.3885,-0.6806,-0.2622,-0.0662,-0.6728,0.0213,,,,,,,,,,,,,,,,,
-1.3134,-1.2471,-0.747,-0.8654,-1.2622,-1.6791,-1.5216,-1.2331,-1.6292,-1.3008,-1.2831,-1.0822,-0.6908,-0.309,0.0859,0.4397,-0.3246,-0.4575,-0.3428,0.429,0.4409,0.2965,-0.6204,0.9879,-0.5451,0.5257,0.4703,,,,,,,,,,,,,,,,,
-1.1791,-0.9942,-0.7255,-0.9489,-1.255,-1.5543,-1.3834,-1.2088,-1.6341,-1.5683,-1.3105,-1.0516,-0.4229,-0.2664,-0.0726,0.5048,-0.3065,-0.4939,-0.0636,0.1711,0.5432,0.1949,-0.2374,1.0886,-0.1851,0.0171,0.1474,0.9309,,,,,,,,,,,,,,,,
-0.9119,-1.1912,-0.7197,-1.016,-1.3109,-1.2828,-1.5984,-1.12,-1.6184,-1.3889,-1.1519,-0.9152,-0.7141,-0.332,-0.0405,0.3824,0.1778,-0.3267,-0.4297,-0.0237,0.4653,0.7263,-0.1641,1.1306,-0.102,0.4538,0.5367,0.7636,,,-1.7821,,,-0.666,,,,,,,,,,
-1.2903,-1.2923,-0.7818,-0.96,-1.0117,-1.4506,-1.5503,-1.2006,-1.4968,-1.2502,-1.116,-0.9363,-0.6511,-0.3238,-0.2336,0.425,0.2946,-0.2565,-0.3881,0.1453,0.6271,0.3218,0.3159,0.3582,0.1239,1.1348,1.0043,0.1115,1.0989,,-0.3316,,,-1.4056,-0.6349,,,,,,,,,
-1.3859,-0.9056,-0.4729,-0.8783,-0.872,-1.2599,-1.7164,-1.4782,-1.4446,-1.3297,-0.9143,-0.6,-0.6145,-0.4053,-0.4675,0.2762,0.2766,-0.3926,-0.3371,0.0292,0.4225,0.3486,-0.0066,0.4086,0.2867,0.9981,0.9221,0.3787,0.3901,-0.3181,-0.1443,0.1869,-1.0742,-1.1174,-0.8121,,,,,,,,,
-0.7861,-0.6399,-0.317,-0.326,-0.4083,-0.9376,-1.4645,-1.2516,-1.2792,-1.3808,-1.0996,-0.3231,-0.6205,-0.3915,-0.6809,-0.0459,0.0907,-0.6044,-0.4128,-0.1966,-0.1829,0.2154,0.0276,0.4811,-0.1359,0.482,0.9747,0.717,0.6236,-0.5939,-0.4302,-1.3926,-0.6796,0.2065,0.2737,,,,,,,,,
-0.2678,-0.1657,-0.3307,0.1533,-0.6374,-0.8826,-1.4579,-1.1358,-1.3801,-1.346,-1.1427,-0.8536,-0.9243,-0.6965,-1.1149,-0.9277,-0.4035,-0.5777,-0.7285,-0.1546,-0.4456,0.3575,-0.2052,0.3748,-0.7141,0.3288,0.1439,0.3288,-0.1079,-0.078,-0.0586,-1.9242,-0.5413,-0.186,-2.1579,-1.3841,,,-1.922,,,,,
0.316,0.3531,0.6289,0.2656,-0.0634,-0.243,-0.9937,-1.136,-1.1421,-1.3982,-1.3502,-1.1984,-1.1453,-0.856,-1.3889,-0.9394,-0.7503,-0.8994,-0.6069,-0.4935,-0.4609,-0.5305,-0.2477,0.2861,-0.1801,0.4479,0.4916,-0.1975,-0.2198,0.3301,0.3606,-1.3486,0.1669,-0.1445,-1.2329,-0.3531,-1.3478,,-0.6467,-0.2991,,,,
0.2286,0.5148,0.881,1.009,0.721,0.0399,-0.4599,-0.8462,-1.0338,-0.8424,-1.2342,-1.2716,-1.261,-0.5856,-1.0662,-0.9478,-0.7779,-1.015,-0.8887,-0.6671,-0.2228,-0.5584,-0.1022,0.0745,0.3393,0.8404,0.5326,0.5053,0.383,0.6082,0.6757,-0.2893,0.3458,-0.7232,-0.421,-0.6193,-0.3207,-1.5132,-0.9194,-0.8578,,,,
-0.103,0.1936,0.6017,0.7021,0.6594,0.2178,-0.1579,-0.6421,-1.054,-0.7401,-1.1992,-1.3863,-1.5056,-0.9435,-1.2663,-0.6466,-0.7255,-0.8854,-0.8372,-0.7572,-0.3998,-0.582,-0.4721,-0.0706,0.0148,0.5741,0.7965,0.8436,0.8966,0.7639,0.4257,0.4289,0.6211,-0.0889,-0.0766,-0.562,0.2988,-0.7508,-1.0046,-1.1017,-1.3544,,,
-0.2416,0.0568,0.2614,0.655,0.8108,-0.0351,-0.161,-0.2887,-0.7455,-0.6375,-1.1352,-1.3186,-1.4792,-1.0044,-1.2646,-1.0085,-0.7242,-0.8658,-0.7233,-0.6196,-0.2789,-0.6853,-0.7513,0.0796,0.089,0.0862,0.5614,0.8243,0.9149,0.9612,0.8199,1.0697,1.0905,0.4436,0.3415,0.2037,0.319,0.058,-0.2234,-1.5863,-1.2596,0.0533,,
-0.0708,0.3542,0.281,0.6583,0.3264,-0.2338,0.0825,0.2112,-0.4266,-0.6676,-1.1183,-0.9143,-0.9439,-0.8977,-1.3065,-1.0662,-0.9899,-0.7522,-1.0909,-0.7858,-0.4176,-0.7497,-0.8997,-0.255,-0.4365,0.1115,0.5121,0.7664,1.0093,0.7615,0.8433,1.3264,1.6171,0.7016,0.3387,0.6404,0.4425,0.0577,-0.5926,-1.1271,-1.2336,-0.9014,,
-0.0802,0.7517,0.4304,0.8068,0.1696,-0.0418,-0.068,0.3169,-0.5124,-0.5756,-0.8376,-0.8618,-1.0682,-1.0545,-1.1271,-0.639,-0.8883,-0.7648,-1.0103,-1.0518,-0.4797,-0.835,-0.8274,-0.6822,-0.6586,0.3566,0.5175,0.4005,0.3596,0.5079,0.7019,0.9697,1.4916,1.0221,0.9975,0.8754,0.5657,-0.2164,-0.1379,-0.7022,-1.1519,-0.6006,,
-0.1987,0.5438,0.3363,0.5961,0.1854,0.1742,-0.3073,0.1981,-0.3742,-0.3279,-0.6874,-0.9011,-1.0559,-1.1176,-1.1862,-0.4411,-0.78,-0.8005,-1.0328,-1.3181,-0.6194,-0.2868,-0.8871,-0.7889,-0.7022,0.0796,0.3439,-0.0263,0.2198,0.1441,0.0486,1.3642,1.274,0.7344,0.8464,0.5941,0.3154,-0.1757,-0.5756,-0.5295,-1.4681,-0.0184,,
-0.2665,0.0755,0.2923,0.5509,0.5776,-0.1855,-0.3202,0.1611,-0.2056,-0.2746,-0.6658,-1.0644,-1.1148,-0.9852,-1.1075,-0.5501,-0.593,-0.7928,-1.1127,-1.4607,-0.7403,-0.9456,-0.8026,-0.8424,-0.7116,-0.3184,-0.1147,-0.3922,-0.0833,0.1681,-0.1542,0.221,0.3016,0.8196,1.4536,0.1921,0.6318,0.2106,0.2345,-0.1026,-0.4717,0.2321,,
,0.0386,0.3848,0.3854,0.4158,-0.0454,-0.3317,0.0048,0.109,-0.266,-0.6061,-1.3096,-1.353,-0.8729,-1.1434,-0.4691,-0.5896,-0.5397,-1.0446,-1.0414,-0.7719,-0.322,-1.1177,-0.6462,-0.6899,-0.0648,0.169,-0.4323,0.0986,0.1911,-0.2239,-0.1303,-0.0661,0.6244,0.9759,1.4922,1.5733,0.7966,1.1715,0.33,0.6947,0.4484,,
,0.0788,0.2963,0.4238,0.4184,0.2793,-0.1816,-0.0727,0.2548,-0.2422,-0.5355,-1.2271,-1.0573,-0.8326,-1.3355,-0.6815,-0.6145,-0.842,-0.6545,-0.7696,-0.7415,-0.866,-0.9539,-0.8693,-0.8312,-0.1056,0.0468,-0.1324,0.2633,0.3939,0.1153,-0.1651,0.2022,0.0871,1.3535,1.5732,1.802,0.8311,1.0778,0.6127,1.0298,0.1211,,-0.2211
,0.0778,-0.0088,0.4636,0.2262,0.2181,0.1798,0.2494,0.0914,-0.066,-0.5815,-0.8587,-0.9176,-0.6761,-0.9814,-0.734,-0.4452,-0.5172,-0.3723,-0.5026,-0.7658,-1.1533,-0.9035,-0.7968,-0.7848,-0.423,-0.1596,0.3595,-0.1022,0.4983,0.1539,0.3325,0.3098,0.2662,0.3884,0.9283,1.2397,0.7831,1.5901,0.8112,0.0171,0.3705,-1.2063,1.1213
,0.3759,0.3871,0.7106,0.1148,0.2518,-0.0639,-0.0376,0.0833,0.1354,-0.2376,-0.888,-0.919,-0.7784,-1.0376,-0.5394,-0.4764,-0.6542,-0.4073,-0.0673,-0.7527,-0.7909,-0.7676,-0.6675,-0.9047,-0.0918,0.1754,-0.2236,-0.3143,0.0946,0.0992,0.0467,0.2719,0.3674,0.4016,0.8915,1.1145,0.6421,1.5086,0.3093,0.4403,0.6973,-1.332,-0.6783
,,0.5378,0.2141,0.2094,0.1486,0.0425,-0.0243,0.1072,0.0769,-0.0098,-0.7044,-0.7219,-0.6491,-1.2454,-0.5244,-0.6807,-0.5448,-0.6072,-0.0803,-0.4886,-0.4545,-0.5424,-0.4671,-0.4974,-0.1233,-0.0454,-0.3056,0.0116,0.0145,0.4751,0.2113,-0.0335,1.2559,0.5824,1.1871,0.4326,1.0772,1.3832,0.6223,0.9236,0.3949,-1.2826,-1.6729
,,-0.3671,0.0575,0.342,0.085,0.0708,0.0523,0.0606,0.2398,-0.1367,-0.5987,-0.4057,-0.7035,-1.2219,-0.6699,-0.9747,-0.6396,-0.5482,-0.145,-0.5091,-0.7528,-0.3455,-0.2129,-0.525,-0.4122,-0.0005,0.1504,0.9034,0.8087,0.7618,0.8543,0.0625,1.3396,0.2548,0.3471,-0.0676,1.9891,1.3712,0.8386,1.1074,0.579,-1.1866,-0.6158
,,0.3884,0.1538,-0.1542,0.0685,0.1056,-0.2655,-0.2397,0.0338,-0.4232,-0.4319,-0.2464,-0.4437,-1.0182,-0.9216,-0.9186,-0.6887,-0.5898,0.2542,-0.3182,-0.68,-0.4164,-0.5496,-0.8841,0.6491,0.9249,0.2765,1.0653,1.1718,0.5424,1.1984,0.9277,1.2707,1.1081,0.6416,0.7304,1.7093,2.0683,2.3194,2.0617,0.8132,,0.1612
,,0.8808,-0.1109,0.1758,0.0848,-0.1373,-0.368,-0.5607,-0.447,-0.5629,-0.2985,-0.2915,-0.1478,-0.6784,-0.8458,-0.8856,-0.7372,-0.6494,-0.0716,-0.3349,-0.829,-0.468,-0.3411,-0.9969,0.3892,0.4396,0.1121,0.817,1.0086,0.6787,0.6953,1.1175,0.5985,0.9688,1.1614,1.3295,0.8261,1.8389,2.3442,2.0647,1.1641,,-0.2256
