,,,,,,,,,,,,,,,,,,,,,0.2016,0.7229,0.5591,0.1863,0.2359,-1.7262,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1853,0.2681,1.3156,0.7323,-0.2617,0.2606,-0.2698,0.1356,0.6675,-1.5824,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.305,-0.1358,-0.049,-0.4119,-0.1783,0.6546,-0.7167,0.3734,0.2647,-0.8199,0.0592,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3693,-0.2938,0.1415,-0.1282,-0.5927,-0.3541,0.2206,0.8795,-0.4739,0.917,0.5045,-0.372,0.5453,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1726,-0.2195,0.1225,0.1125,-0.4236,-0.0775,0.6141,0.2477,-0.2478,-0.2492,0.225,-0.5349,-0.0759,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1066,-0.3871,0.2022,-0.3948,-0.1857,0.1036,0.9349,0.9376,0.4515,-0.0228,-0.1291,-0.5927,-1.0703,0.174,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4102,-0.1835,-0.0119,0.0024,0.4168,-0.0802,-0.039,0.0806,0.1398,1.0737,0.4369,0.1275,-0.3539,-0.5411,-0.966,-0.221,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0579,-0.5991,0.0488,0.0707,0.6235,0.3431,0.2123,0.2621,0.358,1.4069,0.0275,0.126,-0.1047,-0.4401,-0.5506,-0.3472,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4591,0.2077,0.0334,-0.7087,0.6301,0.1208,1.0153,0.5686,0.2219,0.6412,0.7181,1.8723,0.2446,0.3498,0.3681,-0.2678,-0.1786,-0.0527,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4644,0.3285,-0.1106,-0.6471,1.3059,1.2151,1.3307,0.686,0.5961,0.6005,0.6556,1.4439,0.8916,0.6599,0.9868,0.0822,-0.5405,-0.622,1.7601,,,,,,,,,,,,,,
,,,,,,,,,-0.0171,0.0563,0.1245,0.2695,0.5945,-0.0506,1.375,1.3932,1.2354,0.5849,0.6712,0.946,0.3686,0.6537,0.3944,1.1236,1.5503,0.1981,-0.1584,-1.5589,-0.7615,,,,,,,,,,,,,,
,,,,,,,,-0.6142,0.3538,0.7105,0.1787,0.1239,0.8068,0.3265,1.4462,0.7341,1.4746,0.9333,1.0352,0.935,0.572,0.7421,0.7996,1.0871,0.8365,-0.0645,0.3528,-1.6086,-1.4979,,,,,,,,,,,,,,
,,,,,,,-0.7096,-0.3368,0.2718,0.4686,0.0812,0.1807,0.6419,0.2226,1.0326,1.0988,1.7845,1.2061,1.1643,0.902,0.4536,0.8178,0.8537,0.8678,1.1281,0.7445,0.1166,0.2072,-2.3251,,,,,,,,,,,,,,
,,,,,,-0.4888,-0.15,-0.5066,0.0841,-0.0642,0.1227,0.4722,0.453,0.1178,1.2692,1.124,2.0039,1.6433,1.4208,1.0234,0.5032,1.1726,1.0411,1.3596,1.0115,0.6235,1.3697,0.5356,-0.7999,,,,,,,,,,,,,,
,,,,,,-0.2388,0.005,-0.0634,0.058,0.0736,0.4409,0.8964,0.2361,0.2216,0.9274,1.0126,1.2004,1.7121,0.8837,0.8423,0.772,0.983,1.5383,1.3564,1.1566,1.3112,1.7813,1.1642,,,,,,,,,,,,,,,
,,,,,-0.6525,-0.6868,-0.0197,-0.0816,-0.3037,-0.0787,0.2556,0.2291,0.7491,0.1281,0.8656,0.9545,0.723,1.0492,1.9315,1.8554,0.6542,0.9145,1.3625,1.3663,1.9415,1.3488,2.2124,1.333,-0.653,,,,,,,,,,,,,,
,,,,-0.7259,-0.5919,-0.3656,0.2054,0.0812,-0.5151,0.0822,0.0112,0.0302,1.0354,0.8765,0.2249,0.216,0.2705,0.7184,1.9556,1.0356,0.332,0.9244,1.2886,1.0524,2.0029,1.422,2.145,1.3329,0.8937,,,,,,,,,,,,,,
,,,,-0.436,-0.6508,-1.0813,-0.0974,-0.3894,-0.7769,-0.0796,-0.4406,-0.0274,1.6927,0.7008,-0.1299,0.0381,0.0641,0.2415,0.4797,0.7297,0.8662,1.1806,1.0946,0.8088,1.9469,1.4041,2.7898,1.0072,-0.1862,,,,,,,,,,,,,,
,,,,-0.5226,-0.9004,-0.7407,-0.3169,-0.6155,-0.8337,-0.2913,-0.5437,0.473,0.8298,-0.0268,-0.1678,0.1291,0.2497,0.1805,0.1591,0.4417,0.5912,1.2045,1.1151,1.4739,1.7319,1.383,1.864,0.4747,-0.4316,,,,,,,,,,,,,,
,,,-0.5212,-0.6341,-0.7238,-0.6756,-0.1944,-0.7107,-0.6604,-0.5418,-0.4461,0.0655,-0.0221,-0.576,-0.1491,0.039,-0.0625,0.2285,-0.2467,-0.107,-0.0483,0.6713,1.1358,2.1177,1.5264,1.0448,1.0484,-0.2438,0.8218,,,,,,,,,,,,,,
,,,-0.7432,-0.8598,-0.7164,-0.53,-0.3395,-0.7979,-0.9475,-0.4593,-0.6762,-0.5918,0.0064,-0.1675,-0.3142,-0.0751,0.0622,0.1069,-0.3071,0.2677,-0.1366,0.5323,0.8913,1.4168,0.8022,1.2638,1.0972,-0.4003,0.0126,-1.5788,,,,,,,,,,,,,
,,-0.4915,-0.6496,-1.0264,-0.6652,0.0062,-0.3598,-0.4091,-0.664,-0.3819,-0.6478,-0.6181,0.0241,-0.1746,0.01,0.1455,0.1172,0.2826,-0.3819,-0.0034,0.0812,0.864,0.9356,0.9731,0.9215,0.7167,0.9647,-0.411,0.5974,0.107,,,,,,,,,,,,,
