,,,,,,,,,,,,,,,,,,,,,-0.2174,0.5007,-0.0179,-0.0856,-0.9145,-0.221,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.2081,0.6053,-0.286,-0.5554,0.0338,-0.0858,-0.3173,-0.4049,-0.7095,-0.6892,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0694,0.1604,-0.5187,-0.5975,0.1825,-0.36,-0.0254,-0.3937,-1.0391,-0.3587,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0035,-0.3726,0.3889,0.3459,-0.3521,-0.5579,0.2794,-0.8343,0.0251,-0.4174,-0.7687,-0.2894,-0.5632,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.7281,0.8007,0.1715,0.1332,-0.277,-0.1023,0.3339,-0.2995,-0.2178,-0.1264,-0.534,0.0859,-1.0379,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3447,0.1941,0.1548,0.4245,-0.4285,-0.0523,0.3971,0.1144,0.0538,0.0065,-0.7099,-0.21,-0.756,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.0608,0.017,-0.0585,-0.0501,0.3838,1.0589,-0.3161,-0.0137,0.5167,0.1288,-0.0303,0.2748,-0.3617,-0.3251,-0.8074,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.1591,0.6549,-0.1966,0.0289,0.771,1.1336,0.2559,0.9183,0.7222,-0.2893,0.2331,-0.0208,-0.2851,-0.1042,-0.5716,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0346,-0.0792,0.4577,0.1566,-0.1711,-0.0266,1.4239,1.4357,0.5927,0.9995,0.8363,-0.2582,0.7262,0.297,-0.306,-0.0625,-0.2678,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2485,0.3083,0.8735,0.2872,0.6088,0.1055,1.7198,1.7881,1.3196,1.2626,0.9852,0.1943,0.7176,0.5907,-0.0293,-0.3353,-0.4639,,,,,,,,,,,,,,,,
,,,,,,,,,0.3129,-0.2223,0.6604,0.584,0.3988,0.2756,0.9087,0.1014,2.9162,2.6029,1.6435,1.4378,1.7942,0.1329,0.8906,1.05,-0.2487,0.2019,-0.1126,,,,,,,,,,,,,,,,
,,,,,,,,-0.6637,-0.5595,0.4367,0.4453,0.8008,0.3557,-0.0095,1.6844,0.6715,2.7538,2.7126,1.8685,1.9345,2.2351,0.4251,0.618,1.0346,0.1778,0.1146,1.0016,,,,,,,,,,,,,,,,
,,,,,,,-0.6448,-0.2091,-0.1975,0.5153,0.3752,0.4649,0.3486,0.4719,1.8799,1.2884,2.1696,2.1802,2.4578,2.592,2.3162,1.1672,0.9845,1.1354,0.4784,0.6465,0.8656,,,,,,,,,,,,,,,,
,,,,,,-0.4284,-0.8435,-0.1022,-0.4546,-0.0076,0.3104,0.6387,0.5812,0.6082,1.6173,1.8008,2.8365,2.2139,2.7366,2.1076,2.4833,1.4072,1.2885,1.9216,0.9165,0.9419,0.3994,,,,,,,,,,,,,,,,
,,,,,,-0.326,-0.8157,-0.1084,-0.3531,-0.0785,0.3683,0.7256,0.5935,0.969,1.4355,1.7133,3.1706,2.6076,2.3402,2.0631,2.5459,1.7129,2.0703,2.3295,0.8861,1.5106,0.4897,,,,,,,,,,,,,,,,
,,,,,-0.1087,-0.3704,-0.3216,-0.5565,-0.2291,0.1325,0.222,0.2991,0.3579,1.4273,1.1488,1.5814,2.396,2.6541,2.5319,2.1586,2.0872,1.7811,1.8271,2.2846,1.0689,1.1881,0.6548,0.5062,,,,,,,,,,,,,,,
,,,,0.1577,-0.3193,-0.2067,-0.0403,-0.5362,0.0126,0.0582,0.291,0.3691,0.1856,1.6817,0.8319,1.4889,1.8671,2.0106,2.4988,2.0182,2.2049,2.2003,2.2835,2.4789,1.3064,0.9086,0.2415,1.0045,,,,,,,,,,,,,,,
,,,,0.5454,-0.3051,-0.2506,0.041,-0.2656,0.2048,0.2684,0.0947,0.2282,0.3172,0.9609,0.9376,1.0128,1.4339,1.6898,1.7487,1.7675,2.2193,2.1895,2.3629,1.6696,1.5836,0.8658,0.4418,0.6036,,,,,,,,,,,,,,,
,,,,0.5468,-0.1503,-0.0721,0.1508,-0.0899,0.0845,0.5708,-0.262,-0.1332,-0.087,0.6788,0.9352,0.9929,1.4617,1.8036,2.0153,1.8904,2.3778,2.6074,1.818,1.6104,0.8251,0.2886,0.2083,-0.4001,,,,,,,,,,,,,,,
,,,-0.0166,-0.031,-0.1898,-0.3,-0.1733,-0.2162,-0.107,0.3873,-0.147,-0.0985,0.1176,0.5886,0.8686,0.9967,1.0946,1.6807,1.4772,1.4403,1.7666,2.1918,1.5632,1.0542,0.7925,-0.026,0.1811,-0.6318,,,,,,,,,,,,,,,
,,,-0.0847,-0.1016,-0.4444,-0.1596,-0.0814,-0.0735,-0.2664,-0.0226,-0.1466,0.0642,0.3143,0.4455,0.8673,1.1893,0.8425,1.4087,1.2182,1.0605,1.2771,1.8228,1.7104,1.0076,0.3617,-0.094,-0.188,-0.6197,,,,,,,,,,,,,,,
,,-0.2605,0.0566,-0.4891,-0.0876,-0.2403,-0.0332,-0.3911,-0.1364,0.0136,-0.0451,0.2202,0.4301,0.8856,1.0148,1.0966,0.7839,1.068,1.0559,0.7769,0.8084,1.1902,1.3505,0.6828,0.2398,-0.0456,-0.1482,0.3483,,,,,,,,,,,,,,,
,,-0.1109,-0.2448,-0.4262,-0.244,-0.0524,-0.161,-0.5687,-0.2482,-0.033,0.3057,0.3621,0.4551,0.8874,1.0842,0.8788,0.5964,1.1151,0.4581,0.3341,0.5298,0.3812,1.0646,0.1143,-0.143,0.0897,-0.8868,-0.0533,,,,,,,,,,,,,,,
