,,,,,,,,,,,,,,,,,,,,,0.1356,1.2218,1.9629,0.7592,0.2222,0.1644,0.1085,-0.5995,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.8405,0.5599,0.3092,0.2333,-0.4812,0.8246,1.1737,0.6076,-0.2419,-1.1158,-0.3913,-0.4749,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.7523,0.6795,0.7087,-0.0391,-0.963,0.9629,0.7376,0.1504,1.0446,-1.2567,0.9386,0.5957,-2.6098,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9736,2.8625,0.8318,-0.2006,-0.0286,0.3445,-0.1366,-0.1522,0.7547,-0.1552,0.3308,-0.0858,-0.0431,-0.5052,-0.3367,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9113,0.298,0.4874,-0.3789,-0.3768,0.3978,0.1651,-0.2646,-0.3236,-0.4792,0.2672,0.2997,0.1572,-0.1254,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.6761,0.4837,0.266,-0.4111,-0.0866,0.0693,0.5323,-0.6701,-0.7742,-0.8776,-0.1724,0.6643,-0.0463,-0.3484,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.3967,0.6194,0.4586,0.2976,0.7178,0.4361,0.1324,0.5192,0.2692,0.4541,0.2476,0.1056,-0.0276,-0.2764,0.0984,-0.1043,-0.2798,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4466,0.0553,0.1116,0.9741,1.0077,0.73,0.1346,0.7453,0.5862,0.0844,0.2298,0.338,-0.904,-0.2045,-0.3457,-1.0082,-0.2634,,,,,,,,,,,,,,
,,,,,,,,,,,0.455,-0.3675,1.385,0.4447,0.1203,0.4015,0.4387,0.6049,0.0977,0.4996,0.7455,0.4036,0.2411,0.8606,-0.3872,0.7806,-0.1101,-0.7193,-0.7658,,,,,,,,,,,,,,
,,,,,,,,,,,0.6001,0.207,2.0148,0.2745,-0.2265,0.0541,0.092,1.0311,0.5087,0.5586,0.7206,0.5245,0.2776,0.8536,-0.6446,0.3336,0.2136,-1.1934,0.5625,,,,,,,,,,,,,,
,,,,,,,,,-0.2689,0.4038,1.0546,0.2269,1.9436,0.7123,-0.3263,0.5232,0.5887,0.8833,0.6564,1.1968,0.2411,0.8735,0.9269,1.4569,0.0715,1.3692,-0.0428,-0.9825,0.3909,,,,,,,,,,,,,,
,,,,,,,,0.8142,-0.2377,0.8936,1.276,0.268,1.8618,0.9975,-0.1146,0.93,0.757,0.6942,1.0125,1.4042,0.5201,1.3809,1.2799,1.5243,0.5437,1.4624,0.1763,-1.5722,0.5341,,,,,,,,,,,,,,
,,,,,,,-0.7968,0.701,0.4476,0.6477,1.2661,0.2516,0.8581,0.3021,0.4473,0.9044,0.6998,1.2213,1.4345,1.5982,0.9489,0.8993,0.8784,1.9377,1.5188,2.8585,0.3469,-1.0736,-0.4032,-1.4758,,,,,,,,,,,,,
,,,,,,-0.1109,-0.6433,0.725,0.1152,0.5542,1.617,0.3859,0.8314,0.1096,1.1004,0.6274,0.5946,1.4643,1.1763,2.1331,1.0776,0.4233,0.8587,1.0423,1.729,2.0523,0.3569,0.9636,1.4598,-0.443,,,,,,,,,,,,,
,,,,,,-0.1539,0.2077,1.2221,0.4433,0.9503,1.5144,1.0736,0.8916,0.2611,1.0993,0.7973,1.0317,1.7881,1.4547,2.0003,1.3308,0.571,1.0262,0.9846,0.9752,1.2427,0.455,1.7171,2.0025,1.728,,,,,,,,,,,,,
,,,,,0.0268,0.556,0.5139,1.4454,0.5144,1.3422,1.3274,0.7901,0.9031,0.3936,0.9903,0.5983,0.924,2.0689,1.4192,1.3381,2.2359,0.3385,1.381,0.9758,1.9292,1.5144,-0.3743,0.7222,0.8597,0.3558,,,,,,,,,,,,,
,,,,-0.1041,-0.207,1.1399,-0.0156,1.9903,0.8479,1.4491,1.283,0.6995,0.5636,0.2735,0.7188,0.5536,1.5417,1.0704,0.1301,0.6731,1.7606,0.7041,0.4896,0.6329,0.9505,0.04,-0.5062,0.1098,-0.8535,-1.8468,,,,,,,,,,,,,
,,,,-0.0802,0.7994,1.5082,0.1243,1.7176,0.6892,1.3555,1.1188,0.8478,0.7128,0.3041,1.2218,0.2612,0.7793,0.7404,-0.6645,1.3521,1.3846,0.6184,-0.117,0.8566,0.3609,-0.2509,-0.5415,-0.3419,0.6745,-0.6749,,,,,,,,,,,,,
,,,,0.1444,0.9874,1.0318,0.584,0.9308,0.1306,1.1022,0.9265,1.263,0.7844,0.4774,0.253,0.4424,-0.0164,-0.2371,-0.6624,0.8395,1.4396,0.9682,0.5866,0.8903,0.1198,0.0711,-0.1976,0.2982,-1.0963,-0.9393,,,,,,,,,,,,,
,,,-0.8016,0.2874,0.301,0.8594,0.3906,0.9122,0.2162,0.7868,0.8989,0.8898,0.442,0.9573,0.4527,1.0597,-0.3002,-0.4572,-0.2473,-0.0018,0.8198,0.6076,0.5329,0.6375,-0.215,-0.1974,-0.163,0.2177,0.5946,0.4873,,,,,,,,,,,,,
,,,-0.5638,0.6182,-0.1834,0.8646,0.2348,0.0435,0.0226,-0.0341,0.7181,1.2411,0.4269,1.4004,0.3828,0.1147,-0.2279,-0.6894,-1.0123,-0.6762,0.2075,0.5957,-0.3926,-0.0557,-0.4396,-0.2263,-0.863,-1.0769,2.5472,,,,,,,,,,,,,,
,,0.5988,-0.9276,0.4396,0.0976,0.1749,0.0856,0.1973,-0.2346,-0.1166,0.4738,0.6296,0.3603,0.8404,0.2819,0.3578,-0.8532,-0.8181,-0.9524,-0.7516,-0.6525,0.5569,-0.428,-0.1772,-1.2162,-0.2788,-0.6789,-1.0702,1.7954,,,,,,,,,,,,,,
