,,,,,,,,,,,,,,,,,,,,,-0.233,-1.104,-2.231,-1.009,-0.07264,0.8169,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.06214,0.4089,0.07974,-1.402,-0.692,-0.9602,-1.866,-1.65,-0.3288,0.9072,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2828,0.6436,-0.94,-2.172,-1.46,-1.524,-1.136,-1.23,-0.2093,0.2709,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.02972,-0.309,-0.3676,0.1152,0.5823,-1.336,-0.9666,-0.5417,-0.99,-0.6208,0.07362,-1.387,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5866,-0.03273,0.9018,0.6521,1.118,-0.1219,0.4257,-1.14,-0.6826,-0.5253,-0.419,-0.6848,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4038,0.2715,-0.1755,-0.05165,0.6691,-0.5717,0.2771,0.1538,-1.029,0.4555,-0.4737,0.9102,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.3963,0.262,-0.2224,-0.1429,0.8547,0.566,0.6183,-0.8167,-0.4783,-0.7497,-0.1639,-0.206,0.03747,0.8029,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.6358,0.1129,0.1521,-0.1715,0.7621,0.9058,1.058,-0.8122,0.1401,0.2358,0.1805,-0.7041,0.6881,-0.1692,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2593,0.5642,-0.1365,0.3872,0.02227,0.6593,0.8101,0.9054,-0.04536,-1.004,-0.1278,-0.6456,-0.09287,-0.2298,-0.3221,0.01729,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-1.02,0.1537,0.2734,0.1652,-0.6484,0.1298,-0.03111,0.09473,-0.00813,-0.1824,-0.09194,-0.6194,-0.1461,-0.2705,0.5663,0.3957,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.1758,-0.7951,-0.1859,0.04886,-0.4958,0.01417,-0.2714,-0.1711,-0.5086,0.6113,-0.0672,0.09597,0.5221,0.1262,-0.0604,-0.1917,-0.6547,-0.9451,,,,,,,,,,,,,,,,,
,,,,,,,,-0.5032,-0.223,-0.3683,-0.02302,-0.5765,1.032,0.7582,-0.2042,-0.01465,-0.2034,0.5077,-0.2117,0.2596,0.7655,0.1966,0.03354,-0.5459,0.1594,-0.5567,,,,,,,,,,,,,,,,,
,,,,,,,0.00725,-0.1289,-0.6998,-0.3833,0.4146,0.00483,0.7093,-0.07563,-0.1391,0.4009,0.229,0.334,0.01376,0.4331,0.7306,0.4419,-0.2238,-0.4451,-0.03914,0.00399,,,,,,,,,,,,,,,,,
,,,,,,-0.3373,-0.288,-0.07913,-0.4548,-0.3413,0.3454,0.6924,0.6583,-0.2835,-0.02317,0.5325,-0.1952,0.4448,0.186,0.7221,1.021,-0.1179,-0.09558,-0.9213,0.2856,-0.5714,,,,,,,,,,,,,,,,,
,,,,,,-0.4746,-0.138,0.08527,0.2861,0.1279,0.5127,1.201,-0.3599,-0.2883,0.02866,0.4874,-0.3838,-0.2545,0.3074,0.792,1.076,0.4404,-0.1993,-0.03123,-0.06358,-0.2577,,,,,,,,,,,,,,,,,
,,,,,-0.3292,-0.3609,0.348,0.7835,0.1597,0.7285,0.4831,0.859,-0.6023,-0.398,-0.06506,-0.00992,-0.3314,-0.5032,0.06435,0.1167,1.642,0.5518,0.2379,-0.03056,0.2462,-0.4593,,,,,,,,,,,,,,,,,
,,,,0.2335,0.4061,0.3289,0.6934,0.8882,-0.1935,0.7603,0.1625,0.7766,-0.4227,-0.1265,-0.07941,-0.5342,-0.2632,-0.1808,0.1332,-0.3991,1.428,-0.2677,0.8815,-0.1352,0.1304,-0.4466,,,,,,,,,,,,,,,,,
,,,,0.5924,0.4003,0.9472,0.8836,0.1335,-0.2975,0.4769,0.2984,0.6962,-0.3978,0.1042,-0.2314,0.1095,0.592,0.05856,0.2837,0.08903,1.017,0.01856,0.6369,0.1702,0.2037,0.2217,2.055,,,,,,,,,,,,,,,,
,,,,0.5576,0.5283,0.9432,0.2649,-0.02709,0.3339,1.035,0.4796,0.3155,0.01144,0.3513,-0.2032,0.2803,0.7366,-0.2192,-0.03762,0.631,0.7729,-0.6145,0.3607,-0.03719,0.9107,0.5596,0.00411,1.28,,,,,,,,,,,,,,,
,,,-0.7679,0.05741,0.4035,0.4492,0.05038,-0.5309,0.1709,1.011,0.4889,0.3199,-0.06285,0.4342,0.4238,0.4158,0.8948,-0.3443,-0.9132,-0.7175,0.6359,-0.6485,0.2822,-0.1731,0.3677,0.4547,-1.624,-1.17,,,,,,,,,,,,,,,
,,,-0.09976,0.07944,0.199,0.09655,0.1043,0.03375,0.2482,0.4097,0.7503,0.6378,-0.3395,-0.156,0.501,0.771,0.9804,-0.3019,-0.2977,-0.5243,0.6882,-0.3262,0.5323,-0.1871,-0.2005,-0.3926,-0.1449,-1.311,,,,,,,,,,,,,,,
,,-0.00771,-0.1203,0.6702,-0.3318,-0.2211,0.1185,0.5542,0.2232,0.3979,0.5346,-0.1354,0.5268,-0.3629,0.1684,1.075,0.986,0.9344,-0.4587,-0.07714,0.896,0.3741,0.1301,-0.3066,0.5204,-0.5441,0.08857,0.5761,,,,,,,,,,,,,,,
,,-1.4,0.8421,0.713,0.03817,-0.1281,-0.00257,0.04133,-0.5826,0.5861,0.6837,0.2468,0.4819,0.1274,-0.543,0.6836,1.172,0.9483,0.02595,0.1724,0.8684,-0.2387,0.07908,-0.6539,0.5071,-0.08348,-0.3255,-0.7674,,,,,,,,,,,,,,,
,,-0.6827,0.9876,1.149,-0.2443,0.3095,0.407,0.4123,-0.195,0.6614,0.7347,0.871,0.3343,0.1493,-0.0034,1.013,1.106,0.2146,-0.1051,-0.7872,0.1529,-1.223,-0.1169,-0.8375,0.677,-0.4374,0.1831,-1.125,,,,,,,,,,,,,,,
,0.3687,0.1605,1.004,1.052,-0.07875,0.1227,0.3977,-0.00391,-0.04932,0.5926,0.6228,0.7955,0.4595,-0.2447,-0.03578,1.072,0.2515,0.1161,-0.3873,-1.156,-0.03917,-2.053,-0.5377,-0.7415,0.3086,-0.2866,0.6311,1.33,2.388,,,,,,,,,,,,,,
,0.1636,0.1077,0.9129,1.025,-0.2304,-0.1455,0.231,-0.2001,0.3559,0.2713,0.6246,0.6075,0.4383,-0.3957,0.3822,0.834,0.2955,0.4215,-0.3796,-0.6341,0.4585,-2.339,-0.4454,0.09864,-0.07053,-0.1347,0.6377,0.847,,,,,,,,,,,,,,,
,0.3762,-0.08515,0.6183,0.4616,-0.6119,-0.4981,0.3231,0.07015,-0.1253,0.2645,0.8618,0.5059,0.2502,-0.08505,0.3216,0.5832,0.01615,0.2033,-0.7716,0.3015,0.6855,-1.671,-0.8899,0.7846,0.6289,0.8335,0.7155,-0.9024,2.868,,,,,,,,,,,,,,
,0.03154,0.2546,0.7595,0.6476,-0.8945,-0.5441,0.2463,-0.147,-0.2425,0.3842,0.7845,0.3981,0.05601,-0.08174,0.2754,0.57,-0.2552,0.1495,-0.291,0.00533,0.71,-0.9588,-0.8732,0.6526,0.4605,0.7592,0.01307,-3.032,1.275,,,,,,,,,,,,,,
,-0.7284,0.2007,0.1599,0.6291,-0.4832,-0.3366,0.3813,-0.2863,-0.3972,0.3227,0.3436,0.02506,0.1426,0.1962,0.1881,0.4343,-0.5996,-0.06934,0.04796,-0.348,0.6323,-0.7535,-1.64,-0.2193,1.311,1.222,0.218,-1.68,0.3878,,,,,,,,,,,,,,
-0.1685,-0.1995,-0.2286,0.563,0.6339,-0.5476,-0.441,0.1646,-0.3657,-0.7194,0.5886,-0.09305,-0.1644,-0.1766,0.01976,-0.3286,-0.2407,-0.07991,-0.5172,-0.2864,-0.2049,1.01,-1.769,-1.201,0.01796,1.094,0.8512,0.8249,-1.683,0.7133,,,,,,,,,,,,,,
0.00892,-0.2779,-0.4745,0.8718,0.7364,-0.8234,-0.2618,-0.1699,-0.533,-0.4284,0.376,0.3669,0.208,0.3882,-0.2491,-0.159,0.01435,0.00845,-0.6352,-0.2654,-0.534,0.3493,-1.067,-0.4766,-0.09417,0.3194,0.6419,0.7905,-0.5565,-1.086,,,,,,,,,,,,,,
-0.1911,-0.596,-0.2764,0.2238,0.3256,-1.037,-0.4505,0.1256,-0.14,-0.2779,0.2351,0.4643,0.775,0.6394,-0.4108,0.02649,-0.1647,0.01145,-0.4446,-0.5391,-0.6892,-0.5632,-1.087,-0.7431,-0.156,0.3108,0.2372,1.051,-0.6075,,,,,,,,,,,,,,,
-0.2331,-0.5231,-0.5226,0.07061,0.5006,-0.7552,-0.4098,-0.4023,0.2561,0.1094,0.1806,0.9442,0.6263,0.8279,-0.2271,-0.2127,0.02338,0.1372,-0.5475,-0.3597,-0.661,-1.044,-1.323,-1.247,-0.1271,0.744,0.1654,0.5136,-0.3399,,,,,,,,,,,,,,,
-0.5683,-0.6733,-0.6635,-0.1683,0.02577,-1.077,0.00261,-0.7248,0.6309,0.1518,0.75,0.9481,0.8518,0.4083,-0.07471,-0.06926,0.1551,0.3213,-0.354,-0.397,-1.117,-0.3912,-0.8856,-0.4499,-0.4023,0.7795,1.046,0.8657,-1.609,-2.844,,,,,,,,,,,,,,
