,,,,,,,,,,,,,,,,,,,,,0.0849,-0.8452,-1.5054,-0.9784,-0.06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.4749,-0.2886,0.1288,-0.784,-0.1901,-0.5565,-0.0961,-0.2219,0.3597,-1.1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.8273,-0.5437,-0.3211,-0.8396,-0.6977,-0.9567,-0.714,-0.6369,-0.1963,-2.5073,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7036,-0.137,-0.0679,-0.3916,-0.6978,-0.6979,0.3382,-0.5232,-0.4698,-0.8122,0.3222,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.6279,1.2443,-0.4124,-0.1946,-0.4338,-0.7684,-0.5786,0.7357,-0.2161,-0.8628,0.0164,-1.7587,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9762,0.3772,-0.537,-0.2867,0.0047,-0.0165,0.1233,-0.0933,-0.7954,-1.0452,0.2694,-0.8436,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.2032,0.1583,0.5493,0.3843,0.5293,-0.4696,-0.0582,-0.2845,0.0613,0.4089,-0.1939,-1.2295,0.6375,-1.1836,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.8085,0.1172,1.1048,0.0657,0.7065,-0.8206,0.2201,-0.1874,0.003,0.1888,-0.099,-1.2631,-0.02,-0.7953,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7943,1.0034,-0.6811,0.3309,1.2568,0.3521,0.0356,-0.1963,0.7028,-0.2431,0.2452,0.0627,-0.6759,-1.1758,-1.0388,-0.9544,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7521,0.8976,-0.1136,0.3706,0.9053,0.931,0.1835,-0.0829,0.9187,-0.2628,0.3023,0.2019,-0.1309,-1.0716,-1.1783,-0.4216,,,,,,,,,,,,,,,,,
,,,,,,,,,0.1108,-0.694,0.609,0.3875,-0.5152,0.1015,1.2664,0.5637,-0.1634,-0.5467,-0.0059,-0.0465,0.2369,-0.0874,0.1273,-0.5669,0.1492,-0.9556,,,,,,,,,,,,,,,,,
