,,,,,,,,,,,,,,,,,,,,,-1.2368,-2.6718,-0.2089,-1.0859,0.8904,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.5289,,,-1.8278,-0.8832,-3.0554,-1.8083,-1.206,-0.6532,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.3056,0.1106,,-1.0485,-1.1251,-2.6352,-2.2353,-2.0441,-0.7862,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1708,0.1082,-0.4106,-0.6825,-1.6238,-1.1649,-2.0356,-0.8749,-1.642,0.1245,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0377,-0.1108,0.8283,0.7249,0.1376,-0.8841,-0.7917,-2.019,-0.2759,-1.837,-0.7828,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.4218,0.0976,0.3991,1.1906,-0.3021,-0.8001,-0.9236,-2.5678,-0.4249,-0.8103,-0.8021,-0.3499,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.4513,0.6518,-0.212,0.2042,-0.3917,0.2646,-1.003,-1.1265,-2.1855,-0.2207,-0.0957,-0.7393,-0.4679,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.4762,0.769,-0.2525,-0.7668,-0.13,0.1658,-0.5116,-0.5292,-2.0785,-0.1262,-0.9743,-1.7698,-0.4726,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-2.2725,0.4312,2.2351,0.0727,0.6084,0.7033,-0.4176,0.2223,-0.0784,-0.8136,-0.6538,-2.5802,0.0133,-2.1669,-1.652,-1.8528,0.5411,,,,,,,,,,,,,,,,
,,,,,,,,,,,-1.9708,0.3084,0.748,1.4033,0.5756,0.1261,-0.1449,-0.0435,-0.408,-1.1863,-0.3073,-2.5114,-0.7364,-1.741,-1.1573,-1.7366,0.3395,,,,,,,,,,,,,,,,
,,,,,,,,,0.1365,0.5496,0.1464,0.7835,0.3439,1.1489,0.8181,0.4133,0.241,-0.1993,-0.5253,-0.9303,0.0335,-2.0088,-0.3717,-1.4281,-0.9873,-1.7317,-1.0719,-2.9154,,,,,,,,,,,,,,,
,,,,,,,,0.0754,0.2998,-0.8908,-0.8148,0.9819,-0.7252,0.2568,0.9192,0.2708,-0.6338,-0.4576,-1.1248,-0.811,-0.7722,-1.5197,-0.9605,-1.845,-1.0879,-1.7105,-1.5089,-3.9268,,,,,,,,,,,,,,,
,,,,,,,-1.8453,-1.2676,0.4962,-0.4566,-0.3836,0.9048,-1.2339,-0.3773,0.5155,-0.0432,-0.729,-0.3718,-0.4882,-1.1506,-0.5194,-1.3446,-1.4485,-1.0124,-1.0516,-2.2367,0.2913,-4.154,,,,,,,,,,,,,,,
,,,,,,0.6719,-0.7684,-0.2764,0.2455,0.232,-1.3426,-0.2906,-0.8306,-0.6238,-0.0653,-0.3748,-0.2335,-0.1822,-0.3383,-1.733,-0.3309,-2.4756,-2.3897,-2.0864,-2.2997,-1.6784,0.0547,-4.165,,,,,,,,,,,,,,,
,,,,,,-0.5622,-0.4351,-0.6087,0.4825,0.2264,-0.94,0.0646,-1.5231,-0.2746,-0.2926,-0.4836,-0.6052,-0.6184,0.075,-1.5138,0.1099,-2.0422,-1.6464,-1.5766,-1.7506,-0.1167,0.0175,-2.9145,,,,,,,,,,,,,,,
