,,,,,,,,,,,,,,,,,,,,,-0.8498,-0.6948,-1.253,-0.6196,-0.7603,-0.2956,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.5971,-0.8334,-1.602,-0.848,-1.152,-0.9382,-1.326,-1.075,-0.3329,-0.1662,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.7006,-0.7027,-1.922,-0.9128,-0.8734,-0.9443,-1.239,-0.8949,-1.209,-0.0477,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7843,-0.9225,-0.4841,-0.8476,-1.586,-0.6985,-0.7201,-0.9845,-0.7486,-0.6214,-0.9303,0.1581,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5954,-0.7002,-0.8606,-0.6742,-1.344,-0.8242,-0.7245,-0.6843,-0.783,-0.4809,-0.8968,-0.2327,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.779,-0.8253,-0.8273,-1.155,-1.252,-0.898,-0.3144,-0.8624,-0.6705,-0.3881,-0.1951,-0.06042,-0.04062,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4646,-0.02794,-0.5656,-1.008,-0.7043,-0.8441,-1.596,-0.8359,-0.4212,-0.383,-0.3903,-0.592,-1.105,-0.3287,0.284,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6136,-0.832,-0.4949,-0.8592,-0.4523,-0.9724,-0.771,-0.4185,-0.5379,-0.04111,-0.4424,-0.4815,-0.731,0.1241,-0.1489,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2756,-0.7441,-1.271,-1.003,-0.186,-1.007,-0.7327,-0.4098,-0.6911,-0.3214,-0.03858,0.1001,-0.1626,-0.5112,-0.7202,-0.1665,0.6061,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2542,-0.7696,-0.7312,-0.7093,-0.3012,-0.8424,-0.5409,-0.445,-0.3674,-0.06591,-0.2051,0.1744,-0.1647,-0.224,-0.6218,0.06386,0.06876,,,,,,,,,,,,,,,,
,,,,,,,,,-0.9649,-0.1824,-0.7905,-0.8364,-0.5296,-0.8547,-0.4282,-0.5749,-0.1653,-0.5714,-0.1827,-0.3046,-0.2975,-0.274,-0.2244,-0.2427,-0.6876,0.4466,0.2232,,,,,,,,,,,,,,,,
,,,,,,,,-1.133,-0.4528,-0.4794,-0.9684,-0.9556,-0.5047,-0.6079,-0.2754,-0.8104,0.01091,-0.1797,-0.5595,0.09404,-0.1174,-0.4387,-0.1576,-0.1981,-0.5294,0.8769,0.1148,,,,,,,,,,,,,,,,
,,,,,,,-0.8785,-0.7361,-0.2519,-0.5535,-0.6448,-0.5562,-0.6113,-0.07005,-0.1638,-0.4982,0.3169,0.1201,-0.1285,0.1394,0.6169,-0.3376,-0.3407,-0.7831,-0.2023,1.691,0.5302,,,,,,,,,,,,,,,,
,,,,,,-0.4591,-0.6943,-0.5605,-0.6179,-1.013,-0.6064,-0.5324,-0.3656,-0.1533,-0.1981,-0.4459,0.5199,0.1375,0.1068,-0.09735,0.08013,0.04678,-0.2256,-0.2185,0.1092,2.419,2.952,,,,,,,,,,,,,,,,
,,,,,,-0.5185,-0.5074,-0.6355,-0.7991,-0.8915,-0.2379,-0.00821,-1.275,-0.3924,0.04464,-0.5585,0.168,0.3969,0.2854,0.29,0.7865,0.4237,0.322,0.7316,0.4225,1.878,2.391,,,,,,,,,,,,,,,,
,,,,,-0.4262,-0.7739,-0.5055,-0.9625,-0.7546,-0.6662,-0.03301,-0.1004,-0.7299,-0.8056,-0.1341,-0.3278,-0.2582,0.6655,0.4668,1.01,1.252,1.19,0.9533,1.209,0.7293,1.855,0.7413,,,,,,,,,,,,,,,,
,,,,0.1792,-0.73,-0.6746,-0.09903,-0.4644,-0.6297,-0.5671,-0.4254,-0.2404,-0.8239,-0.987,0.306,-0.5869,0.2498,0.6276,0.4197,0.4784,0.8429,1.241,1.302,2.206,0.9962,1.936,1.564,,,,,,,,,,,,,,,,
,,,,-0.2507,-1.085,-0.6058,-0.475,-0.6326,-0.6181,-0.7828,-0.3847,-0.3625,-0.1359,-0.1268,0.7285,-0.2685,0.3739,0.5634,-0.2538,-0.1935,1.015,0.7947,1.694,2.282,0.5206,1.666,1.304,,,,,,,,,,,,,,,,
,,,,-0.5605,-0.8216,-0.2592,-0.5673,-0.9414,-0.7572,-0.7749,-0.69,-0.5963,0.198,0.7491,0.6783,0.09915,0.1872,0.6115,-0.7655,-0.4406,0.863,0.679,2.118,2.416,-0.246,2.737,0.1716,,,,,,,,,,,,,,,,
,,,0.3804,0.2199,-0.9103,-0.1232,-0.2181,-0.7505,-0.8621,-0.8501,-0.7162,-0.4428,0.5869,0.4007,0.9532,0.3601,0.4822,0.4836,-0.424,-0.5609,0.727,1.02,2.957,1.428,-0.1686,1.859,1.593,,,,,,,,,,,,,,,,
,,,0.1301,-0.1133,-0.6313,-0.08045,-0.7789,-1.118,-0.6997,-1.065,-0.6428,-0.1684,0.3921,0.3461,0.9341,0.2823,0.5396,0.221,-0.2817,-0.9336,0.7027,1.072,1.958,1.931,-0.5105,0.5604,0.3928,,,,,,,,,,,,,,,,
,,0.7316,0.5498,-0.7055,-0.6933,-0.3172,-0.3978,-0.687,-0.7287,-0.7249,-0.6363,-0.1572,0.3595,0.3139,0.7628,0.9202,0.2354,0.5965,-0.3976,-1.128,0.2825,0.7136,0.8344,1.352,-0.4468,0.06812,0.1007,,,,,,,,,,,,,,,,
,,1.352,0.5893,-0.3376,-0.2388,0.3048,0.2138,0.2973,-0.351,-0.08694,-0.2375,-0.1414,0.3536,0.2116,1.024,0.8042,0.2965,0.4559,-0.3303,-0.1604,0.4092,0.9063,0.4523,1.133,-1.296,-0.04385,-0.381,,,,,,,,,,,,,,,,
,,1.921,0.1481,-0.09426,0.7372,1.05,0.8269,0.6926,-0.2741,-0.1122,0.2923,0.1025,0.3474,0.7013,0.2919,0.5474,0.0507,0.02708,-0.3156,-0.2051,0.344,1.067,1.167,1.413,-1.834,0.1045,-0.9131,,,,,,,,,,,,,,,,
,1.552,2.345,0.3609,0.01261,1.429,1.313,0.8655,1.135,0.367,-0.1564,0.2423,0.2002,-0.08973,0.4159,0.1158,0.0108,0.489,0.08309,-0.5542,0.3728,0.9062,0.9527,1.997,0.9395,-0.7483,-0.3596,0.2164,,,,,,,,,,,,,,,,
