,,,,,,,,,,,,,,,,,,,,,0.113,0.2594,0.03987,0.07656,-0.04598,-0.03475,-0.09591,-0.9812,-0.9838,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.0642,0.4112,0.2218,0.6749,-0.1006,-0.2071,0.4208,-0.09551,0.7083,0.9419,0.08811,-1.026,-1.341,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1404,0.04079,0.03148,0.5583,0.3948,0.2705,0.4795,-0.1539,-0.07848,0.1049,1.092,-1.012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2255,0.5474,0.1379,0.3587,0.0,0.4938,0.1978,0.7865,0.5992,-0.1322,0.2311,0.4733,1.338,-0.171,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1613,0.6778,0.3783,0.487,0.1844,0.6022,0.3078,0.4564,0.7993,-0.3926,0.94,1.218,1.396,-0.5611,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.4401,0.7137,0.6948,0.5696,0.7783,1.354,0.6305,0.9452,1.219,-0.01877,1.597,1.195,2.093,-1.051,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.3337,-0.2165,0.5044,0.9475,0.7278,0.782,1.191,1.091,0.6913,0.9027,1.254,-0.1901,0.3931,0.3533,3.437,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0,-0.07862,0.5727,1.029,0.8002,1.203,0.4229,1.002,0.6551,1.234,1.683,0.2701,-0.429,-0.2337,0.9521,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5066,0.1332,0.0291,0.05333,1.047,1.653,1.424,1.105,0.723,1.482,1.28,1.734,1.83,0.2108,-0.3541,-0.09008,0.4975,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6016,-0.2972,0.7562,0.882,0.6539,1.1,1.701,1.748,0.9192,1.372,0.9886,0.946,1.133,0.3404,-0.2132,0.2869,0.06023,,,,,,,,,,,,,,,,
,,,,,,,,,-0.5751,-0.6369,0.3942,-0.03635,0.6019,0.837,0.9343,1.903,1.782,1.722,0.8087,1.877,1.07,0.6811,1.007,0.2022,-0.0344,0.1283,1.283,,,,,,,,,,,,,,,,
