,,,,,,,,,,,,,,,,,,,,,-0.2292,-0.6091,-0.6985,-0.0775,0.8441,2.1935,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.4067,0.9061,-0.392,-0.6302,0.4814,0.1835,-0.4336,0.7956,1.0481,2.7973,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0188,0.2874,-0.4994,-1.6205,-1.0334,-0.5143,-2.0508,0.5955,0.3791,2.3453,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3605,-0.2844,-0.5032,-0.0284,-0.3784,0.5218,-0.7247,-0.2607,-2.1775,0.6916,-0.3627,1.136,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.5035,-0.4313,-1.1993,-0.2787,-0.2948,0.2795,-0.3873,-0.4865,-1.3396,0.5738,-1.1156,1.2802,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1176,-0.9986,-1.5021,-0.6421,0.3586,0.5818,0.059,-0.0937,-0.6829,0.5547,-0.7747,0.4074,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.2172,-0.54,-0.6085,0.2466,-0.2215,-0.3017,0.1394,0.3562,-0.1625,-0.1776,-0.9869,0.5984,-1.0049,1.1354,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.0209,-1.1507,-0.9105,0.6601,-0.6018,0.0191,-0.3111,-0.1267,-0.4348,-0.5504,-0.7606,0.8094,-0.5284,0.8833,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.9712,-0.3921,0.3927,-0.5691,0.0079,0.2226,-0.623,-0.3549,-0.0237,0.0851,-0.8369,-0.4359,-0.7978,0.3526,0.3889,0.0615,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.4552,-0.6496,0.8322,-0.7356,0.1946,0.1879,-0.6126,-0.2058,0.364,0.4869,0.2116,0.2831,-0.8956,0.7081,0.6564,0.9951,1.3822,,,,,,,,,,,,,,,,
,,,,,,,,,-0.5442,-0.6287,0.8836,-0.8877,0.7795,-0.5097,0.2284,0.5899,-0.5389,0.0239,0.064,0.1314,-0.1815,0.208,-1.2382,0.4352,-0.0652,1.3729,1.4738,,,,,,,,,,,,,,,,
,,,,,,,,-1.2172,-0.2,-0.897,0.468,-0.3495,0.1219,-0.4736,-1.0056,-0.7457,-0.3477,0.1201,0.232,0.0872,-0.411,-0.0117,-0.8164,0.1652,0.4809,1.7476,1.2766,,,,,,,,,,,,,,,,
,,,,,,,-0.0106,-0.6972,-0.4088,-0.3907,-0.1941,-0.3966,-0.4608,-1.1033,-1.2882,-0.6053,-0.5507,-0.0964,0.1005,0.2007,-0.6008,0.3416,-0.6541,0.6658,0.044,-0.2474,0.7673,,,,,,,,,,,,,,,,
,,,,,,-0.7655,-0.0408,-0.8826,-0.453,-0.4353,0.6546,-0.0441,0.0425,-1.0094,-1.0316,0.446,-0.3786,-0.1428,0.3947,0.3248,-0.1616,0.2647,-0.7493,0.3746,-0.0148,1.2369,3.0115,,,,,,,,,,,,,,,,
,,,,,,0.131,-0.5526,-0.2568,-0.6245,-1.4124,-0.3265,-0.3011,-0.3513,-1.0864,-0.9624,0.2489,0.0851,0.0836,0.1214,0.5159,-0.205,0.4312,-0.7698,-0.061,0.1206,1.1335,-0.4589,,,,,,,,,,,,,,,,
,,,,,-0.8383,-0.7486,-1.2249,-1.3,-0.0698,-0.8842,0.0132,-0.4882,-0.2025,-0.9868,-0.5349,-0.2367,-0.1174,-0.053,0.4411,0.5222,0.2523,0.5508,-0.0118,-0.2701,0.7654,0.1128,1.1041,,,,,,,,,,,,,,,,
,,,,1.1001,0.3998,0.899,-1.1911,-0.674,-0.104,-0.85,0.6015,-0.2204,-0.1898,-0.9258,-0.2322,0.0922,-0.3163,-0.3559,0.4085,0.7908,0.2506,0.8638,-0.598,-0.306,-0.0157,0.4786,-0.6879,,,,,,,,,,,,,,,,
,,,,1.6836,1.0209,0.457,-0.4964,-0.9998,-0.7929,-0.9868,-0.0802,-0.81,-0.5672,-1.2374,1.139,-0.1114,-0.3394,-0.3193,0.1944,0.609,0.1186,0.6416,-0.8867,-0.448,0.1098,0.0225,0.6438,,,,,,,,,,,,,,,,
,,,,1.6666,1.2556,0.2493,-0.5497,-1.2942,-0.1931,-1.0793,-0.5126,-0.9677,-0.7619,-1.087,0.3867,-0.9502,-0.5441,-0.1028,0.8138,0.894,0.643,0.4723,-0.8594,-0.44,0.37,0.1035,1.1889,-2.3844,,,,,,,,,,,,,,,
,,,-0.1664,1.4431,0.4742,0.0627,-0.4042,-0.9793,-0.597,-1.1026,-0.3892,0.0529,-0.7285,-0.9943,-0.023,-0.5845,-0.0153,-0.1716,0.853,0.0508,0.9696,0.37,-1.2288,-0.0377,0.0451,-0.1911,-0.0109,-2.8553,,,,,,,,,,,,,,,
,,,-0.1018,1.3407,0.9529,0.2821,-0.6738,-0.8056,-0.4561,-1.1595,0.1849,-0.343,-0.9051,-1.1842,0.7576,-0.5268,0.0168,0.1344,0.7218,0.2087,0.7623,0.4828,-0.8663,-0.0648,-1.0426,-0.6866,-0.7148,-1.6819,,,,,,,,,,,,,,,
,,-0.6775,0.1368,0.6503,0.7395,-0.0617,-0.4378,-0.8298,0.0683,-0.4477,0.1782,-0.5476,-0.9127,-1.1952,0.4384,-0.11,0.0484,0.5776,1.0098,0.267,0.9684,0.987,-0.3754,0.3303,-0.5588,-0.8957,-0.0963,0.0291,,,,,,,,,,,,,,,
,,-0.1076,0.6233,0.8079,0.5331,0.137,-0.0333,-0.7612,-0.0267,0.2204,-0.4699,-0.5139,-0.5459,-1.1792,0.0461,0.0911,0.275,0.6261,0.6106,0.6156,0.4096,0.456,-0.1726,-0.4806,-0.8717,-0.2593,-1.1249,-0.3765,-6.0401,,,,,,,,,,,,,,
,,0.1147,0.5341,1.046,0.4273,0.0674,-0.4419,-0.7064,0.0468,0.12,0.1002,0.1965,-0.6293,-1.0352,0.1238,-0.1157,-0.0311,0.3447,0.6673,0.4385,0.4797,0.4099,-0.8368,-0.4955,-0.4422,-0.3547,-0.5753,-2.8993,-0.6656,,,,,,,,,,,,,,
,-0.5578,-0.2006,0.5309,0.6906,0.2135,-0.1456,-0.1443,-0.0876,0.3843,0.5155,-0.0703,0.1477,-0.2544,-0.5065,0.1204,0.0465,-0.326,0.0226,-0.3783,-0.3381,0.5001,0.0909,-0.8107,-0.3974,-0.6348,0.1347,-0.0758,-1.2403,-2.8463,,,,,,,,,,,,,,
,-0.3062,0.6722,0.4272,0.5054,0.1544,-0.5948,0.1421,0.0475,-0.0306,0.1057,0.0051,0.4322,-0.072,-0.3055,0.6302,0.6543,-0.2142,-0.3823,-0.2368,0.0959,0.1532,-0.1581,-0.8639,-0.6677,-0.373,0.3768,0.2364,-0.424,-3.3939,,,,,,,,,,,,,,
,0.4985,0.7959,0.6033,0.5424,-0.0182,-0.4836,-0.0564,0.0073,-0.1696,0.2146,0.1865,0.4186,-0.0975,-0.1317,0.8721,0.4304,0.2463,-0.0202,-0.0197,-0.1094,0.4126,-0.3423,-0.9515,-0.6911,-0.1731,0.3571,0.6243,-0.2686,-3.2782,,,,,,,,,,,,,,
,1.2273,0.5603,0.1504,0.8014,0.2226,-0.5449,0.4357,0.0126,0.0387,0.2067,0.3128,0.36,-0.3117,0.0925,1.3352,0.6747,0.2824,-0.0358,0.0852,-0.7393,0.0834,-0.1993,-1.2351,-0.3927,-0.5438,0.0253,0.3266,-1.2423,-4.5348,,,,,,,,,,,,,,
,1.2106,0.4235,0.1681,0.6204,0.1791,-0.3134,0.3268,-0.4666,-0.1771,-0.1147,0.4111,0.275,-0.0024,0.2799,0.9956,1.122,0.7139,0.6098,0.0446,-0.3336,0.1916,0.0591,-0.8165,-0.4062,-0.1516,-0.2371,-0.5141,-1.9363,-4.1205,,,,,,,,,,,,,,
-0.0993,1.0266,0.2514,0.3818,0.7508,-0.1262,-0.3045,0.1333,-0.4846,-0.4848,-0.3036,0.1778,0.0218,0.1427,0.2563,0.6018,1.1916,0.7272,0.5346,0.6248,0.6661,0.2388,0.5941,-0.4121,0.0104,0.378,-0.3464,-1.1307,-1.2736,-2.5557,,,,,,,,,,,,,,
0.1083,1.0457,0.4162,0.699,1.2446,-0.5942,-0.1936,0.042,-0.1814,-0.4379,-0.6402,-0.3845,-0.1027,-0.1973,-0.1971,0.3488,1.1378,0.0892,0.3865,0.7917,0.5024,0.5886,1.0839,-0.6939,0.1754,-0.0366,-0.8357,-1.0887,-0.8448,-1.6907,,,,,,,,,,,,,,
-0.2066,0.8674,0.6749,0.5609,0.6596,-0.6453,-0.3976,-0.1694,-0.7009,-0.2248,-0.6036,-0.5529,-0.0766,-0.8555,-0.5274,-0.0494,1.1135,0.6493,0.5994,0.1582,-0.2776,0.1821,1.1548,-0.0784,-0.1102,0.0501,-0.3917,-0.7255,-1.1656,-3.1555,,,,,,,,,,,,,,
-0.0802,1.2424,0.8524,0.4837,0.7389,-0.3713,-0.5309,-0.4576,-0.5952,-0.1451,-0.8377,0.1288,-0.5786,-0.2084,-0.6286,0.0416,0.3977,0.2878,-0.0231,0.3204,-0.5944,0.1246,0.2847,0.0059,0.1946,-0.134,0.2638,-1.1726,-0.9286,-2.7053,,,,,,,,,,,,,,
0.1077,1.1133,0.2623,-0.0577,0.7245,-0.2449,-0.5336,-0.1494,-0.5592,-0.5846,-0.3876,-0.2643,-1.1733,-0.6498,-0.4938,-0.2265,0.8262,0.0477,0.1813,0.186,-0.609,0.0842,-0.0477,-0.2963,0.6314,-0.1132,0.3133,-1.0388,-1.1574,-1.8236,,,,,,,,,,,,,,
