,,,,,,,,,,,,,,,,,,,,,0.1093,-0.2154,-0.5729,-0.1091,1.0537,-0.3823,-0.1994,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2471,-2.0952,-2.079,-1.1641,0.0843,0.293,-0.0336,-0.0443,0.0544,-0.9067,1.5758,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.8917,-1.3814,-0.6365,-1.1467,-0.2503,0.1163,0.7633,0.1578,-0.773,-0.8848,1.0523,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8804,-0.9618,-0.863,-1.4033,-1.204,-1.1383,1.2334,-0.2158,0.4732,0.9714,-0.9166,-1.6985,0.2826,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.165,-0.2516,-0.7875,-1.9951,-1.3651,-1.4994,2.3499,-0.1187,0.2647,0.5365,-0.1611,-1.8394,-0.1678,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3094,0.3308,-0.0412,-1.0081,-0.8497,-0.4291,1.1927,-0.1515,0.1615,0.439,0.813,-0.0512,0.092,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.2359,-0.6052,-0.2076,0.5199,0.6021,-1.1657,-0.7,0.2904,0.5009,0.2622,0.5444,-0.4996,0.55,-0.5093,0.0383,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.0029,-0.3718,-0.3364,-0.3896,-0.4396,-0.7489,-0.5401,-0.1609,-0.1128,-0.1972,0.7806,-0.2934,0.6179,-0.416,1.1418,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.797,0.0726,0.0086,-1.0837,-0.0935,-0.5445,-0.4231,-0.4534,-0.954,0.086,0.1402,0.0456,-0.5098,0.5861,0.8286,-0.453,-0.314,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.7305,0.346,-0.2588,-0.7458,-0.2388,-0.2696,-0.4529,0.0841,0.035,0.8897,0.4975,0.1584,0.264,-0.0052,0.5289,-0.5723,1.5384,,,,,,,,,,,,,,,,
,,,,,,,,,-0.3066,-0.4016,-0.6089,0.4882,0.1489,-0.5437,0.2997,-0.1252,-0.8165,-0.1536,0.2259,0.7646,1.3933,0.2831,0.4192,-0.6172,0.0192,0.0924,0.1715,,,,,,,,,,,,,,,,
,,,,,,,,0.0159,0.1016,-0.2714,0.7459,1.6569,0.1807,-0.6935,0.7351,-0.2689,-0.4221,-0.0296,0.2391,0.1059,0.5208,0.2665,-0.2316,-0.9936,0.0267,-0.7793,1.2648,,,,,,,,,,,,,,,,
,,,,,,,-0.2353,0.4281,-0.1812,-0.0978,0.389,0.8671,0.3904,-0.3145,0.4766,-0.8626,-0.7714,-0.4766,-0.1665,0.1826,-0.57,0.5243,-0.4604,0.3954,0.2283,0.2081,0.4994,,,,,,,,,,,,,,,,
,,,,,,0.6419,0.6183,-0.1286,-0.6355,0.4174,0.1525,0.8469,0.2292,-0.6606,0.4902,-0.7616,-0.4833,-0.2954,-0.0164,0.3408,-0.0253,-0.2415,-0.5626,-0.0447,-0.5666,0.0334,1.9723,,,,,,,,,,,,,,,,
,,,,,,0.7467,0.4726,0.0365,-0.017,-0.1586,0.0143,0.9799,0.1433,-0.3819,0.4927,-0.7593,0.2794,0.0688,-0.0074,0.5958,0.7911,-0.6428,1.0408,0.6816,0.7766,1.2768,1.8736,,,,,,,,,,,,,,,,
,,,,,-0.0945,0.8888,0.4911,-0.0321,0.1114,-0.378,0.0217,0.4827,0.5734,-0.7308,0.2096,-0.5004,-0.6853,-0.2554,0.0059,0.6367,0.8312,-0.8214,0.9489,1.8084,0.42,0.8905,2.2912,,,,,,,,,,,,,,,,
,,,,0.3523,-0.4977,0.3512,-0.009,0.0293,0.6009,0.0752,-0.0348,0.3549,0.7423,-0.5642,0.1061,0.2067,-0.5138,-0.3844,0.3668,-0.0726,0.5768,0.1522,-0.3133,1.553,1.1572,0.6268,1.2904,,,,,,,,,,,,,,,,
,,,,0.3074,0.008,0.5001,0.106,0.6318,-0.1778,-0.1762,0.2741,0.3978,0.1342,-0.8156,0.2922,0.1485,0.3626,1.0822,-0.0086,0.5151,0.2614,0.0754,-0.1465,0.8296,1.2936,0.7731,-0.0374,,,,,,,,,,,,,,,,
,,,,0.3715,-0.3182,0.4304,0.5015,0.2511,0.3263,0.0226,-0.0182,0.1072,0.013,-0.7494,0.8151,-0.2732,1.1797,1.6603,0.3362,1.0846,0.1868,-0.1122,0.1569,-0.1257,0.9929,0.7216,0.3517,,,,,,,,,,,,,,,,
,,,0.4379,0.1524,0.1292,0.04,-0.0314,0.4192,0.1745,0.0075,0.3013,0.3778,-0.3576,-0.5963,1.2808,0.6881,1.6371,2.5371,0.2596,0.5516,-0.048,0.2572,-0.0787,-1.0386,0.2666,0.0827,0.4506,1.7082,,,,,,,,,,,,,,,
,,,1.6443,0.0095,-0.1412,-0.2503,0.0819,0.4704,0.2801,0.0134,0.6261,0.5637,-0.2969,-0.2489,0.9669,1.4151,2.6716,2.7742,1.2728,0.8941,0.5398,0.6279,0.1935,-0.1658,-0.4298,-0.8017,0.3452,2.7916,,,,,,,,,,,,,,,
,,1.0323,0.1044,0.1466,-0.9213,0.1311,-0.424,-0.1436,0.4471,0.7115,0.9144,1.2093,0.6628,0.4636,1.2658,1.0939,2.0515,1.1107,1.9757,1.0769,1.1079,0.5526,0.294,-0.3165,-0.1644,0.0313,-1.1792,1.6325,-0.1093,-0.6015,,,,,,,,,,,,,
,,1.6266,0.1868,-0.1504,-0.7093,0.2763,-0.2756,-0.2208,0.278,1.2483,0.7502,0.8317,0.9995,0.2801,1.9506,0.3289,1.6255,1.8669,0.7905,0.188,0.331,0.1424,-0.4764,-0.1823,-0.2588,0.0109,-0.7444,1.7422,-0.9316,0.4524,,,,,,,,,,,,,
,,0.9625,0.1846,-0.1876,-0.3672,0.3028,0.4896,0.4889,0.9054,1.7686,1.1203,1.1512,1.2845,-0.0555,2.7686,0.3201,1.6011,2.6628,0.0156,0.551,-0.1724,-0.2196,-0.2984,0.1604,0.3128,0.019,-0.8463,-0.5055,-0.8928,0.7553,,,,,,,,,,,,,
