,,,,,,,,,,,,,,,,,,,,,-0.7735,-0.2985,-2.1254,-0.6572,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2112,-0.6441,-0.7144,-0.3246,-0.865,-0.2418,-1.3481,-0.9017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3435,-0.6989,-1.168,0.0022,-1.044,-0.5874,-1.3164,-1.4922,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.0721,-0.0413,-0.9832,-0.7564,-0.1525,-0.7593,-0.6362,-0.7443,-0.7933,-0.6747,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.6112,-0.1963,-0.4698,-0.6065,-0.3379,-1.3314,-0.7183,-0.3082,-0.4843,-0.198,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.8985,-0.1576,-0.2994,-0.3914,-0.2423,-0.3339,-0.6105,-0.3345,-0.3806,-0.8813,-0.9681,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.8356,-1.0889,-0.9366,-0.2772,0.1428,0.102,-0.314,-0.638,-1.2298,-1.2135,0.0028,-0.4864,-0.5728,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.8066,-0.6859,-0.5811,0.0231,-0.5507,-0.615,-0.0986,-0.2789,-0.5145,-0.698,-0.7011,0.0856,-0.0273,1.9641,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2576,-0.9233,-0.3653,-0.5152,-0.4166,-0.5076,-0.2628,-0.6119,-0.2752,-0.5819,-0.4114,-0.2222,-0.1756,-0.1602,-0.2167,0.5595,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2559,-1.0176,-0.4839,-0.0309,-0.8603,-0.7299,-0.27,0.1555,-0.3184,-0.3232,-0.3886,-0.4536,-0.5257,-0.4221,0.608,-0.7457,,,,,,,,,,,,,,,,,
,,,,,,,,,0.1478,0.2947,-0.0008,-0.1333,-0.2162,-0.0072,-0.5051,-0.4089,-0.5337,0.0651,-0.3899,-0.5109,-0.4225,0.5402,-0.4688,-0.7046,0.1156,-1.0836,0.2431,,,,,,,,,,,,,,,,
,,,,,,,,0.5489,-0.7109,-0.496,0.2623,-0.1064,-0.2748,-0.7519,-0.4248,-0.9314,-0.2448,-0.0057,-0.3856,-0.5125,-0.1874,-0.1726,0.0058,-0.492,-0.2715,-0.78,1.0754,-3.2546,,,,,,,,,,,,,,,
,,,,,,,0.134,0.1796,-0.118,-0.3064,0.2543,0.0428,-0.5764,-1.0239,-0.2001,-0.4103,-0.1148,0.4817,-0.5235,-0.3328,0.0566,-0.0088,-0.0273,0.5827,-0.8414,0.0366,0.2654,-1.244,,,,,,,,,,,,,,,
,,,,,,0.8969,0.2915,0.3907,-0.8591,-0.5228,0.0337,0.0152,-0.5563,-0.9243,-0.3196,-0.1274,0.4277,0.6294,-0.2294,0.0941,-0.0023,0.4936,0.5298,0.2607,0.3709,-0.4317,1.1604,-1.4673,,,,,,,,,,,,,,,
,,,,,,-0.0497,0.417,0.727,-0.8252,-0.3816,-0.3627,-0.2399,-0.585,-0.8316,0.0379,0.0975,0.1367,0.2497,0.3617,-0.0801,-0.0577,0.1111,0.2597,0.4695,0.6126,-0.0867,1.9331,-3.2454,,,,,,,,,,,,,,,
,,,,,-0.1473,0.3826,0.4359,0.2879,0.1435,-0.4844,-0.2331,0.1383,-1.1843,-0.5726,0.1873,-0.1821,0.3267,0.5044,0.9098,0.4808,0.4228,0.0077,0.2974,0.2698,0.1802,-1.1107,2.4893,-0.9887,,,,,,,,,,,,,,,
,,,,0.8852,-1.0945,0.74,0.0053,-0.097,0.1633,-0.2796,-0.2801,-0.4939,-1.3313,-0.9095,0.7427,0.7669,0.7582,0.9374,0.5051,0.4118,0.548,-0.1128,0.2055,0.3299,0.4146,-0.3846,0.8594,-1.3046,,,,,,,,,,,,,,,
,,,,1.0877,-0.3317,0.6118,0.1069,0.2012,-0.1202,-0.6503,-0.1779,-0.4556,-0.6748,-0.5866,0.2387,1.0001,0.9852,0.9983,0.9874,1.6006,0.5684,0.8629,0.2598,0.2032,0.0779,0.5154,1.1553,-0.0686,,,,,,,,,,,,,,,
,,,,0.2705,-0.272,0.0142,-0.0036,0.2626,-0.4553,-1.0272,-0.4998,-0.4813,0.183,-0.4776,0.2136,0.7898,1.1303,1.6325,1.0588,0.9969,0.4443,0.6754,-0.2184,-0.7773,0.3639,0.5907,0.895,-0.2061,,,,,,,,,,,,,,,
,,,0.9985,0.0022,0.2901,0.1122,0.8016,0.1942,-0.5861,-0.5116,-0.602,-0.48,0.3592,-0.1413,0.1521,0.3764,1.7103,2.0702,2.0026,1.4545,-0.126,-0.162,0.0555,0.0073,0.4283,0.1086,0.2244,-0.8816,,,,,,,,,,,,,,,
,,,1.6891,0.2456,0.4102,0.0046,0.4899,-0.3707,-0.3351,-0.7496,-0.4426,-0.6164,-0.1171,-0.1276,0.4798,0.7732,2.1006,2.3391,2.3347,1.5836,-0.3414,-0.4906,0.9266,0.5891,0.2667,0.7806,0.4558,-0.0826,0.165,,,,,,,,,,,,,,
,,1.4517,1.2856,0.2107,-0.1631,0.5011,0.1873,-0.2584,0.1589,-0.4662,-0.2531,-0.1885,0.4058,0.405,1.2663,1.5651,1.808,2.7454,2.0411,1.1728,-0.6223,-0.746,-0.0479,0.2253,0.7004,0.7761,0.3536,-0.2045,-0.1558,,,,,,,,,,,,,,
,,1.3223,0.694,-0.1932,-0.2716,0.3493,-0.0676,0.2681,-0.1766,-0.7118,-0.3686,0.1426,0.141,0.9901,0.9718,1.3967,2.1606,2.3959,1.6787,0.9571,0.0773,-0.4778,-0.5949,0.1751,-0.3683,0.5135,1.5479,0.2538,,,,,,,,,,,,,,,
,,1.5693,0.7056,-0.2603,-0.1245,0.3102,0.1897,0.3727,-0.3356,-0.6739,-0.1503,-0.2053,-0.2286,1.1452,1.3082,1.4079,2.1844,2.0672,1.9186,1.5781,0.0569,0.1161,0.3302,0.0856,0.701,0.5365,1.113,-0.5869,,,,,,,,,,,,,,,
,-0.2288,1.8118,0.9525,-0.1131,0.4993,0.227,0.3458,0.5911,0.1488,-0.3383,0.0312,-0.5444,0.1443,0.8852,0.6088,0.9542,2.1302,2.1045,2.0009,1.5325,0.2193,-0.1624,0.2746,-0.8627,0.9928,0.1934,-0.1751,-2.3644,,,,,,,,,,,,,,,
,0.7401,1.6148,0.9183,-0.0895,0.1454,0.562,0.649,-0.1454,-0.0414,0.0386,-0.1056,-0.1975,0.0377,0.0609,0.7227,0.9931,1.2634,1.4516,1.3738,1.1226,-0.0167,-0.6131,0.1724,0.2466,0.134,0.4402,0.1236,0.283,,,,,,,,,,,,,,,
