CID,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates
4,0.0,0.386,0.6,0.28,0.94,2.67,0.6898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
11,-0.778,0.416,0.64,0.1,0.11,2.573,0.6352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
176,2.252925,0.265,0.64,0.62,0.44,1.816,0.4648,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.5,0.0,1
177,2.82391,0.208,0.67,0.0,0.45,1.23,0.4061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
180,-0.6104999999999999,0.179,0.7,0.04,0.49,1.696,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3.5,1.0,1
222,-0.17609,0.139,0.39,0.16,0.56,0.319,0.2084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
241,-0.43136,0.61,0.52,0.0,0.14,2.786,0.7164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
261,2.01031,0.18699999999999997,0.65,0.0,0.45,2.27,0.6879,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,0.3333333333333333,2
263,0.935805,0.224,0.42,0.37,0.48,2.601,0.7309,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.25,3
264,3.24975,0.21,0.64,0.61,0.45,2.75,0.7466,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,2
284,-0.886,0.343,0.75,0.76,0.33,1.545,0.3239,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
313,1.3098,0.36,0.32,0.1,0.0,1.193,0.3534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
335,3.55284,0.84,0.86,0.52,0.3,4.218,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
342,4.0,0.822,0.88,0.57,0.34,4.31,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
356,-0.23045,0.0,0.0,0.0,0.0,3.677,1.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
379,4.012499999999999,0.15,0.65,0.62,0.45,4.68,1.3102,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,3.0,0.5,1
402,3.38722,0.31,0.32,0.1,0.08,0.706,0.2721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
454,3.719,0.16,0.65,0.0,0.45,4.361,1.2515,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,0.3333333333333333,2
