CID,MolecularWeight,IsomericSMILES,IUPACName,name
1119,64.07,O=S=O,sulfur dioxide,sulfur dioxide
313,36.46,Cl,chlorane,hydrochloric acid
8003,72.15,CCCCC,pentane,pentane
6556,72.15,CCC(C)C,2-methylbutane,2-methylbutane
8058,86.18,CCCCCC,hexane,hexane
7892,86.18,CCCC(C)C,2-methylpentane,2-methylpentane
7282,86.18,CCC(C)CC,3-methylpentane,3-methylpentane
6403,86.18,CCC(C)(C)C,"2,2-dimethylbutane","2,2-dimethylbutane"
6589,86.18,CC(C)C(C)C,"2,3-dimethylbutane","2,3-dimethylbutane"
8900,100.20,CCCCCCC,heptane,heptane
11582,100.20,CCCCC(C)C,2-methylhexane,2-methylhexane
11507,100.20,CCCC(C)CC,3-methylhexane,3-methylhexane
12048,100.20,CCC(CC)CC,3-ethylpentane,3-ethylpentane
11542,100.20,CCCC(C)(C)C,"2,2-dimethylpentane","2,2-dimethylpentane"
11260,100.20,CCC(C)C(C)C,"2,3-dimethylpentane","2,3-dimethylpentane"
7907,100.20,CC(C)CC(C)C,"2,4-dimethylpentane","2,4-dimethylpentane"
356,114.23,CCCCCCCC,octane,octane
11594,114.23,CCCCCC(C)C,2-methylheptane,2-methylheptane
11519,114.23,CCCCC(C)CC,3-methylheptane,3-methylheptane
11512,114.23,CCCC(C)CCC,4-methylheptane,4-methylheptane
10907,114.23,CC(C)CC(C)(C)C,"2,2,4-trimethylpentane","2,2,4-trimethylpentane"
8141,128.25,CCCCCCCCC,nonane,nonane
19041,128.25,CC(C)CCC(C)(C)C,"2,2,5-trimethylhexane","2,2,5-trimethylhexane"
15600,142.28,CCCCCCCCCC,decane,decane
14257,156.31,CCCCCCCCCCC,undecane,undecane
8182,170.33,CCCCCCCCCCCC,dodecane,dodecane
7296,84.16,CC1CCCC1,methylcyclopentane,methylcyclopentane
8078,84.16,C1CCCCC1,cyclohexane,cyclohexane
7962,98.19,CC1CCCCC1,methylcyclohexane,methylcyclohexane
8252,42.08,CC=C,prop-1-ene,propylene
7844,56.11,CCC=C,but-1-ene,1-butene
8255,56.11,CC(=C)C,2-methylprop-1-ene,isobutylene
8004,70.13,CCCC=C,pent-1-ene,1-pentene
11597,84.16,CCCCC=C,hex-1-ene,1-hexene
11610,98.19,CCCCCC=C,hept-1-ene,1-heptene
7845,54.09,C=CC=C,"buta-1,3-diene","1,3-butadiene"
6557,68.12,CC(=C)C=C,"2-methylbuta-1,3-diene",isoprene
6212,119.37,C(Cl)(Cl)Cl,chloroform,chloroform
5943,153.8,C(Cl)(Cl)(Cl)Cl,tetrachloromethane,carbon tetrachloride
6575,131.38,C(=C(Cl)Cl)Cl,"1,1,2-trichloroethene",trichloroethylene
