Stimulus,Labels
1,[]
2,"['woody', 'piney']"
3,"['ethereal', 'winey']"
4,"['green', 'fruity']"
5,"['oily', 'green']"
6,"['fruity', 'green']"
7,"['oily', 'green']"
8,['floral']
9,"['ethereal', 'winey']"
10,"['green', 'herbaceous', 'oily']"
11,"['floral', 'rose', 'jasmin', 'green', 'earthy', 'herbaceous']"
12,"['ethereal', 'green', 'leafy']"
13,"['hay', 'floral', 'animal', 'mimosa']"
14,"['spicy', 'balsamic', 'fruity', 'earthy', 'leafy', 'floral']"
15,"['fruity', 'balsamic', 'spicy', 'rose', 'floral', 'vanillin']"
16,['sour']
17,"['herbaceous', 'woody', 'orris']"
18,['ethereal']
19,"['ethereal', 'camphor']"
20,['ethereal']
21,['almondy']
22,['ethereal']
23,"['spicy', 'caramelic', 'fruity', 'floral']"
24,"['orange-blossom', 'floral', 'animal']"
25,"['green', 'spicy', 'floral']"
26,"['floral', 'animal']"
27,[]
28,"['vanillin', 'spicy']"
29,"['ethereal', 'minty', 'metallic', 'minty']"
30,"['musky', 'animal']"
31,"['creamy', 'buttery', 'oily']"
32,"['creamy', 'fruity', 'buttery']"
33,"['oily', 'buttery', 'herbaceous']"
34,"['caramelic', 'ethereal']"
35,"['fruity', 'buttery', 'sour']"
36,"['camphor', 'floral']"
37,"['camphor', 'minty', 'herbaceous', 'floral']"
38,"['woody', 'herbaceous', 'tobacco']"
39,"['balsamic', 'tobacco', 'floral']"
40,"['musky', 'animal', 'sour']"
41,"['woody', 'musk']"
42,[]
43,"['creamy', 'fatty', 'buttery']"
44,[]
45,"['oily', 'buttery']"
46,['tobacco']
47,"['buttery', 'animal', 'oily']"
48,"['oily', 'buttery', 'fruity']"
49,"['floral', 'vanillin']"
50,[]
51,[]
52,[]
53,[]
54,[]
55,"['medicinal', 'anisic', 'herbaceous', 'minty']"
56,"['minty', 'woody']"
57,['floral']
58,"['herbaceous', 'oily']"
59,"['gassy', 'herbaceous']"
60,"['woody', 'caramelic']"
61,['musk']
62,"['woody', 'animal']"
63,"['ethereal', 'winey', 'fruity']"
64,"['fruity', 'balsamic', 'grape', 'green']"
65,"['berry', 'fruity']"
66,"['ethereal', 'fruity']"
67,"['fruity', 'peachy', 'apricot', 'apple']"
68,"['musk', 'herbaceous', 'minty']"
69,"['banana', 'pineapple', 'fatty']"
70,"['fatty', 'fruity', 'pineapple', 'peachy', 'ethereal', 'pine']"
71,"['fruity', 'fatty', 'banana', 'pineapple', 'oily', 'winey']"
72,"['peachy', 'apricot', 'winey', 'balsamic']"
73,[]
74,"['fruity', 'ethereal']"
75,"['fruity', 'fatty']"
76,"['fatty', 'fruity']"
77,"['fruity', 'pineapple']"
78,['fruity']
79,"['oily', 'fruity']"
80,['fruity']
81,"['ethereal', 'fruity']"
82,"['musty', 'mushroom']"
83,"['caramelic', 'fruity']"
84,"['green', 'leafy']"
85,"['fruity', 'banana']"
86,"['oily', 'floral', 'fruity', 'woody', 'green']"
87,[]
