CID,MolecularWeight,IsomericSMILES,IUPACName,name
49,116.11,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid,3-methyl-2-oxobutanoic acid
107,150.17,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid,hydrocinnamic acid
126,122.12,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde
176,60.05,CC(=O)O,acetic acid,acetic acid
177,44.05,CC=O,acetaldehyde,acetaldehyde
179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
196,146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
196,146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
239,89.09,C(CN)C(=O)O,3-aminopropanoic acid,beta-alanine
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
241,78.11,C1=CC=CC=C1,benzene,benzene
243,122.12,C1=CC=C(C=C1)C(=O)O,benzoic acid,benzoic acid
243,122.12,C1=CC=C(C=C1)C(=O)O,benzoic acid,benzoic acid
244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
261,72.11,CCCC=O,butanal,butyraldehyde
263,74.12,CCCCO,butan-1-ol,1-butanol
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
326,148.20,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
326,148.20,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
