"","Participant","Group","Ranking","OdorName","Subsistence"
"1",3,"Thai",3,"Vanillin","Urban"
"2",1,"Thai",3,"Vanillin","Urban"
"3",1,"Cha'palaa",5,"Vanillin","Farmer"
"4",8,"Imbabura Quechua",1,"Vanillin","Farmer"
"5",11,"Maniq",7,"Vanillin","Hunter-gatherer"
"6",27,"Mexican",1,"Vanillin","Urban"
"7",6,"Seri",1,"Vanillin","Hunter-gatherer"
"8",11,"Cha'palaa",2,"Vanillin","Farmer"
"9",2,"Semaq Beri",5,"Vanillin","Hunter-gatherer"
"10",15,"Maniq",7,"Vanillin","Hunter-gatherer"
"11",12,"Cha'palaa",5,"Vanillin","Farmer"
"12",7,"Seri",2,"Vanillin","Hunter-gatherer"
"13",19,"Imbabura Quechua",1,"Vanillin","Farmer"
"14",4,"Mexican",6,"Vanillin","Urban"
"15",25,"Mah Meri",3,"Vanillin","Farmer"
"16",7,"Semaq Beri",1,"Vanillin","Hunter-gatherer"
"17",15,"Cha'palaa",5,"Vanillin","Farmer"
"18",9,"Mah Meri",2,"Vanillin","Farmer"
"19",19,"Seri",2,"Vanillin","Hunter-gatherer"
"20",6,"Imbabura Quechua",1,"Vanillin","Farmer"
"21",14,"Imbabura Quechua",2,"Vanillin","Farmer"
"22",17,"Thai",3,"Vanillin","Urban"
"23",7,"Mah Meri",2,"Vanillin","Farmer"
"24",2,"Mexican",3,"Vanillin","Urban"
"25",1,"Mah Meri",2,"Vanillin","Farmer"
"26",24,"Semelai",2,"Vanillin","Farmer"
"27",8,"Thai",2,"Vanillin","Urban"
"28",4,"Thai",2,"Vanillin","Urban"
"29",5,"Seri",2,"Vanillin","Hunter-gatherer"
"30",6,"Maniq",3,"Vanillin","Hunter-gatherer"
"31",5,"Maniq",2,"Vanillin","Hunter-gatherer"
"32",25,"Cha'palaa",4,"Vanillin","Farmer"
"33",5,"Cha'palaa",4,"Vanillin","Farmer"
"34",13,"Seri",1,"Vanillin","Hunter-gatherer"
"35",3,"Cha'palaa",2,"Vanillin","Farmer"
"36",13,"Cha'palaa",2,"Vanillin","Farmer"
"37",23,"Semelai",1,"Vanillin","Farmer"
"38",16,"Seri",3,"Vanillin","Hunter-gatherer"
"39",13,"Mah Meri",2,"Vanillin","Farmer"
"40",3,"Seri",1,"Vanillin","Hunter-gatherer"
"41",9,"Thai",1,"Vanillin","Urban"
"42",20,"Imbabura Quechua",1,"Vanillin","Farmer"
"43",9,"Cha'palaa",2,"Vanillin","Farmer"
"44",12,"Imbabura Quechua",6,"Vanillin","Farmer"
"45",5,"Mah Meri",1,"Vanillin","Farmer"
"46",7,"Semelai",3,"Vanillin","Farmer"
"47",10,"Mah Meri",5,"Vanillin","Farmer"
"48",25,"Seri",2,"Vanillin","Hunter-gatherer"
"49",23,"Mexican",1,"Vanillin","Urban"
"50",11,"Semelai",3,"Vanillin","Farmer"
"51",17,"Imbabura Quechua",1,"Vanillin","Farmer"
"52",4,"Seri",1,"Vanillin","Hunter-gatherer"
"53",24,"Cha'palaa",8,"Vanillin","Farmer"
"54",15,"Mah Meri",3,"Vanillin","Farmer"
"55",21,"Imbabura Quechua",3,"Vanillin","Farmer"
"56",24,"Thai",1,"Vanillin","Urban"
"57",6,"Mah Meri",5,"Vanillin","Farmer"
"58",31,"Mexican",3,"Vanillin","Urban"
"59",19,"Mah Meri",2,"Vanillin","Farmer"
"60",15,"Imbabura Quechua",3,"Vanillin","Farmer"
"61",12,"Semelai",9,"Vanillin","Farmer"
"62",6,"Mexican",3,"Vanillin","Urban"
"63",34,"Mexican",1,"Vanillin","Urban"
"64",1,"Seri",2,"Vanillin","Hunter-gatherer"
