OdorKey,Rater,Rep1,Rep2,CID,OdorName
827,MK,4,1,6549,Linalool
827,AH,5,4,6549,Linalool
827,KB,3,2,6549,Linalool
827,SJ,2,2,6549,Linalool
827,JDM,3,5,6549,Linalool
827,MA,3,3,6549,Linalool
827,JM,2,2,6549,Linalool
827,NG,3,3,6549,Linalool
827,BN,2,2,6549,Linalool
827,BP,2,2,6549,Linalool
879,JDM,5,4,3314,Eugenol
879,NG,6,4,3314,Eugenol
879,BN,5,4,3314,Eugenol
879,MA,2,2,3314,Eugenol
879,KB,4,5,3314,Eugenol
879,BP,6,5,3314,Eugenol
879,MK,5,4,3314,Eugenol
879,AH,4,3,3314,Eugenol
879,JM,4,8,3314,Eugenol
879,SJ,6,4,3314,Eugenol
880,MA,9,10,10430,Isovaleric acid
880,MK,10,10,10430,Isovaleric acid
880,AH,10,10,10430,Isovaleric acid
880,KB,10,10,10430,Isovaleric acid
880,BP,10,10,10430,Isovaleric acid
880,SJ,10,10,10430,Isovaleric acid
880,JDM,10,10,10430,Isovaleric acid
880,JM,9,9,10430,Isovaleric acid
880,NG,9,9,10430,Isovaleric acid
880,BN,9,9,10430,Isovaleric acid
891,KB,7,3,6054,Phenylethyl alcohol
891,SJ,7,7,6054,Phenylethyl alcohol
891,JDM,4,3,6054,Phenylethyl alcohol
891,MA,6,5,6054,Phenylethyl alcohol
891,JM,3,3,6054,Phenylethyl alcohol
891,NG,4,5,6054,Phenylethyl alcohol
891,BN,6,6,6054,Phenylethyl alcohol
891,AH,2,5,6054,Phenylethyl alcohol
891,BP,4,4,6054,Phenylethyl alcohol
891,MK,2,6,6054,Phenylethyl alcohol
1228,JDM,2,2,7762,Ethyl butyrate
1228,MA,7,7,7762,Ethyl butyrate
1228,KB,2,4,7762,Ethyl butyrate
1228,NG,1,2,7762,Ethyl butyrate
1228,BN,3,3,7762,Ethyl butyrate
1228,AH,3,2,7762,Ethyl butyrate
1228,JM,7,6,7762,Ethyl butyrate
1228,BP,3,3,7762,Ethyl butyrate
1228,MK,8,8,7762,Ethyl butyrate
1228,SJ,3,3,7762,Ethyl butyrate
1231,BN,1,1,1183,Vanillin
1231,MA,1,1,1183,Vanillin
1231,NG,2,1,1183,Vanillin
1231,MK,3,3,1183,Vanillin
1231,AH,1,1,1183,Vanillin
1231,KB,1,1,1183,Vanillin
1231,BP,1,1,1183,Vanillin
1231,SJ,1,1,1183,Vanillin
1231,JDM,1,1,1183,Vanillin
1231,JM,1,1,1183,Vanillin
1291,AH,9,7,18827,1 Octene 3 ol
1291,KB,6,8,18827,1 Octene 3 ol
1291,SJ,5,6,18827,1 Octene 3 ol
1291,JDM,6,7,18827,1 Octene 3 ol
1291,MA,4,4,18827,1 Octene 3 ol
1291,JM,8,5,18827,1 Octene 3 ol
1291,NG,7,7,18827,1 Octene 3 ol
1291,BN,7,7,18827,1 Octene 3 ol
1291,BP,7,6,18827,1 Octene 3 ol
1291,MK,1,2,18827,1 Octene 3 ol
1367,JDM,7,6,379,Octanoic acid
1367,KB,8,6,379,Octanoic acid
1367,NG,5,6,379,Octanoic acid
1367,BN,8,8,379,Octanoic acid
1367,MA,5,6,379,Octanoic acid
1367,JM,6,4,379,Octanoic acid
1367,BP,9,9,379,Octanoic acid
1367,MK,6,5,379,Octanoic acid
1367,AH,6,6,379,Octanoic acid
1367,SJ,4,5,379,Octanoic acid
1419,BN,4,5,32594,3-isobutyl-2-methoxypyrazine
1419,MA,10,9,32594,3-isobutyl-2-methoxypyrazine
1419,MK,9,7,32594,3-isobutyl-2-methoxypyrazine
1419,AH,7,9,32594,3-isobutyl-2-methoxypyrazine
1419,KB,5,7,32594,3-isobutyl-2-methoxypyrazine
1419,BP,5,7,32594,3-isobutyl-2-methoxypyrazine
1419,SJ,9,9,32594,3-isobutyl-2-methoxypyrazine
1419,JDM,8,8,32594,3-isobutyl-2-methoxypyrazine
1419,JM,5,7,32594,3-isobutyl-2-methoxypyrazine
1419,NG,8,8,32594,3-isobutyl-2-methoxypyrazine
2714,JDM,9,9,8077,Diethyl disulfide
2714,BN,10,10,8077,Diethyl disulfide
2714,MA,8,8,8077,Diethyl disulfide
2714,KB,9,9,8077,Diethyl disulfide
2714,NG,10,10,8077,Diethyl disulfide
2714,MK,7,9,8077,Diethyl disulfide
2714,AH,8,8,8077,Diethyl disulfide
2714,JM,10,10,8077,Diethyl disulfide
2714,BP,8,8,8077,Diethyl disulfide
2714,SJ,8,8,8077,Diethyl disulfide
