sub ID,recording,cell,odor series,region
170613_bulb_bank1_0_0_B,170613_bulb_bank1,0,0,B
170613_bulb_bank1_1_0_B,170613_bulb_bank1,1,0,B
170613_bulb_bank1_2_0_B,170613_bulb_bank1,2,0,B
170613_bulb_bank1_3_0_B,170613_bulb_bank1,3,0,B
170613_bulb_bank1_4_0_B,170613_bulb_bank1,4,0,B
170613_bulb_bank1_5_0_B,170613_bulb_bank1,5,0,B
170613_bulb_bank1_6_0_B,170613_bulb_bank1,6,0,B
170613_bulb_bank1_7_0_B,170613_bulb_bank1,7,0,B
170613_bulb_bank1_8_0_B,170613_bulb_bank1,8,0,B
170613_bulb_bank1_9_0_B,170613_bulb_bank1,9,0,B
170613_bulb_bank1_10_0_B,170613_bulb_bank1,10,0,B
170613_bulb_bank1_11_0_B,170613_bulb_bank1,11,0,B
170613_bulb_bank1_12_0_B,170613_bulb_bank1,12,0,B
170613_bulb_bank1_13_0_B,170613_bulb_bank1,13,0,B
170613_bulb_bank1_14_0_B,170613_bulb_bank1,14,0,B
170613_bulb_bank1_15_0_B,170613_bulb_bank1,15,0,B
170613_bulb_bank1_16_0_B,170613_bulb_bank1,16,0,B
170613_bulb_bank1_17_0_B,170613_bulb_bank1,17,0,B
170613_bulb_bank1_18_0_B,170613_bulb_bank1,18,0,B
170613_bulb_bank1_19_0_B,170613_bulb_bank1,19,0,B
170613_bulb_bank1_20_0_B,170613_bulb_bank1,20,0,B
170613_bulb_bank1_0_1_B,170613_bulb_bank1,0,1,B
170613_bulb_bank1_1_1_B,170613_bulb_bank1,1,1,B
170613_bulb_bank1_2_1_B,170613_bulb_bank1,2,1,B
170613_bulb_bank1_3_1_B,170613_bulb_bank1,3,1,B
170613_bulb_bank1_4_1_B,170613_bulb_bank1,4,1,B
170613_bulb_bank1_5_1_B,170613_bulb_bank1,5,1,B
170613_bulb_bank1_6_1_B,170613_bulb_bank1,6,1,B
170613_bulb_bank1_7_1_B,170613_bulb_bank1,7,1,B
170613_bulb_bank1_8_1_B,170613_bulb_bank1,8,1,B
170613_bulb_bank1_9_1_B,170613_bulb_bank1,9,1,B
170613_bulb_bank1_10_1_B,170613_bulb_bank1,10,1,B
