Stimulus,Experiment,ImagePath
-1_0,111L,images/111_empty.csv
-1_0,111R,images/111_empty.csv
-1_0,112L,images/112_empty.csv
-1_0,112R,images/112_empty.csv
-1_0,113L,images/113_empty.csv
-1_0,113R,images/113_empty.csv
-1_0,114L,images/114_empty.csv
-1_0,114R,images/114_empty.csv
1001_3.12e-13,111L,images/111_phenethylamine.csv
1001_3.12e-13,111R,images/111_phenethylamine.csv
1001_3.12e-13,112L,images/112_phenethylamine.csv
1001_3.12e-13,112R,images/112_phenethylamine.csv
1001_3.12e-13,113L,images/113_phenethylamine.csv
1001_3.12e-13,113R,images/113_phenethylamine.csv
1001_3.12e-13,114L,images/114_phenethylamine.csv
1001_3.12e-13,114R,images/114_phenethylamine.csv
101010_9.38e-11,111L,"images/111_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,111R,"images/111_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,112L,"images/112_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,112R,"images/112_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,113L,"images/113_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,113R,"images/113_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,114L,"images/114_2-methyl-4-propyl-1,3-oxathiane.csv"
101010_9.38e-11,114R,"images/114_2-methyl-4-propyl-1,3-oxathiane.csv"
10248_5.34e-12,111L,images/111_elemicin.csv
10248_5.34e-12,111R,images/111_elemicin.csv
10248_5.34e-12,112L,images/112_elemicin.csv
10248_5.34e-12,112R,images/112_elemicin.csv
10248_5.34e-12,113L,images/113_elemicin.csv
10248_5.34e-12,113R,images/113_elemicin.csv
10248_5.34e-12,114L,images/114_elemicin.csv
10248_5.34e-12,114R,images/114_elemicin.csv
10315_5.57e-11,113L,images/113_butyrophenone.csv
10315_5.57e-11,113R,images/113_butyrophenone.csv
10315_5.57e-12,111L,images/111_butyrophenone.csv
10315_5.57e-12,111R,images/111_butyrophenone.csv
10315_5.57e-12,112L,images/112_butyrophenone.csv
10315_5.57e-12,112R,images/112_butyrophenone.csv
10315_5.57e-12,114L,images/114_butyrophenone.csv
10315_5.57e-12,114R,images/114_butyrophenone.csv
1032_1.83e-11,111L,images/111_propionic_acid.csv
1032_1.83e-11,111R,images/111_propionic_acid.csv
1032_1.83e-11,112L,images/112_propionic_acid.csv
1032_1.83e-11,112R,images/112_propionic_acid.csv
1032_1.83e-11,113L,images/113_propionic_acid.csv
