CID,MolecularWeight,IsomericSMILES,IUPACName,name
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
261,72.11,CCCC=O,butanal,butyraldehyde
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
273,102.18,C(CCN)CCN,"pentane-1,5-diamine","pentane-1,5-diamine"
323,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one,coumarin
326,148.20,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
342,108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol
454,128.21,CCCCCCCC=O,octanal,octanal
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
650,86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione"
798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
1001,121.18,C1=CC=C(C=C1)CCN,2-phenylethanamine,phenethylamine
1032,74.08,CCC(=O)O,propanoic acid,propionic acid
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
2345,212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,benzyl benzoate
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
3301,60.10,C(CN)N,"ethane-1,2-diamine",ethylenediamine
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
5610,137.18,C1=CC(=CC=C1CCN)O,4-(2-aminoethyl)phenol,tyramine
6184,100.16,CCCCCC=O,hexanal,hexanal
6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6562,70.09,CC(=C)C=O,2-methylprop-2-enal,methacrolein
6569,72.11,CCC(=O)C,butan-2-one,2-butanone
6654,136.23,CC1=CCC2CC1C2(C)C,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",alpha-pinene
6736,131.17,CC1=CNC2=CC=CC=C12,3-methyl-1H-indole,3-methylindole
6826,165.19,CNC1=CC=CC=C1C(=O)OC,methyl 2-(methylamino)benzoate,methyl 2-(methylamino)benzoate
6985,148.20,CC1=CC(=C(C=C1)C(=O)C)C,"1-(2,4-dimethylphenyl)ethanone","2',4'-dimethylacetophenone"
7041,154.16,COC1=C(C(=CC=C1)OC)O,"2,6-dimethoxyphenol","2,6-dimethoxyphenol"
7127,178.23,COC1=C(C=C(C=C1)CC=C)OC,"1,2-dimethoxy-4-prop-2-enylbenzene",methyl eugenol
7136,206.24,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,(2-methoxy-4-prop-2-enylphenyl) acetate,eugenol acetate
7148,134.17,CCC(=O)C1=CC=CC=C1,1-phenylpropan-1-one,propiophenone
7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
7165,150.17,CCOC(=O)C1=CC=CC=C1,ethyl benzoate,ethyl benzoate
7283,87.16,CCC(C)CN,2-methylbutan-1-amine,2-methylbutylamine
7284,86.13,CCC(C)C=O,2-methylbutanal,2-methylbutyraldehyde
7363,114.17,C1=COC(=C1)CS,furan-2-ylmethanethiol,furfuryl mercaptan
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7415,127.23,CN(C)C1CCCCC1,"N,N-dimethylcyclohexanamine","n,n-dimethylcyclohexylamine"
7468,135.16,CC(=O)C1=CC=C(C=C1)N,1-(4-aminophenyl)ethanone,4'-aminoacetophenone
7476,150.17,CC(=O)C1=CC=C(C=C1)OC,1-(4-methoxyphenyl)ethanone,4'-methoxyacetophenone
7504,107.15,C1=CC=C(C=C1)CN,phenylmethanamine,benzylamine
7590,164.20,CCOC(=O)CC1=CC=CC=C1,ethyl 2-phenylacetate,ethyl phenylacetate
7714,184.27,CCCCCCCC1CCC(=O)O1,5-heptyloxolan-2-one,gamma-undecalactone
7731,122.16,CC1=CC=C(C=C1)OC,1-methoxy-4-methylbenzene,4-methylanisole
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate
7894,87.16,CC(C)CCN,3-methylbutan-1-amine,isoamylamine
7895,86.13,CCCC(=O)C,pentan-2-one,2-pentanone
7938,108.14,CC1=CN=CC(=N1)C,"2,6-dimethylpyrazine","2,6-dimethylpyrazine"
7965,99.17,C1CCC(CC1)N,cyclohexanamine,cyclohexylamine
7976,94.11,CC1=NC=CN=C1,2-methylpyrazine,2-methylpyrazine
7991,102.13,CCCCC(=O)O,pentanoic acid,valeric acid
8007,73.14,CCCCN,butan-1-amine,butylamine
8063,86.13,CCCCC=O,pentanal,valeraldehyde
8093,128.21,CCCCCCC(=O)C,octan-2-one,2-octanone
8094,130.18,CCCCCCC(=O)O,heptanoic acid,heptanoic acid
8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol
8130,114.19,CCCCCCC=O,heptanal,heptanal
8143,129.24,CCCCCCCCN,octan-1-amine,octylamine
8314,102.13,CCC(C)C(=O)O,2-methylbutanoic acid,2-methylbutanoic acid
8438,150.13,C1OC2=C(O1)C=C(C=C2)C=O,"1,3-benzodioxole-5-carbaldehyde",piperonal
8500,134.17,CC1=CC=C(C=C1)C(=O)C,1-(4-methylphenyl)ethanone,4'-methylacetophenone
8635,151.16,COC(=O)C1=CC=CC=C1N,methyl 2-aminobenzoate,methyl anthranilate
8785,150.17,CC(=O)OCC1=CC=CC=C1,benzyl acetate,benzyl acetate
8858,98.14,CC(=CC(=O)C)C,4-methylpent-3-en-2-one,mesityl oxide
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid
8908,144.21,CCCCCCOC(=O)C,hexyl acetate,hexyl acetate
9261,80.09,C1=CN=CC=N1,pyrazine,pyrazine
10248,208.25,COC1=CC(=CC(=C1OC)OC)CC=C,"1,2,3-trimethoxy-5-prop-2-enylbenzene",elemicin
10315,148.20,CCCC(=O)C1=CC=CC=C1,1-phenylbutan-1-one,butyrophenone
10364,150.22,CC1=C(C=C(C=C1)C(C)C)O,2-methyl-5-propan-2-ylphenol,carvacrol
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid
11340,134.17,CC1=CC=CC=C1C(=O)C,1-(2-methylphenyl)ethanone,2'-methylacetophenone
11552,86.13,CC(C)CC=O,3-methylbutanal,3-methylbutanal
11583,100.16,CCCCC(=O)C,hexan-2-one,2-hexanone
12097,110.11,CC1=CC=C(O1)C=O,5-methylfuran-2-carbaldehyde,5-methylfurfural
12206,116.16,CCCCC(=O)OC,methyl pentanoate,methyl valerate
12291,99.17,CN1CCCCC1,1-methylpiperidine,1-methylpiperidine
12497,150.17,CCC(=O)OC1=CC=CC=C1,phenyl propanoate,phenyl propionate
12748,99.16,CC1=CSC=N1,"4-methyl-1,3-thiazole",4-methylthiazole
13187,142.24,CCCCCCCC(=O)C,nonan-2-one,2-nonanone
13357,116.16,CCC(C)C(=O)OC,methyl 2-methylbutanoate,methyl 2-methylbutyrate
13563,101.19,CCCCN(C)C,"N,N-dimethylbutan-1-amine","n,n-dimethylbutylamine"
14286,121.14,CC(=O)C1=CC=CC=N1,1-pyridin-2-ylethanone,2-acetylpyridine
14296,136.19,CC1=C(N=C(C(=N1)C)C)C,"2,3,5,6-tetramethylpyrazine","2,3,5,6-tetramethylpyrazine"
15037,147.17,C1=CN(C=C1)CC2=CC=CO2,1-(furan-2-ylmethyl)pyrrole,1-furfurylpyrrole
15406,154.25,CC1(C2CCC(C2)(C1O)C)C,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",fenchol
15717,176.21,C=CCOC(=O)CC1=CC=CC=C1,prop-2-enyl 2-phenylacetate,allyl phenylacetate
