Experiment,ROI#,Xpos,Ypos
111L,1,-1561.38923076923,1328.85076923077
111L,2,-1437.15428571429,858.602857142857
111L,3,-1429.5,1463.48769230769
111L,4,-1349.13,460.58
111L,5,-1207.52571428571,1703.12571428571
111L,6,-1346.15333333333,752.293333333333
111L,7,-1469.685,1228.56
111L,8,-1483.08,1103.54
111L,9,-1280.66666666667,909.064444444444
111L,10,-649.613333333333,2065.00333333333
111L,11,-1012.76666666667,1809.60533333333
111L,12,-828.754545454545,1319.48363636364
111L,13,-1092.3925,2226.4875
111L,14,-947.28,1505.39
111L,15,-1050.868,2063.21733333333
111L,16,-498.5475,2233.185
111L,17,-1754.80714285714,895.598571428572
111L,18,-850.724375,2331.415
111L,19,-1774.79333333333,782.06
111L,20,-1748.00333333333,994.891666666667
111L,21,-1304.48,996.38
111L,22,-790.112,665.97
111L,23,-1084.20666666667,2137.93166666667
111L,24,-1650.964,912.438
111L,25,-1681.24095238095,1181.78380952381
111L,26,-1545.59,871.36
111L,27,-1765.268,467.724
111L,28,-1125.88,552.856666666667
111L,29,-1431.7325,601.2275
111L,30,-1254.472,1782.22
111L,31,-759.75,782.06
111L,32,-859.468333333333,838.616666666667
111L,33,-768.68,1005.31
111L,34,-777.61,1210.7
111L,35,-994.906666666667,491.835
111L,36,-761.536,1517.892
111L,37,-724.03,1701.85
111L,38,-697.24,1782.22
111L,39,-792.493333333333,1651.24666666667
111L,40,-847.264,1564.328
111L,41,-920.49,1683.99
111L,42,-960.8536,2148.7072
111L,43,-983.0,1389.3
111L,44,-1004.432,1308.93
111L,45,-1061.30923076923,1146.12923076923
111L,46,-994.906666666667,966.613333333333
111L,47,-1021.96727272727,903.832727272727
111L,48,-1108.02,657.04
111L,49,-1201.785,482.905
111L,50,-1494.98666666667,494.315555555556
111L,51,-1716.74833333333,581.135
111L,52,-1233.04,612.39
111L,53,-1227.08666666667,1087.66444444444
111L,54,-1177.2275,1422.7875
111L,55,-1081.23,1541.11
111L,56,-1314.00533333333,1261.89866666667
111L,57,-1215.18,1514.32
111L,58,-1270.03571428571,1644.44285714286
111L,59,-1372.348,1378.584
111L,60,-1465.22,1344.65
111L,61,-1358.06,849.928
111L,62,-1551.27272727273,684.641818181818
111L,63,-435.293333333333,933.87
111L,64,-1233.04,1189.86333333333
111L,65,-882.5375,1498.6925
111L,66,-1043.724,1717.924
111L,67,-1351.56545454545,1642.58727272727
111L,68,-1121.415,2007.7025
111L,69,-1623.40857142857,1419.91714285714
111L,70,-1235.02444444444,278.011111111111
111L,71,-629.372,432.004
111L,72,-852.622,932.084
111L,73,-407.358461538462,662.535384615385
111L,74,-1192.44909090909,2001.41090909091
111L,75,-371.791111111111,2546.23111111111
111L,76,-161.44,1671.81272727273
111L,77,-1686.03454545455,419.989090909091
111L,78,-690.294444444444,501.261111111111
111L,79,-1030.27647058824,1256.92588235294
111L,80,-1206.25,782.06
111L,81,-1044.39375,1105.7725
111L,82,-1006.11294117647,669.647058823529
111L,83,-1065.49619047619,478.44
111L,84,-1656.42705882353,636.028235294118
111L,85,-1156.83733333333,747.530666666667
111L,86,-1137.78666666667,752.293333333333
111L,87,-1153.563,873.146
111L,88,-1169.84307692308,946.921538461538
111L,89,-1159.3675,1144.84125
111L,90,-1275.904,1300.0
111L,91,-1258.55428571429,688.932857142857
111L,92,-1477.64434782609,822.439130434783
111L,93,-1445.48,1104.48
111L,94,-1633.104,1117.828
111L,95,-1608.1,1038.90380952381
111L,96,-1658.108,714.192
111L,97,-1528.54181818182,1445.31545454545
111L,98,-1159.61555555556,1561.94666666667
111L,99,-841.395714285714,1242.59285714286
111L,100,-1363.64125,1119.1675
