Stimulus,CID,Conc. (mols/L)
-1_0,-1,
1001_3.12e-13,1001,3.12e-13
101010_9.38e-11,101010,9.384699999999999e-11
10248_5.34e-12,10248,5.3417129999999996e-12
10315_5.57e-11,10315,5.5704999999999997e-11
10315_5.57e-12,10315,5.570499999999999e-12
1032_1.83e-11,1032,1.8252e-11
10364_2.29e-09,10364,2.2893e-09
10430_8.69e-12,10430,8.686599999999998e-12
106997_6.11e-11,106997,6.1126e-11
10857465_6.87e-10,10857465,6.867900000000001e-10
11340_1.21e-12,11340,1.2130299999999997e-12
11552_3.69e-09,11552,3.6868e-09
11583_1.02e-09,11583,1.01959e-09
1183_3.41e-11,1183,3.4112e-11
1183_3.41e-12,1183,3.4112e-12
12097_4.91e-10,12097,4.910099999999999e-10
12206_8.42e-10,12206,8.422699999999999e-10
12291_2.04e-10,12291,2.0397e-10
12497_1.40e-11,12497,1.4039999999999999e-11
1268142_9.39e-10,1268142,9.385999999999998e-10
12748_7.56e-10,12748,7.5556e-10
13187_4.92e-10,13187,4.9179e-10
13357_1.60e-10,13357,1.5989999999999999e-10
13479201_5.11e-09,13479201,5.1129e-09
13563_3.21e-10,13563,3.2148999999999994e-10
14286_3.67e-10,14286,3.6686e-10
14286_3.67e-11,14286,3.6686e-11
14296_5.12e-09,14296,5.1155e-09
14296_5.12e-10,14296,5.115500000000001e-10
15037_1.83e-09,15037,1.8316999999999998e-09
15037_1.83e-10,15037,1.8317e-10
15406_5.27e-10,15406,5.265000000000001e-10
15559490_4.35e-11,15559490,4.349800000000001e-11
15717_1.98e-10,15717,1.9838000000000002e-10
15717_1.98e-11,15717,1.9838000000000002e-11
16224_6.10e-11,16224,6.0983e-11
16224_6.10e-12,16224,6.0982999999999996e-12
16259_9.77e-12,16259,9.7656e-12
16259_9.77e-13,16259,9.765599999999998e-13
16590_7.35e-10,16590,7.3541e-10
16666_5.85e-11,16666,5.852600000000001e-11
16867_3.83e-09,16867,3.8285e-09
16867_3.83e-10,16867,3.8285000000000003e-10
17355_4.97e-10,17355,4.9673e-10
17355_4.97e-11,17355,4.967300000000001e-11
17898_4.45e-11,17898,4.4524999999999996e-11
18467_3.21e-11,18467,3.214899999999999e-11
18635_1.25e-11,18635,1.2495599999999999e-11
19310_8.14e-10,19310,8.138e-10
19602_1.54e-09,19602,1.5392e-09
19878_3.81e-12,19878,3.8129e-12
20499_3.51e-13,20499,3.5099999999999997e-13
21059_1.68e-11,21059,1.6783e-11
21059_1.68e-12,21059,1.6782999999999998e-12
21648_7.63e-10,21648,7.631e-10
21648_7.63e-11,21648,7.631e-11
22201_2.62e-09,22201,2.6195e-09
22201_2.62e-10,22201,2.6195e-10
2345_4.24e-11,2345,4.2353999999999997e-11
240_7.70e-11,240,7.6973e-11
25124_1.53e-12,25124,1.5261999999999997e-12
25124_1.53e-13,25124,1.5261999999999998e-13
25915_1.46e-11,25915,1.4572999999999998e-11
261_6.05e-09,261,6.0489e-09
26331_3.04e-11,26331,3.0367999999999997e-11
26333_2.30e-10,26333,2.3035999999999997e-10
26447_2.82e-10,26447,2.8223e-10
264_1.61e-11,264,1.6054999999999997e-11
26808_1.31e-11,26808,1.3129999999999999e-11
273_7.32e-12,273,7.324199999999998e-12
273_7.32e-13,273,7.324199999999999e-13
27457_4.64e-11,27457,4.6358000000000004e-11
27458_6.37e-09,27458,6.372599999999999e-09
27458_6.37e-10,27458,6.3726e-10
2758_1.45e-09,2758,1.4468999999999998e-09
27892_4.46e-09,27892,4.4564000000000005e-09
3085845_2.28e-09,3085845,2.2802e-09
3085845_2.28e-10,3085845,2.2802e-10
30914_1.43e-09,30914,1.4339e-09
31244_7.62e-12,31244,7.620599999999998e-12
31245_1.34e-10,31245,1.3350999999999999e-10
31247_9.09e-11,31247,9.088299999999999e-11
31252_3.02e-10,31252,3.0212e-10
31253_1.83e-09,31253,1.8252e-09
31272_8.94e-10,31272,8.941400000000001e-10
31276_4.30e-10,31276,4.2952000000000003e-10
32052_9.77e-12,32052,9.7682e-12
32065_2.22e-10,32065,2.2203999999999996e-10
32093_8.01e-11,32093,8.0119e-11
323_7.63e-10,323,7.6297e-10
32594_2.66e-11,32594,2.6559e-11
326_4.48e-10,326,4.4785e-10
326_4.48e-11,326,4.4785e-11
3301_1.18e-09,3301,1.17949e-09
3301_1.18e-10,3301,1.1794899999999998e-10
33135_1.20e-10,33135,1.20094e-10
33135_1.20e-11,33135,1.2009399999999998e-11
3314_7.23e-13,3314,7.2345e-13
33166_8.62e-11,33166,8.6216e-11
33166_8.62e-12,33166,8.6216e-12
342_1.27e-10,342,1.2741299999999998e-10
36822_4.20e-10,36822,4.1964e-10
36822_4.20e-11,36822,4.1964e-11
4133_4.07e-11,4133,4.0742e-11
439263_2.44e-10,439263,2.4414e-10
439570_9.92e-11,439570,9.918999999999998e-11
440917_1.10e-09,440917,1.10435e-09
4409936_3.19e-12,4409936,3.1876e-12
442478_2.29e-10,442478,2.2880000000000003e-10
442495_7.10e-13,442495,7.095399999999999e-13
454_1.13e-09,454,1.13477e-09
460_9.23e-12,460,9.2326e-12
460_9.23e-13,460,9.232599999999998e-13
518810_3.74e-12,518810,3.7388e-12
518937_1.20e-09,518937,1.2039299999999998e-09
520098_2.66e-11,520098,2.6559e-11
520098_2.66e-12,520098,2.6559000000000004e-12
520108_1.41e-10,520108,1.4118e-10
526195_2.51e-12,526195,2.5116e-12
5281163_2.30e-12,5281163,2.3036e-12
5281167_7.92e-10,5281167,7.918299999999998e-10
5283335_2.42e-09,5283335,2.418e-09
5283361_7.63e-10,5283361,7.630999999999999e-10
5319754_5.55e-11,5319754,5.5483999999999994e-11
5321950_1.34e-11,5321950,1.3350999999999998e-11
5323652_1.00e-11,5323652,1.00334e-11
5362588_9.50e-10,5362588,9.5004e-10
5363229_1.58e-09,5363229,1.5834000000000001e-09
5363229_1.58e-10,5363229,1.5834e-10
5364578_2.06e-09,5364578,2.0552999999999997e-09
5365909_4.20e-14,5365909,4.196399999999999e-14
5366074_1.56e-10,5366074,1.5639e-10
5367412_4.64e-09,5367412,4.6358e-09
5367745_2.11e-11,5367745,2.1137999999999997e-11
5460048_0,5460048,
5610_2.29e-09,5610,2.2893e-09
58165301_6.22e-10,58165301,6.2205e-10
58165301_6.22e-11,58165301,6.2205e-11
60968_1.39e-09,60968,1.3883999999999999e-09
61653_4.52e-12,61653,4.5214e-12
61670_3.51e-10,61670,3.51e-10
61808_2.78e-12,61808,2.7767999999999992e-12
6184_7.21e-10,6184,7.2124e-10
61918_1.98e-10,61918,1.9838000000000002e-10
61945_4.35e-11,61945,4.3497999999999994e-11
62128_2.28e-10,62128,2.2841000000000002e-10
62444_1.85e-10,62444,1.8485999999999997e-10
62725_3.04e-12,62725,3.0432999999999998e-12
637511_2.06e-11,637511,2.0605e-11
637523_3.97e-10,637523,3.9676000000000003e-10
637566_1.21e-09,637566,1.2130299999999999e-09
637776_8.39e-12,637776,8.3941e-12
637776_8.39e-13,637776,8.3941e-13
638014_1.30e-10,638014,1.29727e-10
638014_1.30e-11,638014,1.29727e-11
643731_2.14e-09,643731,2.1359e-09
650_4.03e-09,650,4.0326e-09
65413_6.41e-09,65413,6.410651e-09
6561_1.08e-09,6561,1.0753599999999999e-09
6562_9.82e-10,6562,9.8241e-10
6569_6.65e-10,6569,6.6534e-10
6654_3.05e-09,6654,3.0511000000000004e-09
6736_1.76e-10,6736,1.7550000000000001e-10
6736_1.76e-11,6736,1.755e-11
6826_1.59e-11,6826,1.5873e-11
68490_5.36e-12,68490,5.356000000000001e-12
6985_6.23e-12,6985,6.225700000000001e-12
6985_6.23e-13,6985,6.225699999999999e-13
6992244_4.05e-10,6992244,4.0494999999999993e-10
7041_2.34e-12,7041,2.3426e-12
70962_1.95e-10,70962,1.9526e-10
7127_2.06e-12,7127,2.0605000000000004e-12
71311442_2.75e-10,71311442,2.7456000000000003e-10
71311442_2.75e-11,71311442,2.7456e-11
7136_3.62e-10,7136,3.6244e-10
7136_3.62e-11,7136,3.6244e-11
7148_9.84e-12,7148,9.8423e-12
7150_2.89e-11,7150,2.8912e-11
7165_2.04e-11,7165,2.0371e-11
7283_3.74e-10,7283,3.7426999999999994e-10
7284_7.83e-11,7284,7.828599999999999e-11
73277_1.89e-09,73277,1.8863e-09
7363_3.02e-12,7363,3.0211999999999997e-12
7410_2.49e-11,7410,2.4869e-11
7410_2.49e-12,7410,2.4869e-12
7415_2.28e-11,7415,2.2802e-11
7468_3.30e-10,7468,3.2968e-10
7476_4.58e-13,7476,4.5786e-13
7504_5.44e-10,7504,5.4353e-10
7504_5.44e-11,7504,5.4353000000000005e-11
7590_6.97e-11,7590,6.9667e-11
7714_3.12e-09,7714,3.1212999999999996e-09
7731_9.14e-11,7731,9.142899999999999e-11
7762_1.09e-09,7762,1.09317e-09
7894_3.21e-11,7894,3.2084e-11
7895_2.86e-09,7895,2.8587e-09
7938_2.94e-09,7938,2.9406e-09
7965_6.30e-11,7965,6.302399999999999e-11
7976_7.30e-11,7976,7.3008e-11
798_9.31e-11,798,9.3093e-11
7991_5.47e-12,7991,5.466499999999999e-12
8007_6.32e-10,8007,6.316699999999998e-10
8063_2.41e-09,8063,2.4063e-09
8063_2.41e-10,8063,2.4063e-10
8093_1.42e-10,8093,1.4235e-10
8094_8.93e-11,8094,8.927099999999999e-11
8103_6.72e-10,8103,6.7158e-10
8130_2.67e-09,8130,2.6741e-09
8130_2.67e-10,8130,2.6741e-10
8143_7.39e-10,8143,7.3853e-10
8143_7.39e-11,8143,7.385300000000001e-11
8314_5.47e-12,8314,5.466499999999999e-12
8438_2.29e-12,8438,2.2893e-12
8438_2.29e-13,8438,2.2893e-13
8500_6.88e-12,8500,6.882199999999999e-12
