CIDs,FOV,High or Low Conc.,cell,delF
1049,1,h,0,-0.05047702225834614
1049,1,l,0,-0.03183521058867906
1049,1,h,1,-0.05588974462895895
1049,1,l,1,0.01759922971166893
1049,1,h,2,-0.023221323735115287
1049,1,l,2,-0.01824542774889271
1049,1,h,3,-0.013818622731810703
1049,1,l,3,0.08431420030825654
1049,1,h,4,-0.015964923987988055
1049,1,l,4,0.015387473835714314
1049,1,h,5,-0.05776868316264566
1049,1,l,5,-0.0047290556342707265
1049,1,h,6,0.009381399468003695
1049,1,l,6,0.0590186109914671
1049,1,h,7,-0.03372821727471109
1049,1,l,7,0.06447461429264016
1049,1,h,8,-0.028296519335179255
1049,1,l,8,-0.007381822524410209
1049,1,h,9,-0.02140310413116574
1049,1,l,9,-0.0070923682412007555
1049,1,h,10,0.05985031110923828
1049,1,l,10,0.1907957216670708
1049,1,h,11,-0.05745865234671916
1049,1,l,11,-0.03490336319909607
1049,1,h,12,-0.0377251195223718
1049,1,l,12,-0.025894871619563397
1049,1,h,13,-0.028547547666980953
1049,1,l,13,0.04118717554585268
1049,1,h,14,0.11075667143237955
1049,1,l,14,0.16109045561263477
1049,1,h,15,-0.008931624631466786
1049,1,l,15,0.02220211452197522
1049,1,h,16,-0.013549618111056731
1049,1,l,16,-0.01988678827927928
1049,1,h,17,0.011258143857226418
1049,1,l,17,0.07683532307783775
1049,1,h,18,-0.022899844873645468
1049,1,l,18,0.02171333239916962
1049,1,h,19,0.02319822909536558
1049,1,l,19,0.056334470679661096
1049,1,h,20,0.025013587982199048
1049,1,l,20,0.06988876498968195
1049,1,h,21,-0.02559650369085523
1049,1,l,21,0.005012302928016345
1049,1,h,22,-0.04563507540691034
1049,1,l,22,0.018441650853226212
1049,1,h,23,-0.016585969772363613
1049,1,l,23,0.01431039291853687
1049,1,h,24,-0.03465119892220725
1049,1,l,24,-0.05486322000979058
1049,1,h,25,0.002982761704182359
1049,1,l,25,-0.023032128973596258
1049,1,h,26,-0.06884166889618774
1049,1,l,26,-0.01862004851108132
1049,1,h,27,-0.023820298103706932
1049,1,l,27,0.005228560588870994
