CIDs,High or Low Conc.,FOV,cell,delF
1049,h,1,0,0.22879069942450478
1049,h,1,1,0.22879069942450478
1049,h,1,2,0.03817090510412112
1049,h,1,3,-0.03916039659487933
1049,h,1,4,0.2383418663872318
1049,h,1,5,-0.007563430499272865
1049,h,1,6,0.02471775088488815
1049,h,1,7,0.04658232487708197
1049,h,1,8,-0.026456153372573555
1049,h,1,9,0.15823916145922484
1049,h,1,10,-0.013605618813735293
1049,h,1,11,0.07944968258169537
1049,h,1,12,0.2831861204579001
1049,h,1,13,0.02770731092680584
1049,h,1,14,0.14351038917387846
1049,h,1,15,0.0942380585325235
1049,h,1,16,0.10162308156928766
1049,h,1,17,0.024973937397850737
1049,h,1,18,0.1669925374766379
1049,h,1,19,0.24342782814692968
1049,h,1,20,0.1410897211965791
1049,h,1,21,0.11125368787279821
1049,h,1,22,0.10213596807187124
1049,h,1,23,0.21284088974761317
1049,h,1,24,0.05375334360213985
1049,h,1,25,0.18124402510809337
1049,h,1,26,-0.05853446658752557
1049,h,1,27,0.1289285259858142
1049,h,1,28,0.06457687987502335
1049,h,1,29,0.011619565487386704
1049,h,1,30,0.08545790986415104
1049,h,1,31,-0.008027560200127794
1049,h,1,32,-0.16478211588781586
1049,h,1,33,0.11879659022343829
1049,h,1,34,0.1114420981232197
1049,h,1,35,0.399897124878778
1049,h,1,36,0.3674023278291294
1049,h,1,37,0.18635630263382671
1049,h,1,38,0.24447420215417445
1049,h,1,39,0.1366700904946609
1049,h,1,40,0.25010872972680315
1049,h,1,41,0.11799906078884137
1049,h,1,42,0.022021732427504465
1049,h,1,43,0.6882919548698826
1049,h,1,44,0.07396408508540282
1049,h,1,45,0.061187457705899284
1049,h,1,46,0.23050850586674612
1049,h,1,47,0.0670906028337294
1049,h,1,48,0.11015930912162507
1049,h,1,49,0.1502093047544477
1049,h,1,50,0.006898939266262669
1049,h,1,51,0.0752095689789853
1049,h,1,52,0.09176870428836019
1049,h,1,53,0.15503918109095804
1049,h,1,54,0.5988349665047238
1049,h,1,55,0.20073109177724405
1049,h,1,56,0.26258943347255964
1049,h,1,57,0.02911903650326332
1049,h,1,58,0.07908377987287206
1049,h,1,59,0.1059661556172819
1049,h,1,60,0.08796601798759444
1049,h,1,61,0.004932124505772263
1049,h,1,62,0.3281979348773972
1049,h,1,63,0.14885294703885676
1049,h,1,64,0.16771783653091799
1049,h,1,65,0.15149068195125426
1049,h,1,66,0.005145629646567937
1049,h,1,67,0.6194165373667923
1049,h,1,68,0.04321619666943813
1049,h,1,69,0.05440122820537598
1049,h,1,70,0.094815235715497
1049,h,1,71,0.1208703291802608
1049,h,1,72,0.09389003073261888
1049,h,1,73,0.15134121083997476
1049,h,1,74,0.03709491493614196
1049,h,1,75,-0.009283008768502264
1049,h,1,76,0.00834287130789522
1049,h,1,77,0.001934941815509482
1049,l,1,0,0.14435825508680064
1049,l,1,1,0.5298140911948012
1049,l,1,2,0.14477542234268959
1049,l,1,3,0.11678062106170027
1049,l,1,4,0.12125591641216049
1049,l,1,5,0.011093182196540076
1049,l,1,6,0.0014840345226261517
1049,l,1,7,0.19659082105521364
1049,l,1,8,0.035300738348416384
1049,l,1,9,0.10371394652447725
1049,l,1,10,0.061528785578807706
1049,l,1,11,0.051796129100221404
1049,l,1,12,0.002868098167450444
1049,l,1,13,-0.00017463621978811074
1049,l,1,14,0.08608548855836258
1049,l,1,15,0.0984386210463395
1049,l,1,16,0.04374514950378192
1049,l,1,17,0.10052626941866276
1049,l,1,18,0.06443202043916833
1049,l,1,19,0.20434851929810638
1049,l,1,20,0.1904419165837642
1049,l,1,21,0.16901927386080665
1049,l,1,22,0.05186294700811506
1049,l,1,23,-0.04779290525497787
1049,l,1,24,-0.007345030595052815
1049,l,1,25,0.1244553596551569
1049,l,1,26,0.16802203030880633
1049,l,1,27,0.2877322485969051
1049,l,1,28,0.006880932325520641
1049,l,1,29,0.1105943217589961
1049,l,1,30,0.005958836095271526
1049,l,1,31,-0.05181313853581101
1049,l,1,32,0.03286117938806676
1049,l,1,33,0.202525965583619
1049,l,1,34,0.348564553321317
1049,l,1,35,0.05583872977384439
1049,l,1,36,0.04130243147058105
1049,l,1,37,0.3157565457678439
1049,l,1,38,0.03206652332776283
1049,l,1,39,0.05451762485803383
1049,l,1,40,0.027172447181966475
1049,l,1,41,0.031348800603233036
1049,l,1,42,0.21368249070005016
1049,l,1,43,0.10421132195847316
1049,l,1,44,0.1144363385424519
1049,l,1,45,0.15938644064044327
1049,l,1,46,0.17122570711120055
1049,l,1,47,0.10036708405416417
1049,l,1,48,0.1024766452989897
1049,l,1,49,0.13117960273515133
1049,l,1,50,0.09429896366121711
1049,l,1,51,0.019009244077157005
1049,l,1,52,0.03725439626598273
1049,h,2,0,0.5291613845054614
1049,h,2,1,0.850494918846688
1049,h,2,2,0.2044791997244515
1049,h,2,3,0.3810935405366828
1049,h,2,4,-0.029990210456823433
1049,h,2,5,0.49160491674351664
1049,h,2,6,0.12531710672294707
1049,h,2,7,0.05385773058147832
1049,h,2,8,0.5310420862520991
1049,h,2,9,0.5310420862520991
1049,h,2,10,0.32712498805469775
1049,h,2,11,0.10478489544925218
1049,h,2,12,0.28793112581704294
1049,h,2,13,0.21687652353892561
1049,h,2,14,0.054612562663224985
1049,h,2,15,0.06222136619989314
1049,h,2,16,0.17001414923049976
1049,h,2,17,-0.00018407310147867026
1049,h,2,18,0.11264915207920101
1049,h,2,19,0.1929462917833742
1049,h,2,20,0.5811907586601922
1049,h,2,21,0.07315009431310314
1049,h,2,22,0.1110451364349611
1049,h,2,23,0.14384064750749467
1049,h,2,24,0.12551999301008587
1049,h,2,25,0.0625429722406149
1049,h,2,26,0.2272261347358943
1049,h,2,27,0.06142168411183358
1049,h,2,28,0.12608745909818528
1049,h,2,29,0.03524891905740665
1049,h,2,30,0.15752616434096753
1049,h,2,31,0.08122272748986224
1049,h,2,32,0.12993512507137076
1049,h,2,33,0.20627398945098677
1049,h,2,34,-0.025311862698598125
1049,h,2,35,0.1917476511517248
1049,h,2,36,0.11091626478159022
1049,h,2,37,0.13331095556259812
1049,h,2,38,0.2100775958399909
1049,h,2,39,0.04451733149148299
1049,h,2,40,0.0783023085171372
1049,h,2,41,0.2906315254211796
1049,h,2,42,-0.010903103048602909
1049,h,2,43,0.03249529539102516
1049,h,2,44,0.664773651403254
1049,h,2,45,0.5599911441287533
1049,h,2,46,0.33612119716252115
1049,h,2,47,0.06186416268266926
1049,h,2,48,0.1339324749953623
1049,h,2,49,0.010320009032481906
1049,h,2,50,0.02635142243967724
1049,h,2,51,0.1635060265846676
1049,h,2,52,0.29509282979686297
1049,h,2,53,0.1475228430606728
1049,h,2,54,-0.016948041096908038
1049,h,2,55,0.10615798985997293
1049,h,2,56,0.006943493022494615
1049,h,2,57,0.29422636025560756
1049,h,2,58,0.04882715788785449
1049,h,2,59,0.1263201483203383
1049,h,2,60,0.04547456497206096
1049,h,2,61,0.0033861356482142815
1049,h,2,62,0.1587612200655056
1049,h,2,63,-0.0318120681839861
1049,h,2,64,0.07785739846024453
1049,h,2,65,0.12143199373859626
1049,h,2,66,0.1640770633860282
1049,h,2,67,0.23607545704270375
1049,h,2,68,0.24600805347475466
1049,h,2,69,0.8031154971749883
1049,h,2,70,-0.03625468406500941
1049,h,2,71,0.6131537653665088
1049,h,2,72,0.5314664677294841
1049,h,2,73,0.6461344429567789
1049,h,2,74,0.47078912612452867
1049,h,2,75,0.20925347923370619
1049,h,2,76,0.027285409491124457
1049,h,2,77,0.07786751043057379
1049,h,2,78,0.4610519279539497
1049,h,2,79,0.1132311489644115
1049,h,2,80,0.24734496106370396
1049,h,2,81,0.12089106966652448
1049,h,2,82,-0.01707954902254531
1049,h,2,83,0.1652520408916134
1049,h,2,84,0.10359553909677244
1049,h,2,85,0.056380229118577894
1049,h,2,86,0.2023662306808404
1049,h,2,87,0.06444717981495866
1049,h,2,88,0.1960998525710639
1049,h,2,89,0.1960998525710639
1049,h,2,90,0.18358401174399594
1049,h,2,91,0.22690945917505645
1049,h,2,92,0.12639214812389252
1049,h,2,93,0.07200753307408865
1049,h,2,94,-0.029167700329423285
1049,h,2,95,0.05814114412274644
1049,h,2,96,0.025956627554301958
1049,h,2,97,0.172736364572321
1049,h,2,98,0.04166794656201003
1049,h,2,99,0.11327474252213554
1049,h,2,100,0.08457380737358201
1049,h,2,101,-0.01713663932179131
1049,h,2,102,0.049021787707389346
1049,h,2,103,0.12486315623433449
1049,h,2,104,0.1367677052276213
1049,h,2,105,-0.008297473656552316
1049,h,2,106,0.028441713549509636
1049,h,2,107,0.1304607181652293
1049,h,2,108,0.0782813173602559
1049,h,2,109,0.0600551413930708
1049,h,2,110,0.010120709647990707
1049,h,2,111,0.11405682702755755
1049,h,2,112,0.30748036763482467
1049,h,2,113,0.048807471037406236
1049,h,2,114,0.11781381407774895
1049,h,2,115,0.06995039973183927
1049,h,2,116,0.1196975379891398
1049,h,2,117,0.6684208848538115
1049,h,2,118,0.2627839278229082
1049,h,2,119,0.11281105774735822
1049,h,2,120,0.08481484793130907
1049,h,2,121,0.03965171596068693
