Stimulus,CID,High/Low Conc.
G_-1,-1,
G_10106,10106,
G_1049,1049,
G_10882,10882,
G_10895,10895,
G_11529,11529,
G_11583,11583,
G_11614,11614,
G_11747,11747,
G_12146,12146,
G_12348,12348,
G_14079,14079,
G_16015,16015,
G_16324,16324,
G_21625,21625,
G_24020,24020,
G_27458,27458,
G_31244,31244,
G_31246,31246,
G_31265,31265,
G_31276,31276,
G_326,326,
G_5281163,5281163,
G_5283349,5283349,
G_5318042,5318042,
G_5323652,5323652,
G_5364729,5364729,
G_5367762,5367762,
G_557222,557222,
G_61167,61167,
G_61527,61527,
G_61653,61653,
G_61809,61809,
G_6184,6184,
G_61955,61955,
G_62725,62725,
G_6276,6276,
G_638011,638011,
G_66581,66581,
G_6850746,6850746,
G_735,735,
G_7410,7410,
G_7461,7461,
G_7654,7654,
G_7749,7749,
G_7762,7762,
G_7771,7771,
G_7797,7797,
G_7848,7848,
G_7991,7991,
G_7997,7997,
G_8063,8063,
G_8130,8130,
G_82229,82229,
G_8821,8821,
G_8892,8892,
G_9016,9016,
M33_10882,10882,
M33_10895,10895,
M33_11583,11583,
M33_11747,11747,
M33_12146,12146,
M33_16324,16324,
M33_16899,16899,
M33_27458,27458,
M33_2758,2758,
M33_31246,31246,
M33_31265,31265,
M33_31276,31276,
M33_326,326,
M33_5281163,5281163,
M33_5323652,5323652,
M33_5364729,5364729,
M33_5367762,5367762,
M33_6184,6184,
M33_6276,6276,
M33_7410,7410,
M33_7461,7461,
M33_7749,7749,
M33_7762,7762,
M33_7765,7765,
M33_7797,7797,
M33_7848,7848,
M33_7991,7991,
M33_7997,7997,
M33_8063,8063,
M33_8130,8130,
M33_87475436,87475436,
M33_8892,8892,
M33_9025,9025,
M55_-1_h,-1,h
M55_-1_l,-1,l
M55_1049_h,1049,h
M55_1049_l,1049,l
M55_10882_h,10882,h
M55_10882_l,10882,l
M55_10895_h,10895,h
M55_10895_l,10895,l
M55_11529_h,11529,h
M55_11529_l,11529,l
M55_11583_h,11583,h
M55_11583_l,11583,l
M55_11614_h,11614,h
M55_11614_l,11614,l
M55_11747_h,11747,h
M55_11747_l,11747,l
M55_11964245_h,11964245,h
M55_11964245_l,11964245,l
M55_12146_h,12146,h
M55_12146_l,12146,l
M55_12348_h,12348,h
M55_12348_l,12348,l
M55_14079_h,14079,h
M55_14079_l,14079,l
M55_14525_h,14525,h
M55_14525_l,14525,l
M55_16324_h,16324,h
M55_16324_l,16324,l
M55_16899_h,16899,h
M55_16899_l,16899,l
M55_24020_h,24020,h
M55_24020_l,24020,l
M55_27458_h,27458,h
M55_27458_l,27458,l
M55_2758_h,2758,h
M55_2758_l,2758,l
M55_30771_h,30771,h
M55_30771_l,30771,l
M55_31244_h,31244,h
M55_31244_l,31244,l
M55_31246_h,31246,h
M55_31246_l,31246,l
M55_31265_h,31265,h
M55_31265_l,31265,l
M55_31276_h,31276,h
M55_31276_l,31276,l
M55_5281163_h,5281163,h
M55_5281163_l,5281163,l
M55_5318042_h,5318042,h
M55_5318042_l,5318042,l
M55_5323652_h,5323652,h
M55_5323652_l,5323652,l
M55_5364729_h,5364729,h
M55_5364729_l,5364729,l
M55_548983_h,548983,h
M55_548983_l,548983,l
M55_557222_h,557222,h
M55_557222_l,557222,l
M55_61167_h,61167,h
M55_61167_l,61167,l
M55_61527_h,61527,h
M55_61527_l,61527,l
M55_61653_h,61653,h
M55_61653_l,61653,l
M55_6184_h,6184,h
M55_6184_l,6184,l
M55_61955_h,61955,h
M55_61955_l,61955,l
M55_62725_h,62725,h
M55_62725_l,62725,l
M55_6276_h,6276,h
M55_6276_l,6276,l
M55_638011_h,638011,h
M55_638011_l,638011,l
M55_66581_h,66581,h
M55_66581_l,66581,l
M55_7410_h,7410,h
M55_7410_l,7410,l
M55_7461_h,7461,h
M55_7461_l,7461,l
M55_7749_h,7749,h
M55_7749_l,7749,l
M55_7762_h,7762,h
M55_7762_l,7762,l
M55_7765_h,7765,h
M55_7765_l,7765,l
M55_7771_h,7771,h
M55_7771_l,7771,l
M55_78421492_h,78421492,h
M55_78421492_l,78421492,l
M55_7848_h,7848,h
M55_7848_l,7848,l
M55_7991_h,7991,h
M55_7991_l,7991,l
M55_7997_h,7997,h
M55_7997_l,7997,l
M55_8063_h,8063,h
M55_8063_l,8063,l
M55_8130_h,8130,h
M55_8130_l,8130,l
M55_854188_h,854188,h
M55_854188_l,854188,l
M55_87475436_h,87475436,h
M55_87475436_l,87475436,l
M55_8892_h,8892,h
M55_8892_l,8892,l
M55_9016_h,9016,h
M55_9016_l,9016,l
M55_9025_h,9025,h
M55_9025_l,9025,l
T_-1_h,-1,h
T_-1_l,-1,l
T_1049_h,1049,h
T_1049_l,1049,l
T_10882_h,10882,h
T_10882_l,10882,l
T_10895_h,10895,h
T_10895_l,10895,l
T_11529_h,11529,h
T_11529_l,11529,l
T_11583_h,11583,h
T_11583_l,11583,l
T_11614_h,11614,h
T_11614_l,11614,l
T_11747_h,11747,h
T_11747_l,11747,l
T_11964245_h,11964245,h
T_11964245_l,11964245,l
T_12146_h,12146,h
T_12146_l,12146,l
T_12348_h,12348,h
T_12348_l,12348,l
T_14079_h,14079,h
T_14079_l,14079,l
T_14525_h,14525,h
T_14525_l,14525,l
T_16324_h,16324,h
T_16324_l,16324,l
T_16899_h,16899,h
T_16899_l,16899,l
T_24020_h,24020,h
T_24020_l,24020,l
T_27458_h,27458,h
T_27458_l,27458,l
T_2758_h,2758,h
T_2758_l,2758,l
T_30771_h,30771,h
T_30771_l,30771,l
T_31244_h,31244,h
T_31244_l,31244,l
T_31246_h,31246,h
T_31246_l,31246,l
T_31265_h,31265,h
T_31265_l,31265,l
T_31276_h,31276,h
T_31276_l,31276,l
T_5281163_h,5281163,h
T_5281163_l,5281163,l
T_5318042_h,5318042,h
T_5318042_l,5318042,l
T_5323652_h,5323652,h
T_5323652_l,5323652,l
T_5364729_h,5364729,h
T_5364729_l,5364729,l
T_548983_h,548983,h
T_548983_l,548983,l
T_557222_h,557222,h
T_557222_l,557222,l
T_61167_h,61167,h
T_61167_l,61167,l
T_61527_h,61527,h
T_61527_l,61527,l
T_61653_h,61653,h
T_61653_l,61653,l
T_6184_h,6184,h
T_6184_l,6184,l
T_61955_h,61955,h
T_61955_l,61955,l
T_62725_h,62725,h
T_62725_l,62725,l
T_6276_h,6276,h
T_6276_l,6276,l
T_638011_h,638011,h
T_638011_l,638011,l
T_66581_h,66581,h
T_66581_l,66581,l
T_7410_h,7410,h
T_7410_l,7410,l
T_7461_h,7461,h
T_7461_l,7461,l
T_7749_h,7749,h
T_7749_l,7749,l
T_7762_h,7762,h
T_7762_l,7762,l
T_7765_h,7765,h
T_7765_l,7765,l
T_7771_h,7771,h
T_7771_l,7771,l
T_78421492_h,78421492,h
T_78421492_l,78421492,l
T_7848_h,7848,h
T_7848_l,7848,l
T_7991_h,7991,h
T_7991_l,7991,l
T_7997_h,7997,h
T_7997_l,7997,l
T_8063_h,8063,h
T_8063_l,8063,l
T_8130_h,8130,h
T_8130_l,8130,l
T_854188_h,854188,h
T_854188_l,854188,l
T_87475436_h,87475436,h
T_87475436_l,87475436,l
T_8892_h,8892,h
T_8892_l,8892,l
T_9016_h,9016,h
T_9016_l,9016,l
T_9025_h,9025,h
T_9025_l,9025,l
