,"FRUITY,CITRUS",LEMON,GRAPEFRUIT,ORANGE,"FRUITY,OTHER THAN CITRUS",PINEAPPLE,GRAPE JUICE,STRAWBERRY,"APPLE, FRUIT",PEAR,"CANTALOUPE, HONEYDEW MELON",PEACH FRUIT,BANANA,FLORAL,ROSE,VIOLETS,LAVENDER,COLOGNE,MUSK,PERFUMERY,FRAGRANT,AROMATIC,HONEY,"CHERRY, BERRY",ALMOND,NAIL POLISH REMOVER,"NUTTY, WALNUT ETC.",SPICY,CLOVE,CINNAMON,LAUREL LEAVES,TEA LEAVES,SEASONING FOR MEAT,BLACK PEPPER,GREEN PEPPER,DILL,CARAWAY,"OAK WOOD,COGNAC","WOODY, RESINOUS",CEDARWOOD,MOTHBALLS,"MINTY, PEPPERMINT",CAMPHOR,EUCALYPTUS,CHOCOLATE,VANILLA,SWEET,MAPLE SYRUP,CARAMEL,MALTY,RAISINS,MOLASSES,COCONUT,"ANISE, LICORICE",ALCOHOLIC,"ETHERISH, ANAESTHETIC",CLEANING FLUID,"GASOLINE, SOLVENT","TURPENTINE, PINE OIL",GERANIUM LEAVES,CELERY,FRESH GREEN VEGETABLES,CRUSHED WEEDS,CRUSHED GRASS,"HERBAL, GREEN,CUTGRASS",RAW CUCUMBER,HAY,GRAINY (AS GRAIN),YEASTY,BAKERY (FRESH BREAD),SOUR MILK,"FERMENTED, ROTTEN FRUIT",BEERY,SOAPY,LEATHER,CARDBOARD,ROPE,WET PAPER,"WET WOOL,WET DOG",DIRTY LINEN,STALE,"MUSTY, EARTHY, MOLDY",RAW POTATO,MOUSE,MUSHROOM,PEANUT BUTTER,BEANY,"EGGY, FRESH EGGS","BARK,BIRCHBARK",CORK,"BURNT,SMOKY",FRESH TOBACCO SMOKE,INCENSE,COFFEE,STALE TOBACCO SMOKE,BURNT PAPER,BURNT MILK,BURNT RUBBER,TAR,CREOSOTE,"DISINFECTANT, CARBOLIC",MEDICINAL,CHEMICAL,BITTER,"SHARP, PUNGENT, ACID","SOUR, VINEGAR",SAUERKRAUT,AMMONIA,URINE,CAT URINE,FISHY,"KIPPERY,SMOKED FISH","SEMINAL, SPERM-LIKE",NEW RUBBER,SOOTY,BURNT CANDLE,KEROSENE,"OILY, FATTY","BUTTERY, FRESH BUTTER",PAINT,VARNISH,POPCORN,FRIED CHICKEN,"MEATY ( COOKED,GOOD)",SOUPY,COOKED VEGETABLES,RANCID,SWEATY,CHEESY,HOUSEHOLD GAS,SULFIDIC,"GARLIC, ONION",METALLIC,"BLOOD, RAW MEAT",ANIMAL,SEWER,"PUTRID, FOUL, DECAYED","FECAL, LIKE MANURE",CADAVEROUS,SICKENING,"DRY, POWDERY",CHALKY,LIGHT,HEAVY,"COOL,COOLING",WARM
61199,0.0,0.0,0.0,0.0,0.66,0.0,0.33,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.57,14.63,14.71,2.15,0.33,12.51,0.0,8.53,11.1,0.94,1.15,0.0,0.47,6.86,2.69,0.0,1.28,0.99,2.1,9.84,0.81,0.33,0.33,1.28,0.0,2.67,6.07,20.69,22.28,16.83,6.32,1.15,7.26,1.96,2.2,1.81,0.99,1.15,0.33,0.66,0.0,7.33,2.3,0.74,0.57,3.28,0.33,0.33,0.74,0.0,0.0,0.0,0.94,0.0,0.47,0.66,0.81,0.33,0.94,1.05,0.0,2.46,3.86,0.47,0.0,0.47,1.05,0.74,0.47,1.62,0.99,16.23,0.0,0.0,6.76,1.96,4.66,0.0,0.74,3.51,0.81,0.94,2.22,4.8,2.34,6.32,3.98,0.33,0.66,0.0,0.0,1.48,3.25,0.0,0.0,0.81,1.99,0.47,2.1,4.44,0.33,0.33,1.41,0.0,3.04,0.47,1.62,1.28,2.1,0.99,0.0,1.28,1.75,0.66,0.47,0.0,0.66,1.87,0.33,0.47,7.44,4.19,0.0,13.83,17.58,2.58,8.17
7410,1.57,0.52,0.26,0.41,8.29,0.52,1.26,1.74,0.0,1.02,0.62,0.84,1.56,16.79,7.03,5.73,6.66,5.71,6.47,19.62,39.89,41.18,2.69,10.27,33.66,7.4,3.06,13.16,4.22,6.28,0.3,0.26,0.0,0.21,0.26,0.94,0.0,2.22,17.91,10.11,15.38,6.07,13.21,6.98,0.15,3.75,28.2,0.6,1.31,1.03,0.73,0.45,0.94,3.81,4.05,14.83,9.36,8.46,11.32,1.65,0.3,0.67,1.1,1.31,13.06,0.15,2.26,0.0,0.9,0.0,0.0,0.52,0.41,5.83,2.18,1.46,0.41,0.15,1.37,0.82,2.74,7.34,0.0,0.15,0.15,0.0,0.0,0.0,3.81,0.3,6.56,0.15,10.46,0.0,0.41,0.63,0.0,1.74,6.18,9.52,12.98,15.64,20.56,3.11,12.56,2.53,0.0,1.79,0.88,1.2,0.73,0.0,0.21,2.58,0.0,1.9,2.17,8.66,0.98,10.07,9.09,0.15,0.0,0.63,0.0,0.21,1.93,6.03,0.0,0.3,1.46,0.73,4.48,0.3,1.3,0.63,1.63,0.58,0.68,10.14,4.08,0.0,12.06,29.34,9.89,17.95
14286,0.0,0.32,0.0,0.0,0.45,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,2.93,0.45,8.99,8.93,0.0,0.0,15.86,0.64,17.27,9.04,0.0,0.0,0.0,0.0,4.69,3.05,1.56,0.78,0.32,0.45,10.83,1.46,0.55,0.0,0.0,0.45,1.46,1.36,4.74,0.45,0.0,2.54,0.0,0.32,0.0,0.0,0.45,0.45,0.78,0.0,0.0,0.32,0.0,1.24,1.66,1.24,1.89,0.32,2.93,13.82,3.35,2.35,0.0,0.45,0.55,1.01,1.81,1.89,0.78,0.32,3.48,3.27,9.9,16.41,1.75,2.86,2.93,15.29,2.82,0.0,1.89,1.75,21.85,0.78,1.11,0.9,1.89,3.46,1.56,0.32,2.02,0.78,1.56,1.24,4.52,2.47,6.55,1.81,0.64,1.36,0.45,0.78,0.78,0.32,0.0,0.0,1.46,1.43,0.0,22.23,8.74,0.9,0.0,34.85,1.89,7.63,1.24,5.86,9.71,11.26,0.32,0.32,3.0,4.29,1.36,2.6,3.68,1.69,6.26,1.01,1.46,13.18,11.31,2.58,4.18,23.51,0.0,13.79
98403,5.0,3.66,1.09,3.95,3.53,3.27,0.0,0.77,0.39,1.44,4.45,0.94,0.55,10.21,3.11,2.11,1.77,5.42,0.39,9.51,16.27,14.13,0.55,2.18,0.39,0.0,0.0,5.59,0.0,0.0,1.44,2.18,0.0,0.55,0.0,1.09,0.0,1.72,10.34,2.86,1.09,1.22,1.34,0.86,0.0,0.0,13.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,7.23,1.34,2.04,2.5,4.21,2.59,5.42,5.42,5.17,12.74,2.11,0.0,0.0,0.39,0.0,0.0,1.09,0.0,9.44,0.0,0.55,1.49,0.55,2.67,1.89,2.89,11.95,0.55,0.0,0.55,0.0,0.55,1.64,0.94,2.18,12.35,0.0,3.23,0.0,2.78,3.55,0.0,1.64,0.0,0.77,1.77,2.67,8.66,2.59,14.75,5.97,0.0,0.39,0.94,1.22,0.94,0.0,0.0,0.0,3.11,12.43,1.34,5.0,0.0,2.18,1.34,0.0,0.0,0.0,0.39,0.55,7.07,3.82,0.0,0.0,3.78,1.22,3.95,0.67,1.34,0.94,2.56,0.0,0.0,20.13,3.23,1.16,15.65,12.77,5.45,9.9
6501,10.15,3.39,0.0,6.39,52.76,6.64,10.35,32.24,0.79,5.11,7.24,6.65,2.38,12.54,4.26,1.88,1.37,2.13,0.71,14.02,41.39,28.17,2.51,20.79,3.11,0.35,0.0,2.61,0.35,0.87,0.35,0.87,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.35,0.0,1.23,0.0,0.0,0.0,2.86,55.27,0.0,0.0,1.12,1.84,1.23,1.0,1.63,1.37,0.35,0.0,0.0,0.0,0.35,0.0,0.0,0.35,0.0,6.02,0.0,0.0,0.0,0.35,0.0,1.0,1.23,2.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,3.58,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.35,0.35,0.0,0.0,0.0,0.79,0.0,1.12,2.35,0.0,0.0,0.0,0.0,1.12,0.61,0.61,0.0,0.35,0.0,0.0,1.84,0.5,0.61,20.2,5.11,11.56,4.26
6501,14.01,8.57,0.45,7.88,59.04,7.33,31.38,30.81,0.0,5.93,4.52,7.21,3.5,15.54,3.38,4.39,3.83,2.47,1.69,22.02,55.78,40.84,4.39,30.25,2.14,0.0,0.64,5.73,0.96,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.36,1.89,0.78,0.45,6.27,0.45,0.55,0.32,3.27,64.96,0.32,0.02,0.45,1.46,0.55,1.56,1.56,0.55,2.02,0.0,0.9,0.45,0.45,0.0,0.0,0.45,0.32,1.46,0.0,0.0,0.0,0.0,0.0,0.55,0.9,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,8.93,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.46,1.11,3.26,0.78,3.5,4.56,0.0,0.0,0.32,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.32,1.11,0.0,0.32,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.32,0.55,0.64,0.32,2.67,3.61,0.32,20.14,10.05,10.56,9.75
7710,2.08,0.7,0.0,0.0,14.23,1.93,0.0,1.0,0.0,0.7,0.35,2.59,1.86,5.22,1.49,0.0,0.5,0.61,2.23,6.72,34.87,28.87,0.86,0.86,11.2,0.0,3.73,2.49,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.86,6.97,0.5,0.0,1.49,1.11,0.5,1.22,12.07,46.35,1.73,2.73,2.59,0.35,0.35,67.64,1.11,0.7,0.61,0.7,0.35,0.61,0.35,0.35,0.35,0.0,0.35,2.86,0.0,1.61,2.23,0.0,1.06,0.0,0.61,0.0,3.11,1.57,1.0,0.79,1.0,0.5,0.61,1.93,3.36,0.0,0.5,0.0,0.61,0.0,0.35,1.0,1.93,1.61,0.0,2.79,0.5,0.5,1.73,0.0,0.0,0.61,0.5,1.11,1.0,0.7,1.0,5.46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,3.34,0.0,9.33,2.73,2.73,0.0,0.35,0.0,0.0,0.0,0.35,1.36,0.7,0.0,0.0,1.11,0.0,0.86,0.0,0.7,0.0,1.11,0.0,0.0,2.95,4.23,2.11,8.3,20.94,5.57,13.41
31266,23.3,13.98,3.25,11.88,52.78,42.76,4.35,9.55,0.3,11.46,10.15,6.86,4.03,16.12,1.47,1.59,2.75,2.86,0.42,15.09,48.42,33.51,2.86,14.28,1.7,0.3,0.0,7.11,1.47,1.9,0.74,0.42,0.6,0.67,0.3,0.42,0.0,0.42,2.51,1.47,0.85,9.97,2.23,3.27,0.52,1.64,64.38,0.3,0.0,0.3,0.3,0.85,2.65,2.32,1.27,2.94,0.42,0.42,0.85,0.0,0.3,0.9,0.42,1.9,9.65,0.0,0.0,0.0,0.45,0.0,0.0,2.86,0.42,0.3,0.95,0.0,0.0,0.0,0.42,0.3,0.6,0.85,0.52,0.0,0.0,0.0,0.0,0.0,3.29,0.42,0.74,0.0,4.56,0.0,0.3,0.0,0.0,0.0,0.52,0.3,0.85,2.32,3.71,0.95,4.76,4.56,0.0,0.42,0.3,0.3,0.95,0.0,0.0,0.0,0.0,0.0,0.3,2.86,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,1.38,0.0,0.0,0.0,0.0,1.9,0.0,0.3,0.3,1.47,0.0,0.3,0.3,2.01,6.67,28.52,6.67,16.83,6.41
31276,5.84,4.18,0.32,3.61,42.56,7.27,1.25,2.61,0.0,7.17,5.92,2.41,36.71,8.18,0.64,0.0,0.72,2.28,0.0,14.35,35.93,32.41,1.7,7.24,1.44,22.46,0.46,4.55,0.0,0.0,0.46,0.46,0.0,0.0,0.0,0.46,0.0,0.91,4.98,1.11,0.32,4.89,0.32,0.91,0.0,2.39,43.27,0.0,0.0,1.47,1.7,1.02,3.19,1.44,5.34,9.67,5.48,6.93,7.06,0.46,0.46,0.46,0.0,0.32,2.39,0.0,0.46,0.56,0.0,0.0,0.0,1.25,1.29,0.46,0.32,0.64,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.64,0.0,0.32,2.73,0.0,0.0,0.56,0.0,0.0,0.79,0.0,2.95,1.11,11.79,0.0,3.97,0.32,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,2.69,0.46,12.82,6.69,0.0,0.0,0.0,0.0,0.56,0.0,0.46,0.0,0.32,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.13,1.58,0.0,18.29,9.82,9.01,8.14
10890,4.0,3.93,0.8,2.0,22.8,9.6,3.0,5.6,0.67,3.6,2.0,3.0,6.13,5.33,1.67,1.07,1.53,0.4,1.2,8.87,22.4,19.4,1.6,6.53,1.67,0.93,0.4,3.8,0.53,0.27,0.8,0.4,1.27,0.0,0.27,1.2,0.0,1.27,5.8,2.6,1.0,2.8,1.47,0.8,0.8,0.8,19.47,0.0,0.4,1.27,0.8,0.0,0.47,0.27,2.0,3.4,0.93,1.2,0.73,1.2,0.0,0.93,1.2,1.2,5.27,0.0,0.0,0.8,2.87,0.0,3.67,3.8,0.53,0.67,0.87,1.8,0.0,0.53,0.27,1.33,3.0,7.0,0.53,0.4,0.73,0.0,0.0,0.27,2.73,0.4,1.47,0.0,1.47,0.0,0.0,0.27,0.0,0.0,0.47,0.0,2.13,2.2,6.8,2.2,13.0,11.93,0.67,0.27,0.47,1.4,0.4,0.93,0.0,0.0,0.4,0.67,0.0,5.4,3.47,2.67,1.33,0.53,0.47,0.47,0.67,0.67,16.93,12.4,0.0,0.0,2.33,0.87,2.73,2.13,2.53,2.07,10.6,6.93,1.87,16.87,3.07,0.27,12.47,9.6,5.6,5.2
