CID,Flavor Profile: ,FEMA Flavor Profile: ,Taste: ,Odor: 
4,fishy,,,slight ammonia odor
40,sweet,,,
47,,Fruit,,
49,fruity,,,
51,odorless,,,
58,"brown, caramel, lactonic, sweet, creamy",Savory,,
70,fruity,Fruit,,
72,"phenolic, balsamic, mild",Balsamic & At low levels can alter the perception of sweetness and alter the perception of various flavor characteristics. Does not impart sweetness at the levels used as a flavoring ingredient.,,
73,sweet-like,,,
107,"balsamic, rose, fatty, sweet, musk, cinnamon",,,
119,"savory, meaty",Savory,,
125,"coconut, bitter, sweet, fruity, almond",Nuts,,
126,"woody, sweet, balsam, nutty, almond",Roast,,
135,"nutty, phenolic",,,
176,"sour, pungent, sharp, vinegar","Acid, Fruit, Pungent, Sour, Vinegar",burning taste,"pungent
sour, vinegar-like odor"
177,"ethereal, ether, whiskey, pungent, fruity, aldehydic","Floral, Green Apple",tart taste (fruits containing acetaldehyde before ripening),"pungent, fruity odor
pungent, suffocating odor that is somewhat fruity and quite pleasant in dilute concentrations."
178,mousy,,pure acetamide has a bitter taste,"odorless when pure, but frequently has a mousy odor"
179,"butter, cream, milky, fatty, creamy, sweet, dairy, buttery","Butter, Creamy, Green Pepper","fatty creamy ""tub"" butter taste","buttery odor
bland, woody, yogurt odor"
180,"solvent, apple, pear, ethereal",Pungent,"pungent, sweetish","fruity odor
characteristic odor"
188,sweet,,,
191,sweet-like,,,
196,odorless,,"tart taste
sour tasting",odorless
197,sweet-like,,,
206,sweet,,,
222,ammoniacal,,,"sharp, cloying, repellent
pungent, suffocating odor
sharp, intensely irritating odor
very pungent odor (characteristic of drying urine)."
224,sweet-like,,,
228,sweet-like,,,
229,sweet,,,
238,sweet-like,,,
239,"sweet, odorless",,,
240,"cherry, almond, sweet, burnt sugar, sharp, strong, bitter","Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper","burning aromatic taste
similar to bitter almond","characteristic odor or volatile oil of almond
odor resembling oil of bitter almond"
243,"balsam, urine, faint","Pungent, Sour","almost tasteless /benzoic acid usp/
bitter taste
taste detection 8.5x10+1 ppm /media and purity not specified/","odorless or with a slight benzaldehyde odor
faint, pleasant odor"
244,"berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit","Boiled Cherries, Moss, Roasted Bread, Rose",sharp burning taste,faint aromatic odor
247,bland,"Savory, Umami",sweet,
261,"bready, chocolate, creamy, pear, vegetable, fatty, earthy, woody, pungent, nutty, wine_like, meaty, spicy, citrus, herbaceous, green, apple, floral, musty, cocoa, fruity, malty","Banana, Green, Pungent",,"characteristic, pungent, aldehyde odor"
262,"onion, fruit, creamy, fruity, buttery",,sweet taste,odorless
263,"oil, vanilla, fruit, fusel, sweet, balsam, medicine, medicinal",Fruit,"banana, fusel taste
dry, burning taste
5.00x10-1 ppm (taste detection in water, gas chromatically pure)","harsh fusel odor with banana
odor similar to amyl alcohol
rancid, sweet
strong characteristic, mildly alcoholic odor"
264,"butter, sweat, acetic, sharp, rancid, fruit, cheese","Butter, Cheese, Sour",butter-fat taste,"unpleasant, rancid odor
penetrating and obnoxious odor"
274,sweet-like,,,
280,odorless,,faint acid taste,"odorless
faintly pungent odor"
284,"pungent, vinegar, formyl",Savory,sour,"pungent, penetrating odor"
294,sweet,,sweet,odorless
309,"musty, nutty, very mild",Nuts,,
311,odorless,,"strongly acidic taste
pleasant, sweet, tart taste",odorless
313,,,"taste threshold: 1.60x10-4 moles/l (recognition in water, chemically pure)
1.30x10-4 m/l (recognition in water, chemically pure)
1.10x10-4 m/l (recognition in water, chemically pure)","pungent, irritating odor"
323,"sweet, new mown hay, green, tonka, bitter",,"bitter undertone
nut-like flavor on dilution
bitter, aromatic
burning taste","pleasant, fragrant odor resembling that of vanilla beans.
hay-like bittersweet odor"
325,"spicy, herb, herbal, leather, caraway, strong, wood, cumin","Herb, Wood",,
326,"spicy, acid, herbal, sharp, oily, cumin, green","Acid, Green, Herb, Sharp",,
332,"curry, smoky, clove, peanut, spicy","Clove, Curry, Spice",,
335,"phenol, musty, medicinal, phenolic",,,"phenolic odor
sweet, tarry odor"
338,"nutty, faint, phenolic",,"acrid taste
it has sweetish, afterward acrid, taste",synthetic acid is odorless
342,"medical, leather, woody, fecal, phenolic, medicinal, plastic",,taste threshold: 2.00x10-3 ppm,"phenolic odor
odor of coal tar
sweet, tarry odor
distinct phenolic odor, with an odor threshold of 5 ppm
sometimes referred to as an empyreumatic odor"
356,"alkane, gasoline",,,gasoline-like
370,bitter,,,
379,"cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese","Cheese, Fat, Grass, Oil","slightly sour taste
slightly unpleasant rancid taste","faint, fruity-acid odor
unpleasant and irritating odor
slight odor"
389,"bark, green, mild",,,
402,"egg, rotten",,"faint taste
tasteless","pure sulfur is odorless, but traces of hydrocarbon impurity may impart an oily and/or rotten egg odor"
453,sweet,,"sweet taste, approx 60% as sweet as sugar (wt/wt)",odorless
454,"lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green",,"characteristic pungent, fatty flavor","strong, fruity odor"
460,"spice, vanilla, smoky, sweet, woody, phenolic, medicine, medicinal, smoke","Burnt, Phenol, Wood",,"aromatic odor
characteristic sweet odor, slightly phenolic"
473,,,,
474,sweet-like,,,
508,sweet-like,,,
527,"solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty","Floral, Pungent, Solvent",,"suffocating, fruity
characteristic odor similar to acetaldehyde
pungent, unpleasant
choking odor"
602,odorless,,sweet taste,odorless
604,sweet,,,
612,odorless,,"mild acid taste and does not overpower weaker aromatic flavors
taste is acrid","odorless
weak unpleasant odor
available forms have very slightly acrid odor"
620,sweet-like,,,
621,sweet-like,,,
622,sweet-like,,,
650,"butter, caramel, oily, creamy, sweet, pungent, strong","Butter, Pastry, Yeast","taste characteristics at 50 ppm: sweet, buttery, creamy and milky
threshold taste detection in milk (gas chromatically pure): 1.40x10-2 ppm and 2.90x10-2 ppm
in skim milk: 1.00x10-1 ppm
threshold taste detection in water (gas chromatically pure): 5.40x10-3 ppm
in water: 1.00x10-8% (volume/volume or wg/wg).","quinone odor
vapors have a chlorine-like odor
very strong buttery odor in dilute solution
strong odor"
653,bitter,,,
660,"coconut, tobacco, coumarin, herbal, creamy, sweet, cinnamon, almond, tonka",Dairy,"sweet then bitter
burning","herbal
odor similar to coumarin at room temp or reminiscent of nitrobenzene at higher temp.
coconut odor
hay-like"
670,minty,"Mint, Cool","sweet, cooling taste",characteristic odor
674,,,,... ammonia or fish-like odor ...
679,"fatty, mushroom, cheesy, garlic, bitter, oily",Garlic,slightly bitter taste with sweet after-taste,"slightly sulfurous odor
distinctive garlic or oyster-like odor"
702,"alcoholic, ethereal, medical, sweet, strong",,burning,"mild, rather pleasant
like wine or whiskey
weak, ethereal, vinous odor"
704,sweet-like,,,
743,odorless,,,
750,"oily, odorless, sweet, fatty, waxy",,sweet,odorless
753,"odorless, sweet",,"sweet, warm taste","mild odor
odorless"
768,bitter,,"bitter, burning taste","characteristic sweetish, like almond
... bitter, almond-like odor."
784,bitter,,"slightly acid
bitter","odorless, or having an odor resembling that of ozone
... slightly sharp odor ..."
785,,,a slightly bitter taste in aqueous solutions,odorless
791,"odorless, sweet",Nuts,bitter,
