FooDB ID,Name,CAS
FDB000004,Cyanidin 3-(6''-acetyl-galactoside),350602-26-5
FDB000013,Cyanidin 3-(6''-succinyl-glucoside),216692-08-9
FDB000014,Pelargonidin 3-(6''-succinyl-glucoside),
FDB000024,Petunidin 3-O-(6''-acetyl-galactoside),
FDB000025,Peonidin 3-(6''-acetyl-galactoside),75-07-0
FDB000027,Malvidin 3-(6''-acetyl-galactoside),75-07-0
FDB000031,Pelargonidin 3-arabinoside,
FDB000035,Peonidin 3-(6''-p-coumaroyl-glucoside),147-85-3
FDB000040,Delphinidin 3-xyloside,
FDB000041,Petunidin 3-(6''-p-coumaroyl-glucoside),147-85-3
FDB000048,p-Coumaroyl vitisin A,643-84-5
FDB000052,Pinotin A,663910-41-6
FDB000055,Malvidin 3-(6''-caffeoyl-glucoside),
FDB000064,Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside),
FDB000075,Delphinidin 3-feruloylglucoside,
FDB000078,Luteolinidin,1154-78-5
FDB000082,Butein,487-52-5
FDB000084,Phloretin-2'-O-(2''-O-xylosylglucoside),60-82-2
FDB000085,3-Hydroxyphloretin 2'-O-xylosyl-glucoside,
FDB000086,3-Hydroxyphloretin 2'-O-glucoside,
FDB000095,ent-Gallocatechin 3-gallate,68-22-4
FDB000108,Procyanidin trimer EEC,490-46-0
FDB000115,Prodelphinidin trimer GC-GC-C,71-30-7
FDB000122,Prodelphinidin trimer GC-C-C,99-76-3
FDB000126,"Epicatechin-(2alpha->7,4alpha->8)-epicatechin 3-galactoside",490-46-0
FDB000133,6-Geranylnaringenin,475207-59-1
FDB000135,Luteolin 7-O-diglucuronide,
FDB000136,Apigenin 6-C-arabinoside 8-C-glucoside,
FDB000137,Apigenin 6-C-galactoside 8-C-arabinoside,
FDB000138,Apigenin 7-O-glucuronide,
FDB000139,Luteolin 7-malonylglucoside,98767-38-5
FDB000144,Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside,
FDB000146,Jaceosidin,18085-97-7
FDB000148,Apigenin 7-O-(6''-malonyl-apiosyl-glucoside),
FDB000150,Chrysoeriol 7-O-(6''-malonyl-apiosyl-glucoside),
FDB000152,Apigenin 7-O-diglucuronide,
FDB000154,Quercetin 3-O-xylosyl-glucuronide,117-39-5
FDB000162,Quercetin 3-O-glucosyl-xyloside,
FDB000163,Quercetin 3-O-acetyl-rhamnoside,
FDB000164,Kaempferol 3-O-glucosyl-rhamnosyl-galactoside,136449-09-7
FDB000165,Kaempferol 3-O-glucosyl-rhamnosyl-glucoside,
FDB000166,Quercetin 3-O-glucosyl-rhamnosyl-galactoside,134953-93-8
FDB000167,Quercetin 3-O-glucosyl-rhamnosyl-glucoside,
FDB000168,Quercetin 3-O-rhamnosyl-galactoside,
FDB000173,"Quercetin 3,4',7-triglucoside",133563-23-2
FDB000176,"3,7-Dimethylquercetin",2068-02-2
FDB000178,Quercetin 3-O-diglucoside,117-39-5
FDB000188,"Kaempferol 3-O-(6""-malonyl-glucoside)",
FDB000189,"Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside",194093-39-5
FDB000201,Kaempferol 3-O-acetyl-glucoside,
FDB000202,Quercetin 3-O-xylosyl-rutinoside,129235-39-8
FDB000203,Kaempferol 3-O-xylosyl-rutinoside,
FDB000207,Kaempferol 3-O-(6''-acetyl-galactoside) 7-O-rhamnoside,520-18-3
FDB000210,Kaempferol 3-O-(2''-rhamnosyl-galactoside) 7-O-rhamnoside,520-18-3
FDB000211,Kaempferol 3-O-(2''-rhamnosyl-6''-acetyl-galactoside) 7-O-rhamnoside,
FDB000214,Quercetin 3-O-rhamnosyl-(1->2)-rhamnosyl-(1->6)-glucoside,117-39-5
FDB000215,Kaempferol 3-O-rhamnosyl-rhamnosyl-glucoside,
FDB000216,"Kaempferol 3,7,4'-O-triglucoside",
FDB000219,3-Methoxysinensetin,1251-84-9
FDB000221,Ellagic acid glucoside,
FDB000222,"3,4-Dimethoxybenzoic acid",93-07-2
FDB000223,Ellagic acid arabinoside,302-72-7
FDB000224,Ellagic acid acetyl-xyloside,476-66-4
FDB000225,Ellagic acid acetyl-arabinoside,476-66-4
FDB000229,Gallic acid 3-O-gallate,536-08-3
FDB000230,Valoneic acid dilactone,
FDB000232,Sanguisorbic acid dilactone,
FDB000233,Galloyl glucose,
FDB000234,Lambertianin C,
FDB000235,Gallagic acid,
FDB000236,5-p-Coumaroylquinic acid,
FDB000237,4-p-Coumaroylquinic acid,93451-44-6
FDB000238,Feruloyl glucose,
FDB000240,p-Coumaroylquinic acid,
FDB000242,"2,5-di-S-Glutathionyl caftaric acid",
FDB000243,Caffeic acid ethyl ester,102-37-4
FDB000246,2-S-Glutathionyl caftaric acid,
FDB000247,5-Feruloylquinic acid,
FDB000248,4-Feruloylquinic acid,
FDB000249,3-Feruloylquinic acid,
FDB000250,5-Sinapoylquinic acid,
FDB000251,4-Sinapoylquinic acid,
FDB000252,3-Sinapoylquinic acid,
FDB000256,Ferulic acid 4-glucoside,537-98-4
FDB000257,p-Coumaroyl tartaric acid glucosidic ester,
FDB000258,p-Coumaric acid ethyl ester,
FDB000262,Hydroxycaffeic acid,
FDB000263,5-5'-Dehydrodiferulic acid,
FDB000264,5-8'-Dehydrodiferulic acid,
FDB000266,"1,2-Diferuloylgentiobiose",
FDB000269,"1-Sinapoyl-2,2'-diferuloylgentiobiose",
FDB000270,"1,2,2'-Triferuloylgentiobiose",
FDB000271,8-4'-Dehydrodiferulic acid,
FDB000273,5-8'-Benzofuran dehydrodiferulic acid,
FDB000275,Cis-5-Caffeoylquinic acid,327-97-9
FDB000276,"3,4-Diferuloylquinic acid",
FDB000277,"3,5-Diferuloylquinic acid",
FDB000279,Dicaffeoylquinic acid,
FDB000283,Avenanthramide 2p,7664-41-7
FDB000284,Avenanthramide 2c,7664-41-7
FDB000285,Avenanthramide 2f,7664-41-7
FDB000290,p-Coumaroyl glycolic acid,
FDB000298,Caffeoyl aspartic acid,860295-20-1
FDB000299,p-Coumaroyl aspartic acid,151435-24-4
FDB000304,Avenanthramide K,7664-41-7
FDB000307,24-Methylcholestanol ferulate,
FDB000308,24-Methylcholesterol ferulate,
FDB000309,24-Methyllathosterol ferulate,
FDB000312,Schottenol 3-ferulate,521-03-9
FDB000313,24-Methylenecholestanol ferulate,
FDB000316,"3,4-Dihydroxyphenylacetic acid",102-32-9
FDB000317,Homoveratric acid,93-40-3
FDB000318,Methoxyphenylacetic acid,104-01-8
FDB000319,delta-Viniferin,62218-13-7
FDB000325,7-Hydroxymatairesinol,
FDB000326,Isohydroxymatairesinol,
FDB000327,Secoisolariciresinol-sesquilignan,
FDB000328,Cyclolariciresinol,
FDB000329,7-Oxomatairesinol,
FDB000330,Todolactol A,
FDB000331,Conidendrin,518-55-8
FDB000332,7-Hydroxysecoisolariciresinol,
FDB000333,Lariciresinol-sesquilignan,
FDB000334,Episesaminol,
FDB000336,4-Vinylsyringol,
FDB000337,Mellein,480-33-1
FDB000338,2-Methoxy-5-prop-1-enylphenol,104-46-1
FDB000340,"1,4-Naphtoquinone",130-15-4
FDB000341,"5,5',6,6'-Tetrahydroxy-3,3'-biindolyl",
FDB000344,Hydroxytyrosol acetate,7440-34-8
FDB000345,p-HPEA-AC,
FDB000346,"3,4-DHPEA-EA",
FDB000349,p-HPEA-EDA,501-94-0
FDB000350,p-HPEA-EA,501-94-0
FDB000351,Oleuropein-aglycone,
FDB000352,Ligstroside-aglycone,
FDB000355,5-Pentacosenylresorcinol,
FDB000356,5-Tricosenylresorcinol,
FDB000357,3-Methylcatechol,488-17-5
FDB000358,4-Ethylphenol,123-07-9
FDB000359,3'-Methoxyacetophenone,586-37-8
FDB000361,Nuatigenin,6811-35-4
FDB000362,Estradiol,50-28-2
FDB000366,Dioscin,19057-60-4
FDB000367,Collettiside I,14144-06-0
FDB000369,Yamogenin,512-06-1
FDB000370,Ophiopogonin C',19057-67-1
FDB000371,Erythritol,149-32-6
FDB000372,Canescein,22333-73-9
FDB000373,Prenyl acetate,1191-16-8
FDB000374,Phytic acid,83-86-3
FDB000375,Asparagoside B,60237-69-6
FDB000376,6-Hydroxykaempferol,4324-55-4
FDB000377,"(3beta,5alpha)-Ergosta-7,23-dien-3-ol",72982-05-9
FDB000379,L-Malic acid caffeate,53755-04-7
FDB000380,1-Methoxyphaseollidin,65428-13-9
FDB000381,"(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol",570-92-3
FDB000396,Mucronine D,38496-00-3
FDB000397,Nummularine A,53947-95-8
FDB000398,Oxoglaucine,5574-24-3
FDB000404,beta1-Tomatidine,17406-46-1
FDB000405,Blepharin,27625-86-1
FDB000406,Murrayenol,
FDB000408,Geranyl apiosyl-glucoside,120163-17-9
FDB000410,Geranyl rhamnosyl-glucoside,84534-31-6
FDB000411,Geranyl 3-methylbutanoate,109-20-6
FDB000412,Geranyl hexanoate,10032-02-7
FDB000413,Neryl glucoside,22850-13-1
FDB000414,Neryl arabinofuranosyl-glucoside,84534-32-7
FDB000418,Galactosyl 4-hydroxyproline,79284-73-4
FDB000419,4-Hydroxyproline galactoside,80185-44-0
FDB000420,N-Phenylacetylaspartic acid,2752-32-1
FDB000422,Betavulgaroside I,158511-55-8
FDB000423,5Z-Octenyl acetate,71978-00-2
FDB000424,"(R)-1,3-Octanediol",120727-18-6
FDB000427,"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol",120727-21-1
FDB000429,Salsolinol,525-72-4
FDB000430,(S)-Salsolinol,27740-96-1
FDB000432,Moupinamide,66648-43-9
FDB000433,Tyramine,51-67-2
FDB000435,N-Methyltyramine,370-98-9
FDB000439,O-Methylcorypalline,16620-96-5
FDB000440,alpha-Solanigrine,126-17-0
FDB000441,gamma2-Solamarine,11034-34-7
FDB000442,2'-Hydroxydaidzein,7678-85-5
FDB000443,Solacauline,
FDB000444,"(E,E)-Trichostachine",25924-78-1
FDB000445,L-Tyrosine ethyl ester hydrochloride,4089-07-0
FDB000446,L-Tyrosine,60-18-4
FDB000447,Papaverine,61-25-6
FDB000449,Piperine,94-62-2
FDB000450,Chavicine,495-91-0
FDB000451,Isochavicine,30511-77-4
FDB000452,Isopiperine,94-62-2
FDB000453,Theophylline,58-55-9
FDB000455,Theobromine,83-67-0
FDB000457,"xi-1-(3,4-Dihydroxyphenyl)-1,2-ethanediol",3343-19-9
FDB000460,Chlorogenoquinone,24321-18-4
FDB000461,L-Saccharopine,997-68-2
FDB000463,L-Stachydrine,471-87-4
FDB000467,Isodesmosine,991-01-5
FDB000468,L-3-Aminodihydro-2(3H)-furanone,1192-20-7
FDB000474,L-Lysine,56-87-1
FDB000475,L-Lysine hydrochloride,10098-89-2
FDB000476,N6-Acetyl-L-lysine,692-04-6
FDB000477,"1-(3,4-Dimethoxyphenyl)ethanone",1131-62-0
FDB000479,gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine,6710-22-1
FDB000480,Homoglutathione,18710-27-5
FDB000482,N-gamma-L-Glutamyl-L-isoleucine,23632-83-9
FDB000483,N-gamma-L-Glutamyl-L-valine,2746-34-1
FDB000484,Glycine,56-40-6
FDB000488,Ochratoxin A,303-47-9
FDB000491,L-2-Amino-3-(oxalylamino)propanoic acid,5302-45-4
FDB000493,"(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside",29790-46-3
FDB000494,Neobetanin,71199-29-6
FDB000495,Amaranthin,15167-84-7
FDB000496,Betanidin,2181-76-2
FDB000497,Betanin,7659-95-2
FDB000499,2-Acetyl-3-ethylpyrazine,32974-92-8
FDB000500,Prebetanin,13798-16-8
FDB000501,Isobetanidin,2181-76-2
FDB000504,L-2-Amino-4-(aminooxy)butanoic acid,496-93-5
FDB000505,L-Canavanine,543-38-4
FDB000508,"NG,NG-Dimethyl-L-arginine",30315-93-6
FDB000509,"NG,N'G-Dimethyl-L-arginine",30344-00-4
FDB000512,Cycloalliin,455-41-4
FDB000514,Syringic acid,530-57-4
FDB000515,Thaumatin,53850-34-3
FDB000516,Desmosine,11003-57-9
FDB000518,"(3b,4b,5a,24Z)-4-Methylstigmasta-7,24(28)-dien-3-ol",21490-23-3
FDB000520,L-Histidine trimethylbetaine,534-30-5
FDB000521,Homoserine,498-19-1
FDB000522,L-Homoserine,672-15-1
FDB000523,O-Acetylhomoserine,7540-67-2
FDB000524,L-4-Hydroxyglutamine,
FDB000525,L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid,2370-39-0
FDB000529,L-Hypoglycin A,156-56-9
FDB000530,Hypoglycin B,502-37-4
FDB000534,S-Methylcysteine sulfoxide,32726-14-0
FDB000537,L-4-Methylene-2-pyrrolidinecarboxylic acid,20309-87-9
FDB000538,(±)-4-Methylene-2-pyrrolidinecarboxylic acid,2370-38-9
FDB000540,Lysozyme,9001-63-2
FDB000545,Pipecolic acid,535-75-1
FDB000546,L-Pipecolic acid,3105-95-1
FDB000547,Deoxyalliin,52438-09-2
FDB000549,Isoalliin,23315-20-0
FDB000550,S-Propylcysteine sulfoxide,17795-24-3
FDB000551,(R)C(R)S-S-Propylcysteine sulfoxide,17935-27-2
FDB000552,(R)C(S)S-S-Propylcysteine sulfoxide,17935-27-2
FDB000556,L-Alanine,56-41-7
FDB000557,(±)-Alanine,302-72-7
FDB000558,Alliin,556-27-4
FDB000561,2-Amino-4-hydroxy-3-methylpentanoic acid,50764-07-3
FDB000562,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",
FDB000565,alpha-Tocopherol,59-02-9
FDB000567,L-DOPA,59-92-7
FDB000568,L-DOPA 3'-glucoside,2275-95-8
FDB000569,Aspartame,22839-47-0
FDB000570,L-Proline,147-85-3
FDB000571,Carnitine,461-06-3
FDB000572,L-carnitine,541-15-1
FDB000574,Pyridoxine,65-23-6
FDB000575,Pyridoxine hydrochloride,58-56-0
FDB000578,Xanthotoxol,2009-24-7
FDB000579,Oryzarol,
FDB000586,Erosnin,
