CID,experimental value (kcal/mol),experimental uncertainty (kcal/mol),Mobley group calculated value (GAFF) (kcal/mol),calculated uncertainty (kcal/mol)
11,-1.79,0.6,-0.36,0.02
13,-1.12,0.6,-0.12,0.03
79,-6.75,0.6,-5.58,0.03
101,-9.52,1.9,-9.37,0.03
126,-8.83,0.6,-10.05,0.03
174,-9.3,0.6,-7.27,0.03
176,-6.69,0.6,-7.28,0.02
177,-3.5,0.6,-3.37,0.02
178,-9.71,0.6,-8.82,0.02
180,-3.8,0.6,-3.51,0.02
222,-4.29,0.6,-4.02,0.01
240,-4.02,0.6,-5.06,0.03
241,-0.9,0.2,-0.81,0.02
244,-6.62,0.6,-5.13,0.03
261,-3.18,0.6,-3.04,0.02
263,-4.72,0.6,-3.23,0.03
264,-6.35,0.6,-9.43,0.03
297,2.0,0.2,2.45,0.01
335,-5.9,0.2,-5.08,0.03
342,-5.49,0.6,-5.38,0.03
356,2.88,0.6,3.09,0.03
398,-3.13,0.6,-1.74,0.02
402,-0.7,0.6,-1.14,0.01
454,-2.29,0.6,-2.57,0.03
460,-5.94,0.1,-4.75,0.04
527,-3.43,0.6,-3.15,0.02
674,-4.29,0.6,-2.99,0.02
679,-9.28,0.57,-8.24,0.02
702,-5.0,0.6,-3.39,0.02
712,-2.75,0.6,-3.15,0.01
753,-13.43,1.0,-10.14,0.04
795,-9.63,0.6,-7.97,0.02
878,-1.2,0.2,-0.27,0.02
887,-5.1,0.6,-3.49,0.02
931,-2.4,0.6,-3.21,0.03
949,-3.45,0.6,-4.43,0.03
957,-4.09,0.6,-2.69,0.03
980,-10.64,0.6,-8.47,0.03
991,-6.74,0.1,-9.21,0.04
995,-3.88,0.6,-5.26,0.03
996,-6.6,0.2,-5.71,0.03
1031,-4.85,0.6,-3.33,0.02
1032,-6.46,0.6,-9.09,0.03
1049,-4.69,0.6,-3.51,0.02
1068,-1.61,0.6,0.44,0.02
1140,-0.9,0.2,-0.79,0.03
1146,-3.2,0.6,-2.64,0.02
1390,-8.41,0.6,-6.28,0.02
1732,-6.79,0.6,-5.14,0.03
2078,-8.21,0.29,-6.85,0.05
2160,-7.43,0.6,-7.35,0.05
2244,-9.94,0.18,-9.4,0.04
2268,-10.03,1.37,-14.11,0.06
2319,-3.51,1.93,-2.3,0.05
2331,-11.0,0.2,-10.41,0.03
2519,-12.64,0.74,-17.62,0.04
2566,-9.61,0.3,-11.13,0.04
2730,-5.04,0.21,-9.62,0.05
2879,-6.13,0.6,-5.58,0.03
3017,-6.48,0.13,-10.75,0.05
3024,-1.96,0.6,-0.41,0.02
3030,-9.86,1.93,-8.66,0.04
3031,-4.71,1.93,-3.32,0.03
3059,-9.4,0.2,-6.61,0.06
3100,-9.34,0.62,-7.87,0.06
3283,-1.59,0.6,-0.62,0.02
3286,-6.1,1.37,-10.64,0.05
3385,-16.92,0.88,-16.37,0.03
3776,-4.74,0.6,-3.43,0.02
4044,-6.78,0.1,-7.67,0.04
4116,-1.12,0.6,-0.69,0.03
4130,-7.19,0.1,-10.47,0.04
4156,-4.87,0.6,-8.82,0.03
4650,-6.5,0.2,-6.96,0.03
4684,-7.03,0.6,-5.37,0.03
4685,-1.01,0.6,-0.19,0.03
4790,-4.37,0.1,-6.43,0.05
4837,-7.4,0.6,-8.48,0.03
4933,-7.78,1.93,-9.41,0.04
5216,-10.22,0.1,-10.91,0.04
5541,-8.84,0.2,-12.33,0.06
5558,-2.13,0.6,-0.53,0.02
5569,-3.25,0.1,-2.02,0.04
5802,-18.17,0.55,-17.3,0.03
5899,-15.46,0.16,-17.35,0.03
5943,0.08,0.6,1.19,0.02
5993,-3.44,0.1,-3.23,0.04
6027,-20.52,0.27,-14.15,0.08
6054,-6.79,0.6,-5.28,0.03
6115,-5.49,0.6,-5.54,0.03
6129,-9.45,0.1,-10.44,0.04
6184,-2.81,0.6,-2.86,0.03
6212,-1.08,0.6,0.28,0.02
6213,-10.08,0.6,-10.56,0.03
6214,-0.64,0.1,0.89,0.03
6228,-7.81,0.6,-6.93,0.02
6251,-23.62,0.32,-18.16,0.09
6276,-4.57,0.6,-3.05,0.03
6278,-0.19,0.6,0.51,0.02
6323,-0.82,0.6,0.46,0.02
6324,1.83,0.6,2.46,0.01
6325,1.28,0.6,2.33,0.01
6327,-0.55,0.6,0.76,0.01
6328,-0.89,0.6,-0.64,0.02
6329,-4.55,0.6,-3.58,0.02
6332,-0.74,0.6,0.49,0.02
6334,2.0,0.2,2.5,0.02
6335,-0.48,0.6,0.07,0.02
6337,-0.63,0.6,0.78,0.02
6338,-0.59,0.6,1.16,0.02
6340,-0.74,0.6,-0.61,0.02
6341,-4.5,0.6,-3.16,0.02
6342,-3.88,0.6,-2.79,0.02
6343,-1.14,0.6,-0.4,0.02
6344,-1.31,0.6,0.04,0.02
6346,-2.49,0.6,-1.88,0.02
6351,0.75,0.6,2.48,0.02
6358,-0.48,0.6,0.45,0.02
6360,2.3,0.2,2.54,0.02
6361,-0.25,0.6,0.83,0.02
6362,-0.46,0.6,-0.49,0.02
6365,-0.84,0.6,0.19,0.02
6366,0.25,0.6,1.11,0.02
6368,-0.11,0.6,0.23,0.02
6372,-0.5,0.6,-0.07,0.02
6375,-4.02,0.6,-2.08,0.02
6384,1.79,0.6,1.56,0.02
6386,-4.47,0.6,-3.29,0.03
6393,3.12,0.6,2.49,0.02
6403,2.51,0.6,2.5,0.03
6405,-4.43,0.6,-2.93,0.03
6408,0.06,0.6,0.23,0.02
6409,-4.31,0.6,-3.81,0.02
6416,-3.11,0.6,-3.23,0.03
6419,-1.23,0.1,0.06,0.03
6423,-1.45,0.1,-0.38,0.02
6428,1.77,0.6,1.69,0.03
6497,-5.1,0.6,-8.41,0.03
6535,-7.5,0.2,-10.25,0.04
6544,-5.18,1.37,-4.09,0.03
6555,-0.03,0.6,0.76,0.02
6556,2.38,0.6,2.59,0.02
6557,0.68,0.6,1.82,0.02
6560,-4.5,0.6,-3.13,0.03
6561,-2.86,0.6,-2.97,0.02
6574,-1.99,0.6,-0.38,0.03
6575,-0.44,0.6,0.82,0.02
6578,-9.4,0.2,-8.31,0.02
6582,-10.0,0.6,-8.28,0.02
6584,-3.13,0.6,-3.83,0.02
6587,-3.71,0.6,-1.84,0.02
6589,2.34,0.6,2.47,0.03
6591,-2.37,0.1,-0.53,0.03
6710,-9.44,0.74,-12.21,0.04
6720,-5.22,0.25,-1.28,0.04
6734,-3.15,0.6,-4.2,0.03
6736,-5.88,0.6,-8.16,0.03
6809,-9.61,0.5,-11.82,0.03
6853,-3.35,0.6,-4.27,0.03
6895,-1.24,0.6,-0.51,0.03
6896,-5.21,0.6,-5.57,0.03
6944,-3.58,0.6,-3.13,0.03
6946,-7.37,0.6,-7.66,0.03
6947,-4.58,0.6,-5.67,0.06
6997,-5.66,0.1,-4.77,0.03
6998,-4.68,0.1,-8.81,0.03
7000,-6.12,0.6,-6.77,0.03
7002,-2.44,0.6,-3.21,0.03
7005,-7.67,0.6,-7.14,0.03
7041,-6.96,0.1,-7.39,0.04
7043,-5.33,0.1,-4.05,0.03
7047,-5.72,0.6,-4.99,0.03
7057,-7.47,0.6,-8.0,0.03
7095,-2.7,0.2,-3.14,0.03
7144,-5.8,0.1,-4.55,0.04
7150,-3.92,0.6,-4.92,0.03
7165,-3.64,0.6,-4.6,0.03
7175,-9.37,0.22,-8.95,0.04
7184,-8.72,0.27,-8.77,0.04
7237,-0.9,0.6,-0.85,0.03
7238,-1.14,0.6,-0.47,0.03
7239,-1.36,0.6,-0.55,0.03
7240,-4.91,0.6,-4.85,0.03
7242,-5.53,0.6,-5.33,0.03
7245,-4.55,0.6,-3.32,0.04
7247,-0.86,0.6,-0.8,0.03
7249,-6.5,0.6,-5.47,0.03
7258,-7.29,0.1,-5.14,0.03
7267,-5.91,0.6,-5.01,0.03
7270,-1.34,0.6,0.04,0.03
7282,2.51,0.6,2.61,0.03
7288,-3.41,0.2,-3.05,0.03
7295,-4.0,0.6,-3.82,0.02
7296,1.59,0.6,1.78,0.02
7298,-5.49,0.6,-4.29,0.03
7304,-2.89,0.6,-2.37,0.02
7351,-1.69,0.6,-2.58,0.03
7366,-0.44,0.6,-0.8,0.03
7368,-0.25,0.6,-0.57,0.03
7393,-5.91,0.6,-5.54,0.03
7406,-0.3,0.6,-0.67,0.03
7407,-1.24,0.6,-0.65,0.03
7410,-4.58,0.6,-5.08,0.03
7416,-4.12,0.6,-3.46,0.03
7422,-3.45,0.6,-3.28,0.03
7423,-8.84,0.6,-8.2,0.03
7456,-9.51,0.26,-9.79,0.03
7463,-0.68,0.6,-0.46,0.03
7475,-9.82,0.1,-9.42,0.03
7476,-4.4,0.6,-6.58,0.03
7498,-2.38,0.2,-1.85,0.03
7500,-0.79,0.6,-0.61,0.03
7501,-1.24,0.6,-1.08,0.03
7503,-1.93,0.2,-1.74,0.03
7505,-4.1,0.6,-3.24,0.03
7506,-6.02,0.6,-5.76,0.03
7515,-4.69,0.6,-5.72,0.03
7519,-2.45,0.6,-2.32,0.03
7520,-2.73,0.6,-1.32,0.03
7523,-4.33,0.6,-3.31,0.03
7560,-9.13,1.93,-11.81,0.04
7583,-2.87,0.69,-2.81,0.03
7668,-0.53,0.6,-0.51,0.03
7674,-2.22,0.6,-2.25,0.03
7705,-0.4,0.6,-0.23,0.03
7725,-4.27,0.6,-5.01,0.03
7732,-7.48,0.6,-7.02,0.03
7747,-6.72,0.6,-6.36,0.03
7749,-2.68,0.6,-3.22,0.03
7761,-6.0,0.6,-6.72,0.03
7762,-2.49,0.6,-3.38,0.03
7765,-3.28,0.2,-1.79,0.04
7770,-2.28,0.6,-2.75,0.03
7771,-6.01,0.6,-4.98,0.03
7803,-2.44,0.6,-2.45,0.03
7804,-2.3,0.6,-1.09,0.03
7805,-1.39,0.6,-0.89,0.03
7808,-5.85,0.83,-5.83,0.03
7809,-0.8,0.6,-0.66,0.03
7812,-5.9,0.6,-5.28,0.03
7813,-5.57,0.6,-5.49,0.03
7818,-7.58,0.6,-7.87,0.03
7824,-2.49,0.6,-3.3,0.03
7839,-2.33,0.6,-1.27,0.02
7840,-0.56,0.6,0.58,0.02
7843,2.1,0.2,2.59,0.02
7844,1.38,0.6,2.37,0.02
7845,0.56,0.2,1.96,0.02
7846,-0.16,0.6,0.28,0.02
7848,-1.1,0.2,-0.18,0.02
7849,-1.95,0.6,-0.8,0.02
7850,-0.57,0.6,0.94,0.02
7852,-4.39,0.6,-3.05,0.02
7854,-3.84,0.6,-2.49,0.02
7858,-5.03,0.6,-3.29,0.02
7865,-2.78,0.6,-4.03,0.02
7892,2.51,0.6,2.81,0.03
7895,-3.52,0.6,-3.17,0.03
7903,-3.34,0.6,-1.63,0.02
7907,2.83,0.6,2.76,0.03
7909,-3.05,0.6,-3.12,0.03
7912,-3.22,0.6,-1.99,0.03
7914,-0.53,0.6,-0.18,0.03
7915,-2.64,0.6,-3.37,0.03
7929,-0.83,0.6,-0.7,0.03
7932,-5.82,0.6,-5.14,0.03
7933,-6.62,0.6,-5.02,0.03
7936,-4.86,0.6,-3.28,0.03
7937,-4.59,0.6,-3.44,0.03
7947,-0.9,0.6,-0.55,0.03
7948,-6.27,0.6,-5.44,0.03
7950,-0.78,0.6,0.33,0.03
7956,-18.06,0.27,-21.76,0.03
7961,-1.46,0.6,-0.95,0.03
7962,1.7,0.6,1.68,0.03
7963,-4.93,0.6,-3.34,0.03
7964,-1.12,0.6,-0.47,0.02
7965,-4.59,0.6,-3.95,0.03
7966,-5.46,0.6,-4.18,0.03
7967,-4.91,0.6,-4.18,0.03
7969,-2.55,0.6,-1.5,0.03
