TGSC ID,Tags
1000021,{'bland'}
1000031,"{'floral', 'leafy', 'earthy', 'green', 'hyacinth', 'mushroom', 'walnut'}"
1000031,"{'floral', 'sweet', 'green', 'citrus', 'honey'}"
1000041,"{'floral', 'orris', 'cashew', 'nutty', 'powdery', 'woody'}"
1000041,"{'violet', 'berry', 'floral', 'acidic', 'green', 'woody'}"
1000051,"{'floral', 'rose', 'tropical', 'green', 'powdery'}"
1000091,{'almost odorless'}
1000111,"{'sweet', 'hawthorn', 'acacia', 'balsamic', 'anisic', 'powdery'}"
1000111,"{'cherry maraschino cherry', 'sweet', 'balsamic', 'anisic', 'powdery', 'vanilla'}"
1000131,"{'floral', 'sweet', 'hawthorn', 'pungent', 'acacia', 'almond', 'chemical', 'mimosa'}"
1000131,"{'floral', 'sweet', 'coumarinic', 'marzipan', 'nutty', 'heliotrope', 'almond', 'vanilla', 'cherry'}"
1000141,"{'fresh', 'floral', 'waxy', 'oily', 'magnolia', 'petal'}"
1000141,"{'floral', 'sweet', 'green', 'waxy', 'fruity'}"
1000161,"{'incense', 'musk', 'waxy', 'citrus peel', 'fatty', 'dry', 'amber'}"
1000161,"{'creamy', 'fishy', 'waxy', 'fatty', 'dairy', 'fruity', 'pear'}"
1000171,"{'floral', 'sweet', 'waxy', 'aldehydic', 'citrus', 'orange peel'}"
1000171,"{'orange', 'sweet', 'citrus rind', 'waxy', 'aldehydic'}"
1000172,"{'floral', 'sweet', 'waxy', 'aldehydic', 'citrus', 'orange peel'}"
1000172,"{'orange', 'sweet', 'citrus rind', 'waxy', 'aldehydic'}"
1000191,"{'clean', 'musk', 'amber', 'sweet'}"
1000211,"{'fresh', 'floral', 'orange', 'rose', 'clean', 'dusty', 'oily', 'fatty', 'wet'}"
1000212,"{'fresh', 'floral', 'orange', 'rose', 'clean', 'dusty', 'oily', 'fatty', 'wet'}"
1000221,"{'floral', 'rose', 'metallic', 'green', 'cortex', 'geranium', 'powdery'}"
1000231,"{'orange', 'floral', 'sweet', 'clean', 'waxy', 'watery', 'fatty'}"
1000232,"{'orange', 'floral', 'sweet', 'clean', 'waxy', 'watery', 'fatty'}"
1000241,"{'jasmin', 'lavender', 'herbal', 'apricot', 'peach', 'lactonic', 'fruity'}"
1000251,"{'fresh', 'green', 'herbal', 'waxy', 'aldehydic', 'citrus', 'fatty', 'orange peel'}"
1000251,"{'orange', 'peely', 'green', 'waxy', 'aldehydic', 'citrus'}"
1000291,"{'fresh', 'peely', 'rose', 'waxy', 'aldehydic', 'orris', 'fatty', 'orange peel'}"
1000291,"{'fresh', 'green', 'cucumber', 'waxy', 'aldehydic', 'lemon peel', 'citrus', 'fatty'}"
1000292,"{'fresh', 'peely', 'rose', 'waxy', 'aldehydic', 'orris', 'fatty', 'orange peel'}"
1000292,"{'fresh', 'green', 'cucumber', 'waxy', 'aldehydic', 'lemon peel', 'citrus', 'fatty'}"
1000301,"{'sweet', 'musk', 'balsamic', 'animal', 'amber'}"
1000311,"{'floral', 'heliotrope', 'lily', 'lilac'}"
1000321,"{'pineapple', 'sweet', 'tropical', 'waxy', 'candy', 'fruity'}"
1000322,"{'pineapple', 'sweet', 'tropical', 'waxy', 'candy', 'fruity'}"
1000322,"{'apple', 'pineapple', 'sweet', 'green', 'waxy', 'fruity'}"
1000331,"{'soapy', 'rose', 'waxy', 'aldehydic', 'citrus', 'mandarin', 'fatty'}"
1000332,"{'soapy', 'rose', 'waxy', 'aldehydic', 'citrus', 'mandarin', 'fatty'}"
1000332,"{'soapy', 'green', 'waxy', 'aldehydic', 'citrus', 'fatty'}"
1000341,"{'floral', 'jasmin', 'tropical', 'green', 'waxy', 'natural', 'banana', 'fruity'}"
1000361,"{'coconut', 'floral', 'jasmin', 'oily', 'dairy', 'milky'}"
1000371,"{'floral', 'soapy', 'green', 'waxy', 'aldehydic', 'citrus'}"
1000371,"{'floral', 'soapy', 'waxy', 'aldehydic', 'citrus', 'orange rind'}"
1000381,{'odorless'}
1000382,{'odorless'}
1000391,"{'coconut', 'floral', 'creamy', 'peach', 'dairy', 'plum', 'fruity', 'buttery'}"
