TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1000021,,,8002-33-3,,8035-60-7,,,,,,,,,MFCD00132540,232-306-7,,75T1HFY189,,,,
1000031,90-87-9,"1,1-dimethoxypropan-2-ylbenzene",90-87-9,,130605-86-6,,,,62336,C11 H16 O2,2091958,2017.0,J59.869K,MFCD00008860,202-022-8,100.001.839,H41WGL6C12,,,180.24692,2.4
1000041,1323-00-8,"[(Z)-5-[(3R,6S)-2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.02,6]heptan-3-yl]-2-methylpent-2-enyl]acetate;[(Z)-2-methyl-5-[(1R,3R,4S)-3-methyl-2-methylide",1323-00-8,,,,,,,C34 H52 O4,,224.0,,,215-349-6,100.013.954,NI0P5374LY,,,524.78524,4.3
1000051,67634-02-0,"[2,2-bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",67634-02-0,,,,,,,C28 H42 O2,,,J60.243D,,266-805-6,100.060.713,,,,410.64114,8.8
1000061,14016-29-6,"(1S,17S)-3,7,9-trihydroxy-17-methyl-16,21-dioxapentacyclo[15.3.1.02,15.04,13.06,11]henicosa-2(15),3,6(11),7,9,13-hexaene-5,12-dione",14016-29-6,,,,,,,C20 H16 O7,1299991,,,,,,7R1N64C5MZ,,,368.34192,3.0
1000091,151-21-3,sodium dodecyl sulfate,151-21-3,,51-21-3,,,,3423265,C12 H25 Na O4 S,3599286,,J817F,MFCD00036175,205-788-1,100.005.263,368GB5141J,,,288.38281928,
1000111,100-06-1,1-(4-methoxyphenyl)ethanone,100-06-1,,,,,,7476,C9 H10 O2,0742313,570.0,J5.163B,MFCD00008745,202-815-9,100.002.560,0IRH2BR587,,,150.1771,1.7
1000131,98-86-2,1-phenylethanone,98-86-2,,,,,,7410,C8 H8 O,0605842,138.0,J3.225E,MFCD00008724,202-708-7,100.002.462,RK493WHV10,,,120.15096,1.6
1000141,1211-29-6,"methyl 2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate",1211-29-6,,,,,,,C13 H20 O3,,,J128.619F,MFCD00151382,214-918-6,100.013.562,900N171A0F,,,224.3,1.9
1000161,124-25-4,tetradecanal,124-25-4,,511542-15-7,,,,31291,C14 H28 O,1765987,118.0,J1.509A,MFCD00007019,204-692-7,100.004.267,44AJ2LT15N,,,212.37636,6.0
1000171,112-31-2,decanal,112-31-2,,,,,,8175,C10 H20 O,1362530,98.0,J2.888F,MFCD00007031,203-957-4,100.003.598,31Z90Q7KQJ,,,156.2686,3.8
1000172,112-31-2,decanal,112-31-2,,,,,,8175,C10 H20 O,1362530,98.0,J2.888F,MFCD00007031,203-957-4,,31Z90Q7KQJ,,,156.2686,3.8
1000181,6833-79-9,azane; diphosphono hydrogen phosphate,6833-79-9,,,,,,,H12 N3 O4 P,,,,,,,,,,149.087202,
1000211,143-08-8,nonan-1-ol,143-08-8,,,,,,8914,C9 H20 O,0969213,55.0,J2.549F,MFCD00002990,205-583-7,,NGK73Q6XMC,,2789,144.2576,4.3
1000212,143-08-8,nonan-1-ol,143-08-8,,,,,,8914,C9 H20 O,0969213,55.0,J2.549F,MFCD00002990,205-583-7,100.005.076,NGK73Q6XMC,,,144.2576,4.3
1000221,3033-23-6,"(2S,4R)-4-methyl-2-(2-methylprop-1-enyl)oxane",3033-23-6,,,,,,,C10 H18 O,5496892,2269.0,J85.991E,MFCD00674545,221-217-9,100.019.290,M8VU21JU32,,,154.25266,2.9
1000231,112-30-1,decan-1-ol,112-30-1,,,,,,8174,C10 H22 O,1735221,73.0,J2.887H,MFCD00004747,203-956-9,,89V4LX791F,,2365,158.28454,4.6
