CID,TGSC ID
1,1408431
4,1043411
11,1145471
19,1161691
22,1620841
33,1228301
45,1499701
47,1465111
49,1047091
51,1048551
58,1037661
70,1047101
71,1180191
72,1183421
86,1190601
91,1417091
93,1192791
96,1468691
98,1465131
101,1190611
102,1190641
107,1020511
119,1198861
125,1107691
126,1040191
127,1203851
129,1382701
135,1040201
144,1241551
174,1246181
176,1097191
177,1019471
178,1097381
179,1007331
180,1001331
190,1216241
196,1001801
199,1628071
203,1216611
204,1068121
205,1242051
222,1097731
227,1010981
229,1242081
231,1622031
232,1351661
236,1241661
239,1002211
240,1001491
241,1221761
243,1033731
244,1001651
244,1001652
247,1223311
249,1899281
260,1250711
261,1007681
262,1161171
263,1029131
264,1607941
264,1003411
273,1149431
277,1904011
280,1227321
281,1227341
284,1008401
289,1227551
297,1311521
300,1228311
305,1600511
308,1003291
308,1003292
309,1108671
311,1000441
313,1250721
322,1384331
323,1003832
323,1003831
325,1016451
326,1004031
332,1005101
335,1007721
338,1097271
340,1192001
341,1537411
342,1007701
356,1270561
359,1302291
366,1213691
368,1826971
370,1099031
379,1009091
385,1274891
397,1251491
398,1180041
401,1241721
402,1722231
402,1285181
402,1038291
403,1198931
424,1097831
428,1146991
441,1415651
454,1000251
460,1032272
460,1032271
461,1684361
464,1250301
473,1498461
499,1134731
502,1835801
513,1489561
525,1351371
527,1019491
547,1183451
563,1047451
564,1212381
586,1231871
588,1231881
594,1057031
595,1241731
597,1233541
602,1043861
611,1350631
612,1007391
614,1242001
617,1242021
649,1208061
650,1014611
660,1001531
670,1019441
674,1239751
679,1108491
682,1899201
700,1242991
701,1243891
702,1000511
712,1272121
712,1247381
713,1247401
723,1024321
723,1610531
743,1248291
750,1008481
752,1620701
753,1773451
753,1008461
753,1773481
753,1495781
756,1045311
757,1248541
760,1248671
763,1248881
764,1248891
768,1027341
773,1348241
773,1107681
774,1250321
778,1241831
780,1165371
781,1534751
783,1250851
784,1250821
785,1250911
790,1251131
791,1030301
795,1251201
798,1006511
800,1448031
802,1251501
803,1251541
807,1251701
811,1252991
824,1241951
827,1216341
833,1241711
849,1586071
854,1345941
855,1462451
857,1107821
857,1099121
864,1136251
866,1107841
867,1030881
873,1185661
875,1482521
875,1060791
876,1031751
878,1008781
880,1034251
887,1259561
890,1274801
892,1251621
892,1906821
896,1256771
904,1132531
931,1268211
932,1880571
935,1268951
936,1068911
938,1099331
944,1269301
947,1269461
948,1269601
949,1263451
957,1021071
957,1317601
962,1029541
964,1465121
965,1621891
967,1305821
967,1681831
967,1356701
967,1099361
967,1358341
967,1356281
967,1356411
967,1681821
967,1302121
967,1305811
970,1271121
971,1271141
977,1271321
978,1198771
984,1419391
985,1683131
985,1009101
989,1136131
992,1272311
994,1037691
996,1009361
996,1077621
997,1274191
998,1009941
998,1009931
999,1009911
1001,1035561
1003,1901571
1004,1033561
1017,1274691
1018,1274841
1023,1279681
1024,1842891
1028,1440661
1030,1000382
1030,1000381
1031,1009211
1031,1659881
1032,1001661
1044,1279341
1045,1148651
1046,1279411
1047,1180621
1049,1009251
1051,1372101
1054,1279591
1057,1279641
1060,1034261
1068,1022341
1081,1390651
1088,1281741
1088,1306401
1091,1281961
1100,1285211
1102,1284261
1103,1007232
1103,1284281
1110,1040431
1118,1285191
1119,1034771
1123,1097201
1127,1287701
1133,1256841
1135,1289321
1136,1023221
1140,1290031
1145,1293651
1146,1009301
1148,1242061
1150,1295851
1153,1242071
1174,1296121
1175,1296191
1176,1296171
1176,1063421
1182,1036191
1183,1011711
1183,1011712
1188,1297041
1203,1679401
1203,1679401
1213,1462671
1213,1019861
1213,1557971
1233,1700111
1245,1486281
1249,1539681
1254,1310491
1254,1029672
1254,1029671
1256,1449821
1292,1136021
1317,1143951
1390,1155391
1483,1162831
1486,1163761
1489,1196341
1491,1097221
1531,1169721
1533,1170281
1563,1027761
1567,1177481
1639,1186891
1645,1187311
1646,1186921
1651,1496801
1720,1198171
1731,1201861
1732,1200981
1738,1250461
1752,1331081
1807,1292591
1825,1447611
1880,1504891
1889,1699891
1890,1700201
1923,1214421
1983,1197931
1984,1597921
1988,1313671
2002,1265471
2005,1212261
2022,1539441
2078,1312551
2149,1241481
2151,1198741
2153,1288881
2155,1171201
2181,1135601
2206,1220541
2214,1057511
2230,1389511
2244,1097491
2256,1310621
2266,1220821
2266,1729891
2268,1309221
2283,1221051
2286,1310551
2314,1334881
2319,1333881
2328,1354091
2331,1221711
2337,1684581
2337,1097901
2345,1001672
2345,1001671
2346,1012031
2347,1222431
2353,1070241
2355,1012251
2361,1223231
2365,1223261
2374,1164841
2378,1710751
2383,1223731
2391,1298291
2450,1171671
2467,1666811
2482,1226041
2484,1093971
2518,1108791
2519,1014161
2537,1607841
2537,1056901
2554,1227151
2566,1333171
2572,1359021
2578,1379051
2682,1026181
2703,1665441
2707,1347821
2720,1309071
2723,1200891
2728,1080881
2730,1347681
2733,1229231
2758,1056361
2775,1208211
2812,1016421
2871,1354341
2879,1003851
2906,1233161
2926,1233471
2950,1150231
2955,1198951
2969,1007741
2997,1094001
2998,1033291
3023,1235501
3026,1018721
3030,1334041
3031,1166401
3037,1158641
3051,1237761
3053,1238101
3082,1309081
3086,1239601
3102,1016331
3102,1016332
3109,1158541
3117,1287391
3162,1900971
3182,1213631
3213,1242521
3218,1064301
3220,1242531
3283,1243001
3293,1353101
3301,1246261
3305,1300001
3314,1004991
3314,1004992
3327,1005091
3327,1005092
3338,1414391
3352,1669371
3362,1448101
3374,1080101
3406,1205201
3438,1247661
3442,1247711
3444,1354241
3469,1165361
3485,1097231
3496,1264971
3503,1526291
3515,1248821
3516,1382601
3520,1826661
3526,1669381
3526,1669381
3565,1811671
3593,1616031
3597,1249461
3607,1250171
3610,1203351
3611,1044801
3639,1309061
