Stimulus,TGSC ID,CID,Concentration %,Solvent
100-06-1,1000111,7476,100.0,
100-09-4,1031871,7478,10.0,dipropylene glycol
100-42-5,1009281,7501,0.1,triacetin
100-51-6,1001651,244,100.0,
100-52-7,1001491,240,10.0,dipropylene glycol
100-53-8,1017561,7509,0.1,propylene glycol
100-66-3,1031451,7519,1.0,dipropylene glycol
100-68-5,1108231,7520,0.1,ethyl alcohol
100-71-0,1175671,7523,0.01,propylene glycol
100-84-5,1032101,7530,,
100-86-7,1004411,7531,100.0,
10016-20-3,1607711,24796,100.0,
1002-84-2,1272411,13849,100.0,
10022-28-3,1009151,61431,100.0,
10024-56-3E,1034841,6435837,100.0,
10024-57-4,1035031,61434,1.0,dipropylene glycol
10024-64-3,1007321,61435,100.0,
10024-97-2,1269601,948,100.0,
1003-04-9,1005811,61252,0.1,dipropylene glycol
1003-10-7,1248071,13852,0.01,propylene glycol
1003-29-8,1279691,13854,1.0,propylene glycol
1003050-32-5,1119821,57579236,100.0,
10031-71-7,1032921,61446,100.0,
10031-82-0,1022121,24834,100.0,
10031-86-4,1022321,61447,100.0,
10031-87-5,1022331,61448,10.0,dipropylene glycol
10031-90-0,1025231,61450,100.0,
10031-92-2,1022951,61451,1.0,dipropylene glycol
10031-93-3,1023081,61452,10.0,dipropylene glycol
10031-96-6,1023531,24835,100.0,
10032-00-5,1024841,5956805,100.0,
10032-02-7,1016691,5365992,100.0,
10032-05-0,1032791,61453,100.0,
10032-08-3,1025961,6435839,100.0,
10032-11-8,1445001,37065,10.0,dipropylene glycol
10032-13-0,1027041,61455,100.0,
10032-15-2,1024371,24838,100.0,
10039-39-1,1026921,61457,1.0,dipropylene glycol
10043-01-3,1218971,24850,100.0,
10058-43-2,1020861,61464,100.0,
1006-27-5,1014051,70506,10.0,dipropylene glycol
10072-05-6,1582771,82336,100.0,
100743-68-8,1038071,23670519,,
1009-14-9,1296281,66093,100.0,
1009-62-7,1043011,70520,100.0,
10094-34-5,1020531,24915,100.0,
10094-36-7,1022501,61466,10.0,dipropylene glycol
10094-40-3,1451651,17243,10.0,dipropylene glycol
10094-41-4,1374241,61467,10.0,dipropylene glycol
101-39-3,1011051,7557,100.0,
101-41-7,1008431,7559,10.0,dipropylene glycol
101-48-4,1009971,60995,100.0,
101-49-5,1014151,7562,100.0,
101-81-5,1008911,7580,10.0,dipropylene glycol
101-84-8,1004531,7583,10.0,dipropylene glycol
101-86-0,1005971,7585,100.0,
101-94-0,1003971,60997,10.0,dipropylene glycol
101-97-3,1015111,7590,1.0,dipropylene glycol
10101-41-4,1227031,24928,100.0,
10108-80-2,1049751,112002,,
10117-38-1,1278351,24958,,
10138-32-6,1453171,24986,100.0,
10138-63-3,1460321,82397,100.0,
101426-31-7,1586451,44182035,0.1,propylene glycol
101517-87-7,1038311,529056,0.1,dipropylene glycol
10152-76-8,1038781,66282,0.1,propylene glycol
10152-77-9,1576911,637915,,
101780-73-8,1597211,71587383,,
10191-41-0,1131331,14985,100.0,
102-04-5,1005501,7593,10.0,dipropylene glycol
102-13-6,1006811,60998,100.0,
102-16-9,1021131,60999,100.0,
102-17-0,1022411,7599,100.0,
102-19-2,1011171,7600,1.0,dipropylene glycol
102-20-5,1010111,7601,100.0,
102-22-7,1559321,5366044,100.0,
102-69-2,1294821,7616,0.1,propylene glycol
102-76-1,1027131,5541,100.0,
10208-80-7,1384851,12306047,100.0,
102322-83-8,1548231,5362588,10.0,dipropylene glycol
1023288-21-2,1697271,57429407,,
10236-16-5,1052801,637195,100.0,
10250-45-0,1377671,82493,100.0,
10276-85-4,1039491,82511,100.0,
10297-72-0,1463491,5368950,,
103-05-9,1016711,7632,1.0,
103-07-1,1024591,7633,100.0,
103-09-3,1022731,7635,10.0,dipropylene glycol
103-13-9Z,1031941,6435821,10.0,dipropylene glycol
103-25-3,1032981,7643,100.0,
103-26-4,1417571,7644,100.0,
103-28-6,1001711,7646,100.0,
103-36-6,1014811,7649,100.0,
103-37-7,1022171,7650,1.0,
103-38-8,1001361,7651,100.0,
103-41-3Z,1014311,15558051,100.0,
103-45-7,1010031,7654,100.0,
103-48-0,1010071,7655,100.0,
103-50-4,1012651,7657,100.0,
103-52-6,1010081,7658,100.0,
103-53-7,1006121,5369459,100.0,
103-54-8,1003371,7660,100.0,
103-56-0,1024271,7661,100.0,
103-58-2,1032641,7662,1.0,
103-60-6,1031511,61005,100.0,
103-61-7,1014111,7664,100.0,
103-64-0,1002191,7667,1.0,dipropylene glycol
103-82-2,1009911,999,10.0,dipropylene glycol
103-93-5,1035021,7685,1.0,dipropylene glycol
103-95-7,1004111,517827,100.0,
10307-60-5,1623791,643001,100.0,
10307-61-6,1551631,6429107,100.0,
10321-71-8,1516231,642039,1.0,propylene glycol
10332-51-1,1610791,12193862,100.0,
10339-55-6,1015171,6433547,100.0,
10339-61-4,1566881,5352807,1.0,dipropylene glycol
10340-23-5,1001811,5364631,100.0,
10348-47-7,1476881,112030,100.0,
10352-88-2,1436261,5282709,,
10361-39-4,1039611,82584,100.0,
103694-68-4,1020401,175948,100.0,
104-09-6,1331071,61006,10.0,dipropylene glycol
104-20-1,1021651,61007,100.0,
104-21-2,1001291,7695,100.0,
104-45-0,1024291,7702,1.0,ethyl alcohol
104-46-1,1375541,637563,100.0,
104-50-7,1006541,7704,10.0,dipropylene glycol
104-53-0,1010241,7707,10.0,dipropylene glycol
104-54-1,1003291,308,100.0,
104-55-2,1002631,307,10.0,dipropylene glycol
104-57-4,1012591,7708,100.0,
104-61-0,1000531,7710,100.0,
104-62-1,1026431,7711,100.0,
104-64-3,1017641,61010,100.0,
104-65-4,1020931,7712,100.0,
104-67-6,1000821,7714,100.0,
104-76-7,1015291,7720,100.0,
104-87-0,1003421,7725,5.0,dipropylene glycol
104-90-5,1008351,7728,0.1,propylene glycol
104-93-8,1003931,7731,1.0,dipropylene glycol
10402-33-2,1023591,25238,100.0,
10402-47-8,1025021,5365850,100.0,
10402-48-9,1015031,6436369,10.0,dipropylene glycol
10402-52-5,1027301,25239,100.0,
10403-00-6,1557221,7160826,0.1,dipropylene glycol
10411-92-4,1096661,36081,100.0,
10413-18-0,1590671,544628,,
10414-68-3,1594171,193458,1.0,propylene glycol
10415-87-9,1001881,61516,100.0,
104228-51-5,1584281,54048924,0.1,propylene glycol
10444-50-5E,1015621,5338463,100.0,
104468-21-5,1003951,53428828,10.0,dipropylene glycol
10448-24-5,1624761,92572,10.0,propylene glycol
10448-26-7,1419771,82635,,
10458-14-7,1399161,6986,10.0,dipropylene glycol
10461-98-0,1131081,66327,100.0,
104691-41-0,1038321,529052,0.1,dipropylene glycol
10471-96-2,1030621,112045,100.0,
10482-53-8,1011021,5352710,,
10482-55-0,1044991,5366155,100.0,
10482-56-1,1218601,443162,100.0,
10482-77-6,1015761,112049,100.0,
10482-79-8,1015801,6437720,100.0,
10484-09-0,1002941,66330,100.0,
10484-36-3,1003491,6437735,100.0,
10484-56-7,1413311,82664,100.0,
10486-12-1,1058721,112051,100.0,
10486-14-3,1028381,61521,100.0,
10486-19-8,1005541,25311,1.0,dipropylene glycol
10486-25-6,1454671,112052,100.0,
10486-26-7,1454681,112053,100.0,
104864-90-6,1559441,16063533,10.0,dipropylene glycol
10493-98-8,1538021,82674,0.1,propylene glycol
104986-28-9,1061361,113640,100.0,
105-01-1,1013401,7733,10.0,dipropylene glycol
105-13-5,1001251,7738,5.0,
