CID,MolecularWeight,IsomericSMILES,IUPACName,name
712,30.026,C=O,formaldehyde,formaldehyde
177,44.05,CC=O,acetaldehyde,acetaldehyde
527,58.08,CCC=O,propanal,propionaldehyde
261,72.11,CCCC=O,butanal,butyraldehyde
8063,86.13,CCCCC=O,pentanal,valeraldehyde
6184,100.16,CCCCCC=O,hexanal,hexanal
8130,114.19,CCCCCCC=O,heptanal,heptanal
454,128.21,CCCCCCCC=O,octanal,octanal
31289,142.24,CCCCCCCCC=O,nonanal,nonanal
8175,156.26,CCCCCCCCCC=O,decanal,decanal
8186,170.29,CCCCCCCCCCC=O,undecanal,undecanal
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
5281168,98.14,CCC/C=C/C=O,(E)-hex-2-enal,trans-2-hexenal
887,32.042,CO,methanol,methanol
702,46.07,CCO,ethanol,ethanol
1031,60.10,CCCO,propan-1-ol,1-propanol
263,74.12,CCCCO,butan-1-ol,1-butanol
6276,88.15,CCCCCO,pentan-1-ol,1-pentanol
8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol
8129,116.20,CCCCCCCO,heptan-1-ol,1-heptanol
957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
8914,144.25,CCCCCCCCCO,nonan-1-ol,1-nonanol
8174,158.28,CCCCCCCCCCO,decan-1-ol,1-decanol
8184,172.31,CCCCCCCCCCCO,undecan-1-ol,1-undecanol
637566,154.25,CC(=CCC/C(=C/CO)/C)C,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",geraniol
7966,100.16,C1CCC(CC1)O,cyclohexanol,cyclohexanol
12297,102.17,CCCCC(C)O,hexan-2-ol,2-hexanol
5281167,100.16,CC/C=C\CCO,(Z)-hex-3-en-1-ol,cis-3-hexen-1-ol
3776,60.10,CC(C)O,propan-2-ol,isopropanol
6568,74.12,CCC(C)O,butan-2-ol,2-butanol
22386,88.15,CCCC(C)O,pentan-2-ol,2-pentanol
10976,116.20,CCCCCC(C)O,heptan-2-ol,2-heptanol
20083,130.23,CCCCCCC(C)O,octan-2-ol,octan-2-ol
12367,144.25,CCCCCCCC(C)O,nonan-2-ol,2-nonanol
12178,102.17,CCCC(CC)O,hexan-3-ol,3-hexanol
244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
16666,156.26,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",l-menthol
7438,152.23,CC1=CCC(CC1O)C(=C)C,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol,carveol
284,46.025,C(=O)O,formic acid,formic acid
176,60.05,CC(=O)O,acetic acid,acetic acid
1032,74.08,CCC(=O)O,propanoic acid,propionic acid
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
7991,102.13,CCCCC(=O)O,pentanoic acid,valeric acid
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid
8094,130.18,CCCCCCC(=O)O,heptanoic acid,heptanoic acid
379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
8158,158.24,CCCCCCCCC(=O)O,nonanoic acid,nonanoic acid
2969,172.26,CCCCCCCCCC(=O)O,decanoic acid,decanoic acid
8180,186.29,CCCCCCCCCCC(=O)O,undecanoic acid,undecanoic acid
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid
243,122.12,C1=CC=C(C=C1)C(=O)O,benzoic acid,benzoic acid
999,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
6590,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
8314,102.13,CCC(C)C(=O)O,2-methylbutanoic acid,2-methylbutanoic acid
444539,148.16,C1=CC=C(C=C1)/C=C/C(=O)O,(E)-3-phenylprop-2-enoic acid,cinnamic acid
637090,86.09,C/C=C/C(=O)O,(E)-but-2-enoic acid,crotonic acid
297,16.043,C,methane,02329_fluka
6324,30.07,CC,ethane,ethane
6334,44.10,CCC,propane,propane
7843,58.12,CCCC,butane,butane
8003,72.15,CCCCC,pentane,pentane
8058,86.18,CCCCCC,hexane,hexane
8900,100.20,CCCCCCC,heptane,heptane
356,114.23,CCCCCCCC,octane,octane
8141,128.25,CCCCCCCCC,nonane,nonane
15600,142.28,CCCCCCCCCC,decane,decane
14257,156.31,CCCCCCCCCCC,undecane,undecane
