Stimulus,Descriptor 1,Descriptor 2,Descriptor 3
439711,Earthy,Woody,Camphoraceous
16213731,Woody,Balsamic,Nutty
227829,Woody,Smoky,Rose
101977,Floral,Rose,Geranium
439263,Minty,Fresh,Aromatic
11240503,Sulfurous,Garlic,Onion
56842481,Green,Grassy,Citrus
12217499,Woody,Patchouli,Earthy
5374527,Floral,Rose,Plum
105537,Green,Floral,Violet
5362833,Green,Cucumber,Oily
44145973,Green,Fresh,Floral
174845,Floral,Magnolia,Muguet
117035,Fruity,Berry,Honey
6366609,Green,Fresh,Fruity
6438067,Floral,Plum,Rose
5366077,Floral,Rose,Apple
5365847,Fruity,Green,Fresh
103447,Fruity,Peach,Jasmin
5318599,Green,Vegetable,Food like
2753159,Fruity,Green,Rhubarb
6365813,Woody,Violet,Cedarwood
68085257,Food Like,Savoury,Roasted
5752319,Citrus,Tangerine,Fresh
5363231,Fruity,Floral,Sweet
444683,Fruity,Sweet,Fermented
12009861,Fruity,Blackcurrant,Floral
20836345,Green,Fresh,Fruity
5364919,Fruity,Cherry,Fresh
3036969,Green,Fruity,Rhubarb
20836197,Woody,Violet,Cedarwood
16220109,Green,Floral,Herbal
1381163,Citrus,Spicy,Floral
6019677,Fruity,Coconut,Buttery
6436925,Citrus,Tangerine,Fresh
5365069,Green,Fruity,Apple
5363389,Fruity,Melon,Honeydew
5367767,Green,Leafy,Herbal
114233,Floral,Muguet,Rose
114533,Fruity,Sweet,Pear
110923,Citrus,Fresh,Lemon
166527,Floral,Green,Hyacinth
109193,Woody,Floral,Amber
13663,Floral,Neroli,Sweet
116699,Woody,Amber,Dry
9837013,Fruity,Floral,Tobacco
107065,Woody,Cedarwood,Amber
6438067,Fruity,Plum,Rose
112185,Green,Herbal,Grapefruit
15435,Powdery,Floral,Hay
6453423,Herbal,Green,Pineapple
109417,Green,Floral,Earthy
2507689,Floral,Neroli,Powdery
69885,Floral,Neroli,Musk Like
142629,Sulfurous,Garlic,Acidic
35785,Green,Leafy,Herbal
31231,Balsamic,Anisic,Green
102054965,Woody,Amber,Leathery
170239,Floral,Citrus,Sulfurous
19793,Woody,Cedarwood,Musk Like
101363,Aldehydic,Mossy,Green
10795,Green,Hay,Apple
101023,Fruity,Jasmin,Grape
101549,Woody,Vetiver,Grapefruit
103377,Woody,Dry,Amber
7043,Gourmand,Phenolic,Creamy
107217,Herbal,Pine,Fresh
91497,Musk like,Floral,Woody
112635,Floral,Jasmin,Citrus
16205339,Floral,Ylang,Green
3018907,Fruity,Floral,Herbal
6440993,Fruity,Plum,Apple
15571,Earthy,Fungal,Sweet
234237,Floral,Jasmin,Watery
6433089,Floral,Green,Violet
6436727,Woody,Amber,Cedarwood
109275,Musk like,Animal Like,Woody
15897831,Fruity,Pineapple,Green
2537,Herbal,Camphoraceous,Green
91151,Woody,Amber,Powdery
107119,Woody,Balsamic,Terpenic
109263,Woody,Spicy,Balsamic
61035,Fruity,Rose,Green
8187,Citrus,Citrus,Ozonic
109641,Fruity,Floral,Fermented
23173,Musk like,Fruity,Woody
5365703,Musk like,Powdery,Animal Like
22336879,Floral,Green,Muguet
137829,Herbal,Minty,Fruity
107073,Fruity,Dry,Brandy
170977,Food Like,Earthy,Fungal
53422433,Aldehydic,Fresh,Green
118291,Woody,Pine,Amber
78903,Herbal,Hay,Oak
7219,Animal like,Terpenic,Balsamic
108523,Musk like,Floral,Woody
14549,Musk like,Floral,Woody
106919,Animal like,Indolic,Medicinal
228343,Herbal,Minty,Fruity
3024273,Herbal,Green,Citrus
166247,Fruity,Tropical-Fruit,Sweet
22476645,Floral,Muguet,Citrus
88693,Floral,Citrus,Dry
89437,Floral,Citrus,Pine
161949,Woody,Dry,Amber
957,Citrus,Waxy,Green
18827,Herbal,Floral,Lavender
17121,Herbal,Fruity,Floral
20268659,Fruity,Blackcurrant,Tropical-Fruit
22219099,Fruity,Blackcurrant,Green
6452049,Woody,Herbal,Oily
6437247,Woody,Sandalwood,Floral
5372151,Woody,Floral,Violet
11363,Aromatic,Phenolic,Dry
160065,Floral,Green,Hyacinth
6427135,Citrus,Fruity,Grapefruit
18955245,Amber,Warm,Woody
8207,Floral,Woody,Green
5463875,Earthy,Mushroom,Lavender
20839647,Fruity,Fresh,Green
5364949,Green,Fruity,Leafy
16063567,Musk like,Fruity,Pear
106739,Woody,Earthy,Fresh
102667,Herbal,Woody,Pine
81887,Green,Galbanum,Bell Pepper
14344497,Fruity,Coconut,Tropical-Fruit
107271,Green,Fruity,Floral
15410529,Fruity,Grapefruit,Sulfurous
74005,Herbal,Powerful,Leathery
175661,Fruity,Peach,Apricot
21967387,Fruity,Fresh,Sweet
6365761,Green,Watery,Aldehydic
14917671,Citrus,Lemon,Herbal
20499,Sulfurous,Coffee,Onion
1252759,Aldehydic,Green,Herbal
85833,Herbal,Aromatic,Juniper
156605,Citrus,Grapefruit,Rhubarb
83367,Floral,Rose,Fresh
3034843,Powdery,Woody,Tobacco
28905,Gourmand,Nutty,Nutty
10687,Earthy,Phenolic,Musty
22201,Food Like,Nutty,Roasted
60983,Food Like,Buttery,Cheesy
19707,Gourmand,Buttery,Caramel
9815427,Citrus,Fruity,Floral
3019015,Fruity,Blackcurrant,Grapefruit
61653,Gourmand,Nutty,Cocoa
107381,Fruity,Citrus,Green
93375,Green,Grassy,Citrus
106743,Floral,Fresh,Green
106749,Citrus,Fruity,Grapefruit
86015,Green,Apple,Galbanum
112657,Green,Violet,Cucumber
7771,Smoky,Roasted,Balsamic
79409,Woody,Sandalwood,Camphoraceous
163345,Green,Ozonic,Melon
62913,Gourmand,Caramel,Coffee
61325,Fruity,Vegetable,Sweet
15511119,Fruity,Sweet,Apple
7267,Smoky,Roasted,sweet
98403,Green,Ozonic,Aldehydic
91115,Aldehydic,Floral,Marine
91115,Aldehydic,Hyacinth,Muguet
9895,Green,Saffron,Rose
61041,Herbal,Aldehydic,Tobacco
61057,Balsamic,Fruity,Oily
7041,Food Like,Phenolic,Smoky
5368821,Aromatic,Floral,Fresh
109413,Aromatic,Citrus,Herbal
7957,Food Like,Yeast,Fermented
91375,Citrus,Floral,Fruity
5368821,Floral,Peppery,Herbal
7937,Food Like,Nutty,Leathery
6364671,Green,Cucumber,Oily
638011,Citrus,Verbena,Lime
11335,Smoky,Phenolic,Neutral
1738173,Floral,Chamomile,Marigold
32093,Food Like,Nutty,Roasted
6569,Fruity,Pear,Light
101985,Animal like,Dry,Balsamic
94569,Herbal,Green,Floral
89539,Gourmand,Caramel,Anisic
21003,Floral,Animal Like,Indolic
12741,Floral,Neroli,Peach
5283345,Aldehydic,Floral,Clean
5283361,Citrus,Aldehydic,Mandarin
75715,Gourmand,Vanilla,Sweet
106997,Earthy,Rooty,Camphoraceous
27457,Food Like,Nutty,Corn
93111,Gourmand,Sweet,Maple
33931,Gourmand,Caramel,Butterscotch
25915,Food Like,Coffee,Roasted
6915,Acidic,Neutral,Pungent
31241,Fruity,Green,Oily
7635,Fruity,Sweet,Berry
26331,Food Like,Peanut,Cocoa
14505,Gourmand,Sweet,Milky
92030009,Woody,Amber,Dry
78062915,Woody,Vetiver,Grapefruit
59609863,Citrus,Verbena,Green
44464839,Green,Floral,Verbena
8051,Herbal,Fruity,Pear
78067,Citrus,Orange,Aldehydic
