subjects,structure,odorant panel,shank,cell
aPCx_natMix_0_0,aPCx,natMix,0,0
aPCx_natMix_0_1,aPCx,natMix,0,1
aPCx_natMix_0_2,aPCx,natMix,0,2
aPCx_natMix_0_3,aPCx,natMix,0,3
aPCx_natMix_0_4,aPCx,natMix,0,4
aPCx_natMix_1_0,aPCx,natMix,1,0
aPCx_natMix_1_1,aPCx,natMix,1,1
aPCx_natMix_1_2,aPCx,natMix,1,2
aPCx_natMix_2_0,aPCx,natMix,2,0
aPCx_natMix_2_1,aPCx,natMix,2,1
aPCx_natMix_2_2,aPCx,natMix,2,2
aPCx_natMix_2_3,aPCx,natMix,2,3
aPCx_natMix_3_0,aPCx,natMix,3,0
aPCx_natMix_3_1,aPCx,natMix,3,1
aPCx_natMix_3_2,aPCx,natMix,3,2
aPCx_natMix_3_3,aPCx,natMix,3,3
aPCx_natMix_3_4,aPCx,natMix,3,4
aPCx_natMix_0_5,aPCx,natMix,0,5
aPCx_natMix_0_6,aPCx,natMix,0,6
aPCx_natMix_0_7,aPCx,natMix,0,7
aPCx_natMix_0_8,aPCx,natMix,0,8
aPCx_natMix_0_9,aPCx,natMix,0,9
aPCx_natMix_3_5,aPCx,natMix,3,5
aPCx_natMix_3_6,aPCx,natMix,3,6
aPCx_natMix_3_7,aPCx,natMix,3,7
aPCx_natMix_3_8,aPCx,natMix,3,8
aPCx_natMix_3_9,aPCx,natMix,3,9
aPCx_natMix_3_10,aPCx,natMix,3,10
aPCx_natMix_1_3,aPCx,natMix,1,3
aPCx_natMix_1_4,aPCx,natMix,1,4
aPCx_natMix_1_5,aPCx,natMix,1,5
aPCx_natMix_1_6,aPCx,natMix,1,6
aPCx_natMix_3_11,aPCx,natMix,3,11
aPCx_natMix_3_12,aPCx,natMix,3,12
aPCx_natMix_3_13,aPCx,natMix,3,13
aPCx_natMix_3_14,aPCx,natMix,3,14
aPCx_natMix_3_15,aPCx,natMix,3,15
aPCx_natMix_3_16,aPCx,natMix,3,16
aPCx_natMix_3_17,aPCx,natMix,3,17
aPCx_natMix_3_18,aPCx,natMix,3,18
aPCx_natMix_3_19,aPCx,natMix,3,19
aPCx_natMix_2_4,aPCx,natMix,2,4
aPCx_natMix_2_5,aPCx,natMix,2,5
aPCx_natMix_2_6,aPCx,natMix,2,6
aPCx_natMix_2_7,aPCx,natMix,2,7
aPCx_natMix_2_8,aPCx,natMix,2,8
aPCx_natMix_2_9,aPCx,natMix,2,9
aPCx_natMix_2_10,aPCx,natMix,2,10
aPCx_natMix_2_11,aPCx,natMix,2,11
aPCx_natMix_0_10,aPCx,natMix,0,10
aPCx_natMix_0_11,aPCx,natMix,0,11
aPCx_natMix_0_12,aPCx,natMix,0,12
aPCx_natMix_0_13,aPCx,natMix,0,13
aPCx_natMix_1_7,aPCx,natMix,1,7
aPCx_natMix_1_8,aPCx,natMix,1,8
aPCx_natMix_0_14,aPCx,natMix,0,14
aPCx_natMix_0_15,aPCx,natMix,0,15
aPCx_natMix_0_16,aPCx,natMix,0,16
aPCx_CS_0_0,aPCx,CS,0,0
aPCx_CS_0_1,aPCx,CS,0,1
aPCx_CS_0_2,aPCx,CS,0,2
aPCx_CS_0_3,aPCx,CS,0,3
aPCx_CS_0_4,aPCx,CS,0,4
aPCx_CS_0_5,aPCx,CS,0,5
aPCx_CS_0_6,aPCx,CS,0,6
aPCx_CS_0_7,aPCx,CS,0,7
aPCx_CS_0_8,aPCx,CS,0,8
aPCx_CS_1_0,aPCx,CS,1,0
aPCx_CS_1_1,aPCx,CS,1,1
aPCx_CS_1_2,aPCx,CS,1,2
aPCx_CS_1_3,aPCx,CS,1,3
aPCx_CS_1_4,aPCx,CS,1,4
aPCx_CS_1_5,aPCx,CS,1,5
aPCx_CS_1_6,aPCx,CS,1,6
aPCx_CS_1_7,aPCx,CS,1,7
aPCx_CS_1_8,aPCx,CS,1,8
aPCx_CS_1_9,aPCx,CS,1,9
aPCx_CS_1_10,aPCx,CS,1,10
aPCx_CS_1_11,aPCx,CS,1,11
aPCx_CS_2_0,aPCx,CS,2,0
aPCx_CS_2_1,aPCx,CS,2,1
aPCx_CS_2_2,aPCx,CS,2,2
aPCx_CS_2_3,aPCx,CS,2,3
aPCx_CS_2_4,aPCx,CS,2,4
aPCx_CS_2_5,aPCx,CS,2,5
aPCx_CS_2_6,aPCx,CS,2,6
aPCx_CS_2_7,aPCx,CS,2,7
aPCx_CS_2_8,aPCx,CS,2,8
aPCx_CS_2_9,aPCx,CS,2,9
aPCx_CS_2_10,aPCx,CS,2,10
aPCx_CS_2_11,aPCx,CS,2,11
aPCx_CS_2_12,aPCx,CS,2,12
aPCx_CS_3_0,aPCx,CS,3,0
aPCx_CS_3_1,aPCx,CS,3,1
aPCx_CS_3_2,aPCx,CS,3,2
aPCx_CS_3_3,aPCx,CS,3,3
aPCx_CS_3_4,aPCx,CS,3,4
aPCx_CS_0_9,aPCx,CS,0,9
aPCx_CS_0_10,aPCx,CS,0,10
aPCx_CS_0_11,aPCx,CS,0,11
aPCx_CS_0_12,aPCx,CS,0,12
aPCx_CS_0_13,aPCx,CS,0,13
aPCx_CS_0_14,aPCx,CS,0,14
aPCx_CS_0_15,aPCx,CS,0,15
aPCx_CS_0_16,aPCx,CS,0,16
aPCx_CS_0_17,aPCx,CS,0,17
aPCx_CS_3_5,aPCx,CS,3,5
aPCx_CS_3_6,aPCx,CS,3,6
aPCx_CS_3_7,aPCx,CS,3,7
aPCx_CS_3_8,aPCx,CS,3,8
aPCx_CS_3_9,aPCx,CS,3,9
aPCx_CS_3_10,aPCx,CS,3,10
aPCx_CS_3_11,aPCx,CS,3,11
aPCx_CS_3_12,aPCx,CS,3,12
aPCx_CS_3_13,aPCx,CS,3,13
aPCx_CS_3_14,aPCx,CS,3,14
aPCx_CS_3_15,aPCx,CS,3,15
aPCx_CS_3_16,aPCx,CS,3,16
aPCx_CS_2_13,aPCx,CS,2,13
aPCx_CS_2_14,aPCx,CS,2,14
aPCx_CS_2_15,aPCx,CS,2,15
aPCx_CS_2_16,aPCx,CS,2,16
aPCx_CS_2_17,aPCx,CS,2,17
aPCx_CS_2_18,aPCx,CS,2,18
aPCx_CS_2_19,aPCx,CS,2,19
aPCx_CS_2_20,aPCx,CS,2,20
aPCx_CS_2_21,aPCx,CS,2,21
aPCx_CS_2_22,aPCx,CS,2,22
aPCx_CS_2_23,aPCx,CS,2,23
aPCx_CS_3_17,aPCx,CS,3,17
aPCx_CS_3_18,aPCx,CS,3,18
aPCx_CS_0_18,aPCx,CS,0,18
aPCx_CS_1_12,aPCx,CS,1,12
plCoA_CS_0_0,plCoA,CS,0,0
plCoA_CS_0_1,plCoA,CS,0,1
plCoA_CS_0_2,plCoA,CS,0,2
plCoA_CS_0_3,plCoA,CS,0,3
plCoA_CS_0_4,plCoA,CS,0,4
plCoA_CS_0_5,plCoA,CS,0,5
plCoA_CS_0_6,plCoA,CS,0,6
plCoA_CS_0_7,plCoA,CS,0,7
plCoA_CS_0_8,plCoA,CS,0,8
plCoA_CS_0_9,plCoA,CS,0,9
plCoA_CS_1_0,plCoA,CS,1,0
plCoA_CS_1_1,plCoA,CS,1,1
plCoA_CS_1_2,plCoA,CS,1,2
plCoA_CS_1_3,plCoA,CS,1,3
plCoA_CS_1_4,plCoA,CS,1,4
plCoA_CS_1_5,plCoA,CS,1,5
plCoA_CS_1_6,plCoA,CS,1,6
plCoA_CS_1_7,plCoA,CS,1,7
plCoA_CS_1_8,plCoA,CS,1,8
plCoA_CS_1_9,plCoA,CS,1,9
plCoA_CS_1_10,plCoA,CS,1,10
plCoA_CS_1_11,plCoA,CS,1,11
plCoA_CS_2_0,plCoA,CS,2,0
plCoA_CS_2_1,plCoA,CS,2,1
plCoA_CS_2_2,plCoA,CS,2,2
plCoA_CS_2_3,plCoA,CS,2,3
plCoA_CS_2_4,plCoA,CS,2,4
plCoA_CS_2_5,plCoA,CS,2,5
plCoA_CS_2_6,plCoA,CS,2,6
plCoA_CS_2_7,plCoA,CS,2,7
plCoA_CS_2_8,plCoA,CS,2,8
plCoA_CS_2_9,plCoA,CS,2,9
plCoA_CS_3_0,plCoA,CS,3,0
plCoA_CS_3_1,plCoA,CS,3,1
plCoA_CS_3_2,plCoA,CS,3,2
plCoA_CS_3_3,plCoA,CS,3,3
plCoA_CS_3_4,plCoA,CS,3,4
plCoA_CS_3_5,plCoA,CS,3,5
plCoA_CS_3_6,plCoA,CS,3,6
plCoA_CS_3_7,plCoA,CS,3,7
plCoA_CS_0_10,plCoA,CS,0,10
plCoA_CS_0_11,plCoA,CS,0,11
plCoA_CS_0_12,plCoA,CS,0,12
plCoA_CS_0_13,plCoA,CS,0,13
plCoA_CS_0_14,plCoA,CS,0,14
plCoA_CS_2_10,plCoA,CS,2,10
plCoA_CS_2_11,plCoA,CS,2,11
plCoA_CS_2_12,plCoA,CS,2,12
plCoA_natMix_0_0,plCoA,natMix,0,0
plCoA_natMix_0_1,plCoA,natMix,0,1
plCoA_natMix_0_2,plCoA,natMix,0,2
plCoA_natMix_0_3,plCoA,natMix,0,3
plCoA_natMix_1_0,plCoA,natMix,1,0
plCoA_natMix_1_1,plCoA,natMix,1,1
plCoA_natMix_1_2,plCoA,natMix,1,2
plCoA_natMix_1_3,plCoA,natMix,1,3
plCoA_natMix_1_4,plCoA,natMix,1,4
plCoA_natMix_1_5,plCoA,natMix,1,5
plCoA_natMix_1_6,plCoA,natMix,1,6
plCoA_natMix_1_7,plCoA,natMix,1,7
plCoA_natMix_1_8,plCoA,natMix,1,8
plCoA_natMix_1_9,plCoA,natMix,1,9
plCoA_natMix_1_10,plCoA,natMix,1,10
plCoA_natMix_1_11,plCoA,natMix,1,11
plCoA_natMix_1_12,plCoA,natMix,1,12
plCoA_natMix_1_13,plCoA,natMix,1,13
plCoA_natMix_2_0,plCoA,natMix,2,0
plCoA_natMix_2_1,plCoA,natMix,2,1
plCoA_natMix_2_2,plCoA,natMix,2,2
plCoA_natMix_2_3,plCoA,natMix,2,3
plCoA_natMix_2_4,plCoA,natMix,2,4
plCoA_natMix_2_5,plCoA,natMix,2,5
plCoA_natMix_2_6,plCoA,natMix,2,6
plCoA_natMix_2_7,plCoA,natMix,2,7
plCoA_natMix_2_8,plCoA,natMix,2,8
plCoA_natMix_2_9,plCoA,natMix,2,9
plCoA_natMix_3_0,plCoA,natMix,3,0
plCoA_natMix_3_1,plCoA,natMix,3,1
plCoA_natMix_3_2,plCoA,natMix,3,2
plCoA_natMix_3_3,plCoA,natMix,3,3
plCoA_natMix_3_4,plCoA,natMix,3,4
plCoA_natMix_0_4,plCoA,natMix,0,4
plCoA_natMix_0_5,plCoA,natMix,0,5
plCoA_natMix_0_6,plCoA,natMix,0,6
plCoA_natMix_0_7,plCoA,natMix,0,7
plCoA_natMix_1_14,plCoA,natMix,1,14
plCoA_natMix_1_15,plCoA,natMix,1,15
