Stimulus,Subject,Minimum Activating Concentration [M],log2 (Fold Change),P Value,FDR
(+)-Camphor,MOR136-1,100,1.57,2.56e-10,5.63e-06
(+)-Dihydrocarveol,MOR136-1,1000,2.14,4.75e-20,1.05e-15
(+)-Dihydrocarvone,MOR139-1,1000,1.08,1.07e-07,0.00235
(+)-Pulegone,MOR139-1,1000,1.24,7.7e-10,1.69e-05
(-)-Carvone,MOR25-1,1000,2.1,2.33e-16,5.14e-12
(-)-Dihydrocarveol,MOR136-1,1000,2.14,4.99e-20,1.1e-15
(-)-Dihydrocarveol,MOR139-1,1000,1.26,3.02e-10,6.65e-06
(-)-Perillaaldehyde,MOR131-1,1000,1.33,2.87e-07,0.00628
1-hexanol,MOR131-1,1000,1.78,2.25e-12,4.95e-08
2-Bromohexanoic_acid,MOR170-1,1000,1.4,2.63e-07,0.00577
2-Bromohexanoic_acid,MOR5-1,1000,1.91,4.14e-12,9.12e-08
2-Bromooctanoic_acid,MOR23-1,1000,1.54,2.62e-08,0.000576
2-Bromooctanoic_acid,MOR5-1,1000,2.21,1.08e-16,2.39e-12
2-Ethylphenol,MOR136-1,100,1.39,3.93e-08,0.000864
2-Phenethyl_acetate,MOR170-1,1000,1.71,6.47e-11,1.42e-06
2-sec-Butyl-3-methoxypyrazine,MOR139-1,1000,1.09,7.94e-08,0.00174
2_coumaranone,MOR258-5,1000,2.52,6.86e-35,1.52e-30
"3,4-Hexanedione",MOR131-1,1000,1.84,5.18e-14,1.14e-09
3-Octanone,MOR133-1,1000,3.25,7.37e-63,1.63e-58
4-Chromanone,MOR139-1,1000,1.73,6.94e-20,1.53e-15
4-Chromanone,MOR170-1,100,2.37,1.64e-22,3.62e-18
4-Chromanone,MOR189-1,1000,1.55,2.27e-14,4.99e-10
4-Ethylphenol,MOR170-1,1000,1.39,2.73e-07,0.00599
6-Bromohexanoic_acid,MOR23-1,100,1.63,2.51e-09,5.51e-05
6-Bromohexanoic_acid,MOR5-1,1000,1.97,5.66e-13,1.25e-08
Anisaldehyde,MOR170-1,1000,3.39,1.4e-54,3.1e-50
Axe,MOR119-1,1000,2.37,1.12e-16,2.48e-12
Axe,MOR180-1,1000,1.73,1.43e-13,3.14e-09
Benzaldehyde,MOR112-1,1000,1.6,3.87e-08,0.000849
Benzaldehyde,MOR13-1,1000,1.25,6.49e-08,0.00142
Benzaldehyde,MOR258-5,1000,1.52,2.7e-11,5.95e-07
Benzophenone,MOR258-5,1000,1.23,1.68e-07,0.00368
Benzyl_acetate,MOR170-1,1000,1.67,2.38e-10,5.25e-06
Benzyl_salicylate,MOR19-1,10,1.37,4.22e-08,0.000926
Bis(2-methyl-3-furyl)disulphide),MOR142-1,1000,1.38,1.75e-09,3.84e-05
Butanal,MOR139-1,1000,1.28,1.77e-10,3.9e-06
Cedryl_acetate,MOR102-1,1000,2.74,8.38e-46,1.85e-41
Cedryl_acetate,MOR120-1,1000,1.68,3.93e-11,8.64e-07
Cedryl_acetate,MOR132-1,1000,2.62,2.35e-29,5.19e-25
Cedryl_acetate,MOR142-1,1000,1.4,4.25e-09,9.34e-05
Cedryl_acetate,MOR189-1,1000,1.4,3.47e-11,7.64e-07
Cedryl_acetate,MOR208-1,1000,1.3,3.6e-09,7.91e-05
Cedryl_acetate,MOR30-1,1000,1.88,7.86e-12,1.73e-07
Chanel_No_5,MOR134-1,1000,3.16,2.65e-40,5.85e-36
Chanel_No_5,MOR170-1,1000,2.31,2.7e-15,5.96e-11
Cinnamyl_alcohol,MOR170-1,1000,2.86,3.01e-35,6.65e-31
Cyclobutanecarboxylic_acid,MOR13-1,1000,1.5,1.99e-11,4.38e-07
Decanal,MOR25-1,1000,1.77,2.79e-11,6.14e-07
Decanal,MOR30-1,100,2.11,1.27e-15,2.79e-11
Decanoic_Acid,MOR25-1,100,1.57,7.32e-09,0.000161
Decanoic_Acid,MOR30-1,10,1.84,1.45e-11,3.19e-07
Decanoic_Acid,MOR5-1,1000,2.47,9.89e-22,2.18e-17
Dihydrojasmone,MOR139-1,1000,1.38,3.39e-12,7.47e-08
Dimethyl_anthranilate,MOR139-1,1000,1.14,1.77e-08,0.000389
Dimethyl_anthranilate,MOR170-1,10,2.09,8.5e-17,1.87e-12
Eugenol,MOR139-1,1000,1.21,1.61e-09,3.53e-05
Eugenol_methyl_ether,MOR139-1,1000,1.6,1.04e-16,2.29e-12
Eugenol_methyl_ether,MOR170-1,10,1.49,3.07e-08,0.000673
Eugenol_methyl_ether,MOR189-1,1000,1.46,8.99e-13,1.98e-08
Furfuryl_methyl_disulfide,MOR119-1,1000,1.68,5.2e-08,0.00114
Heptanal,MOR23-1,1000,1.47,1.34e-07,0.00293
Hexanoic_Acid,MOR23-1,1000,1.55,2.06e-08,0.000453
