Subject,OR Name (Mouse OR Convention)
MOR102-1,MOR102-1
MOR112-1,MOR112-1
MOR112-1,MOR112-1
MOR119-1,MOR119-1
MOR119-1,MOR119-1
MOR119-1,MOR119-1
MOR120-1,MOR120-1
MOR120-1,MOR120-1
MOR120-1,MOR120-1
MOR13-1,MOR13-1
MOR13-1,MOR13-1
MOR13-1,MOR13-1
MOR13-1,MOR13-1
MOR131-1,MOR131-1
MOR131-1,MOR131-1
MOR131-1,MOR131-1
MOR131-1,MOR131-1
MOR132-1,MOR132-1
MOR133-1,MOR133-1
MOR134-1,MOR134-1
MOR136-1,MOR136-1
MOR136-1,MOR136-1
MOR136-1,MOR136-1
MOR136-1,MOR136-1
MOR136-1,MOR136-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR139-1,MOR139-1
MOR142-1,MOR142-1
MOR142-1,MOR142-1
MOR158-1,MOR158-1
MOR165-1,MOR165-1
MOR165-1,MOR165-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR170-1,MOR170-1
MOR180-1,MOR180-1
MOR180-1,MOR180-1
MOR189-1,MOR189-1
MOR189-1,MOR189-1
MOR189-1,MOR189-1
MOR189-1,MOR189-1
MOR189-1,MOR189-1
MOR189-1,MOR189-1
MOR189-1,MOR189-1
MOR19-1,MOR19-1
MOR19-1,MOR19-1
MOR199-1,MOR199-1
MOR203-1,MOR203-1
MOR203-1,MOR203-1
MOR208-1,MOR208-1
MOR23-1,MOR23-1
MOR23-1,MOR23-1
MOR23-1,MOR23-1
MOR23-1,MOR23-1
MOR23-1,MOR23-1
MOR23-1,MOR23-1
MOR23-1,MOR23-1
MOR25-1,MOR25-1
MOR25-1,MOR25-1
MOR25-1,MOR25-1
MOR25-1,MOR25-1
MOR258-5,MOR258-5
MOR258-5,MOR258-5
MOR258-5,MOR258-5
MOR258-5,MOR258-5
MOR258-5,MOR258-5
MOR258-5,MOR258-5
MOR30-1,MOR30-1
MOR30-1,MOR30-1
MOR30-1,MOR30-1
MOR30-1,MOR30-1
MOR30-1,MOR30-1
MOR4-1,MOR4-1
MOR4-1,MOR4-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR5-1,MOR5-1
MOR9-1,MOR9-1
