stimulus,subject,thresholds
T1,33,0.00015625
T1,36,0.00014328188175072987
T1,37,8.519591661447329e-05
T1,38,0.001363134665831572
T1,39,0.007071067811865476
T1,42,0.00013139006488339288
T1,45,0.0005255602595335716
T1,46,5.524271728019903e-05
T1,52,4.312849662788328e-05
T1,53,0.0004052623608284406
T1,55,0.0077110541270397044
T1,56,0.0007432544468767007
T1,61,0.02
T1,66,5.524271728019903e-05
T1,67,0.00014328188175072987
T1,68,1.953125e-05
T1,77,2.7621358640099516e-05
T1,107,4.921566601151852e-05
T1,108,5.524271728019903e-05
T1,110,7.62939453125e-08
T1,111,1.1613350732448454e-05
T1,112,0.0018574928614211862
T1,113,3.4526698300124383e-06
T1,114,6.905339660024877e-06
T1,115,0.00125
T1,117,0.00022097086912079616
T1,118,3.90625e-05
T1,124,0.0038555270635198522
T1,125,5.524271728019903e-05
T1,126,5.524271728019903e-05
T1,127,0.0005255602595335716
T1,178,4.2597958307236644e-05
T1,179,0.0019277635317599257
T1,181,2.129897915361832e-05
T1,183,2.129897915361832e-05
T1,184,0.00026278012976678575
T1,185,3.90625e-05
T1,186,0.0025
T1,188,0.0005255602595335716
T1,190,7.530326295937212e-06
T1,193,0.00018581361171917516
T1,194,0.02
T1,195,0.02
T1,196,2.5328897551777525e-05
T1,199,1.064948957680916e-05
T1,200,2.129897915361832e-05
T1,201,2.5328897551777525e-05
T1,202,0.00034078366645789293
T1,205,6.024261036749771e-05
T1,208,1.7910235218841247e-05
T1,211,3.90625e-05
T1,212,4.477558804710312e-06
T1,213,7.8125e-05
T1,217,0.00010131559020711014
T1,218,0.0006815673329157862
T1,220,1.3810679320049755e-05
T1,221,0.0004052623608284406
T1,222,4.6453402929793816e-05
T1,224,3.7651631479686057e-06
T1,226,0.0003125
T1,228,7.164094087536494e-05
T1,233,1.953125e-05
T1,235,0.00026278012976678575
T1,239,0.0014865088937534015
T1,240,1.2664448775888775e-05
T1,242,0.00013139006488339288
T1,243,1.064948957680916e-05
T1,246,0.00014328188175072987
T1,247,2.129897915361832e-05
T1,249,9.290680585958756e-05
T1,251,2.129897915361832e-05
T1,253,6.569503244169649e-05
T1,256,3.90625e-05
T1,257,5.324744788404584e-06
T1,258,2.6623723942022915e-06
T1,259,0.02
T1,260,5.524271728019903e-05
T1,264,0.02
T1,265,0.00022097086912079616
T1,266,0.00125
T1,267,9.290680585958756e-05
