CID,MolecularWeight,IsomericSMILES,IUPACName,name
263,74.12,CCCCO,butan-1-ol,1-butanol
264,88.11,CCCC(=O)O,butanoic acid,butyric acid
454,128.21,CCCCCCCC=O,octanal,octanal
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
650,86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione"
878,48.11,CS,methanethiol,methanethiol
998,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
1030,76.09,CC(CO)O,"propane-1,2-diol",propylene glycol
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6569,72.11,CCC(=O)C,butan-2-one,2-butanone
6590,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
7127,178.23,COC1=C(C=C(C=C1)CC=C)OC,"1,2-dimethoxy-4-prop-2-enylbenzene",methyl eugenol
7136,206.24,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,(2-methoxy-4-prop-2-enylphenyl) acetate,eugenol acetate
7144,138.16,CC1=CC(=C(C=C1)O)OC,2-methoxy-4-methylphenol,2-methoxy-4-methylphenol
7583,170.21,C1=CC=C(C=C1)OC2=CC=CC=C2,phenoxybenzene,diphenyl ether
7794,154.25,CC(CCC=C(C)C)CC=O,"3,7-dimethyloct-6-enal",citronellal
8130,114.19,CCCCCCC=O,heptanal,heptanal
8159,158.24,CCCCCCCOC(=O)C,heptyl acetate,heptyl acetate
8164,172.26,CCCCCCCCOC(=O)C,octyl acetate,octyl acetate
8175,156.26,CCCCCCCCCC=O,decanal,decanal
8186,170.29,CCCCCCCCCCC=O,undecanal,undecanal
8467,166.17,CCOC1=C(C=CC(=C1)C=O)O,3-ethoxy-4-hydroxybenzaldehyde,3-ethoxy-4-hydroxybenzaldehyde
8843,152.23,CC(=CCCC(=CC=O)C)C,"3,7-dimethylocta-2,6-dienal",citral
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid
9261,80.09,C1=CN=CC=N1,pyrazine,pyrazine
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid
11617,114.21,C=CCSCC=C,3-prop-2-enylsulfanylprop-1-ene,diallyl sulfide
12587,116.16,CC(C)CCC(=O)O,4-methylpentanoic acid,4-methylpentanoic acid
14525,152.23,CC1(C2CCC(C2)(C1=O)C)C,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-one",(.+/-.)-fenchone
16666,156.26,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",l-menthol
