"","Stimulus","Experiment","CIDs","Concentration","Ratio","Solvent"
"1",1,"keller2016","16741",0.001,"1/1000","paraffin oil"
"2",2,"keller2016","16741",1e-05,"1/100000","paraffin oil"
"3",3,"keller2016","17121",0.001,"1/1000","paraffin oil"
"4",4,"keller2016","17121",1e-05,"1/100000","paraffin oil"
"5",5,"keller2016","520191",1e-05,"1/100000","paraffin oil"
"6",6,"keller2016","520191",0.001,"1/1000","paraffin oil"
"7",7,"keller2016","92979",0.001,"1/1000","paraffin oil"
"8",8,"keller2016","92979",1e-05,"1/100000","paraffin oil"
"9",9,"keller2016","62580",0.001,"1/1000","paraffin oil"
"10",10,"keller2016","62580",1e-05,"1/100000","paraffin oil"
"11",11,"keller2016","24197",1e-05,"1/100000","paraffin oil"
"12",12,"keller2016","24197",0.001,"1/1000","paraffin oil"
"13",13,"keller2016","7476",0.001,"1/1000","paraffin oil"
"14",14,"keller2016","7476",0.1,"1/10","paraffin oil"
"15",15,"keller2016","61252",0.001,"1/1000","paraffin oil"
"16",16,"keller2016","61252",1e-05,"1/100000","paraffin oil"
"17",17,"keller2016","24834",1e-05,"1/100000","paraffin oil"
"18",18,"keller2016","24834",0.001,"1/1000","paraffin oil"
"19",19,"keller2016","7500",0.001,"1/1000","paraffin oil"
"20",20,"keller2016","7500",1e-05,"1/100000","paraffin oil"
"21",21,"keller2016","244",0.1,"1/10","paraffin oil"
"22",22,"keller2016","244",0.001,"1/1000","paraffin oil"
"23",23,"keller2016","240",1e-05,"1/100000","paraffin oil"
"24",24,"keller2016","240",0.001,"1/1000","paraffin oil"
"25",25,"keller2016","7519",0.001,"1/1000","paraffin oil"
"26",26,"keller2016","7519",1e-05,"1/100000","paraffin oil"
"27",27,"keller2016","7559",0.001,"1/1000","paraffin oil"
"28",28,"keller2016","7559",1e-05,"1/100000","paraffin oil"
"29",29,"keller2016","7583",0.001,"1/1000","paraffin oil"
"30",30,"keller2016","7583",1e-05,"1/100000","paraffin oil"
"31",31,"keller2016","7593",1e-05,"1/100000","paraffin oil"
"32",32,"keller2016","7593",0.001,"1/1000","paraffin oil"
"33",33,"keller2016","60998",1e-05,"1/100000","paraffin oil"
"34",34,"keller2016","60998",0.001,"1/1000","paraffin oil"
