,,,,,,,,,,,,,,,,,,,,,-1.032,-0.3369,-1.417,-0.4946,-0.2082,-1.381,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.7168,-0.7155,0.2537,0.03509,-0.7265,-1.018,-1.688,0.2266,-0.6946,-0.7546,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.3147,-0.8241,0.7649,0.3422,-2.022,-0.9396,-0.3724,-1.052,-0.5936,-0.8125,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1615,-1.777,0.00348,-0.4484,-0.1487,0.338,-1.033,-1.583,-0.975,-0.4669,-1.179,-1.069,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5361,-0.2699,-1.25,-1.421,-0.1688,-0.08558,-0.4892,-0.09161,-1.129,-0.7368,-1.08,-1.03,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5549,-1.248,-0.1775,-0.4621,0.1012,-0.1385,-1.071,-1.782,-0.2212,-0.8433,-0.9523,-1.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.7544,-1.153,0.01532,-0.8563,0.02598,-0.4492,0.1993,-0.09991,-0.5587,-1.424,-1.381,-0.3663,-1.254,-0.4542,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.005,-0.9639,-0.5192,-0.9553,0.1124,0.1794,0.3292,0.3608,-0.3222,0.2167,-0.4596,-0.6017,-1.118,-2.011,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2871,-0.6617,-0.3898,-0.5087,0.8047,-0.1343,0.2099,-0.3296,0.692,0.1908,-0.3764,0.0991,0.3139,-0.3874,-1.297,-2.272,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1843,0.116,-1.076,-0.2072,0.2738,-0.2415,-0.1227,0.6379,0.5185,0.5406,-0.6092,0.6613,0.2755,-1.028,-1.244,-0.13,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.6659,0.172,0.9184,0.3321,-0.2486,-0.7249,0.2701,-0.1693,0.3719,0.5384,0.3321,0.1794,-0.5638,0.02505,0.08969,-0.4021,-0.9459,-1.204,,,,,,,,,,,,,,,,,
