,,,,,,,,,,,,,,,,,,,,,-1.1568,-0.6364,-0.6838,-0.54,-0.3678,-0.2302,-0.0107,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1992,-0.608,-0.2871,-0.174,-0.8632,-0.2139,-0.8868,-0.8979,-0.551,-0.7297,-0.7524,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1342,-0.3558,-0.3901,-0.1013,-0.7353,-0.3459,-0.6663,-0.5309,-0.6753,-0.9619,-0.8567,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.6002,-0.7538,-0.2425,-0.8117,-0.3975,-0.1664,-0.7168,-0.5191,-0.4653,-0.912,-0.6228,-1.406,-0.8509,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2951,-0.649,-0.4091,-0.782,-0.5732,-0.4698,-0.5069,-0.3968,-0.7206,-0.7923,-1.1622,-1.3646,-0.829,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.9364,-0.3693,-0.6665,-0.6056,-0.4003,-0.0098,-0.4836,-0.4628,-0.6013,-0.5102,-1.2827,-1.2077,-0.1519,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.2682,0.1672,-0.6606,-0.5879,-0.5709,-0.5028,-0.4645,-0.0556,-0.5721,-0.1588,-0.3906,-0.4943,-1.1424,-0.1648,0.2692,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4112,1.0069,-0.6035,-0.9244,-0.5957,-0.3736,-0.5128,-0.3006,-0.74,-0.5504,-0.4543,-0.8649,-1.0639,0.5295,0.943,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2133,-0.1315,0.2416,0.3356,-0.8473,-0.5644,-0.6683,-0.4568,-0.2605,0.2853,-0.3676,-0.6005,-0.6648,-0.5218,-0.5821,0.8834,-0.4648,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.1097,-0.0726,0.0661,0.055,-0.7578,-0.9622,-0.6449,-0.3734,-0.1472,0.2751,-0.3105,-0.4584,-0.3547,-0.5244,-0.3304,-0.1996,0.1255,0.4246,,,,,,,,,,,,,,,
,,,,,,,,,-0.6269,-0.4236,-0.0736,-0.0078,0.1206,0.1177,-0.6029,-0.9284,-0.4587,-0.1624,0.0529,0.0771,0.0743,-0.0248,-0.6246,-0.223,-0.1557,-0.0528,0.0585,-0.3498,,,,,,,,,,,,,,,
,,,,,,,,0.1156,-0.2267,0.0065,0.1701,0.341,-0.0788,-0.3697,-0.7977,-0.9274,-0.5283,0.1893,0.1693,-0.0952,-0.0015,0.2143,0.0513,0.4623,0.8276,0.3566,-0.3898,,,,,,,,,,,,,,,,
,,,,,,,-0.1023,0.2426,0.0841,0.297,-0.074,0.3956,0.1963,-0.5499,-0.7524,-0.2988,0.1063,0.3951,0.1453,0.1944,0.2853,-0.1456,0.0803,1.1167,2.0778,1.4351,0.3725,0.1798,,,,,,,,,,,,,,,
,,,,,,-0.4641,0.1343,0.3206,-0.1115,0.359,-0.1083,0.228,-0.1026,-0.3548,-0.6463,-0.3886,-0.1811,0.5576,0.3646,0.5276,0.3765,-0.0456,0.2606,-0.1103,1.9126,0.8124,-0.0935,-0.3445,,,,,,,,,,,,,,,
