,,,,,,,,,,,,,,,,,,,,,-1.2899,-1.5103,-0.2568,-2.3177,-0.4895,-0.3751,-0.8379,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1045,0.7086,-0.548,0.2654,-0.9277,-1.1303,-0.749,-1.3399,-0.1307,-1.215,-0.1459,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.247,0.5346,-0.8194,-0.8548,-1.288,-1.2567,-0.549,-1.5606,0.1655,-1.6289,-0.6733,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3314,-0.9915,-0.3783,-0.4655,-0.9001,0.1722,-0.9414,-0.5933,-0.2927,-1.034,-0.0353,-1.168,0.2393,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7884,-0.6868,-0.2192,-0.3452,-0.2007,-0.1973,-0.4108,-0.3347,-0.6638,-0.3126,0.4671,-0.4844,0.7041,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.7391,-0.9652,-0.1354,-0.3266,-0.0862,0.5117,-0.5656,-0.5561,-0.5436,-0.0728,0.762,-0.7456,-0.5533,-0.8502,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7018,0.0764,-0.5925,-0.683,0.5093,-0.2188,0.7291,-0.2658,-0.4059,-0.5875,-0.5607,-0.1498,0.1885,-1.4058,0.0929,-0.953,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.552,-0.1407,-0.3188,-0.6776,-0.1246,-0.2252,0.7395,0.0775,-0.6169,-0.5993,-0.5242,-0.3181,-0.3771,-1.4817,0.6112,-0.6525,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1332,0.6996,0.5359,-0.4209,-0.2343,-0.2144,0.1764,-0.1145,0.2846,-0.1275,-0.886,-0.5432,-0.7244,-0.0563,-0.6487,-0.9604,0.2598,-1.6567,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0994,0.6491,0.9017,-0.8007,0.2659,-0.1151,0.3672,-0.3352,0.0436,0.0838,-0.8536,-0.151,-0.6397,0.3731,-0.0552,-0.4922,1.0041,-1.68,,,,,,,,,,,,,,,
,,,,,,,,,0.0644,-0.6897,-0.126,0.3816,1.0754,-0.5516,0.0645,-0.1943,0.1834,-0.0442,0.1902,-0.0053,-0.9154,0.121,-0.5118,0.1701,-0.3184,0.1615,1.3154,-0.9814,,,,,,,,,,,,,,,
,,,,,,,,-0.49,0.0024,-0.5759,0.1757,0.7647,0.6527,-0.3729,-0.1274,-0.0324,-0.1293,-0.1396,-0.4653,0.3176,-0.3387,-0.2287,-0.0441,-0.0186,0.5121,0.3856,1.2886,-1.1355,,,,,,,,,,,,,,,
,,,,,,,-0.109,-0.3062,0.2688,0.0406,0.2165,0.6699,0.8478,-0.0741,0.0016,0.3178,0.1056,-0.1726,-0.3803,-0.6075,0.0768,1.1929,0.074,1.1335,-0.3011,0.6496,0.7092,-1.3143,,,,,,,,,,,,,,,
,,,,,,-0.8045,0.1659,-0.1486,0.4799,0.0316,0.2658,0.475,0.494,-0.3259,0.0803,0.0379,-0.3969,-0.3335,-0.1805,-0.5457,-0.5458,0.6429,0.4599,1.1996,-0.056,0.5654,1.4293,-0.5639,,,,,,,,,,,,,,,
,,,,,,-0.7391,-0.2552,-0.6367,0.0636,-0.1878,-0.0886,0.3834,0.265,-0.3174,-0.5087,-0.4306,-0.0357,0.1676,0.4492,-0.0018,0.4599,0.1881,0.4448,1.1483,-0.4277,-0.2848,0.043,-1.7411,,,,,,,,,,,,,,,
,,,,,-0.8661,-0.9745,-0.9054,-0.8362,-0.6066,0.0,0.0336,1.0777,0.7135,-0.0445,0.0256,0.4423,0.3412,-0.1734,0.6811,1.0573,0.3482,0.3657,0.7656,0.9012,0.2044,0.1718,1.0839,-0.8284,,,,,,,,,,,,,,,
,,,,0.1145,-0.5442,-0.674,-0.9963,-0.7111,-0.2254,0.0019,0.0822,0.9066,0.4956,-0.4334,-0.3524,0.3693,0.1981,0.2078,-0.0092,0.9935,-0.0416,-0.3227,-0.6085,1.2426,-0.4452,-0.5914,0.1178,-0.4783,,,,,,,,,,,,,,,
,,,,0.5706,-0.5562,-0.7326,-0.4882,-0.4573,0.1462,0.562,-0.238,0.6942,0.0024,0.4311,-0.3066,-0.2763,0.7139,0.433,0.1694,0.0726,-0.044,0.4399,-0.6872,1.2892,-0.5159,-0.172,0.0565,0.17,,,,,,,,,,,,,,,
,,,,0.5046,-0.1004,-0.6255,-1.0059,-0.7129,-0.1627,0.3155,-0.3016,0.1993,0.3337,0.2603,0.231,0.0047,0.4469,-0.0002,-0.0268,0.1429,-0.7017,0.2511,-0.1781,1.6153,-1.3685,-0.3861,0.4176,-0.3204,,,,,,,,,,,,,,,
,,,-1.1535,0.1649,-0.3796,-0.2247,-0.8856,-0.3429,-0.3645,0.4491,-0.2755,0.5134,0.7582,-0.6056,0.2783,-0.2358,0.6858,0.9126,0.1969,0.8364,-0.5545,0.0151,0.4358,1.0829,-0.5214,-0.0595,1.4323,-0.0289,,,,,,,,,,,,,,,
,,,-0.5032,0.3018,0.0714,-0.3596,-0.4824,-0.7166,-0.1066,0.3036,-0.6401,0.2109,0.6355,-0.41,-0.2553,-0.0441,0.6984,0.5238,0.4913,1.173,0.6872,0.4308,0.9515,1.2444,-1.125,-0.4324,1.4814,0.2325,,,,,,,,,,,,,,,
