,,,,,,,,,,,,,,,,,,,,,0.0925,-1.0906,0.0006,1.6215,6.0194,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.8959,-1.2428,-0.5005,-0.1757,-0.7506,0.0536,0.7418,0.1182,5.255,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1598,-1.0947,0.5404,-0.5522,0.4726,-0.7581,0.2433,-1.4531,0.6896,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.8242,-0.9537,-0.1551,-0.2253,-0.7604,-0.4686,0.7288,0.3222,-0.5324,-0.2843,0.3863,0.1912,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.0441,0.3425,-1.1894,-0.2326,-0.5918,-0.6307,-0.555,1.8416,-0.047,0.2701,1.6926,2.0612,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5141,0.3315,-1.0747,-0.9256,-0.772,-1.3408,-0.6753,-0.4479,-1.7403,-0.8563,0.8598,0.146,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.1244,-1.466,0.7973,-0.2231,-0.1497,-0.2373,-1.2615,-2.8486,-0.9928,-0.6413,-0.6251,-0.6715,-0.195,-0.0755,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1214,-1.2083,0.495,-0.2086,0.2636,0.1998,-0.4992,-0.5219,0.2293,0.1004,0.5399,-0.0152,0.8052,0.5768,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.771,0.2676,-0.3294,-1.0197,-0.2089,-1.1179,0.3012,-1.0897,-0.6734,-0.2795,0.6254,0.4155,0.418,0.0136,0.6108,1.4353,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.45,-0.4756,-0.4476,-0.8276,-0.365,-0.5848,1.7752,-1.105,-0.3294,-0.3921,-0.1888,0.1207,0.6874,0.7646,1.2033,1.2309,,,,,,,,,,,,,,,,,
,,,,,,,,,-1.0267,-1.6449,-0.0491,-1.0543,0.3896,-0.6489,-0.4956,0.4282,1.3617,0.1327,-0.1242,0.2513,0.0916,-0.2019,0.3134,0.3966,-0.9598,0.3616,,,,,,,,,,,,,,,,,
,,,,,,,,-0.8253,-1.7412,-1.4274,-0.6412,-1.0977,-0.0102,-0.796,-0.9228,0.1508,-0.1968,-0.0727,-0.1696,0.378,0.5646,1.0076,-0.0898,1.0318,0.4354,1.0831,1.0161,,,,,,,,,,,,,,,,
,,,,,,,0.3533,-1.3286,-1.8065,-1.97,-0.6523,-0.6397,-0.6097,-0.4748,-0.7762,-0.1697,-0.7527,-0.4443,0.3764,0.4597,0.3892,0.038,-0.0518,0.0926,0.5432,0.9741,-1.3488,,,,,,,,,,,,,,,,
,,,,,,0.5309,-0.5113,-0.528,-0.3973,-0.9445,-0.3811,-0.3309,-0.7211,-1.7713,0.2656,-0.3884,-0.3239,0.211,-0.3283,-0.0451,-0.31,0.0636,-0.5686,-0.0726,1.1514,0.6727,-1.1218,,,,,,,,,,,,,,,,
,,,,,,0.563,-0.4532,-1.262,0.104,-1.4364,0.8593,0.5016,-0.248,-1.1225,-0.2942,-0.3907,-0.268,0.4419,0.0727,0.2074,0.5904,-0.222,-0.1335,0.9496,-0.567,-0.2073,0.8163,,,,,,,,,,,,,,,,
,,,,,-0.2503,0.543,-0.9007,-0.7426,-0.1562,-0.9966,0.5376,0.4257,0.2114,-0.054,0.2116,-0.2891,0.1291,-0.89,0.2437,0.3849,-0.4302,0.3416,-0.1912,0.0585,-0.8554,0.156,-0.9975,,,,,,,,,,,,,,,,
,,,,-0.1766,0.3162,0.9156,-0.3088,-0.5504,-0.3824,-0.9352,0.0157,0.0024,0.2571,-0.1688,-0.4219,-0.2674,0.2511,0.2959,0.6936,0.4079,0.2121,0.1587,0.8329,-0.3185,0.9981,1.2174,0.807,,,,,,,,,,,,,,,,
,,,,0.3499,-0.604,-0.1878,0.3201,-0.8315,0.3895,-0.3757,-0.5416,0.0692,-0.2954,-0.679,-1.6273,0.0338,0.5946,0.7142,0.4782,-0.3785,-0.9209,0.841,0.6864,-0.0346,-0.2346,0.2686,-0.0316,1.5566,0.5122,,,,,,,,,,,,,,
