,,,,,,,,,,,,,,,,,,,,,0.5365,0.4362,-0.2587,0.09777,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9406,1.601,1.282,0.6125,1.013,-0.3368,0.433,-0.2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.8682,2.583,-0.1289,1.216,1.491,0.4577,0.2312,-0.4967,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.972,1.693,0.8867,1.849,-0.07636,1.094,0.9061,0.8922,0.1421,0.02394,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.909,1.011,0.869,0.0119,-0.5901,-0.4324,0.5473,0.2138,-0.2491,-0.05923,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.354,0.4882,0.03758,0.5404,-1.086,-0.5857,0.692,0.619,-0.2326,-0.6176,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.029,1.375,1.817,0.9797,-0.2443,0.6571,-0.1848,0.5345,0.4661,-0.07058,-0.3567,-0.1491,-1.15,-2.629,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.484,1.056,1.368,-0.4278,0.2425,0.5863,-0.07422,-0.254,0.3185,-0.115,-0.4174,-0.474,-1.357,-2.847,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5215,1.277,1.178,0.6421,0.6501,0.155,0.3485,0.1637,-0.8635,0.03596,0.07118,-0.06072,-0.2368,-0.4162,-0.666,-1.931,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7144,0.8157,1.8,0.9799,0.5193,0.9696,0.05719,-0.2149,-0.2471,-0.3363,0.5445,-0.2662,-0.3834,-0.4653,-0.2572,-1.529,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4274,0.5614,1.185,0.4029,1.831,1.489,0.07215,0.3311,-0.00442,-0.07953,0.082,-0.2332,0.3959,0.1308,-0.01462,0.03637,-0.5648,-1.346,,,,,,,,,,,,,,,,,
,,,,,,,,0.7088,0.2966,1.368,1.487,1.754,1.677,0.7307,-0.1459,-0.01496,0.01346,0.3821,0.1646,0.4916,0.244,0.05364,-0.1727,0.8899,0.1016,0.4983,,,,,,,,,,,,,,,,,
