,,,,,,,,,,,,,,,,,,,,,0.1664,,-0.3152,-0.1592,-0.8569,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.6532,,,-0.9514,0.9044,-3.3455,-1.7995,0.678,-0.6389,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.3166,-0.511,,-1.7322,0.6083,-2.9792,-2.7812,-0.1614,-0.4129,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0806,0.645,0.4262,-0.3004,-0.4031,-1.3273,-0.0473,-1.3643,-0.9672,-0.7749,-0.539,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3523,0.8713,-0.0106,-1.1658,-0.524,-1.041,0.0947,-0.8012,-0.0247,-0.2872,-0.9497,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4318,1.067,-0.3318,0.455,-1.2108,-0.5968,0.1479,-1.272,-0.4497,-0.0798,0.4283,-0.1424,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-0.138,-0.2556,0.3414,0.2168,-1.1335,-0.5744,-1.2697,-0.725,-0.9968,-0.2998,0.0838,-0.2236,-0.5739,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-0.2052,-0.2602,-0.0999,-0.1789,-1.2846,-1.0611,0.013,-0.3942,-0.1676,-0.7892,-1.0095,-0.773,-0.6729,1.7554,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2563,-0.0716,-0.5642,-1.5699,-1.3543,-0.1723,0.2113,-0.5892,-0.451,-0.2265,-0.4707,-1.1948,-0.8829,-2.5506,-1.3225,-0.7876,1.0827,,,,,,,,,,,,,,,,
,,,,,,,,,,,-2.0543,-1.205,-1.8087,-0.8528,-0.4496,0.4715,0.1083,-0.7951,-0.3839,-0.5917,-0.2396,-1.4315,-1.538,-1.8425,-0.4446,-0.9092,1.2941,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0101,-0.1656,-0.4279,-0.7029,-1.4099,-0.8906,-0.47,-0.0243,0.2841,-0.5668,-0.8372,-1.0475,0.1631,-1.1867,-0.9479,-1.1824,-0.6166,-0.1016,-0.9009,,,,,,,,,,,,,,,,
,,,,,,,,0.0871,0.1691,-1.171,-1.1013,-0.4159,-1.1607,-0.5901,-0.9845,-0.6588,-0.4695,-0.5473,-1.2164,-1.1546,-0.754,-1.6227,-0.9907,-1.6802,-0.3452,0.1003,-2.5892,,,,,,,,,,,,,,,,
,,,,,,,-0.3995,-0.9069,0.5246,-0.3184,-0.6304,-0.2374,-1.514,-0.5948,-0.605,-0.7819,-0.7946,-0.4697,-0.683,-1.3675,-0.5833,-0.473,-1.8491,-0.8056,-0.5526,-0.5051,-0.8102,,,,,,,,,,,,,,,,
,,,,,,0.9873,0.0698,0.5074,-0.1315,-0.3764,-0.9842,-1.1961,-0.0965,-0.7858,-0.3317,-0.6948,0.0609,-0.4432,-0.4181,-1.202,0.0336,-2.0052,-2.2654,-1.0648,-1.1778,0.4531,-0.5307,,,,,,,,,,,,,,,,
,,,,,,0.1168,0.5284,0.1349,0.2935,-0.4513,-0.6061,-0.5712,-0.6948,-1.1548,-0.3451,-1.2476,0.2857,-0.5867,-0.1362,-0.7395,0.2663,-1.4307,-2.4692,-0.5417,-1.0855,3.0658,-1.3506,,,,,,,,,,,,,,,,
,,,,,1.3082,0.3032,-0.1895,-0.1852,-0.3375,-0.6529,-0.3685,-0.508,-0.2416,-0.5521,-1.0008,-0.7835,0.2096,0.2343,-0.2796,-0.2303,1.235,-0.9809,-2.0645,-0.3957,0.9964,3.5547,-1.0066,-3.232,,,,,,,,,,,,,,,
,,,,1.2922,1.1837,0.5,-0.3752,-0.4043,-0.0513,-0.4576,-0.4846,-0.8257,0.414,-0.1939,-1.1338,-1.1666,1.1937,1.3755,1.388,-0.5821,0.1846,0.2991,0.2863,0.5521,0.2856,1.2692,-0.511,-0.5828,,,,,,,,,,,,,,,
,,,,2.0671,1.4338,-0.5391,-0.1829,-0.5609,0.2976,-0.2084,-0.0695,-0.9052,0.9832,1.0902,-0.4732,-0.8348,1.7122,0.8866,0.2401,1.7138,0.3364,0.544,-0.1719,0.3841,0.6786,0.7766,0.0372,-0.4731,,,,,,,,,,,,,,,
,,,,0.8754,0.7396,-0.7812,-0.4099,-0.4876,-0.42,0.1376,0.0716,-0.6836,0.0756,0.2251,-0.3399,0.9875,0.5968,0.4824,-0.7536,0.8497,-0.0134,0.5647,-0.2162,-0.923,-0.2954,0.1311,,-0.5394,,,,,,,,,,,,,,,
