,,,,,,,,,,,,,,,,,,,,,0.1546,0.017,0.3275,0.3808,-1.3316,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.3415,0.8619,1.2858,1.1297,0.1752,-0.1737,0.0761,0.1127,-0.9626,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.6876,1.1254,0.9436,-0.1631,-0.0871,-0.3754,0.7252,-0.2591,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0363,0.9781,0.7644,0.5162,-0.4638,0.4612,-0.4796,0.0923,-0.2282,-0.0341,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8432,0.8803,0.737,0.1471,-0.1143,-0.0948,0.0614,0.1396,-0.7726,-0.4461,-0.6558,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8226,0.6974,0.6218,0.4606,0.4944,0.1341,0.1368,0.1984,-0.6742,-0.3057,0.5333,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.6822,0.1306,1.8014,0.8754,0.3978,0.3142,0.0236,0.1025,0.326,0.2596,-0.6974,-0.2352,0.3032,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.8861,1.2414,2.0311,0.7926,0.4926,0.0759,-0.0696,-0.0445,-0.1695,0.6185,0.1921,-0.0894,0.3262,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.967,-0.0569,2.0699,1.8044,1.003,0.5591,0.3959,0.4069,-0.0148,-0.0026,0.233,0.4833,0.0199,-0.6615,-0.0456,-0.3226,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.7431,0.2251,2.2271,2.755,1.0834,0.5057,0.3131,0.4507,0.6729,0.4859,0.3932,0.1947,0.5872,-0.1537,-0.243,-1.2138,,-1.592,,,,,,,,,,,,,,,
,,,,,,,,,-0.1921,-0.2355,0.5038,1.2495,1.646,1.9572,1.5005,0.6273,0.8539,1.0165,0.7291,0.5503,0.6217,0.574,0.0349,0.0036,-0.431,-0.9584,-0.5869,-2.0232,,,,,,,,,,,,,,,
,,,,,,,,0.123,-0.3969,-0.6421,0.5675,0.2627,1.5141,1.8032,0.91,0.2189,1.6168,1.6949,0.7385,0.7224,0.6669,0.625,-0.1464,-0.4023,-0.2263,-1.3229,-0.2426,-1.2987,,,,,,,,,,,,,,,
,,,,,,,-0.0076,1.4413,0.4548,-0.0915,0.4531,0.8127,0.9986,0.828,1.1639,0.9223,1.812,1.9352,1.1065,1.1528,1.1717,0.4602,-0.2818,-0.1502,-0.303,-1.0689,-0.4438,-1.1467,,,,,,,,,,,,,,,
,,,,,,-0.6936,-0.9176,-0.0602,0.4224,0.2925,0.5792,0.8783,0.8351,1.112,0.9969,1.1401,1.7831,1.8133,1.4,1.4981,1.3705,-0.0016,0.0845,0.0365,-0.1537,-0.9658,-0.9921,-0.9825,,,,,,,,,,,,,,,
,,,,,,-0.9547,-0.5565,0.961,0.5052,0.2835,0.8538,0.4945,0.9224,1.3174,0.8021,1.5807,1.9386,1.5529,1.4763,1.7477,1.4729,0.4816,0.1926,0.3824,0.1643,-1.2098,-1.034,,,,,,,,,,,,,,,,
,,,,,-0.4126,-0.7923,0.0145,0.4778,0.3133,0.4212,0.6508,0.4126,0.6458,1.086,0.59,1.6486,1.8615,1.6402,1.346,1.3359,1.5844,0.5781,0.676,0.7832,0.6939,-0.9777,,,,,,,,,,,,,,,,,
,,,,0.649,-0.6772,-0.3114,1.0327,0.1164,0.2558,0.3568,0.389,0.2647,0.2983,1.4098,0.9286,1.3032,1.3759,1.4344,1.1006,1.1894,1.0672,0.4734,1.036,0.8308,1.2,-0.654,-0.2299,-1.0976,,,,,,,,,,,,,,,
,,,,0.4888,-0.8328,0.083,0.0235,-0.0215,0.5173,0.4184,0.4494,0.0465,0.1893,1.3746,1.1303,0.9508,0.5927,0.9942,0.8097,0.7192,0.7428,1.209,0.4543,0.4608,0.3797,0.1221,-0.6215,-1.378,,,,,,,,,,,,,,,
,,,,0.3823,-0.5896,-0.29,0.8915,0.6956,0.6413,0.8734,0.2129,-0.0993,0.1368,1.1753,1.1507,0.8566,0.6607,0.5422,0.7799,0.9831,0.6784,1.432,0.3482,0.2995,-0.0732,-0.1157,-0.4412,-0.6272,-2.2932,,,,,,,,,,,,,,
,,,-0.9491,-0.0653,-0.1786,0.7169,1.8038,1.3973,0.7544,0.6901,-0.1586,0.2366,0.2163,1.1255,1.004,0.915,1.19,0.5585,0.282,0.6991,0.9491,1.03,0.3738,0.1892,-0.4906,-0.346,-1.2716,-1.5775,-1.5557,-1.1123,,,,,,,,,,,,,
,,,-0.5778,-0.5472,-0.3697,1.3355,0.7019,1.1726,0.7769,0.2369,-0.0288,-0.1113,0.39,1.4507,1.1116,0.5206,0.6489,0.9772,0.5645,0.7222,0.3765,0.6968,0.0126,-0.7737,-0.3324,-0.3231,-1.6177,-1.6061,-1.6871,-0.5386,,,,,,,,,,,,,
,,0.0521,-0.8504,-0.4478,0.2264,1.518,0.8678,0.4675,0.3824,-0.1651,-0.0989,0.0589,0.6315,1.1071,0.6012,0.5681,0.2421,0.2686,0.1812,-0.0056,0.1279,0.3534,0.1821,-0.4958,-0.2773,-0.539,-1.1543,-1.5517,-1.1847,,,,,,,,,,,,,,
,,-0.1018,-0.7995,-0.233,0.8808,2.0819,0.7617,0.4669,-0.1088,-0.3496,0.2096,0.3981,0.7139,1.0282,0.5806,0.4499,0.1358,0.2751,0.1562,-0.0677,-0.0395,-0.0846,0.1489,-0.3027,0.6378,-0.051,-0.5072,-1.5773,-2.1377,-1.321,,,,,,,,,,,,,
,,-0.4974,-0.6249,0.0792,1.2301,1.9017,0.4225,0.7985,0.2206,-0.2487,0.2974,0.4264,0.3596,0.895,0.551,0.4638,0.2978,0.2644,-0.0735,-0.085,0.009,0.2636,0.2207,-0.4279,0.3935,0.0271,-0.3179,-1.2837,-1.8524,-0.2672,,,,,,,,,,,,,
,-1.1087,-0.7883,-0.4283,0.4614,0.9479,1.2746,-0.0632,0.5821,0.2984,0.0528,0.1695,0.4035,0.4383,0.8555,0.2485,0.331,0.3129,0.1483,0.1582,-0.4208,0.0202,0.3631,0.0738,-0.3744,0.5477,-0.1915,-0.5875,-1.1789,-1.387,-0.3485,,,,,,,,,,,,,
,-1.2073,-0.8179,-0.2488,0.8585,0.5023,0.8106,-0.0953,0.4205,0.2123,0.0378,0.4006,0.6289,0.2551,0.9395,0.3472,-0.0771,0.7153,0.3002,-0.128,-0.1088,-0.1518,0.1786,0.3974,-0.1192,-0.075,-0.1793,-1.1641,-1.0032,-2.2083,-1.0947,,,,,,,,,,,,,
