,,,,,,,,,,,,,,,,,,,,,0.5633,0.3006,0.5988,2.416,-1.019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.8911,-1.0643,0.9116,0.6856,0.7188,0.7288,1.0275,1.5472,-1.6169,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0596,0.347,0.782,0.4314,0.9409,0.6306,0.848,1.4543,-1.7591,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.4555,0.0918,0.7515,0.0302,1.333,0.8487,0.7406,0.9123,0.3017,0.5716,-0.0576,-2.1756,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.2047,0.9488,1.2752,0.5112,1.2696,0.6907,0.8246,0.7265,0.5522,-0.6916,-0.2849,-0.8598,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.6937,0.9548,0.6911,0.9112,0.8434,0.8565,0.7781,0.6048,0.5912,0.0109,0.127,-0.9005,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.0568,1.3893,1.6029,0.7556,1.0634,0.3295,0.8886,0.7638,0.5404,0.5199,0.5453,-0.0334,-0.0175,-1.117,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0976,1.5858,1.1848,1.176,0.8886,0.3768,0.0114,0.5727,0.7392,0.1917,0.132,-0.0293,-0.0097,-1.4923,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2.6385,1.2263,1.5821,1.366,0.8685,1.2224,1.0168,0.1443,0.433,0.6981,0.9072,0.3873,-0.3182,-0.2321,-0.1981,-0.4116,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9414,2.3524,1.3242,1.0961,0.8967,0.8186,0.9136,0.1234,0.4986,0.9334,0.1204,0.4866,0.2943,-0.2492,-0.3041,-1.4498,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4593,1.4156,2.6442,2.3859,0.9083,0.904,1.5413,1.0012,0.7841,0.9814,0.6036,0.9494,0.4041,0.6851,0.5162,-0.2762,-0.5571,-1.1646,,,,,,,,,,,,,,,,,
,,,,,,,,-0.9653,-0.211,1.0454,0.8496,1.3259,0.7628,1.6016,1.4058,0.628,0.5562,0.6473,0.5403,0.5652,0.5346,0.5492,0.0263,0.099,-0.2405,-1.1272,-2.5756,-3.1518,,,,,,,,,,,,,,,
