,,,,,,,,,,,,,,,,,,,,,0.5861,0.0917,0.0971,-0.0162,-1.2924,0.5312,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.2939,0.512,1.0898,0.6108,0.0236,0.225,0.0538,-0.293,-1.037,-1.7024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.5737,0.7835,0.4205,0.0945,-0.1689,-0.0863,0.275,-0.3344,-1.4928,-1.5322,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.465,1.4888,1.2524,0.18,0.1416,0.4414,-0.5669,0.3249,-0.1625,-0.4325,-0.0159,-0.9308,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.2676,1.0739,1.2648,0.4591,0.3888,0.8272,0.0717,0.0252,0.2538,-0.3836,-0.2182,-0.5865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.5978,0.3889,0.9649,0.4308,0.8589,0.8112,0.2788,-0.1079,0.2923,-0.2513,0.8261,-0.5861,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9583,0.5588,0.6492,0.2114,0.6788,-0.0394,0.4681,0.3333,0.2861,-0.0211,0.0662,-0.1568,0.5235,-0.2922,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0116,1.1416,0.2122,0.3336,0.6273,0.4285,0.4168,0.2568,0.2918,0.3047,0.5776,-0.0239,0.3269,-0.5961,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1833,-0.2016,0.0998,1.2088,0.3239,0.1742,0.804,0.5455,0.4035,0.5512,0.4638,0.3597,0.5332,-0.174,0.3268,-0.2624,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8451,0.7519,0.6034,0.7799,1.3005,-0.008,0.6475,0.2311,0.5298,1.1975,0.9311,0.7665,0.6637,0.2,0.0973,-0.3274,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.4133,-0.1683,1.2323,0.7378,0.5754,0.5416,1.0664,0.7103,0.9429,1.1215,1.0346,1.3667,1.4552,1.0528,0.4716,0.4102,0.0514,-0.5202,,,,,,,,,,,,,,,,,
,,,,,,,,-0.12,0.3103,-0.4883,0.3339,0.4974,1.4568,1.2096,1.5457,0.414,1.3376,0.7496,1.0626,1.2881,1.4287,0.8551,0.8539,0.4941,-0.1704,-0.8934,,,,,,,,,,,,,,,,,
,,,,,,,-0.2434,0.5202,0.7136,0.2902,0.5387,0.4459,1.7272,0.7746,1.8656,1.1196,1.7858,1.1496,1.425,1.6818,2.2807,1.7215,1.375,0.7557,0.111,-0.3783,,,,,,,,,,,,,,,,,
,,,,,,-0.3682,-0.2854,0.7003,0.5219,0.4644,0.7764,1.261,2.122,1.1892,1.4104,1.861,2.2855,1.7649,1.1809,1.6689,2.2415,1.3908,1.0979,1.0469,0.7877,0.0315,,,,,,,,,,,,,,,,,
,,,,,,-0.5739,-0.0451,-0.1764,-0.1348,0.555,0.4617,1.389,1.214,1.5618,0.7529,1.6459,2.4621,1.7087,1.5596,2.1356,2.2157,1.6558,1.6829,1.6465,1.0112,-0.3639,,,,,,,,,,,,,,,,,
,,,,,0.0966,-0.3777,-0.3586,-0.4425,-0.2673,0.6796,0.3067,0.7044,1.0548,1.2511,0.7169,1.7573,1.8248,1.9147,1.6076,2.2978,2.289,1.7753,1.5283,1.711,1.7683,0.0001,,,,,,,,,,,,,,,,,
,,,,0.676,0.0897,-0.3598,-0.0961,-0.5608,-0.1648,0.5513,0.3108,0.1426,1.4972,2.0521,1.0782,1.759,2.2593,2.2595,2.1657,2.3367,1.6424,1.9312,1.6471,0.892,2.3844,-0.3099,-0.1918,,,,,,,,,,,,,,,,
,,,,0.5002,0.1044,-0.3856,0.1756,-0.8024,0.1195,-0.0691,0.4582,0.0731,0.7058,1.5795,1.153,1.5034,2.0796,1.6612,2.5397,2.7174,1.2698,1.6216,1.8035,0.7458,1.8292,1.0183,0.1012,,,,,,,,,,,,,,,,
,,,,0.5329,-0.8055,-0.2954,0.5402,-0.4751,0.088,0.4464,0.1553,0.4588,0.4813,0.8437,0.6081,1.4899,0.9552,0.5285,2.1059,3.1187,1.4433,1.7666,1.1468,0.3916,0.4303,0.9686,-0.0053,0.8469,,,,,,,,,,,,,,,
,,,-0.6776,-0.6781,-0.6145,0.2457,0.7019,0.4546,0.141,-0.0925,-0.338,0.2986,0.6075,0.735,0.7141,0.9616,0.7876,-0.2206,1.499,2.1746,1.6525,0.9179,0.5341,0.2177,0.738,0.6766,-0.4155,-0.541,,,,,,,,,,,,,,,
,,,-0.2292,-0.6782,-0.7283,1.0151,0.9451,0.3213,0.0306,-0.289,-0.1142,0.2611,0.7214,1.131,1.2619,0.9921,0.5228,0.3562,1.0184,1.392,0.9277,0.39,0.0927,-0.6169,0.2147,-0.2425,-0.8963,0.3913,,,,,,,,,,,,,,,
,,0.6857,-0.7246,-0.476,-0.4795,0.855,0.6437,-0.623,-0.3314,-0.2764,-0.1647,0.1591,0.7761,0.8575,0.9788,0.8756,0.2554,-0.12,0.2631,0.3801,0.273,0.3073,0.0812,-0.2826,0.0563,-0.6548,-0.7982,0.2226,,,,,,,,,,,,,,,
,,0.3273,-0.3863,-0.6351,-0.7819,1.1934,0.3968,-0.4823,-0.8106,-0.4868,-0.0713,0.1686,0.3242,0.7788,0.7289,0.3602,0.4112,0.0915,0.2238,0.1806,0.1675,-0.2029,0.1425,0.0049,0.5836,-0.2713,-0.664,-0.204,,,,,,,,,,,,,,,
,,-0.1578,-0.7036,-0.3906,-0.1578,1.1928,-0.1479,-0.2204,-0.4545,-0.2608,-0.2248,0.2766,-0.2665,0.2175,0.6876,0.4502,0.5386,0.1221,0.0101,-0.029,-0.025,-0.2768,0.1054,-0.4074,0.7286,-0.0358,-0.4185,0.4008,,,,,,,,,,,,,,,
,-0.9239,-0.5672,-0.6083,-0.3931,-0.1068,0.6078,-0.1584,-0.1124,0.1228,-0.5351,-0.4736,0.0945,-0.1401,0.3907,0.4138,0.3768,0.0957,-0.0189,0.2373,-0.4059,0.0664,-0.0308,-0.2043,-0.2507,0.6527,0.3292,-0.426,0.2893,-0.8396,,,,,,,,,,,,,,
,-0.8085,-0.639,-0.4645,-0.1073,-0.1486,0.4088,-0.2131,-0.2641,0.1483,-0.4053,0.0106,0.1199,-0.1436,0.4942,0.439,0.1603,0.3165,0.0048,-0.3237,-0.2279,-0.1084,-0.0498,0.1627,-0.0832,0.7468,1.0704,-0.4482,0.6406,-1.5245,,,,,,,,,,,,,,
,-0.9018,-0.4944,-0.2919,-0.0671,0.0704,-0.045,-0.1315,-0.3899,-0.1618,-0.4479,0.0886,0.1576,-0.2159,0.1855,0.1859,-0.1619,-0.063,-0.3062,-0.418,-0.2668,-0.0659,0.1378,1.1196,0.2156,0.3841,0.1007,-0.5025,0.4025,-1.7074,,,,,,,,,,,,,,
,-1.0645,-0.3621,-0.1575,0.0176,0.2657,-0.0454,-0.0964,-0.5045,-0.2066,-0.1224,-0.4019,-0.0164,-0.3739,0.0196,0.0381,-0.2752,-0.039,-0.5672,-0.4388,-0.4224,-0.0866,-0.2114,1.2497,-0.1426,0.1896,-0.6966,0.0283,0.6072,-0.8836,,,,,,,,,,,,,,
,-1.1157,-0.1932,-0.2294,0.0917,0.1157,0.1156,-0.0414,-0.721,-0.2734,-0.0976,-0.6306,-0.1122,-0.1116,0.1952,-0.1553,-0.0603,-0.1351,-0.5185,-0.5661,-0.4256,0.175,-0.1806,0.9019,-0.1574,0.0359,-0.8609,-0.1125,0.69,,,,,,,,,,,,,,,
-1.2228,-0.7315,0.1831,-0.1173,0.0666,-0.2209,-0.3081,-0.4399,-0.7892,-0.3572,-0.478,-0.62,-0.1771,-0.1974,0.1386,-0.132,-0.3784,-0.518,-0.4668,-0.67,-0.3042,0.0725,-0.3156,0.242,-0.2854,0.3323,-0.7092,-0.8878,,,,,,,,,,,,,,,,
-0.7933,-0.8102,0.2246,-0.3315,-0.0971,-0.3816,-0.3772,-0.472,-1.0944,-0.2832,-0.7806,-0.5753,-0.0142,-0.3346,0.19,-0.4499,-0.4498,-0.5806,-0.4838,-0.5844,-0.8061,-0.102,0.1002,0.3438,-0.3128,0.2976,0.0475,0.199,,,,,,,,,,,,,,,,
-1.0697,-0.588,0.2192,-0.177,-0.0808,-0.5644,-0.5998,-0.5939,-0.7654,-0.3197,-0.8741,-0.7522,-0.4157,-0.4707,-0.0513,-0.4785,-0.355,-0.7456,-0.846,-0.8782,-0.7463,-0.2023,-0.099,-0.1064,0.0523,0.3862,-0.6235,-0.2711,-1.0456,,,,,,,,,,,,,,,
-1.3657,-0.487,-0.0229,-0.0794,-0.065,-0.542,-0.5806,-0.6532,-0.7297,-0.7282,-0.9816,-0.722,-0.3961,-0.4339,-0.5485,-0.7106,-0.4747,-0.4287,-0.5377,-0.7434,-0.374,-0.0311,-0.1041,0.1894,-0.1063,0.2312,-0.4528,-1.1248,-0.8836,,,,,,,,,,,,,,,
-0.9865,-0.1451,-0.146,-0.1421,-0.0755,-0.5793,-0.5236,-0.9299,-1.2364,-0.8235,-1.1237,-0.7763,-0.3207,-0.6737,-0.4575,-0.7776,-0.4675,-0.8344,-0.6576,-0.6642,-0.5694,-0.1207,-0.2176,0.0254,-0.4857,0.3402,-0.2043,-0.5808,-0.6202,,,,,,,,,,,,,,,
-0.6568,-0.0947,-0.1972,-0.1541,-0.1283,-0.9672,-0.7378,-1.0627,-1.372,-1.0854,-1.2256,-0.836,-0.3299,-0.7696,-0.6957,-0.683,-0.2911,-0.9552,-0.6727,-0.2549,-0.2004,0.3053,-0.248,0.4904,-0.3631,-0.1254,-0.4296,-0.5863,-1.0497,-2.7352,,,,,,,,,,,,,,
-0.4143,-0.3884,-0.1626,-0.3288,-0.0653,-1.3252,-0.7471,-0.9782,-1.5757,-0.9618,-1.1989,-0.9894,-0.4588,-1.0146,-0.6863,-0.4666,-0.8627,-0.7704,-0.7806,-0.3088,0.0297,-0.1499,-0.4276,-0.1045,-0.5191,-0.3249,-0.058,-0.707,-1.1593,-4.0359,,,,,,,,,,,,,,
-0.3593,-0.3644,-0.1641,-0.2147,-0.286,-1.2619,-0.6085,-1.0572,-1.5021,-0.9416,-1.2747,-1.095,-0.4762,-1.4504,-0.8888,-0.8424,-0.884,-0.6706,-0.8549,-0.3569,-0.1079,-0.108,-0.5262,-0.5233,-0.7796,-0.032,-0.4178,-0.2477,-1.0061,-2.2828,,,,,,,,,,,,,,
-0.6091,-0.5303,-0.2888,-0.43,-0.4367,-0.6558,-0.8462,-0.7493,-1.6282,-1.0608,-1.4016,-0.9716,-0.6168,-1.1857,-0.6986,-0.7436,-0.6409,-0.7645,-1.096,-0.5026,-0.299,0.0272,-0.5172,-0.3016,-0.7217,-0.0143,-0.4294,-0.4656,-0.947,-1.6828,-0.3765,,,,,,,,,,,,,
-0.5286,-0.4893,-0.1154,-0.5421,-0.2976,-0.6572,-0.5647,-0.9563,-1.4658,-1.0271,-1.2698,-0.7701,-0.8696,-1.2669,-0.7166,-1.282,-0.8758,-0.6424,-1.292,-0.6891,-0.4287,-0.3247,-0.5107,0.0567,-0.5484,-0.3566,-0.534,-0.5154,-0.8543,-0.9559,-0.0672,-0.9043,-0.0312,0.9299,-0.7218,,1.1223,,,,,,,
-0.2889,-0.3165,-0.1602,-0.3793,-0.1602,-0.514,-0.5541,-0.9261,-0.829,-0.9131,-1.3918,-0.8799,-0.9916,-1.0806,-1.0603,-1.0597,-1.0082,-0.697,-1.264,-0.7852,-0.6236,-0.5292,-0.5452,-0.4086,-0.6608,-0.4686,-0.3933,-0.4439,-0.7263,-0.8305,-0.2994,-0.6237,-0.4762,-0.3678,-1.3483,-0.2723,0.335,0.0596,0.3345,,,,,
-0.297,-0.4126,0.1041,-0.5462,0.2156,-0.7597,-0.4634,-0.6049,-1.2589,-1.3719,-1.2218,-1.0872,-1.1406,-1.1383,-1.249,-1.3664,-0.9318,-0.7447,-0.9191,-0.733,-0.7508,-0.7168,-0.8435,-0.4251,-0.8535,-0.6987,-0.4681,-0.1889,-0.2925,-0.8569,-0.4363,-0.0236,0.0059,-0.3689,-0.0548,-1.0358,-1.1033,-0.1318,0.7366,2.166,,,,
-0.3443,-0.3582,-0.2126,-0.6095,-0.1441,-0.6642,-0.5222,-0.6386,-0.9315,-1.3105,-1.6428,-0.993,-1.1518,-1.0966,-1.1231,-0.9551,-1.1551,-1.141,-0.9403,-0.6861,-0.8871,-1.088,-0.8576,-1.0904,-1.0166,-0.5887,-0.5117,-0.5496,-0.6419,-0.5688,-0.4255,-0.1921,-0.2279,-0.6121,-0.0985,-0.6139,-1.4896,-0.5864,0.4571,1.5177,,,,
-0.3102,-0.381,-0.0989,-0.1936,0.0296,-0.7554,-0.7459,-0.547,-0.8486,-1.1503,-1.8796,-0.9435,-1.2865,-1.1908,-1.0808,-1.1951,-1.4432,-0.917,-1.0093,-0.701,-1.1021,-1.009,-0.7869,-0.995,-1.1272,-0.7259,-0.7268,-0.6873,-0.8635,-0.8453,-0.5096,-0.2839,-0.204,-0.3886,-0.6592,-0.5506,-1.1571,-0.3829,0.0026,2.6404,-0.0537,,,
-0.4581,-0.2844,0.0997,-0.2297,-0.4173,-0.5773,-0.8967,-0.4886,-0.4829,-0.6481,-1.711,-1.0998,-1.222,-1.157,-0.8613,-0.9295,-1.52,-1.2319,-0.8119,-1.0896,-1.1153,-0.9413,-0.8013,-0.9706,-1.467,-0.7436,-0.8313,-0.571,-0.8672,-0.9785,-0.4049,-0.2657,-0.3903,-0.4243,-0.5066,-0.1875,-0.4718,-0.4388,0.6396,2.1024,0.6949,,,
-0.1716,-0.3305,-0.1336,-0.053,-0.4205,-0.717,-0.8225,-0.3938,-0.6678,-0.6087,-1.3283,-1.2735,-1.2059,-0.9505,-0.8613,-0.931,-1.2225,-1.2666,-1.1656,-0.7614,-0.651,-1.0736,-0.8984,-0.893,-1.0632,-0.7765,-0.9538,-0.5168,-1.1157,-1.1008,-0.2848,-0.5857,-0.4973,-0.6694,-0.8167,0.157,-0.507,-0.3454,1.0181,1.125,-0.3258,,,
-0.3705,-0.4834,-0.2152,-0.1479,-0.2595,-0.819,-0.8995,-0.4893,-0.8457,-0.6082,-1.1641,-0.9849,-0.9567,-0.5503,-0.8536,-0.9037,-1.2702,-1.235,-1.0083,-0.7339,-0.8104,-0.9108,-0.8019,-0.7343,-1.0501,-0.6219,-0.6413,-0.3906,-0.821,-1.3303,-0.8593,-0.2487,-0.028,-0.7676,-0.7108,-0.2189,-0.5325,-0.1344,0.6867,2.2017,1.488,2.0548,,
-0.6879,-0.5386,-0.0903,0.1098,-0.4239,-0.8335,-0.8664,-0.5366,-0.5522,-0.5711,-1.1002,-0.7616,-0.7913,-0.9432,-0.7754,-0.9671,-1.4008,-1.0542,-1.2395,-0.8946,-0.8887,-0.9288,-0.4748,-0.5216,-0.8347,-0.5396,-0.2561,0.0051,-0.1958,-0.6768,-0.1989,0.0523,0.3414,-0.6867,-0.571,-0.3647,-1.0566,-0.4632,-0.0631,0.784,1.1841,1.5305,,-0.4177
-1.0141,-0.3719,-0.1661,0.1242,-0.1891,-0.5681,-0.5964,-0.5283,-0.5698,-0.4444,-1.0872,-0.8198,-0.7996,-0.9032,-0.535,-0.8625,-1.3848,-0.8278,-1.0863,-0.7836,-0.7664,-0.9264,-0.5037,-0.5435,-0.9808,-0.6116,-0.3311,-0.3464,-0.2979,-0.4002,-0.1182,0.2514,0.3158,-0.4862,-0.273,-0.2328,-0.9778,-0.3635,-0.37,0.1043,1.6348,2.6725,-0.9242,0.762
,-0.4946,-0.3445,0.223,0.0816,-0.4013,-0.328,-0.6236,-0.6758,-0.4444,-0.5759,-0.9991,-0.7645,-0.5956,-0.6882,-0.8269,-1.0949,-0.6478,-1.0828,-0.7602,-0.8269,-0.7651,-0.4633,-0.3927,-0.6478,-0.4611,-0.3809,-0.1346,-0.3752,-0.2266,0.2728,0.6157,0.499,-0.1295,0.068,-0.2756,-0.4785,-0.131,-0.2459,-0.2781,0.7907,1.1115,-0.5866,0.0132
,-0.7436,-0.2574,0.1625,-0.0019,-0.1931,-0.1145,-0.3209,-0.3629,-0.3218,-0.5006,-0.7,-0.6917,-0.6926,-0.5164,-0.5303,-1.1113,-0.5931,-0.6771,-0.9652,-0.9776,-0.9944,-0.4959,-0.3993,-0.4766,-0.2404,-0.2859,-0.2805,-0.2644,-0.3346,0.7757,0.7493,0.3049,0.2679,0.5752,0.0559,-0.0286,0.5792,0.5087,0.309,0.6077,0.2175,-0.4266,1.0917
,-0.91,-0.1683,0.029,-0.1262,-0.1023,-0.3204,-0.3928,-0.167,-0.3694,-0.4725,-0.4992,-0.6576,-0.5958,-0.5338,-0.712,-0.653,-0.3798,-0.8339,-0.5384,-0.6994,-0.8022,-0.414,-0.2517,-0.3978,0.096,-0.2367,-0.1416,-0.1196,-0.036,1.0067,0.513,0.3684,0.3746,0.9253,0.5466,0.282,1.1451,0.7706,1.1421,0.6136,1.0972,0.1449,0.0462
,-0.9513,-0.0608,-0.1969,-0.2506,-0.2438,-0.3899,-0.1959,0.0493,-0.0229,-0.2973,-0.4947,-0.5885,-0.5404,-0.5691,-0.8822,-1.0588,-0.5807,-0.6639,-0.6389,-0.5491,-0.9513,-0.3233,-0.3497,-0.2907,0.2431,-0.3087,-0.0634,-0.074,0.1525,0.9755,0.7305,0.3398,1.0845,1.7933,1.4037,1.09,1.2274,0.9298,1.0102,0.8826,1.2957,0.2712,0.5888
,,-0.0872,-0.1349,-0.2338,-0.2756,-0.1606,-0.3726,0.0907,0.1479,-0.1217,-0.3793,-0.3253,-0.4341,-0.4269,-0.7371,-0.9164,-0.5225,-0.5125,-0.6824,-0.4414,-0.538,-0.2761,-0.1974,0.1205,0.3032,-0.0926,0.0441,-0.0056,0.5026,1.4951,1.2703,0.9803,1.8231,3.1407,2.5336,1.6673,2.0761,1.9369,1.4959,1.1453,1.4978,0.6249,0.6129
,,0.3295,-0.3257,-0.0087,-0.1223,-0.3962,-0.3412,0.0616,-0.1999,-0.1422,-0.3942,-0.4797,-0.5946,-0.4774,-0.7442,-0.8922,-0.4224,-0.608,-0.8396,-0.2991,-0.3548,0.296,0.0426,-0.1317,0.2978,-0.0066,0.0495,0.0952,0.4369,1.6161,1.3259,1.623,2.187,3.6527,2.8808,2.4797,2.4612,2.6046,2.5645,2.256,1.432,0.5219,-0.0071
,,0.6097,-0.889,-0.2055,-0.0409,-0.4226,-0.505,-0.2485,-0.3018,-0.3912,-0.5062,-0.7042,-0.4637,-0.4208,-0.7784,-1.1076,-0.7189,-0.5032,-0.8862,-0.4348,-0.42,0.1756,0.1664,-0.0178,0.2431,0.4541,-0.0381,-0.1359,0.5846,1.321,1.3772,1.2517,1.8522,2.6532,3.182,2.842,2.4006,2.9793,3.5374,2.6717,1.5157,1.1425,1.1518
,,0.4304,-0.3928,-0.4206,-0.8534,-0.4287,-0.7952,-0.2116,-0.1067,-0.5065,-0.431,-0.4731,-0.8136,-0.4404,-0.7737,-0.602,-0.9733,-0.7845,-0.5597,-0.3419,-0.2354,-0.1195,0.3235,0.028,0.2555,0.497,-0.1054,0.1123,-0.017,0.6824,1.2067,0.8062,0.9649,1.5366,2.5123,2.2182,2.2638,2.0869,3.4839,2.7694,2.3491,1.0669,0.6102
,,,-0.762,0.024,-0.73,-0.9336,-0.8945,-0.1567,-0.2718,-0.319,-0.3296,-0.491,-0.5516,-0.5224,-0.5073,-0.6373,-0.7525,-0.712,-0.7276,-0.4123,-0.4839,-0.0986,0.3708,0.2188,0.4806,0.7472,0.0063,-0.0557,-0.2556,0.3496,1.1568,1.5352,1.234,1.2437,2.136,2.0217,1.9956,2.2074,3.4034,2.3159,2.8056,1.4332,0.0806
,,,-0.1571,-0.1803,-1.6492,-0.6461,-0.7076,-0.0901,-0.2803,-0.33,-0.4481,-0.6455,-0.679,-0.724,-0.3663,-0.5755,-0.5954,-0.7568,-0.6083,-0.5641,-0.4338,-0.2346,0.5254,0.1762,0.349,0.4284,0.1146,0.0754,-0.1691,0.5331,1.1517,1.9025,1.2079,1.5413,1.9338,1.4753,1.6436,1.7316,2.5652,1.5095,2.5016,1.2509,-0.1785
,,,0.1559,-0.17,-0.5486,0.68,-0.7299,-0.4249,-0.2284,-0.6524,-0.4594,-0.7261,-0.271,-0.255,-0.324,-0.5912,-0.7037,-0.7316,-0.6808,-0.887,-0.3903,-0.0884,0.3591,0.0724,0.116,0.2199,0.2481,0.533,0.1615,0.796,1.5537,1.9332,1.2569,1.0605,1.536,1.0981,1.5476,0.9208,1.6516,0.7242,1.4864,0.3492,-0.2442
,,,,-0.3496,-0.9559,0.2382,-0.1233,0.2652,0.0713,-0.2816,-0.2387,-0.8105,-0.5126,-0.2271,-0.2751,-0.7898,-0.664,-0.7309,-0.6391,-0.6084,-0.708,-0.0671,0.0063,-0.4855,0.0339,0.438,0.4185,0.966,0.6958,0.8735,1.5686,2.1075,1.4633,1.7002,1.077,0.8086,1.0156,0.9829,1.0218,0.6439,0.7514,0.4172,-0.7458
,,,,0.6773,-0.7647,-0.2331,,0.4417,-0.4435,-0.522,-0.3358,-1.1996,-0.6805,-0.1398,-0.1085,-0.6536,-0.6569,-0.543,-0.6406,-0.4085,-0.5743,-0.1748,-0.1402,-0.788,0.1173,0.3448,0.483,1.178,1.1997,1.0929,1.3498,1.7241,1.2177,1.9855,0.9645,0.304,0.6645,0.6479,0.7604,0.8156,1.0344,0.1606,
,,,,,-0.4821,-1.0928,-0.3864,0.2988,0.2605,-0.8256,-0.4782,-1.5501,-0.7868,-0.3645,-0.3581,-0.7885,-0.5481,-0.3811,-0.3209,-0.1322,-0.1693,0.1094,0.0371,-0.2922,0.0152,0.4272,0.7021,1.1355,1.6244,0.9886,1.4146,1.6099,0.9415,1.6735,0.5356,0.3538,0.5054,0.6997,0.42,0.1302,0.4485,0.5486,
,,,,,-0.282,-0.7052,0.38,,0.1385,-0.3857,-0.2283,-1.3672,-0.6823,-0.9461,-0.5955,-0.6988,-0.5173,-0.784,-0.2783,0.0309,0.7061,0.7606,0.5406,-0.2206,0.0861,0.8319,1.2429,1.3038,1.6781,1.59,0.9024,0.9502,0.5578,0.6462,0.2921,0.3624,0.7483,0.5005,0.268,-0.0189,0.3603,1.3036,
,,,,,,-1.1007,0.1417,,0.1026,-0.494,-0.2224,-0.1538,-1.0272,-0.802,-0.5126,-0.9688,-0.3827,-0.8756,-0.4136,-0.3339,0.9801,1.2987,0.814,0.2466,0.5206,0.7081,1.3716,0.7839,1.0641,1.3696,0.7901,0.7374,0.7781,0.4684,-0.1478,0.3051,0.4373,0.4041,0.5852,-0.036,0.1744,0.0747,
