,,,,,,,,,,,,,,,,,,,,,-0.5,-0.5,-0.1,-0.6,-1.0,-1.3,-0.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2,-0.4,-1.1,-0.5,-0.7,-0.1,-0.7,-0.8,-1.4,-1.5,-1.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.8,-0.6,-1.4,-1.1,-0.3,0.23,0.01,-0.3,-1.2,-1.1,-0.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1,-0.5,-0.7,-0.5,-0.8,-0.5,-0.4,0.29,-0.4,-0.3,-0.6,-0.5,-0.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.3,-0.7,-0.4,-0.6,-0.6,-0.6,-0.1,0.25,0.08,-0.2,-0.6,-0.7,0.13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2,-0.6,-0.3,-0.4,-0.7,-0.3,-0.2,-0.1,0.09,-0.5,-0.4,-0.4,-0.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1,-0.4,-0.2,-0.6,-0.5,-0.8,-0.2,-0.3,0.15,0.16,0.1,-0.1,-0.5,-0.3,0.15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.2,0.0,-0.1,0.21,-0.2,-0.2,0.0,0.0,0.14,0.43,0.0,-0.4,-0.2,-0.1,0.02,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.3,0.3,-0.5,-0.2,0.0,0.29,0.02,0.04,-0.1,0.32,0.43,0.48,0.13,-0.1,-0.1,-0.2,0.06,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.3,0.1,-0.5,-0.6,0.08,0.16,0.21,-0.1,0.31,0.53,0.36,0.42,-0.2,-0.6,-0.1,-0.2,0.24,,,,,,,,,,,,,,,,
,,,,,,,,,0.12,0.33,0.0,0.03,0.02,0.06,0.0,0.19,0.29,0.12,0.88,1.02,0.25,0.3,0.14,0.04,0.44,0.16,0.5,,,,,,,,,,,,,,,,
,,,,,,,,-0.5,0.31,0.02,-0.2,-0.1,0.1,0.51,0.15,0.22,0.98,0.58,1.39,0.83,0.43,0.39,0.72,0.42,0.33,0.06,0.08,,,,,,,,,,,,,,,,
,,,,,,,-0.3,-0.5,0.51,0.41,-0.2,0.05,-0.1,-0.2,0.16,0.21,0.81,0.63,1.34,0.7,1.2,1.17,1.33,1.15,0.4,0.47,0.13,,,,,,,,,,,,,,,,
,,,,,,-0.1,0.03,-0.4,0.0,0.0,0.16,0.24,-0.4,-0.3,0.24,0.83,1.35,1.53,1.6,0.45,1.6,1.68,1.76,1.34,0.91,0.53,0.08,,,,,,,,,,,,,,,,
,,,,,,-0.3,-0.5,-0.1,0.0,0.06,0.28,0.13,-0.3,0.24,0.14,0.56,2.42,2.18,1.45,0.34,1.52,2.03,1.96,1.57,0.57,0.58,0.0,,,,,,,,,,,,,,,,
,,,,,0.27,-0.4,-0.4,-0.2,0.23,0.2,0.2,0.04,-0.2,0.39,0.62,1.03,2.14,1.69,1.54,0.48,1.63,2.35,1.8,1.74,1.18,0.66,0.25,,,,,,,,,,,,,,,,
,,,,0.06,-0.2,-0.4,-0.5,-0.2,0.38,0.42,-0.3,0.0,-0.4,-0.1,1.55,2.25,1.58,1.28,1.38,0.69,2.38,1.85,1.86,1.77,1.16,1.24,0.35,,,,,,,,,,,,,,,,
,,,,0.12,-0.3,0.0,-0.1,0.16,0.14,0.24,-0.4,-0.2,-0.4,0.06,1.92,2.21,1.51,1.13,0.7,0.63,1.82,2.2,2.11,1.36,1.88,1.47,1.0,,,,,,,,,,,,,,,,
,,,,0.02,-0.4,0.11,0.38,0.38,-0.6,0.0,-0.3,-0.3,0.8,1.04,1.82,1.56,1.76,1.52,1.21,0.84,1.28,1.99,1.68,1.39,1.69,1.74,1.22,,,,,,,,,,,,,,,,
,,,0.62,0.0,-0.3,0.52,0.43,0.15,-0.6,-0.3,0.17,-0.3,0.28,1.48,1.9,2.07,1.74,1.51,1.13,1.43,1.96,1.33,1.16,0.97,1.7,0.51,1.22,,,,,,,,,,,,,,,,
,,,0.16,0.02,-0.1,0.05,0.37,-0.1,-0.7,0.03,0.25,0.42,0.46,1.43,1.21,1.58,1.41,1.0,1.27,1.25,1.32,0.98,0.92,0.8,0.66,0.49,0.79,,,,,,,,,,,,,,,,
