,,,,,,,,,,,,,,,,,,,,,-0.4251,-0.7409,0.3162,0.428,-1.6917,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1762,-0.9135,-0.3545,0.3661,-0.1817,-0.96,1.1501,0.2844,-2.1662,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.5488,-1.213,-0.3633,0.4386,-0.9645,-1.0513,0.9402,1.0608,-1.6003,3.0558,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5417,-0.0474,-0.6307,0.0756,-0.5752,-0.0765,-0.0787,-0.861,0.5502,-0.2753,0.2965,4.2426,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4616,-0.1338,-0.5242,-0.6892,-0.0754,0.3279,-0.1152,-0.9373,-0.0621,-0.1614,0.5629,3.7188,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2102,-1.242,-1.5145,-1.1302,-0.2802,0.4966,-0.6006,0.0093,0.0205,0.1886,1.0145,3.4489,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6384,0.7033,-0.4615,-1.2393,-0.8066,-0.6924,-0.2783,0.4093,-0.7599,0.0211,0.3052,0.3288,0.7267,1.3128,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4584,-0.2211,-1.18,-1.1661,-0.092,-0.1394,0.1501,0.6641,-0.2535,0.0979,0.1856,0.0905,0.6006,1.9762,0.9558,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2945,0.5496,-0.1975,0.2876,-0.5464,-0.8981,-0.0525,-0.9577,-0.3779,0.3532,-0.5504,-0.2214,0.4843,-0.3672,-0.1886,-0.0846,0.2425,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.8824,-0.4929,0.1032,-0.3869,0.0686,-0.8287,-0.413,-0.5888,-0.4633,0.4013,-0.74,-0.057,0.1072,-0.5213,-0.3957,-0.5785,0.8839,,,,,,,,,,,,,,,,
,,,,,,,,,-0.9648,-0.5671,-0.2165,0.2208,-0.262,-0.5692,-0.4999,-0.1925,-0.5846,-0.4241,-0.7964,-0.4948,-0.1042,0.2082,-0.15,0.0506,-2.0845,-0.8787,1.3249,,,,,,,,,,,,,,,,
,,,,,,,,0.2732,-0.5087,-1.6141,-0.0549,0.5839,-0.0964,-0.7746,-0.2408,0.4571,-0.6328,-0.3623,-0.2551,-0.2803,-0.3649,0.4275,-0.2684,-0.2408,-2.5371,-1.2646,-0.8651,,,,,,,,,,,,,,,,
,,,,,,,-0.0595,0.8477,0.3462,0.0354,-0.3069,0.8982,-0.869,0.4024,0.3148,0.9399,-1.4015,-1.1799,0.1074,-0.4384,-0.7041,0.0282,-0.2165,0.2216,-2.0122,-1.4302,0.9847,-1.1098,,,,,,,,,,,,,,,
,,,,,,0.1638,0.2046,0.6131,-0.7185,-0.9136,0.3166,1.3723,-0.9481,0.5019,0.477,0.296,-1.4086,-1.4426,-0.4136,-0.9314,-0.3983,-0.7664,-0.9034,0.6704,-1.2265,-0.2689,0.3528,-0.8254,,,,,,,,,,,,,,,
,,,,,,0.9366,-0.7007,0.6674,-0.5847,-0.6855,0.2106,1.1216,-0.7747,0.8099,0.3012,-0.2447,-1.832,-2.234,-0.7028,-0.3799,-0.2933,-1.1577,-0.688,0.4953,1.5421,1.2188,-1.0886,-0.4217,,,,,,,,,,,,,,,
,,,,,0.196,0.9494,-0.1834,0.5302,-0.7602,0.101,0.1896,0.3804,-0.5377,-0.0325,0.513,-0.8783,-1.5055,-2.6663,0.6982,0.3974,-0.4666,-0.566,-0.1652,0.3054,1.8843,1.2686,-1.4322,-0.7221,,,,,,,,,,,,,,,
,,,,-0.0194,0.4007,-0.1074,0.6116,1.1179,-0.5502,-1.3846,0.2164,0.5921,-0.9324,-0.0846,-0.4137,-1.0578,-1.4862,-2.2677,1.6446,1.3944,-0.2285,-0.7135,-0.5648,0.3679,1.1872,0.5163,-0.6662,0.045,-1.1711,,,,,,,,,,,,,,
,,,,0.8621,0.1716,0.9533,0.4723,1.4212,-0.3668,-0.9216,-0.9302,-0.4927,-0.8917,-0.0169,-0.424,-1.007,-0.1824,-0.8721,2.0277,0.8823,-0.1008,-0.879,-0.1055,-0.003,0.5108,1.0705,-0.578,-1.0283,-2.1862,,,,,,,,,,,,,,
,,,,0.8918,0.7286,0.8975,0.7121,1.3016,-0.1896,-0.2562,-0.271,0.3375,-0.9266,-0.1588,0.0692,-0.1917,0.441,0.4092,0.5636,0.9738,-0.3446,-0.9507,-0.7202,-0.8708,0.3536,1.1063,-0.2513,0.4976,-2.3868,,,,,,,,,,,,,,
,,,0.4809,0.5518,1.5117,0.4038,1.4822,0.7997,0.0191,0.5116,-0.5695,-0.2906,-0.826,0.0897,-0.0059,0.5782,-0.0942,-1.4736,-0.451,-0.1808,-2.1258,-1.7482,-0.4976,-0.9368,0.5602,1.6745,0.9973,0.5298,-2.468,,,,,,,,,,,,,,
,,,0.6488,1.253,1.1465,0.6504,1.2509,1.2296,0.6169,-0.8249,-0.2569,-0.1733,-0.1312,-0.3985,-0.5011,0.5374,-1.1237,-2.8478,-2.2346,0.5407,-0.7644,0.0874,1.5368,-0.3117,0.2994,1.9624,0.5594,1.1524,-3.3266,0.1493,,,,,,,,,,,,,
,,-0.5536,1.103,1.3068,0.0762,0.012,0.0251,1.0755,0.45,0.3781,-0.5727,-0.1213,0.9296,-0.4203,-0.4261,-0.3685,-0.4489,-1.1854,-3.5882,0.2694,1.5482,0.8313,1.0256,0.4033,1.3137,1.5318,0.2784,0.9891,-2.5918,-0.1532,,,,,,,,,,,,,
,,-0.6215,0.9488,2.3783,-0.3004,0.0739,1.2326,1.1192,-0.7868,-0.5961,-0.413,0.0396,0.9388,-0.5483,-0.6183,-0.2532,0.5095,0.0108,-0.8089,0.1505,0.9957,0.323,0.7917,0.4942,0.9888,1.4076,0.6619,1.8461,-0.3956,-2.2207,,,,,,,,,,,,,
,,-0.3643,1.0696,1.3902,-0.2051,0.3393,0.3772,0.3145,-0.4346,-0.6817,-0.3803,0.3098,0.8707,-1.3549,-0.5136,-0.3432,1.0186,-0.5016,-0.026,0.4698,0.5584,0.5221,0.8246,1.0235,0.8595,0.8343,0.2489,0.339,-1.6826,-1.0529,,,,,,,,,,,,,
,0.1592,-0.537,1.9551,1.0754,0.329,0.6936,0.4608,0.3256,-0.5224,-0.2876,-0.3778,0.024,0.3961,-0.884,-0.0162,0.7096,0.9394,-0.6426,-1.07,0.0719,0.0336,0.8256,0.8113,1.2124,0.575,0.9632,-1.1586,-0.1758,-1.2452,-2.3556,,,,,,,,,,,,,
,-0.3069,-0.276,1.2554,0.5681,-0.8386,-0.1226,0.2854,0.7789,-0.2711,-0.5093,-0.1504,-0.1472,0.266,-0.9969,-0.0147,0.6523,1.0101,-0.7196,-1.78,-0.3307,0.1062,-0.8036,0.5596,0.2517,-0.9235,-0.3461,-0.3436,-0.6905,-1.3687,-3.3177,,,,,,,,,,,,,
,0.7757,-0.2672,0.8596,1.1443,-1.4724,-0.1417,0.2231,0.3496,0.0142,-0.5381,-0.3792,-0.4418,0.6438,-0.0557,-0.2326,0.6417,0.803,-1.2796,-0.6656,-1.1521,-0.8908,0.0916,1.003,0.2287,0.294,-0.4778,0.154,-0.9553,0.2627,-1.4223,,,,,,,,,,,,,
,0.7333,-1.0357,0.2037,0.7152,-0.4506,0.3177,-0.1667,0.3836,-0.9576,-0.8014,-0.579,-0.6818,0.4587,-0.8151,0.0702,0.7268,0.6174,-1.9235,-0.2132,-1.2908,-1.0893,-0.7886,0.1491,-0.0681,0.3183,-0.5182,-0.2346,0.0044,0.3421,-4.7645,,,,,,,,,,,,,
,1.1574,0.0647,0.1782,0.1271,-0.5567,0.9019,0.0455,0.4204,-0.7048,-1.7557,-0.6052,-0.6877,0.7306,-0.3108,-0.1436,0.2918,1.2311,-0.6182,-0.0323,-0.7236,-0.8344,-1.0215,0.9822,-0.7693,0.0236,-0.3806,-0.1196,0.1,0.3944,,,,,,,,,,,,,,
0.1894,0.9033,0.2222,0.1235,0.4032,-0.707,0.3896,0.3342,0.3018,-0.0804,-0.6986,-0.766,-0.8211,0.7004,-0.1826,-0.8005,0.391,1.4754,-0.3162,0.5519,-0.2373,-0.2864,-1.3529,0.2381,-0.1583,-0.5931,-0.2023,0.0109,0.4708,0.0616,,,,,,,,,,,,,,
