,,,,,,,,,,,,,,,,,,,,,0.679,0.4095,0.4008,0.5409,-0.154,-0.473,-1.093,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0888,1.1784,0.6114,1.1797,0.958,0.4262,0.3266,0.7549,0.114,-0.3511,-0.8447,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.0463,0.7143,0.0546,1.1665,1.295,0.5912,0.9235,0.793,-0.0211,0.3917,-0.7759,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3545,0.2592,0.128,0.9876,0.6429,1.1027,1.2233,0.9107,1.1446,0.2884,0.6486,0.7077,-0.4883,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0001,0.0374,-0.0065,0.8432,0.419,1.2475,1.2454,1.0692,0.4451,0.0926,1.2498,0.9184,0.0795,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1539,-0.4808,0.5647,0.7249,0.19,1.1576,1.0585,1.0408,0.3876,0.0996,0.7127,0.5406,0.3398,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.6951,0.3032,0.517,0.6018,0.4023,0.8056,0.467,1.5198,1.1651,0.7316,0.7501,0.454,0.3301,0.2116,-0.5215,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7504,1.3943,1.0831,0.8139,0.5977,0.8648,0.8413,0.8531,1.1123,0.6284,0.9333,0.1274,-0.338,-0.2046,-0.9308,-1.1787,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0564,0.494,0.9561,1.3166,1.3776,0.9582,1.5236,1.1707,1.3486,1.0542,0.5701,0.2823,0.9424,0.4165,0.1164,-0.2217,-0.4927,-0.8586,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0021,0.3324,1.2224,1.4547,1.4029,1.4401,1.3659,1.2178,1.8572,1.365,0.8772,0.4102,0.5761,0.6085,0.0006,0.1853,-0.0261,-0.8093,,,,,,,,,,,,,,,
,,,,,,,,,0.1376,-0.0209,0.2072,0.46,1.3038,1.0056,1.7246,1.8953,1.3196,0.9536,1.3221,1.5693,0.9156,0.6267,1.1812,0.2948,-0.0883,1.1154,0.4996,-0.2945,,,,,,,,,,,,,,,
,,,,,,,,0.1443,0.2035,-0.516,0.628,0.8345,1.1811,1.3565,1.7472,1.4566,0.6956,0.6236,0.8553,1.302,0.8974,0.2615,0.883,0.5167,0.3274,0.7077,,,,,,,,,,,,,,,,,
,,,,,,,-0.376,-0.3109,0.3177,-0.5176,0.8472,0.9889,1.0449,0.9386,1.0558,1.3032,0.5346,0.3784,0.5911,0.9993,1.762,0.9236,0.5048,1.056,0.3398,1.3528,,,,,,,,,,,,,,,,,
,,,,,,-0.4246,-0.3356,0.1541,-0.0861,-0.324,1.1728,1.562,1.2242,1.3106,0.6895,0.8694,0.8741,0.5333,1.0716,1.743,1.9402,1.7316,1.6527,1.3757,0.4689,0.6686,,,,,,,,,,,,,,,,,
,,,,,,-0.3954,-0.3636,0.113,-0.2739,-0.1851,1.3253,1.6784,1.3734,1.6215,0.6577,0.4631,0.9475,1.0917,2.187,1.8952,2.5109,2.5678,2.4847,1.6646,1.0104,1.0248,,,,,,,,,,,,,,,,,
,,,,,0.0104,-0.3028,-0.679,0.1334,-0.3038,0.3706,1.195,0.9748,1.2267,1.1112,0.8301,0.2169,1.6448,2.3124,2.5241,2.1554,1.7913,2.0003,2.3816,1.1716,0.5466,1.0196,-0.5432,,,,,,,,,,,,,,,,
,,,,-0.4864,0.206,-0.6184,-0.5114,-0.3321,0.3436,0.3605,0.83,1.0282,0.948,1.0897,0.7071,0.6514,2.3383,2.3722,2.7176,2.2252,1.8871,1.341,1.2511,1.0151,0.6083,0.7998,-1.0523,,,,,,,,,,,,,,,,
,,,,-0.5356,-0.609,-0.6816,-0.5771,-0.2886,0.5024,0.4361,0.2254,0.5417,0.1826,0.7808,0.6876,1.7824,1.8891,2.1073,2.2489,2.1863,1.5733,0.9256,0.915,0.7629,0.1233,0.3765,,,,,,,,,,,,,,,,,
,,,,-0.7799,-1.2569,-0.8902,-0.6579,-0.1906,-0.0766,0.0307,-0.44,0.2279,0.3804,0.68,-0.0358,1.4346,0.797,0.9788,1.1205,1.3325,1.0788,0.5748,0.7809,0.454,-0.0485,0.1149,,,,,,,,,,,,,,,,,
,,,-0.7377,-0.5833,-0.9785,-0.2597,-0.6077,-0.2962,-0.1719,-0.1671,-0.1914,-0.1352,0.1307,0.457,-0.5981,0.4419,0.1553,0.633,0.4179,0.6891,0.7481,0.4083,1.109,0.2509,0.1618,-0.0226,,,,,,,,,,,,,,,,,
,,,-0.4778,-0.7139,-0.9645,-0.3615,-0.731,-0.6939,-0.2526,-0.455,-0.137,-0.273,-0.383,-0.2933,-0.5595,-0.2392,-0.3407,-0.2038,-0.2482,0.1839,0.7634,0.8188,0.9271,0.1147,0.0481,-0.2256,,,,,,,,,,,,,,,,,
,,-0.6007,-0.747,-0.6169,-0.8924,-0.1841,-0.6014,-0.7956,-0.5206,-0.4078,-0.2339,-0.3185,-0.5397,-0.7651,-0.3453,0.0288,-0.4713,-0.4984,-0.592,-0.2272,0.8135,0.8584,0.4685,0.1456,0.0586,0.2231,,,,,,,,,,,,,,,,,
,,-0.6058,-0.3976,-0.6054,-0.7052,-0.4848,-0.635,-0.6443,-0.6169,-0.5103,-0.261,-0.4482,-0.6296,-0.8956,-0.2551,-0.0747,0.032,-0.4577,-0.7334,0.0819,1.4402,0.9305,0.5606,0.09,-0.3425,-0.2044,,,,,,,,,,,,,,,,,
,,-0.576,-0.473,-0.6518,-0.5774,-0.7012,-0.7043,-1.1072,-0.3687,-0.6317,-0.525,-0.8873,-0.6489,-0.6328,-0.5319,-0.1489,-0.1852,-0.5029,-1.019,0.2793,1.9191,0.5466,0.7619,0.1493,-0.312,0.502,,,,,,,,,,,,,,,,,
,-0.458,-0.5088,-0.3764,-0.741,-0.8327,-0.8197,-0.6852,-0.7812,-0.4137,-0.1811,-0.3249,-0.8194,-0.5549,-0.7099,-0.5655,-0.2052,-0.6126,-0.8105,-0.2866,1.0334,1.7082,0.2844,0.6244,-0.0093,-0.4586,,,,,,,,,,,,,,,,,,
,-0.5106,-0.5931,-0.5236,-0.5194,-0.5916,-0.6028,-0.6301,-0.9444,-0.7536,-0.613,-0.3728,-0.7406,-0.7549,-0.6746,-0.6714,-0.5276,-0.6292,-0.6279,0.2691,1.0534,0.7606,-0.1197,0.3364,-0.3358,-0.6022,-0.1537,,,,,,,,,,,,,,,,,
,-0.8267,-0.8711,-0.4397,-0.5486,-0.8808,-0.8957,-0.7205,-0.9329,-0.7035,-0.6754,-0.6324,-0.8889,-0.5831,-0.6828,-0.4346,-0.5632,-0.4918,-0.2666,0.0348,0.1478,0.1973,0.0848,0.049,-0.201,-0.6069,-0.7338,,,,,,,,,,,,,,,,,
,-0.9544,-0.8228,-0.3312,-0.502,-0.7701,-0.8936,-0.7518,-0.9382,-0.8673,-0.7518,-0.6925,-0.8349,-0.5257,-0.7536,-0.5626,-0.772,-0.4216,-0.181,-0.0292,-0.1658,-0.2286,-0.1138,-0.4736,-0.7941,-0.6909,,,,,,,,,,,,,,,,,,
,-0.9551,-1.0131,-0.4718,-0.525,-0.6296,-0.8172,-0.7334,-1.094,-0.9943,-0.7646,-0.8931,-0.968,-0.9187,-0.6939,-0.4941,-0.7061,-0.5854,-0.2176,0.0888,-0.2806,-0.2319,-0.7541,-0.3678,-0.4623,-0.5273,,,,,,,,,,,,,,,,,,
-0.6069,-0.8221,-0.9313,-0.4804,-0.877,-0.7426,-0.864,-0.8797,-1.0418,-1.034,-0.9272,-1.0693,-1.1973,-0.8665,-0.5949,-0.7574,-0.9572,-0.7086,-0.1475,-0.2186,-0.399,-0.8126,-1.0318,-0.2822,-0.4931,0.0765,,,,,,,,,,,,,,,,,,
-0.7606,-0.8781,-0.8878,-0.7178,-0.9928,-0.6016,-0.9729,-0.9874,-1.01,-0.8531,-1.2304,-1.0571,-1.2046,-0.9303,-0.7328,-0.9468,-0.7512,-0.5974,0.2566,-0.0903,-0.391,-0.9301,-0.9476,-0.6796,,,,,,,,,,,,,,,,,,,,
-0.8698,-0.8053,-0.9202,-0.9298,-1.1488,-0.8425,-0.8333,-0.8589,-1.2817,-1.0227,-1.1151,-1.0177,-1.1861,-0.7833,-0.9798,-0.8356,-0.8789,-0.4647,-0.4758,-0.525,-0.4152,-0.3295,-0.4281,-0.2922,,,,,,,,,,,,,,,,,,,,
-0.8118,-0.7756,-1.2136,-0.84,-1.1625,-1.052,-0.8762,-0.899,-1.2196,-1.1544,-1.208,-1.1299,-1.3351,-0.9632,-0.8949,-0.5288,-0.4436,-0.559,-0.2874,-0.8588,-0.5738,-0.4307,-0.4812,-0.1992,,,,,,,,,,,,,,,,,,,,
-0.6488,-0.6213,-1.0192,-0.8142,-1.2386,-1.099,-0.9915,-1.0159,-1.1386,-1.1936,-1.1583,-1.1154,-1.1196,-0.9845,-0.8271,-0.3318,-0.4285,-0.4305,-0.4779,-0.6679,-0.4196,-1.0966,-0.9436,-0.2624,,,,,,,,,,,,,,,,,,,,
-0.6238,-0.5355,-0.862,-0.7361,-1.0692,-1.2605,-0.9035,-1.294,-1.4158,-1.2605,-1.0275,-0.8882,-0.9456,-0.6376,-0.8065,-0.4164,-0.4426,-0.3094,-0.608,-0.7081,-0.0651,-0.7138,-0.432,-0.5805,,,,,,,,,,,,,,,,,,,,
-0.5221,-0.5745,-1.0815,-1.0229,-1.1632,-1.3351,-0.8275,-0.9791,-1.144,-0.9487,-0.7458,-0.8211,-0.8024,-0.4255,-0.7792,-0.3587,-0.4816,-0.4238,-0.5312,-0.6616,0.0181,-0.3411,-0.2775,-0.2998,,-0.2302,-0.4555,-0.78,,,,,,,,,,,,,,,,
-0.6107,-0.6959,-1.176,-0.9939,-1.041,-1.3362,-0.2315,-0.8322,-0.9663,-0.7378,-0.8852,-1.1006,-0.9678,-0.6281,-0.6615,-0.6581,-0.6876,-0.3288,-0.5374,-0.5521,-0.3705,-0.3578,-0.1628,-0.2069,-0.8699,-0.3907,-0.1196,-0.7142,,,,,,,,,,,,,,,,
-0.5449,-0.1461,-0.9087,-0.9282,-1.2003,-1.2319,-0.7116,-1.0158,-0.8839,-0.9354,-1.111,-1.231,-1.0415,-0.9788,-0.6486,-0.6696,-0.8735,-0.5264,-0.5754,-0.4411,-0.192,-0.7055,-0.1304,-0.0398,-0.5498,-0.4699,-0.3685,-0.5115,-1.8141,,,,,,,,,,,,,,,
-0.3682,-0.0402,-0.4204,-0.8543,-0.6247,-1.1613,-0.8141,-1.0547,-1.2389,-0.9806,-1.3189,-0.9891,-0.9589,-1.1097,-0.8914,-0.6745,-0.8448,-0.5996,-0.7157,-0.6939,-0.2258,-0.3077,-0.205,-0.5907,-0.7953,-0.6668,-0.4495,-0.7725,-1.4345,,,,,,,,,,,,,,,
-0.3429,-0.221,-0.6461,-0.2146,-0.7866,-1.2246,-1.16,-1.2594,-1.0944,-0.7802,-1.2381,-1.0187,-1.0776,-1.1858,-1.139,-0.9518,-0.9336,-0.8652,-0.7417,-0.6636,-0.3604,-0.6028,-0.103,-0.7323,-0.7958,-0.5991,-0.6479,-0.0032,-1.236,-0.4971,,,,,,,,,,,,,,
