,,,,,,,,,,,,,,,,,,,,,0.3743,0.8322,0.568,0.3531,-1.677,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.8066,-2.488,-0.2213,-0.09085,0.7621,1.043,0.4161,-0.00282,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.8995,-0.3493,0.6718,0.3331,0.4153,0.9811,0.2217,-0.1335,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.5018,-0.5797,-1.063,-0.6677,0.1208,-0.3649,0.5575,1.35,0.1043,-0.4929,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.1744,0.5581,-0.03753,-0.4077,0.4782,-0.9039,0.6489,1.224,-0.3507,0.09964,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4711,-0.8685,-0.6351,-0.3983,0.9816,0.1954,0.859,1.068,-0.01328,0.04937,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.396,-0.3419,-0.05865,-0.5998,-0.3472,-0.4719,0.778,1.154,0.09004,0.7687,0.4096,-0.3871,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.3581,-0.4174,-0.3311,-0.3553,-0.1531,-1.127,0.0664,0.572,-0.09648,0.5585,-0.3874,-0.1986,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.8298,-0.5464,-1.089,-0.8304,-0.6487,-0.4236,-0.05818,-0.6708,0.4604,0.3507,0.5638,1.167,-0.4894,0.1615,0.3101,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.4374,-0.585,-0.4938,-0.536,-0.3621,-0.2866,-0.05165,-0.6805,0.6975,0.6725,1.738,1.039,-0.08408,0.6455,-0.03458,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.2031,-1.199,-0.2946,-0.5524,-0.4543,0.1638,0.2891,-0.2492,0.0013,-0.07678,0.768,0.971,0.5428,1.231,0.1237,1.048,0.7441,0.6177,,,,,,,,,,,,,,,,,
,,,,,,,,-0.8813,0.01327,-0.9959,-0.8109,-0.3395,-0.3804,0.0948,0.7478,0.3034,0.2881,0.1645,0.5021,0.9456,1.18,1.169,0.4274,0.7467,0.5913,0.5904,,,,,,,,,,,,,,,,,
