,,,,,,,,,,,,,,,,,,,,,0.3096,0.028,-0.0231,0.2411,-0.3473,-1.0773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.9519,1.3074,0.2357,0.3869,0.2376,-0.2903,0.0612,-0.0277,-0.2539,-0.9842,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.2474,0.8984,-0.1972,-0.07,-0.0808,-0.3821,0.2952,0.0029,-0.4812,-0.8829,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.9026,1.9017,0.6688,0.138,-0.3864,-0.0209,0.2414,0.5428,0.6982,0.5158,-0.1006,-0.7497,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.2429,1.2988,0.4587,0.1659,-0.399,0.0232,0.1107,0.5056,0.9184,0.6056,-0.0528,-0.1282,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.5993,1.3425,0.6298,0.3509,-0.1849,0.3593,0.6756,1.098,1.0765,0.8903,0.3555,0.2154,0.3185,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.9562,2.4491,1.5393,1.0182,0.783,0.679,0.3244,0.9851,0.9761,1.3892,1.1828,1.0429,0.6886,0.1892,0.4149,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.4585,3.235,1.4833,0.8078,1.1097,0.8625,0.9298,1.3186,1.5675,1.1532,1.4219,1.0522,0.6071,0.184,0.4275,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.2745,1.4264,2.1788,3.1194,1.4746,1.2691,1.4958,1.1325,1.3884,1.8206,1.9679,1.1737,1.2186,1.1876,0.3894,0.2386,0.1246,0.0261,,,,,,,,,,,,,,,
,,,,,,,,,,,1.5502,2.028,2.4255,2.8338,1.7106,1.5395,1.6682,1.3898,1.9367,2.042,1.716,0.8776,0.6424,0.8184,0.7339,0.1324,-0.4452,-0.4441,,,,,,,,,,,,,,,
,,,,,,,,,0.653,0.524,2.2823,2.5758,2.3545,1.7656,1.5531,1.5228,1.6927,1.8268,1.8053,2.1372,1.6331,0.7703,0.293,0.9176,0.5151,0.0198,-0.8096,-0.9173,,,,,,,,,,,,,,,
,,,,,,,,0.4029,0.7111,0.6891,2.3945,2.5496,1.6983,1.2526,1.4395,2.0276,2.283,2.1601,2.0383,1.7944,1.7075,0.821,0.2825,0.7403,0.3662,-0.0937,-0.5009,0.4006,,,,,,,,,,,,,,,
,,,,,,,-0.5603,0.6985,1.4705,1.8312,2.3044,2.2444,1.7867,1.2502,1.322,1.8763,2.132,2.288,1.5483,1.5631,1.2618,0.5402,0.3255,0.3205,0.3159,-0.0461,-0.5228,-0.2966,-1.3189,,,,,,,,,,,,,,
,,,,,,-0.1808,0.0835,1.0571,2.0566,1.9585,2.1667,1.8336,1.9531,1.273,1.1862,1.8075,1.9686,1.8184,1.502,1.2059,1.3175,0.5013,0.2812,0.3053,0.4068,0.0334,-0.4912,-0.6267,-2.6311,,,,,,,,,,,,,,
,,,,,,-0.1836,0.554,0.5437,1.3783,1.6714,1.726,1.5079,1.4121,1.0082,0.9067,1.8029,1.6226,1.3548,1.2789,1.2687,1.3237,0.5631,0.1724,0.2522,0.2354,0.2302,-0.1677,-0.5728,-1.5381,,,,,,,,,,,,,,
