,,,,,,,,,,,,,,,,,,,,,-0.0881,0.8057,1.8135,0.5432,-0.7095,-0.9013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-1.07,-0.914,-1.042,-0.7044,-0.929,-0.4042,0.9715,-1.1096,1.5606,0.6076,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-1.6228,0.3014,-0.8086,0.2982,-0.717,-0.0397,0.071,0.6552,0.3617,-0.5136,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.337,-0.7806,-0.9576,-0.0781,-1.7825,-0.3081,-0.2207,-0.7922,-0.9864,0.5241,-0.6403,-0.8765,2.0018,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.3542,-0.7696,-1.2152,-0.5599,-0.7535,-0.397,-0.5636,-1.1427,-0.4077,-0.4809,-0.62,-0.4325,0.88,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0174,-0.3562,-0.6056,-0.2973,-1.912,0.4925,-1.1113,-0.9814,-0.2678,0.0453,0.9906,0.5742,0.5436,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.2879,-0.5347,-0.4463,-0.6751,-0.7313,0.0631,-1.5054,0.3374,0.6504,-0.0839,0.3518,0.0187,1.0604,0.8526,1.2008,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6731,-0.7082,-0.3856,0.1202,-1.2971,-0.6536,-1.0678,0.3094,0.9367,0.1239,0.5923,-0.0769,1.0845,0.8877,0.6861,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0255,-0.3667,-0.7263,-1.0229,-0.7882,-0.1216,-1.4138,-0.5254,-0.3762,0.1383,0.3918,0.5649,0.789,0.1625,0.3199,0.8505,-0.0349,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0897,-0.7822,-0.7648,-0.9826,-1.0867,-0.7807,-0.7637,0.1523,-0.4691,-0.001,0.7894,0.2072,0.9905,0.6756,0.2332,0.6396,-0.6083,2.378,,,,,,,,,,,,,,,
,,,,,,,,,-1.1855,-0.5646,0.3157,-0.2954,-0.2726,0.2548,-1.1155,-1.0398,0.4423,0.7072,-0.5841,0.4701,1.2026,0.377,1.5818,1.2262,0.3258,0.4947,0.3745,,,,,,,,,,,,,,,,
,,,,,,,,-0.2171,-0.6741,-0.4592,-0.294,-0.5896,0.6187,-0.5926,-0.9209,-0.83,0.809,0.8335,0.0913,0.6689,1.0183,0.2828,0.6531,1.2077,0.6639,0.841,-0.8056,-0.702,,,,,,,,,,,,,,,
,,,,,,,-0.6606,-0.9902,0.2208,0.6155,-0.3619,-0.4958,-0.1006,-0.776,-1.0117,-0.0636,0.8096,0.827,0.2317,1.1545,0.4419,0.0408,0.124,-0.1299,-0.5203,0.8436,-0.6462,-0.8279,,,,,,,,,,,,,,,
,,,,,,0.3682,-0.1041,-1.295,0.221,-0.7275,-0.2871,-0.6797,-0.0637,-0.451,-0.5817,0.2936,0.3433,0.1237,-0.3747,1.1702,0.0036,-0.1876,0.4058,-0.0978,-0.243,0.017,-0.2084,-0.7971,,,,,,,,,,,,,,,
,,,,,,0.7306,0.2123,-0.8513,0.8728,-0.1195,-0.4177,-0.7386,-0.0502,-0.0354,-0.3454,0.6838,0.3763,0.429,0.2621,0.9996,0.4524,-0.0114,0.235,1.2763,-0.3698,-0.2981,-0.4575,0.5352,,,,,,,,,,,,,,,
,,,,,0.1992,0.3365,-0.5097,-0.2169,-0.0381,-0.0055,-0.4455,-0.1462,0.5771,0.7591,-0.5154,-0.3105,0.3462,0.7766,0.8573,1.2376,0.896,-0.1158,0.2646,1.415,-0.2755,-0.7112,-0.9752,0.694,,,,,,,,,,,,,,,
,,,,0.1968,0.2781,0.5357,-0.1163,0.3019,0.1414,0.0313,-0.5818,0.2172,0.6771,0.4799,-0.2604,-0.1167,-0.2764,0.2875,1.2159,1.2032,0.736,0.2697,0.1019,0.7532,0.0868,-0.6622,0.3143,-1.9714,,,,,,,,,,,,,,,
,,,,0.1613,-0.0439,0.5636,0.2949,0.5294,-0.1905,-0.0597,0.038,0.6913,1.0757,0.1904,-0.0334,0.057,-0.8055,-0.6221,-0.3509,1.0731,0.5955,-0.4265,-0.3652,1.0422,-0.2986,-1.07,0.8725,-0.9046,,,,,,,,,,,,,,,
