,,,,,,,,,,,,,,,,,,,,,0.0521,0.5224,0.9406,0.4551,0.5054,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.169,-0.827,-0.2651,-0.5764,0.6475,0.7693,0.2708,0.066,-0.2016,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.6055,-1.0238,-0.4265,-1.7612,0.4074,0.1085,0.1214,-0.0508,0.4676,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4342,0.3122,-0.9879,-0.4195,0.565,-1.4209,0.3579,0.2216,-0.4106,-0.009,-0.1489,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-1.3042,-0.1931,-1.2591,-0.9445,-0.1259,-0.2132,0.635,0.2278,-0.2962,-0.3038,-0.4112,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.9548,-0.0624,-0.9109,-1.214,-0.6326,-0.18,0.4818,0.4274,0.6219,-0.3825,-0.2665,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1442,-0.4256,-0.5061,-0.9691,-0.7877,-1.4846,-0.2769,-0.1543,0.3393,-0.286,0.4199,-0.0543,0.6278,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1996,-0.2439,-0.4841,-0.3611,-0.5004,-1.2152,0.6997,0.1421,0.1872,-0.2619,0.3176,0.0158,0.4954,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7619,0.8713,0.4473,-0.2265,-0.9308,-0.3765,-0.2192,-1.0938,0.6462,-0.161,0.4922,-0.4861,0.5458,-0.0058,0.5531,-0.6498,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.1498,1.0343,0.0481,-0.5872,-1.0175,-0.4847,-0.2013,-0.7702,0.8664,-0.1793,0.5228,-0.1619,0.6587,-0.5871,0.6939,0.1486,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0089,-0.0342,1.0401,0.5921,0.0526,-0.5846,-1.0406,-0.2576,0.0469,-0.5426,1.138,0.0039,0.0643,-0.2996,0.4526,-0.4069,1.167,-0.2025,,,,,,,,,,,,,,,,,
,,,,,,,,0.4603,-0.2067,0.473,0.6687,0.6136,-0.1077,-1.1486,-0.5769,0.5628,0.2719,-0.351,0.8424,0.4009,0.4449,1.1007,0.347,0.3391,1.2389,0.1195,,,,,,,,,,,,,,,,,
,,,,,,,0.495,0.2528,-0.0936,0.2255,0.8129,0.3963,0.1718,-0.6097,-0.4426,0.9221,0.2591,0.1518,0.6556,0.6615,0.92,0.9973,0.5363,1.766,0.8788,0.7594,,,,,,,,,,,,,,,,,
,,,,,,0.7593,-0.2732,1.0528,-0.0896,0.3323,0.8537,0.4536,0.1018,-0.2687,-0.5567,0.4656,0.4166,0.1195,0.1748,0.4966,1.0159,0.6409,1.5144,2.4226,1.5215,0.1165,,,,,,,,,,,,,,,,,
,,,,,,-0.1072,-0.2837,0.3255,-0.3081,-0.1088,0.1894,0.2055,-0.0881,-0.0746,-0.8599,0.2616,0.3766,1.014,0.7016,0.8618,1.0598,0.4743,1.0549,2.77,1.6816,0.4843,,,,,,,,,,,,,,,,,
,,,,,0.2954,0.0074,-0.1813,-0.1731,0.4367,-0.4014,-0.3341,-0.291,-0.083,-0.1037,-0.4694,0.6407,1.2669,0.7113,1.6846,0.8173,1.3453,0.4446,2.0589,1.3926,1.0651,0.5454,,,,,,,,,,,,,,,,,
,,,,0.8158,-0.0157,0.1593,-0.0239,0.1119,0.6363,0.0519,-0.6986,-0.8004,-0.4562,-0.1548,-0.0103,0.8803,1.2372,0.2936,1.9926,1.7963,1.3188,0.7313,2.0443,1.3356,-0.1869,1.3041,,,,,,,,,,,,,,,,,
,,,,0.3598,-0.661,-0.3374,0.2768,0.0496,-0.0937,-0.1871,-0.6367,-0.8557,-0.5302,-0.3386,0.7887,0.7443,1.373,0.5525,2.1869,2.9121,1.1781,1.4622,2.2975,1.5325,1.3035,1.0448,,,,,,,,,,,,,,,,,
,,,,0.1791,-0.5685,-0.2134,0.1137,-0.3588,-0.4959,-0.2748,0.0876,0.2681,-0.5469,-0.353,1.0494,1.4991,1.7956,1.467,2.5822,3.5179,1.6913,2.004,1.984,1.2809,0.7695,1.5849,-1.3275,,,,,,,,,,,,,,,,
,,,0.8028,-0.4496,-0.4148,-0.1263,-0.2693,-0.1198,-0.6336,-0.0002,0.5768,0.6969,0.2526,0.5909,0.973,3.4645,2.2388,2.5549,1.8752,1.8595,2.7529,2.8289,2.4118,0.0157,1.6366,0.4356,-1.1018,,,,,,,,,,,,,,,,
,,,0.176,-0.6839,-0.7069,-0.0981,-0.2882,-0.5832,-0.6329,-0.3237,0.7621,1.1261,0.1127,0.283,0.3821,2.918,2.1778,1.879,0.7895,1.2063,3.2228,3.0322,2.2631,0.8706,0.422,-0.3207,0.2886,,,,,,,,,,,,,,,,
,,0.646,-0.1352,-0.3144,-0.4893,-0.1211,-0.2194,-0.715,-0.6467,0.1019,0.4524,0.6708,0.2217,-0.0918,0.9945,2.7943,2.1414,1.4002,0.3371,0.7845,3.5791,2.6314,2.1222,1.3361,0.3173,0.8706,0.3725,,,,,,,,,,,,,,,,
,,0.7142,0.0913,-0.6135,-0.6363,-0.3083,-0.0657,-0.4144,-0.5218,0.1826,-0.0084,0.3986,0.705,0.3444,1.4614,2.3126,1.978,1.4361,0.2644,1.1528,3.1111,1.7775,2.7115,0.7292,0.2145,1.2879,0.4042,,,,,,,,,,,,,,,,
,,0.1504,-0.039,-0.7616,-0.555,-0.1977,-0.0685,-0.07,-0.4824,0.285,0.0181,0.4476,0.6043,0.6112,1.0846,1.5043,1.2913,0.1719,0.2246,0.9871,0.8022,1.3584,1.4702,0.7643,0.0984,1.4081,0.9548,,,,,,,,,,,,,,,,
,0.0371,0.818,-0.0255,-0.3997,-0.3376,-0.14,-0.0159,-0.2523,-0.4346,0.1977,0.1186,0.4517,0.4194,0.1817,0.1664,0.9145,0.9854,-0.6576,-0.3119,-0.2275,-0.3171,0.7847,1.1419,0.6477,0.4444,1.4792,2.0344,,,,,,,,,,,,,,,,
