,,,,,,,,,,,,,,,,,,,,,-0.4598,-0.3701,0.0266,-0.6028,-0.3172,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.183,0.1749,-0.3709,-0.0344,-0.101,-0.8728,-0.0156,-0.0093,-0.2244,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.714,0.5934,0.4287,-0.0851,-0.2305,-0.8162,-0.0267,-0.1994,-0.3921,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1858,0.0923,-0.2703,-0.1932,0.3456,-0.1086,-0.6371,-0.3111,-0.1528,-0.1981,-0.0816,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0786,0.1388,-0.0339,-0.1126,-0.1838,-0.3926,-0.5489,-0.217,-0.5408,-0.4925,0.2891,-1.3264,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4708,-0.0624,-0.6037,-0.7332,-0.1816,-0.3876,-0.5503,-0.0447,-0.5696,-1.1831,-0.3256,-1.2007,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.0997,1.804,-0.5039,-0.0313,-0.6744,-0.3729,-0.0365,-0.1168,-0.1555,-0.0918,-0.6337,-0.3224,-0.5315,-1.6736,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.275,1.3969,-0.8391,-0.1336,-0.1426,0.0834,-0.0265,-0.3253,-0.1288,-0.3119,-0.1171,-0.3526,-0.4619,-1.1025,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0959,0.0317,-0.2621,0.7429,-0.6974,-0.3004,0.1194,-0.0021,-0.2133,-0.0762,-0.2265,-0.4115,0.01,-0.0402,-0.0963,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0838,0.0297,-0.0673,-0.2377,-0.6453,-0.3664,0.4995,-0.0893,-0.0976,-0.1856,0.1302,-0.0627,0.6298,-0.013,0.6049,-0.7887,,,,,,,,,,,,,,,,,
,,,,,,,,,0.2302,0.2116,0.351,0.1522,-0.0005,-0.4315,-0.2013,0.0989,-0.0767,0.2586,0.4386,0.0846,-0.2589,0.0829,0.2173,-0.2097,0.9579,0.2246,0.5941,,,,,,,,,,,,,,,,
,,,,,,,,0.165,-0.1857,-0.0658,0.1845,0.1047,-0.1318,0.2246,-0.0409,-0.0398,0.1416,0.2452,0.5309,-0.0351,-0.2698,-0.0178,0.5935,0.3216,0.8335,1.4206,1.528,,,,,,,,,,,,,,,,
,,,,,,,-0.4148,-0.3082,-0.2656,0.2439,0.2876,0.3502,0.1446,0.5103,-5.5248,-0.2535,0.6074,0.6664,0.641,0.0465,0.2483,-0.2093,0.3052,0.8136,1.2176,1.5898,0.308,1.0264,,,,,,,,,,,,,,,
,,,,,,-0.7895,-0.9375,-0.2342,-0.1187,0.1415,0.2846,0.2138,0.7311,0.1894,0.3326,-0.1096,1.3059,1.1115,0.5979,0.0787,-0.1318,-0.1484,0.0117,0.4582,0.9357,1.2916,0.5718,0.6798,,,,,,,,,,,,,,,
,,,,,,-0.3027,-0.1859,-0.5705,-0.2482,0.2676,0.2122,0.1885,0.3692,-0.004,0.1954,-0.0275,1.3378,1.0456,0.8058,0.3555,-0.0021,0.0203,0.2197,0.2337,0.841,0.7638,0.6408,0.5477,,,,,,,,,,,,,,,
,,,,,-0.8794,0.286,0.0907,-0.3883,-0.2151,-0.0694,0.1068,-0.0503,0.0699,0.1235,0.0517,0.2672,1.4472,0.8975,0.9752,0.9038,0.4396,-0.0365,0.4377,0.3112,0.4598,0.4417,0.79,-0.7418,,,,,,,,,,,,,,,
