,,,,,,,,,,,,,,,,,,,,,0.2427,0.1574,-0.0174,-0.0023,-0.4923,-1.0245,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.1892,1.2284,0.2911,1.2329,0.0717,-0.045,0.4439,0.1833,-0.5103,-0.87,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.5536,0.931,0.1007,0.3514,0.2159,-0.2186,-0.1242,0.3325,-0.7872,-0.9686,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.2953,1.513,1.7184,0.5834,-0.7412,0.0637,-0.2347,0.2926,0.2348,0.2816,-0.5595,-0.7329,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.6978,1.0246,0.8869,0.1273,-0.6278,0.0608,-0.5291,-0.0145,0.1802,0.2696,-0.5331,-0.6017,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.7441,1.5091,0.6565,0.1598,-0.6842,0.2088,0.3667,0.1189,-0.3018,0.1711,-0.403,0.1039,0.7398,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.1835,2.6088,2.1473,1.3532,0.7386,0.1391,0.2388,0.525,-0.0085,0.3484,0.1386,0.0352,-0.5143,0.0526,0.4855,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.8695,3.6814,1.7655,1.2365,0.89,0.1699,0.3399,0.571,0.2606,0.2458,0.0895,-0.1798,-0.5565,-0.1394,0.1129,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.5395,2.0849,2.9797,3.0314,1.7846,1.4204,0.904,0.5368,0.5042,0.999,0.4002,0.1758,-0.1735,-0.0721,-0.2696,-0.0375,0.2162,0.7385,,,,,,,,,,,,,,,
,,,,,,,,,,,2.4219,2.3169,2.637,2.622,0.9763,1.0293,1.1204,0.757,0.8468,0.788,0.4614,-0.1044,-0.5116,-0.1506,0.0112,-0.5298,-0.777,-0.4311,,,,,,,,,,,,,,,
,,,,,,,,,1.9968,1.7729,2.4657,2.9527,3.581,2.4368,0.7244,1.4388,0.805,0.9542,0.8396,1.0434,0.3585,-0.2411,-0.1377,-0.1471,0.2047,-0.1735,-0.8655,-1.0699,,,,,,,,,,,,,,,
,,,,,,,,0.6781,3.2628,2.2012,1.8504,2.3551,2.3409,1.7177,0.9601,1.5896,0.7986,1.0474,0.8358,1.3166,0.7974,-0.0467,-0.0132,-0.0969,-0.2956,-0.2778,-0.5556,0.1091,,,,,,,,,,,,,,,
,,,,,,,0.2903,2.004,2.5734,2.7446,1.9069,2.7172,1.536,1.4481,0.4907,0.2656,1.0524,0.8657,0.6524,0.7675,0.3652,0.3932,0.3665,-0.387,-0.1362,-0.4923,-0.4113,-0.3686,-0.3446,,,,,,,,,,,,,,
,,,,,,0.3951,0.995,2.2575,1.7202,2.017,1.7711,2.141,0.5712,1.0807,0.215,0.1605,1.124,0.447,0.1537,0.2058,0.4037,0.1716,0.1179,-0.5086,-0.2625,-0.3568,-0.0636,0.0747,-2.4398,,,,,,,,,,,,,,
,,,,,,0.9052,1.7506,1.9057,1.6872,1.5888,1.7748,1.3208,0.3169,0.3077,0.1713,0.3012,0.8274,0.0344,-0.0141,0.5238,0.3752,0.2196,-0.0402,-0.5532,-0.3704,-0.4484,-0.3176,-0.2734,-0.8456,,,,,,,,,,,,,,
,,,,,-0.2536,0.7489,1.1578,1.5577,0.9838,1.0955,1.2233,0.68,0.4971,0.0577,0.0541,0.7759,0.0241,0.1317,-0.2962,0.9322,-0.0101,-0.0366,-0.0273,-0.1054,-0.5099,-0.5502,-0.7343,-0.8725,-2.5823,,,,,,,,,,,,,,
,,,,0.064,-0.0011,0.2687,0.9649,1.2079,0.8578,1.5171,0.3039,0.2807,0.2067,0.3336,-0.3876,-0.1582,-0.5257,-0.2066,-0.2408,0.8697,0.1778,-0.039,-0.1116,-0.2201,-0.581,-0.5074,-0.8258,0.1253,-2.4896,,,,,,,,,,,,,,
,,,,0.1143,-0.5351,-0.3577,1.5668,0.6605,1.5766,2.111,-0.0138,0.3951,0.2782,0.1904,-0.4945,-0.5256,-0.3539,-0.4344,-0.4944,0.2626,-0.1297,0.0242,-0.271,-0.3775,-0.8165,-0.8022,-1.0097,-0.104,-1.6518,,,,,,,,,,,,,,
,,,,0.0924,-0.1634,0.2985,0.8179,0.8656,1.8126,2.1605,-0.1465,0.1174,-0.0554,-0.0004,-0.6999,-1.0127,-0.3444,-0.2742,-1.0588,0.072,-0.0632,-0.1932,-0.0766,-0.1873,-0.4188,-0.5548,-0.5902,0.5667,0.7127,,,,,,,,,,,,,,
,,,-0.1687,-0.0832,0.2788,0.9427,1.0316,1.3775,1.6708,0.8224,-0.729,-0.263,-0.12,-0.0838,-0.3845,-0.3726,0.0535,-0.1565,-0.5459,-0.1539,-0.2857,-0.1636,-0.3484,-0.1396,-0.332,-0.1331,-0.3254,-0.1951,-0.4484,-4.1372,,,,,,,,,,,,,
,,,-0.1007,-0.0069,0.1634,0.378,0.7602,0.6049,0.6924,0.1771,-0.6817,-0.383,-0.2159,-0.2448,-0.2438,0.3711,-0.1635,-0.2993,-0.6016,-0.1248,-0.4509,0.0916,-0.1108,-0.2302,-0.4386,-0.3446,-0.3841,-0.9165,-2.0297,-6.0971,,,,,,,,,,,,,
,,-0.4336,-0.2088,-0.0093,-0.0966,0.0175,0.9068,-0.3201,-0.2562,-0.2078,-0.7234,-0.0629,-0.085,-0.0354,-0.3604,0.0847,-0.501,-0.6862,-0.8102,-0.1982,-0.266,-0.225,-0.0819,0.0736,-0.4428,-0.6591,-0.6534,-0.5116,-0.2985,-4.6742,,,,,,,,,,,,,
,,-0.2307,-0.2138,0.0585,0.0771,0.2041,0.2026,-0.2247,-0.2592,-0.1074,-0.4298,-0.0114,0.2486,-0.0928,-0.8447,-0.3645,-0.5573,-0.7992,-0.6986,-0.4148,-0.2292,-0.4441,0.0165,0.0295,-0.3762,-0.6145,-0.4558,-0.1208,0.7987,,,,,,,,,,,,,,
,,-0.1338,0.1676,0.2269,0.0347,0.2411,0.1057,-0.0756,-0.1278,0.0293,-0.5984,-0.303,-0.3512,-0.3142,-0.7193,-0.714,-0.7246,-0.9316,-0.6238,-0.4467,-0.5248,-0.3438,-0.4132,0.0303,-0.0014,-0.2494,-0.7788,-0.6656,-0.4026,-1.9639,,,,,,,,,,,,,
,-0.5366,-0.3136,0.7007,0.6036,0.2876,0.3069,0.0472,0.2026,-0.2454,-0.1442,-0.6113,-0.355,-0.5422,-0.3584,-0.589,-0.8419,-0.8186,-0.9382,-0.5686,-0.76,-0.2694,-0.3763,-0.2177,-0.098,-0.835,-0.4239,-0.2822,-0.5246,0.3806,-2.0582,,,,,,,,,,,,,
,-0.402,-0.055,0.276,0.5592,0.4926,0.4662,0.3524,0.2652,-0.3225,-0.517,-0.6427,-0.4779,-0.7708,-0.5162,-0.6376,-0.7521,-0.6678,-0.7959,-0.4985,-0.4423,-0.2753,-0.151,-0.275,-0.2969,-1.0136,-0.5564,-0.4233,-0.2139,-0.7366,-3.9958,,,,,,,,,,,,,
,-0.5285,-0.1146,0.0922,0.8481,0.3938,0.6266,0.3725,-0.0297,-0.3887,-0.6113,-0.715,-0.5781,-0.5293,-0.3996,-0.9546,-0.5524,-0.6841,-0.6395,-0.4144,-0.1386,-0.4432,-0.3599,-0.0371,-0.0629,-0.7451,-0.6816,-0.3914,-0.8409,-1.5606,-2.7775,,,,,,,,,,,,,
,-0.5884,-0.4068,0.2509,0.534,0.5816,0.3709,0.253,-0.0994,-0.5945,-0.488,-0.8535,-0.5908,-0.6134,-0.5005,-0.7138,-0.5109,-0.816,-0.7035,-0.4145,0.0275,-0.284,-0.2505,-0.1656,-0.4239,-0.4266,-0.7325,-0.5344,-0.9016,-1.4484,0.3624,,,,,,,,,,,,,
,-0.6077,-0.474,0.1132,-0.0077,0.118,-0.041,-0.2582,-0.1341,-0.8308,-0.8501,-0.857,-0.7785,-0.6307,-0.5828,-0.5571,-0.5094,-0.7603,-0.6047,-0.425,-0.3128,-0.2362,-0.1046,-0.2251,-0.5467,-0.7047,-0.7195,-0.4306,-0.3985,0.3599,,,,,,,,,,,,,,
-0.4402,-0.5525,-0.4133,0.1863,-0.1228,-0.1261,-0.3755,-0.4589,-0.2322,-0.73,-1.0188,-0.7988,-0.6832,-0.6232,-0.5632,-0.6606,-0.5032,-0.7237,-0.4552,-0.4158,-0.204,-0.5512,-0.5644,-0.2215,-0.8914,-0.602,-0.4108,-0.9866,-0.8082,-2.0851,,,,,,,,,,,,,,
-0.7973,-0.4787,-0.6449,0.1716,-0.0548,-0.398,-0.4428,-0.5262,-0.3212,-0.7274,-0.9532,-0.5378,-0.5245,-0.6264,-0.3173,-0.5651,-0.4408,-0.8685,-0.3201,-0.1813,-0.146,-0.5413,-0.7656,-0.1238,-0.6716,-0.7114,-0.3692,-1.0612,-0.7484,-0.3003,,,,,,,,,,,,,,
-0.5379,-0.7594,-0.5462,0.1338,-0.3483,-0.4887,-0.5565,-0.7487,-0.5748,-0.4559,-0.7483,-0.8325,-0.6666,-0.7816,-0.4783,-0.5701,-0.536,-0.6892,-0.4567,-0.2437,-0.0158,-0.3609,-0.771,-0.3708,-0.5728,-0.4477,-0.4636,-0.5605,-0.2487,0.0977,,,,,,,,,,,,,,
-0.7273,-0.7536,-0.5738,-0.2967,-0.6757,-0.4599,-0.5804,-0.5769,-0.4647,-0.3763,-0.7,-0.7823,-0.7436,-0.6132,-0.8756,-0.7876,-0.5497,-0.7339,-0.4418,-0.2696,-0.0452,-0.2415,-0.4186,-0.3416,-0.4926,-0.5223,-0.396,-0.2533,0.0279,-0.2419,,,,,,,,,,,,,,
-0.7177,-0.8273,-0.6719,-0.4792,-0.8531,-0.3908,-0.7629,-0.6899,-0.4928,-0.3227,-1.1321,-1.0443,-0.7295,-0.6658,-0.6726,-0.6516,-0.7436,-0.5454,-0.25,-0.3042,-0.0711,-0.5018,-0.3151,-0.3657,-0.5763,-0.6184,-0.4252,-0.5526,-0.6482,-0.0519,-0.564,,,,,,,,,,,,,
-0.6059,-0.9026,-1.1268,-0.8064,-0.68,-0.4675,-0.8947,-0.3942,-0.6164,-0.614,-0.8745,-0.8696,-0.6984,-0.4726,-0.3361,-0.5687,-0.581,-0.43,-0.5475,-0.3182,0.0086,-0.2706,-0.6525,-0.6531,-0.7415,-0.3536,-0.5,-0.3644,-0.6988,0.1573,-0.3661,0.5161,,,,,,,,,,,,
-0.5583,-0.9384,-1.1306,-0.7702,-0.6793,-0.7494,-0.6335,-0.4792,-0.7641,-0.7647,-1.0083,-0.9339,-0.7665,-0.4681,-0.6741,-0.6462,-0.3481,-0.413,-0.5828,-0.1173,-0.0565,-0.2167,-0.843,-0.7573,-0.3009,-0.5104,-0.1608,-0.3566,-0.7793,0.1704,-0.2544,-0.0269,-1.1749,,,,,,,,,,,
-0.4611,-0.8252,-0.8952,-0.9993,-0.5159,-0.5718,-0.2656,-0.5086,-0.6272,-0.9133,-1.1522,-0.7715,-0.7168,-0.3962,-0.5141,-0.5228,-0.3601,-0.291,-0.2384,-0.172,-0.0364,-0.1033,-0.8897,-0.7132,-0.3817,-0.4828,-0.1583,-0.8648,-1.085,-0.1136,-0.2663,-0.0751,-0.2523,-0.9839,-1.0321,,,,,,,,,
-0.1264,-0.5746,-0.8432,-0.3659,-0.3879,-0.4408,-0.6716,-0.7422,-0.8737,-0.8884,-1.0035,-0.6832,-0.4773,-0.3678,-0.5652,-0.5229,-0.7776,-0.3903,-0.3233,-0.1964,-0.1722,-0.3372,-0.2806,-0.5604,-0.401,-0.5395,-0.2305,-0.7746,-0.6463,-0.9037,-1.0123,-0.8395,-0.6321,-0.9763,-1.467,,,,,,,,,
0.1519,-0.3389,-0.4364,-0.3757,-0.4763,-0.6769,-0.6002,-0.8349,-0.9949,-1.2486,-0.7905,-0.4153,-0.394,-0.5037,-0.3961,-0.4968,-0.677,-0.3342,-0.2766,-0.3622,-0.0971,-0.3956,-0.094,-0.5136,-0.5443,-0.4451,-0.1677,-0.7088,-0.7145,-0.7363,-1.2254,-1.0478,-0.9889,-1.3837,-0.6378,-0.7592,-1.969,,,-1.0694,1.4087,,,
0.4903,0.1645,-0.2007,-0.2896,-0.265,-0.6527,-0.8427,-0.6898,-0.8308,-1.1212,-0.9621,-0.4121,-0.6458,-0.4143,-0.4206,-0.4772,-0.8663,-0.2673,-0.5409,-0.5705,-0.1886,-0.4462,-0.2734,-0.3933,-0.3985,-0.7278,-0.424,-0.6226,-0.7421,-0.3229,-0.9973,-0.9408,-0.7549,-1.2128,-1.0922,-0.6158,-1.3556,-1.611,,-1.1266,-0.6877,,,
0.8223,0.0166,-0.1319,-0.0684,-0.0111,-0.0756,-0.4722,-0.7676,-0.6729,-0.9267,-0.7067,-0.6809,-0.5512,-0.2962,-0.5009,-0.7209,-0.9065,-0.3736,-0.6896,-0.6236,-0.4159,-0.8304,-0.8851,-0.5589,-0.4406,-0.6451,-0.3142,-0.3698,-0.5172,-0.0523,-1.0311,-1.2191,-0.7238,-1.2025,-0.505,-0.6855,-0.2645,0.1584,-0.9467,-1.7614,0.0437,,,
1.0374,-0.0106,-0.1395,-0.0426,0.0649,0.0192,-0.2673,-0.4707,-0.2959,-0.6332,-0.4584,-0.5336,-0.5174,-0.4097,-0.5845,-1.0989,-0.8309,-0.3804,-0.6928,-0.8489,-0.5385,-0.6577,-0.8394,-0.7756,-0.8493,-0.7258,-0.4027,-0.4238,-0.5997,-0.2262,-0.7943,-0.8976,-0.6758,-0.5131,-0.5019,-0.9002,-0.1226,0.1256,-0.4097,-0.8765,0.4193,,,
0.8068,0.2876,-0.1019,-0.3508,-0.1328,0.369,-0.1427,-0.3816,-0.132,-0.3386,-0.4121,-0.326,-0.5982,-0.5176,-0.7268,-1.0236,-0.9664,-0.66,-0.7543,-1.0512,-0.5861,-1.0162,-0.8131,-0.7304,-0.8287,-0.6679,-0.3217,-0.4969,-0.5596,-0.2616,-0.8238,-0.5094,-0.5152,-0.2227,-0.013,-0.2725,-0.7763,0.4127,0.2076,1.0291,0.9073,2.5631,-0.3833,
0.5362,0.5106,-0.133,-0.3469,-0.2599,0.0102,-0.398,-0.6113,-0.2086,-0.2009,-0.2644,-0.5081,-0.4763,-0.5943,-0.7734,-0.597,-0.6568,-0.6619,-0.6871,-1.0942,-0.5944,-0.7856,-0.5867,-0.8705,-0.7465,-0.7627,-0.3007,-0.3334,-0.3137,-0.1808,-0.654,-0.4607,-0.4123,-0.1875,-0.0104,-0.1986,-0.567,-0.2519,-0.1513,1.9631,1.3091,-1.064,-0.3215,
0.6662,0.6569,0.1536,-0.2371,-0.2821,0.0263,-0.1399,-0.1282,-0.1114,-0.3677,-0.1362,-0.3455,-0.3455,-0.655,-0.6378,-0.7417,-0.7383,-0.8582,-0.7733,-1.1029,-0.6809,-0.6681,-0.5386,-0.725,-0.6093,-0.5092,-0.3275,-0.3056,-0.4271,-0.1936,-0.55,-0.4184,-0.311,-0.4256,-0.2452,-0.0855,-0.5092,-0.0374,-0.0283,1.5677,1.5437,-0.4456,-0.7658,
