,,,,,,,,,,,,,,,,,,,,,0.2023,0.6075,-0.0983,-0.6035,0.3567,1.2866,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.2268,0.9284,-1.1281,-1.808,0.0862,1.2325,0.1094,-1.2123,-0.0354,1.3282,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.4705,-0.5797,-0.2423,-2.3675,-0.0079,0.3778,-0.4235,-0.8711,0.0422,1.7008,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0436,-0.1201,-0.3025,0.2645,0.8276,-1.4963,-0.1196,0.1226,-0.7236,-0.5557,-0.0051,-0.1386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.5778,-0.835,-0.8782,-0.0314,0.2307,-0.1235,0.2146,-0.1497,-0.1397,-0.8044,-0.8619,-0.4444,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.4397,-0.435,-1.0117,-0.6317,-0.5143,-0.8826,-0.0411,-0.2508,0.1849,-0.6385,-0.6159,0.0241,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.5535,0.1415,-0.0458,-0.2173,-0.9389,-1.0624,-0.5148,-0.7763,-0.3233,-0.3316,-0.1463,-0.5909,-0.2351,0.4585,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.6938,-1.2831,0.1969,-0.5887,-0.6128,-1.0456,-0.0169,-0.5502,-0.3472,0.3415,-0.1146,-0.7067,-0.3232,0.4286,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0412,-0.9172,-0.6728,-0.4193,-0.0818,-0.5849,-1.0052,-1.1785,0.2116,-0.5566,-0.3786,-0.3941,0.5102,0.0268,-0.1775,-0.6565,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1771,-0.8861,-0.5917,-0.3922,0.3003,-0.423,-0.6636,-1.123,0.4749,-0.1557,-0.0942,0.0963,0.0291,-0.2441,-0.1504,-0.0955,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.7776,-0.5326,0.028,-0.278,-1.1083,-0.4021,-0.4186,-0.2835,-0.4073,-1.2376,0.7173,-0.2737,0.0694,-0.0142,-0.4522,-0.2711,0.4905,-0.2858,-0.1466,,,,,,,,,,,,,,,,
,,,,,,,,0.4148,0.0366,-1.4861,-0.2514,-0.7473,-1.4767,-0.8563,-0.6085,-0.4114,-0.112,-0.6028,0.6659,-0.4168,-0.1651,0.4372,-0.5171,0.137,0.6496,-0.6757,-0.3663,,,,,,,,,,,,,,,,
,,,,,,,0.3976,0.4323,-0.1434,-1.3242,-0.2406,-0.7585,-1.1205,-0.3029,-0.0266,0.1096,-0.0727,-0.543,1.2262,0.5253,-0.5223,0.5216,-0.3641,0.1634,0.1642,-0.0806,-0.8544,,,,,,,,,,,,,,,,
,,,,,,1.0687,-0.3295,0.1394,-0.1069,-0.7016,0.0846,-0.2948,-0.4075,-0.4131,-0.2473,0.4078,-0.3121,-0.6186,0.3782,0.4016,-0.2506,0.5057,-0.5704,-0.4954,0.7066,-0.0663,-1.8091,,,,,,,,,,,,,,,,
,,,,,,0.4853,-0.1644,0.1624,-0.2578,-0.8163,-0.131,-0.5515,-0.7554,-0.2596,-0.4552,-0.0643,-0.2103,-0.12,0.7268,0.3484,-0.1527,-0.1021,-0.4624,-0.3552,0.3787,0.3818,-0.2176,,,,,,,,,,,,,,,,
,,,,,-0.3557,0.1998,0.1151,0.1245,-0.1134,-0.9014,-0.4421,-0.5225,-0.4205,0.2012,-0.1221,-0.0436,-0.207,-0.8877,0.7515,0.6429,0.0217,0.0543,-0.6151,-0.2723,-0.5652,0.093,-0.0292,,,,,,,,,,,,,,,,
,,,,-0.0196,-1.0368,-0.032,0.0733,0.7662,0.6607,-1.1125,-0.6654,-0.5486,-0.098,-0.3156,0.3226,0.2824,-0.3293,-1.0673,0.7755,0.8415,-0.1764,0.2514,-0.7246,0.2647,-0.5655,0.313,0.9969,,,,,,,,,,,,,,,,
,,,,-0.8059,-1.0962,-0.0417,0.2278,1.4494,0.9955,-0.3485,-0.8816,-0.9653,-0.8757,-0.4863,0.2134,0.1311,0.9434,-1.2134,0.6402,0.9508,0.1176,0.3337,-0.8236,-0.2111,0.1512,0.3031,1.583,,,,,,,,,,,,,,,,
,,,,-1.2169,-0.7002,0.8635,0.563,2.1416,1.577,0.2591,-0.3824,-0.8373,-1.1674,-0.4818,-0.2558,-0.165,0.2864,-0.893,0.4292,0.7353,0.1856,0.5944,-1.5849,-0.6197,0.5164,0.7136,-0.3004,,,,,,,,,,,,,,,,
